##NAME|SUBNAME|ID|TELNUM|NEWADDR|OT|XCOORD|YCOORD@@용구비어
용구비어|청주용정점|공지|예정|충청북도 청주시 상당구 용정로 26 101호||36.629301625041805|127.516404634413
용구비어|의성점|131|054-833-1055|경북 의성군 의성읍 문소3길 46||36.35004001937106|128.6954468966437
용구비어|김해어방점|130|055-326-7579|경남 김해시 분성로501번길 17||35.23666505574921|128.90156709141888
용구비어|강원영월점|129|010-5154-9993|강원도 영월군 영월읍 하송로 128번지||37.178509845773654|128.45806299975143
용구비어|포항양덕법원점|128|054-255-4445|경상북도 포항시 북구 양덕동 667-3번지 102호||36.089673118037815|129.38858066108602
용구비어|수원아이파크에비뉴점|127|031-267-0133|경기도 수원시 권선구 동수원로 177번길 90 107,108호(권선동)||37.24736627658074|127.0271047385657
용구비어|화성동탄점|126|031-613-3555|경기 화성시 동탄반석로172, 1층 145호||37.2039745337721|127.07219284063872
용구비어|청송진보점|125|054-874-1017|경북 청송군 진보면 진안남 1길 3-1||36.52808569925807|129.04566258646707
용구비어|태백황지점|124|033-554-0925|강원도 태백시 황지동 404-3 1층||37.15890680810662|128.98150806950025
용구비어|노량진점|123|02-3280-0911|서울특별시 동작구 노량진동만양로 14가길 1||37.51167039128218|126.94515656991144
용구비어|상록수역점|122|031-406-0955|경기도 안산시 상록구 본오동상록수로 44 상림프라자 111호||37.30222676509674|126.86477499107865
용구비어|개신점|121|043-233-0908|충청북도 청주시 서원구 신율로 49 개신동레몬타워 108||36.62253292723268|127.44669425604424
용구비어|안성점|120|031-674-0722|경기도 안성시 중앙3길 5 서연오피스텔(대천동)||37.008837582193244|127.27074162281481
용구비어|경인교대역점|119|032-556-4961|인천광역시 계양구 계산로 112번길 1||37.53725022465155|126.72487029572374
용구비어|성남종합시장점|118|031-747-5596|경기도 성남시 수정구 시민로 142번길 12-1(신흥동 1,2층)|||
용구비어|성화점|117|043-231-7507|충청북도 청주시 서원구 장전로 20번다길 2, 1층(성화동)|||
용구비어|충남대점|116|042-826-0935|대전광역시 유성구 대학로 141번길 17|||
용구비어|강서구청점|115|02-2601-0908|서울특별시 강서구 까치산로 27길 18|||
용구비어|신림역점|114|02-887-5397|서울특별시 관악구 신림로 65길 20(신림동)|||
용구비어|일산본점|113|031-907-0915|경기도 고양시 일산동구 정발산로 43-7(장항동 856) 메리트윈 106호|||
용구비어|동해점|112|033-522-0925|강원도 동해시 청운1길 55-2나-6(나안동 협성재래식삼가3차 나동 6호~8호)|||
용구비어|오창점|111|041-214-5431|충청북도 청원군 오창중앙로 123-9|||
용구비어|임학역점|110|032-543-2174|인천광역시 계양구 장제로 875번길 71-104(임학동 금광포한재아파트)|||
용구비어|탑동점|109|031-227-4809|경기도 수원시 권선구 하탑로 39103|||
용구비어|삼척점|108|033-574-0099|강원도 삼척시 청석로 60106-104|||
용구비어|고잔점|107|031-402-3033|경기도 안산시 단원구 광덕3로 167-18 104|||
용구비어|명지대점|106|02-3152-3045|서울특별시 서대문구 거북골로 21-7|||
용구비어|춘천본점|105|033-261-0901|강원도 춘천시 스무숲1길 67(석사동 1층)|||
용구비어|청주복대동점|104|043-233-7431|충청북도 청주시 흥덕구 대신로 73번길 23, 1층(복대동)|||
용구비어|부천대점|103|032-613-8281|경기도 부천시 원미구 부천로 29번길 49, 1층(심곡동)|||
용구비어|시흥점|102|02-808-5444|서울특별시 금천구 시흥대로 50길 11(시흥동)||37.45153507938176|126.90284188680799
용구비어|신림난곡점|101|02-6747-2393|서울특별시 관악구 난곡로 168(신림동)|||
용구비어|음성점|100|043-873-7274|충청북도 음성군 시장로 128|||
용구비어|장안사거리점|99|02-2216-6463|서울특별시 동대문구 장한로 28길 50(장안동)|||
용구비어|충남논산점|98|041-732-0944|충청남도 논산시 부창로 100번길 19-10(강산동)|||
용구비어|성남본점|97|031-757-0908|경기도 성남시 수정구 복정로 62 1층(복정동)|||
용구비어|지행역점|96|031-865-0925|경기도 동두천시 평화로 2261번길 33(지행동 1층)|||
용구비어|오창호수공원점|95|043-213-5999|충청북도 청원군 오창읍 양청리 793-4|||
용구비어|홍대역점|94|02-325-0925|서울특별시 마포구 어울마당로 138-4 1층(서교동)|||
용구비어|동백점|93|031-283-1595|경기도 용인시 기흥구 동백5로 21-8(중동 동백지스타 111호)|||
용구비어|태안점|92|041-675-0925|충청남도 태안군 후곡로 131-2(후곡로 132)|||
용구비어|상록점|91|031-419-0979|경기도 안산시 상록구 각골로 118(본오동)|||
용구비어|신대방삼거리역점|90|02-3280-8208|서울특별시 동작구 여의대방로 24길 129 1층(대방동 더킴벌리빌딩)|||
용구비어|동해2호점|89|033-534-0920|강원도 동해시 하평로 100(평등동)|||
용구비어|대방점|88|02-817-0333|서울특별시 동작구 여의대방로 188.|||
용구비어|인천동양점|87|032-541-2844|인천광역시 계양구 양지말2길 8(동양동)|||
용구비어|증평점|86|043-838-1071|충청북도 증평군 윗장뜰길 43|||
용구비어|도화점|85|02-716-6651|서울특별시 마포구 도화길 45-1|||
용구비어|고대점|84|02-921-8970|서울특별시 성북구 인촌로 28길 5|||
용구비어|인천청라점|83|032-566-6909|인천광역시 서구 경서동 967-5(청라루비로 42번길 14)|||
용구비어|봉천점|82|02-873-0925|서울특별시 관악구 은천로 61 103 (봉천동 1층)|||
용구비어|약수역점|81|02-2231-9555|서울특별시 중구 동호로 193-12 1층(신당동)|||
용구비어|숭실대점|80|02-815-2552|서울특별시 동작구 사당로 20(상도동 102호)|||
용구비어|이천창전점|79|031-634-8886|경기도 이천시 이섭대천로 1217번길 15(창전동 1층)|||
용구비어|한성대점|78|02-3673-0909|서울특별시 성북구 삼선교로 10길 471층(삼성동 2가)|||
용구비어|장호원점|77|031-643-0990|경기도 이천시 장호원리 장감로 87번길 12|||
