##NAME|SUBNAME|TELNUM|NEWADDR@@짝태&노가리
짝태&노가리|가락역점|010-3829-8256|서울시 송파구 송이로20길 12
짝태&노가리|가락점|010-3726-5812|서울시 송파구 오금로44길 47
짝태&노가리|가맹본부|1899-9256|경기도 고양시 덕양구 도내로 93
짝태&노가리|가양역점|010-2491-0423|서울특별시 강서구 양천로 492
짝태&노가리|가재울점|010-9115-7188|서울시 서대문구 남가좌동 124번지
짝태&노가리|강원/원주혁신점|010-5122-0408|강원도 원주시 양지로 10
짝태&노가리|경기/광주1호점|010-5452-3881|경기도 광주시 순암로36번길 96
짝태&노가리|경남/창원점|010-7184-1223|경상남도 창원시 마산합포구 월영동서로 7
짝태&노가리|경남지사/부산|010-6217-0510|부산광역시 동래구 명륜로 129번다길 38
짝태&노가리|경북/영천점|010-8434-1040|경북 영천시 문외동 43-7
짝태&노가리|경산/옥산점|010-9545-4994|경북 경산시 옥산동 851-8
짝태&노가리|고양/대화점|010-4435-2028|경기도 고양시 일산서구 대산로 211번길 8-13
짝태&노가리|고양/백석점|010-8945-9996|경기도 고양시 일산동구 백석로72번길 40
짝태&노가리|고양/삼송역점|010-5030-4828|경기도 고양시 덕양구 삼송로 189-7
짝태&노가리|고양/원당점|010-9099-9419|경기도 고양시 덕양구 고양대로 1359-14
짝태&노가리|고척점|010-5284-5009|서울 구로구 고척로52길 6
짝태&노가리|공릉점|010-3117-3658|서울시 노원구 동일로 1062
짝태&노가리|관악푸르지오점|010-3202-1236|서울시 관악구 청림6길 16 (봉천동,1층 107호)
짝태&노가리|광명/광명사거리역점|010-5299-6416|경기도 광명시 오리로963번길 5-1
짝태&노가리|광명/소하점|010-4761-5281|경기도 광명시 충현로 1
짝태&노가리|구로역점|010-5022-7112|서울 구로구 새말로 18-53
짝태&노가리|구리/교문점|010-5910-8323|경기도 구리시 경춘로172번길 5 (교문동,1층)
짝태&노가리|구리/돌다리점|010-6486-3105|경기도 구리시 안골로103번길 37 (수택동,1층)
짝태&노가리|구리/인창점|010-9664-0047|경기도 구리시 인창동 383-65
짝태&노가리|구리/하나아파트점|010-5570-4513|경기도 구리시 체육관로 73
짝태&노가리|구의점|010-6682-8262|서울특별시 광진구 자양로22길 24
짝태&노가리|구파발역점|010-6347-9063|서울시 은평구 진관3로 21
짝태&노가리|군산/나운점|010-5444-1979|전북 군산시 수송로 21-1
짝태&노가리|군산/산북점|010-3684-6700|전북 군산시 칠성로 143
짝태&노가리|군산/수송점|010-7229-8477|군산시 동수송7길10
짝태&노가리|군포/금정역점|010-3323-0609|경기도 군포시 군포로735번길 22
짝태&노가리|군포/당점점|010-4640-6294|경기도 군포시 한세로66번길 12,101동 103호
짝태&노가리|군포/부곡점|010-4640-6294|37.3366075254908, 126.9347396492958
짝태&노가리|길동점|010-8477-8880|서울시 강동구 진황도로 92 (길동,1층)
짝태&노가리|김제/신풍점||전북 김제시 신풍동 591-4
짝태&노가리|김포/구래점|010-8889-8733|경기 김포시 김포한강9로 77
짝태&노가리|김포/마산점|010-5535-5249|경기도 김포시 김포한강8로 167
짝태&노가리|김포/양촌점|010-5208-4307|경기도 김포시 양촌읍 황금로117
짝태&노가리|까치산점|010-5241-9310|서울시 강서구 강서로18다길 17 (화곡동,1층)
짝태&노가리|나주/나주점|010-3169-1145|전남 나주시 상야1길 20
짝태&노가리|나주/대호점|010-2222-5768|전남 나주시 대호길63
짝태&노가리|나주/빛가람점||전남 나주시 빛가람동 190-3
짝태&노가리|낙성대역점|010-8936-0010|서울특별시 관악구 남부순환로 1891
짝태&노가리|낙성대점|010-2467-0194|서울특별시 관악구 인헌길 6
짝태&노가리|난곡점|010-8482-7300|서울특별시 관악구 난우길 19
짝태&노가리|남양주/덕소점|010-4772-0448|경기도 남양주시 와부읍 덕소로97번길 15-2
짝태&노가리|남양주/마석점|010-8888-8364|경기도 남양주시 화도읍 마석우리 383-2
짝태&노가리|남양주/별내점|010-5240-1052|경기도 남양주시 별내중앙로57번길 35 (별내동,101호)
짝태&노가리|남양주/오남점|010-4444-0707|경기도 남양주시 오남읍 진건오남로512번길 4
짝태&노가리|남양주/진접점|010-4748-3315|경기도 남양주시 진접읍 해밀예당3로 138
짝태&노가리|남양주/퇴계원점|010-3993-3046|경기도 남양주시 퇴계원면 퇴계원로 46
짝태&노가리|남양주/평내점|010-3381-6369|경기 남양주시 경춘로1256번길10
짝태&노가리|남양주/호평점|010-9267-6202|경기도 남양주시 호평로46번길 15 (호평동,1층)
짝태&노가리|노원역점|010-3131-0901|서울특별시 노원구 상계로1길 38-11
짝태&노가리|노원점|010-4001-8086|서울특별시 노원구 동일로218길 29
짝태&노가리|당곡점|010-7651-9636|서울시 관악구 보라매동 702-36
짝태&노가리|대구/광장점|010-4759-4739|대구 달서구 두류3동 491-10번지
짝태&노가리|대구/두산점|010-9381-4416|대구 수성구 두산동 146-4
짝태&노가리|대구/장기점|010-6429-2540|대구 달서구 본리동 1199-2
짝태&노가리|대구지사|010-8594-2866|대구광역시 동구 안심로22길 56
짝태&노가리|대전/롯데점|010-5488-6760|대전광역시 서구 용문로35-11
짝태&노가리|대전/봉명점|010-8818-4435|대전시 유성구 봉명동 623-3번지
짝태&노가리|대전/탄방점|010-4100-8865|대전광역시 서구 탄방로7길 60
짝태&노가리|독산점|010-3193-3293|서울 금천구 범안로 1238
짝태&노가리|동두천/지행점|010-4582-3535|경기도 동두천시 중앙로 110-17
짝태&노가리|동작구청점|010-2031-4164|서울 동작구 장승배기로27길9
짝태&노가리|등촌역점|010-4016-8311|서울시 양천구 목동 중앙북로 7
짝태&노가리|마곡역점|010-8278-7599|서울시 강서구 마곡중앙6로 10
짝태&노가리|마포점|010-3002-4002|서울시 마포구 숭문길 30
짝태&노가리|망원점|010-6543-8584|서울특별시 마포구 방울내로 73
짝태&노가리|면목점|010-2303-2133|서울시 중랑구 겸재로 198
짝태&노가리|목동사거리점|010-4357-4343|서울특별시 강서구 등촌로3길 17
짝태&노가리|목동점|010-6353-7180|서울 양천구 은행정로 73
짝태&노가리|문정역점|010-3726-5812|서울시 송파구 법원로 114
짝태&노가리|발산점|010-4240-0164|서울시 강서구 화곡로61길 123 (등촌동,1층)
짝태&노가리|방배점|010-9445-0111|서울시 서초구 방배로 83-11
짝태&노가리|방이점|010-3415-6599|서울특별시 송파구 방이동 62-1
짝태&노가리|방학점|010-4553-3991|서울특별시 도봉구 방학로112-9
짝태&노가리|보라매점|010-8747-6594|서울시 영등포구 여의대방로29길 10, 107 (신길동,길성그랑프리텔)
짝태&노가리|보령/동대점|010-9371-4888|충남 보령시 동대동 411
짝태&노가리|부산/가야반도보라빌점|010-4966-598|부산 진구 가야동 504-4
짝태&노가리|부산/감천점|010-4250-0043|부산 사하구 감천동 651-1
짝태&노가리|부천/부천역점|010-3663-4141|경기도 부천시 원미구 부일로446번길 18
짝태&노가리|부천/상동라일락점|010-2301-6195|경기도 부천시 도약로 16
짝태&노가리|부천/상동점|010-2880-9696|경기도 부천시 원미구 길주로121번길 17-28
짝태&노가리|불광점|010-3220-3354|서울특별시 은평구 불광동 631-1
짝태&노가리|사당점|010-4513-4121|서울 동작구 동작대로17길 5
짝태&노가리|삼성점|010-2541-1124|서울특별시 강남구 테헤란로81길 9
짝태&노가리|상계역점|010-6489-6295|서울특별시 노원구 덕릉로83길 20-4
짝태&노가리|상암점|010-9263-6509|서울특별시 마포구 월드컵북로48길 7
짝태&노가리|서울대2호점|010-2008-6698|서울특별시 관악구 봉천로 384
짝태&노가리|서울대점|010-6555-4298|서울 관악구 봉천로455
짝태&노가리|서일대점|010-2976-7659|서울시 중랑구 용마산로 408
짝태&노가리|석촌점|010-4714-9810|서울 송파구 삼학사로 74
짝태&노가리|선릉점|010-8330-8100|서울특별시 강남구 테헤란로70길 14-12
짝태&노가리|성남/모란점|010-5383-2059|경기도 성남시 중원구 둔촌대로 101번길 16-9
짝태&노가리|성남/미금역점|010-2727-3488|경기도 성남시 분당구 미금일로74번길 14
