##NAME|SUBNAME|TELNUM|NEWADDR|WEBSITE|XCOORD|YCOORD@@산후조리원
맘/산후조리원||031-879-8434|경기 의정부시 신흥로 130 (호원동)|http://momsj.co.kr|127.0429603|37.7367968
마더러브||031-564-3535|경기 구리시 교문동 282-1|http://imotherlove.co.kr|127.130088|37.5996482
맘편한/산후조리원||031-411-3552|경기 안산시 단원구 원포공원2로 35 (초지동, 메가쇼핑타운1)|http://momeasy.smpon.kr|126.8124827|37.3014031
아모리움/사임당||02-533-6169|서울 서초구 서운로 216 (서초동, GDA주니어스쿨)|http://amorium.co.kr|127.0225228|37.501711
쟈스민/산후조리원||031-842-1122|경기 의정부시 부용로 105 (금오동, 프레티넘프라자2) 6층|http://jasminecare.co.kr|127.0702066|37.750044
클로리스산후조리원||031-781-7004|경기 성남시 분당구 중앙공원로40번길 4 (서현동, 현대카스올림픽골프파크) 3층|http://chloriscare.com|127.1309362|37.3791365
JK/산후조리원||032-523-0700|인천 부평구 부흥로294번길 4 (부평동, 추인타워)|http://jessicakim.co.kr|126.7243595|37.4978623
광명제일산후조리원||02-2686-5800|경기 광명시 광명로 906 (광명동, 현대아이타워) 9층|http://royalsaimdang.net|126.8499579|37.4686843
동그라미/강남||02--532-1633|서울 서초구 방배동 783-26|http://kndgrm.com|126.9831329|37.4917851
로얄사임당/소하점||02-898-0898|경기 광명시 소하로 78 (소하동, 신성프라자) 4층|http://soha.modoo.at|126.8865769|37.4481963
로얄사임당/평촌점||031-448-0083|경기 안양시 동안구 경수대로 855 (비산동)|http://royaljessica.co.kr|126.9447542|37.3873596
아이미래/김포||031-998-4191|경기 김포시 고촌읍 장차로5번길 5-25 (신곡리, 엔타운) 5층|http://imiraecare.co.kr|126.7691839|37.6032344
아이미래/대전||042-476-3575|대전 서구 대덕대로242번길 48 (둔산동) 2층|http://imiraecaredj.co.kr|127.3822532|36.3540837
아이미래/영등포||08-848-3579|서울 영등포구 도신로 116 (신길동, 대웅빌딩)|http://imiraecare.co.kr|126.905023|37.5080301
아이미래/의정부||031-852-9800|경기 의정부시 청사로 37 (금오동, 신세계프라자)|http://imiraecare.co.kr|127.0705579|37.7512909
아이제일/산후조리원||02-355-0069|서울 은평구 서오릉로 81 (역촌동)|http://ijeilob.co.kr|126.9153066|37.6114461
꿈담||053-583-7447|대구 달서구 이곡서로 11 (이곡동)|http://kkoomdam.allthemedi.com|128.5058191|35.8538782
마미캠프/서울||02-472-6565|서울 강동구 성안로 156 (길동, 우주빌딩)|http://mammycamp.co.kr|127.1322684|37.5310934
마미캠프/창원||055-286-3576|경남 창원시 성산구 상남로 73 (상남동, 서울메디컬센타)|http://mammycamp.co.kr|128.6796505|35.2185989
BM/비엠/산후조리원||031-501-0660|경기 안산시 상록구 광덕1로 376 (이동, 한대프라자)|http://bmob.co.kr|126.8482669|37.307254
e좋은병원/산후조리원||055-646-5656|경남 통영시 광도면 죽림5로 15 (죽림리, e좋은병원)|http://egoodhospital.co.kr|128.4208932|34.8851217
gn/지엔/산후조리원||031-668-0075|경기 평택시 비전5로 3 (비전동)|http://gnhospital.kr|127.1129451|36.9921075
HMB/산후조리원||032-554-6100|인천 계양구 계산새로 71 (계산동, 하이베라스빌딩)|http://hmbmom.com|126.7359923|37.5375618
IM(아이엠)||032-463-0118|인천 서구 청마로51번안길 22 (당하동, 검단탑요양원)|http://imbabylove.co.kr|126.6725144|37.5914934
J(제이)/산후조리원||02-2153-7788|서울 서대문구 통일로 442 (홍제동, 제이여성병원)|http://jwhospital.co.kr/care/|126.9475271|37.5830596
MH(미래와희망)/산후조리원||02-3446-3434|서울 강남구 언주로 707 (논현동, MH빌딩)|http://miraewa.com|127.0382699|37.5150973
MJ산후조리원||02-2109-3003|서울 금천구 시흥대로 415 (독산동, 디디에스빌딩)|http://mjmother.com/|126.8967866|37.4619625
VIP산후조리원/금천||02-851-1566|서울 금천구 시흥대로 429 (독산동, 독산동복합)|http://sanhuvip.com/|126.8967866|37.4619625
VIP산후조리원/영등포||02-841-5277|서울 영등포구 신길동 4491|http://vipsanhu.com|126.913424|37.4972186
W/더블유/여성병원||042-485-0001|대전 서구 문정로48번길 70 (탄방동)|http://wshanwhoo.com|127.3842685|36.3452698
YJB/(양정분)/산후조리원||031-631-9170|경기 이천시 이섭대천로 1186 (중리동, 양정분산부인과)|http://yjbobgy.com|127.4472126|37.2761682
가연/산후조리원||02-879-9001|서울 관악구 신원로 35 (신림동, 삼모더프라임타워)|http://e-gayeon.net|126.9294214|37.4805728
가오플러스||042-286-3535|대전 동구 은어송로 63 (가오동, 글로리아타워2)|http://gaoplus.co.kr|127.4587357|36.309807
가율/(동그라미/강동)||02-485-0087|서울 강동구 천호대로 1128 (성내동, 웰빙메디컬빌딩)|http://gayul.co.kr|127.14567|37.538274
강동미즈||1661-0997|서울 강동구 천호대로159길 13 (천호동, 풍원빌딩)|http://gdmizcare.com|127.1281425|37.5385182
결한방산후조리원||02-6275-9000|서울 동작구 보라매로5가길 16 (신대방동, 보라매아카데미타워)|http://kmmm.co.kr|126.9243844|37.4911639
고운맘||042-546-5550|대전 서구 관저동로 162 (관저동, 건양프라자)|http://gounmom.alltheway.kr|127.3403195|36.2992196
고운맘||055-232-0800|경남 창원시 마산회원구 내서읍 경남대로 937 (삼계리, 고운메디칼)||128.5045003|35.2310517
고운맘/산후조리원/강서||02-2693-3006|서울 강서구 곰달래로 178 (화곡동, 르네상스빌딩)|http://gounmam1004.co.kr|126.8524604|37.5311661
고은산후조리원||032-870-5314|인천 남구 독배로 463 (숭의동, 고은여성병원)|http://kehospital.com|126.6473763|37.450671
곽생로/곽여성병원||031-723-7266|경기 성남시 수정구 수정로73번길 16-27 (태평동)|http://kwak.kwak-clinic.co.kr|127.1290911|37.4406392
광진아기맘미소||02-447-0065|서울 광진구 뚝섬로 503 (자양동)|http://agimiso.co.kr|127.0707941|37.5350959
구세산후조리원||051-253-5555|부산 서구 구덕로 114 (충무동1가)|http://guse.co.kr|129.023856|35.096738
군산/미래와/여성||063-441-1170|전북 군산시 문화로 164 (수송동, 미래와여성 산부인과)|http://mirewoman.com|126.7168991|35.9701397
궁/산후조리원/강남||02-555-9550|서울 강남구 언주로107길 35 (역삼동)|http://gangnam.puremom.net|127.0363744|37.5069248
궁/산후조리원/강서||02-2664-3500|서울 강서구 양천로 600 (등촌동, 파인블루빌딩)|http://kangseo.momsgung.com|126.8453438|37.5641163
궁/산후조리원/구의||02-453-0640|서울 광진구 자양로 192 (구의동, 궁 한방산후조리원)|http://gueui.momsgung.com|127.0881815|37.5407337
궁/산후조리원/도곡||02-577-8677|서울 강남구 도곡로6길 13 (도곡동)|http://dogok.momsgung.com|127.0344931|37.4893894
궁/산후조리원/삼성||02-547-5047|서울 강남구 봉은사로111길 13 (삼성동, 마당빌딩)|http://samsung.puremom.net|127.0650934|37.51642
궁/산후조리원/상암||02-306-2617|서울 마포구 월드컵북로 497 (상암동)|http://mapo.momsgung.com/|126.884894|37.580892
궁/산후조리원/신내||02-3421-5553|서울 중랑구 신내로16길 76 (신내동)|http://sinnaegung.com/|127.0976311|37.6140365
그녀의/정원/드라마||02-3453-4628|서울 강남구 언주로 303 (역삼동)|http://derama.co.kr|127.0394659|37.5054054
그라티아||031-856-7790|경기 양주시 고읍남로 6-6 (광사동)|http://yjgratia.co.kr|127.0801019|37.7961563
그랑베이||031-427-1725|경기 안양시 동안구 호계동 1003-5|http://grandbaie.co.kr/index.php||
그레이스||033-532-0050|강원 동해시 천곡로 86-2 (천곡동, 대륜빌딩)||129.1121808|37.5232472
그레이스산후조리원||031-901-4000|경기 고양시 일산동구 중앙로 1073 (백석동)|http://grace-carecenter.com|126.7901254|37.6409396
그린/산후조리원||032-574-3661|인천 서구 건지로 371 (가좌동)|http://green032.com|126.6865553|37.4962049
그린나래||054-476-8008|경북 구미시 산호대로24길 9-45 (옥계동)|http://greenarae.kr|128.4160598|36.1364374
기통맘/산후조리원||02-457-7700|서울 송파구 마천로 4 (방이동)|http://qimother.com|127.1263734|37.5078233
