##NAME|SUBNAME|TELNUM|NEWADDR|FEAT|OT@@커피빈
커피빈|원주AK플라자점|033-748-0631|강원도 원주시 봉화로1 AK플라자원주점 1층|주차가능;WIFI|월-목 10:30~20:00;금-일/공휴일 10:30~20:30 
커피빈|안양LS타워점|031-429-9650|경기도 안양시 동안구 엘에스로 127 1층|주차가능;WIFI|평일 07:00 ~ 18:00 / 주말공휴일휴점
커피빈|용인에버랜드점|031-334-0556|경기도 용인시 처인구 포곡읍 가실리 156-1 (파크내 홀랜드빌리지 옆 암스테르담)|WIFI|월-목  11:00~18:00 I 금-토 11:00~19:00 I 일 11:00~18:00  
커피빈|용인역북점|031-323-6886|경기도 용인시 처인구 역북동 598-7 |주차가능;WIFI|월-금 07:00~21:00;주말/공휴일 08:00~21:00 
커피빈|일산동구청점|031-903-3989|경기도 고양시 일산동구 정발산로 38|주차가능;WIFI|평일 07:30~21:00;주말/공휴일 09:00~21:00  
커피빈|수원AK플라자점|031-240-2246 ｜ 031-278-7641|경기도 수원시 팔달구 덕영대로 924 AK플라자 4층|주차가능;WIFI|월-일 10:30~21:00 I 공휴일 10:30~21:00
커피빈|부천스타필드시티점|02-6386-1423|경기도 부천시 옥길동 768 부천스타필드시티점 4층|주차가능;WIFI|매일 10:00 ~ 21:00
커피빈|남양주화도DT점|031-591-2406|경기도 남양주시 경춘로 1641|주차가능;드라이브스루;WIFI;흡연가능| ; 평일 07:00~21:00  ; 주말,공휴일 08:00~21:00 ; 
커피빈|김포장기DT점|031-987-0409|경기도 김포시 태장로 819|주차가능;드라이브스루;WIFI;흡연가능|평일,주말 07:00~21:00;DT 07:30~22:00
커피빈|부천북부역사거리점|032-655-8954|경기도 부천시 부천로25|주차가능;WIFI;흡연가능|주중 08:00~21:00 주말/공휴일 09:00~21:00 
커피빈|하남신세계백화점 B1점|031-8072-1641|경기도 하남시 미사대로 750, 신세계백화점 지하1층 식품관|주차가능|월-목 10:30~20:00;금-일 10:30~21:00
커피빈|안양시청앞점|031-5177-4770|경기도 안양시 동안구 시민대로 260, 1층 104,105호|주차가능;WIFI|월-금 07:00~21:00 ; 토/일/공휴일 08:00~21:00
커피빈|파주DT점|031-8070-0028|경기도 파주시 문발로 131|주차가능;드라이브스루;WIFI|월-금 07:30~21:00 ; 주말/공휴일 08:00~21:00
커피빈|광명아브뉴프랑점|02-899-7460|경기도 광명시 양지로16 아브뉴프랑 지하 2층 (주)커피빈코리아 광명아브뉴프랑점|주차가능;WIFI|월-금 07:00~21:00 ; 토/일/공휴일 08:00~21:00
커피빈|분당차병원본관앞점|031-8017-8243|경기도 성남시 분당구 야탑로64 DS타워 1층|주차가능;WIFI|평일 07:00-21:00 I 주말/공휴일 08:00-21:00
커피빈|수원인계DT점|031-898-8818|경기도 수원시 팔달구 인계로79 (인계동)|주차가능;드라이브스루;WIFI|월-금 07:00~21:00 I 토-일 07:00~21:00
커피빈|동탄능동DT점|031-267-4182|경기도 화성시 능동 453-4,453-8,454-1 소재 건물(1~3층)|주차가능;드라이브스루;WIFI|매일 07:00~21:00
커피빈|성균관대 자연과학캠퍼스점|031-278-7640|경기 수원시 장안구 서부로 2066, 성균관대 자연과학 캠퍼스 N센터 1층|주차가능;WIFI|월-금 07:00~21:00 ; 토 09:00~17:00 ; 일/공휴일 휴점
커피빈|서수원이마트점|031-278-6593|경기도 수원시 권선구 수인로 291(구운동), 이마트 서수원점 1층|주차가능;WIFI|월-일 10:30~20:30;매월 2주,4주 일요일 정기 휴무 
커피빈|성남신흥점|031-759-6675|경기도 성남시 수정구 수정로 190 (신흥동)|WIFI;흡연가능|평일 07:30-21:00 I 주말/공휴일 08:00-21:00
커피빈|수원송죽DT점|031-248-6086|경기도 수원시 장안구 경수대로 989|주차가능;드라이브스루;WIFI;흡연가능|매일 07:00-23:00
커피빈|평택소사점|031-692-2405|경기도 평택시 평남로 862, 로이드빌딩 1층|주차가능;WIFI|평일 10:00~21:00 I 주말 09:00~21:00
커피빈|화정중앙공원점|031-979-9402|경기도 고양시 덕양구 화신로260번길 26 동민프라자 1층 103~107호|WIFI|매일 08:30~21:00; 
커피빈|산본역점|031-399-8812|경기도 군포시 광정로58 1층 104호 및 2층|WIFI|월-금 08:00~21:00 I 토-일 09:00~21:00
커피빈|파주운정홈플러스점|031-949-1408|경기도 파주시 청암로 17번길 17 1층|주차가능;WIFI|평일 10:00~21:00;주말 10:00~21:00;공휴일 10:00~21:00 (둘째, 넷째 수요일 휴무) ; 임시영업시간  
커피빈|수지동천점|031-896-9044|경기 용인시 수지구 손곡로 95 송란빌딩 1층|WIFI|평일/주말 08:00~21:00
커피빈|수원망포역점|031-273-8751|경기도 수원시 영통구 영통로 214번길 8 1층|주차가능;WIFI|평일 07:00~21:00 I 주말/공휴일 07:00~21:00
커피빈|분당정자점|031-786-1906|경기도 성남시 분당구 정자일로 227(정자동) 백궁지엔느주차전용빌딩 1층|WIFI|평일/주말/공휴일 08:00-21:00
커피빈|범계역로데오점|031-476-9082|경기도 안양시 동안구 평촌대로 223번길 41(호계동 1045-9) 2층|WIFI;흡연가능|월-금 09:00~21:00 I 토/일/공휴일 09:00~21:00
커피빈|이천하이닉스점|031-8094-7013|경기 이천시 부발읍 하이닉스반도체|WIFI|평일 06:30~23:00 ; 토 09:00~19:00 ; 일 09:00~19:00 ; 공휴일 휴무
커피빈|광교아브뉴프랑점|031-216-9308|경기도 수원시 영통구 이의동 1332 광교아브뉴프랑 1층 A122,123호 |주차가능;WIFI|매일 09:00~21:00
커피빈|현대프리미엄아울렛김포점|031-8048-2618|경기 김포시 고촌읍 전호리 654번지 현대프리미엄아울렛김포3층 618호|주차가능;WIFI|매일 10:00~21:00 
커피빈|남양연구소PT동점|031-355-1346|경기도 화성시 장덕동 현대연구소로150 현대자동차남양연구소 PT동 1층|주차가능|월-목 07:00~18:30; 금 07:00~18:00 I 주말/공휴일 휴무
커피빈|남양연구소C1식당점|031-357-8172|경기 화성시 장덕동 현대연구소로150 현대자동차남양연구소 C1구역식당1F|주차가능|월-목요일 7:00~18:30 ; 금요일 7:00~18:00 ; 토-일/공휴일 휴점
커피빈|일산원마운트점|031-961-6520|경기도 고양시 일산서구 한류월드로 300 원마운트스포츠몰 1층|주차가능;WIFI|월-금 10:00~21:00 ; 토요일 11:00~21:00 ; 일/공휴일 11:00~21:00 ;
커피빈|판교아브뉴프랑점|031-8016-8131|경기도 성남시 분당구 동판교로177번길 25|주차가능;WIFI|평일 07:00-21:00 l주말/공휴일 09:00-21:00
커피빈|수원인계점|031-233-5631|경기도 수원시 팔달구 권광로 195 학산빌딩1층 |주차가능;WIFI;흡연가능|월-금 08:00~21:00 ; 주말/공휴일 08:00~21:00
커피빈|현대자동차남양연구소점|031-357-8103 |경기도 화성시 장덕동 현대연구소로150 현대자동차남양연구소 설계1동1F|주차가능|평일 : 06:30 ~ 18:30 / 주말(공휴일) : 휴무
커피빈|동탄라마다호텔점|031-8003-8374|경기도 화성시 노작로 199 동탄라마다호텔107호~111호|주차가능;WIFI|월-금 08:00~21:00 I 주말 08:00~21:00
커피빈|분당수내점|031-713-9937|경기도 성남시 분당구 황새울로 214번길8 MSPlaza내1층|주차가능;WIFI;흡연가능|매일 8:00~21:00 
커피빈|분당차병원점|031-781-0471|경기도 성남시 분당구 야탑로65번길 16, 분당차병원 신관동 1층 101호(야탑동)|WIFI|평일 07:00~21:00;토 07:30~21:00｜일/공휴일 09:00~21:00
커피빈|분당플라자점|031-705-3188|경기도 성남시 분당구 황새울로 326 서현빌딩상가내2층|주차가능;WIFI;흡연가능|평일 08:00-21:00 I 주말/공휴일 09:00-21:00
커피빈|분당서현점|031-705-8926|경기도 성남시 분당구 분당로53번길 11 1층2,3호|주차가능;WIFI;흡연가능|평일 07:00-21:00 l 주말 /공휴일 09:00-21:00
커피빈|일산웨스턴돔1호점|031-931-5573|경기도 고양시 일산동구 정발산로 24 I동103~203호|주차가능;WIFI;흡연가능|월-금 08:00~21:00 ; 토요일 9:00~21:00 ; 일/공휴일09:00~21:00 
커피빈|일산라페스타점|031-907-2326|경기도 고양시 일산동구 장항동 764 라페스타C동|주차가능;WIFI|월-금 11:00~21:00 ; 토요일 12:00~21:00 ; 일/공휴일 12:00~21:00
커피빈|창원시티세븐점|055-600-5361|경상남도 창원시 성산구 원이대로 320, 더시티세븐S-105호(대원동)|주차가능;WIFI|평일/주말 08:30~21:00
커피빈|창원상남동점|055-211-0737|경남 창원시 성산구 중앙대로 104 마이우스오피스텔 123호 207호|주차가능;WIFI;흡연가능|평일/주말 09:00 ~ 21:00
커피빈|경주미탐시티점|054-777-5982|경상북도 경주시 엑스포로80(천군동)1층|주차가능;WIFI|월-목 09:00~20:00;금~일 09:00~21:00 
커피빈|포항영일대점|054-241-3372|경상북도 포항시 북구 삼호로265번길1 NB-City복합시설1층104호|주차가능;WIFI|매일 09:00~21:00
커피빈|광주봉선점|062-671-3371|광주광역시 남구 봉선로 168|주차가능;WIFI|평일/주말 08:00~21:00
커피빈|광주문화전당역점|062-236-6591|광주광역시 동구 서남동 서석로 44 1층 ~ 2층|WIFI;흡연가능| 평일/주말 09:00~21:00
커피빈|광주상무역점|062-385-8371|광주 서구 상무중앙로 9, 동양빌딩 1F|주차가능;WIFI;흡연가능| 평일 07:30~21:00 ;주말 09:00~21:00
커피빈|대구228공원앞점| 053-421-7436| 대구광역시 중구 동성로3길 106|WIFI;흡연가능|평일&주말 08:30~21:00 
커피빈|대전탄방동점|042-471-9805|대전시 서구 문정로76 1층|주차가능;WIFI;흡연가능| 평일/주말 08:30~21:00
커피빈|부산중앙역점|051-466-8856|부산광역시 중구 중앙대로 102 팬오션빌딩 1F|주차가능;WIFI;흡연가능|월-금 07:30~21:00 ; 토 08:30~20:00  ;  일/공휴일 08:30~16:30
커피빈|부산화명수정역점|051-361-3370|부산광역시 북구 학사로 8  (화명동 2312), 크리스탈타워 2층 201~202호|주차가능;WIFI|월-일 08:30~21:00
커피빈|부산남포역점|051-246-6284|부산 중구 해관로 1 희남빌딩 1층|WIFI;흡연가능|평일/주말 : 08:30~21:00 
커피빈|해운대센텀호텔점|051-743-5088|부산 해운대구 센텀3로 20 해운대센텀호텔 1F 101호|주차가능;WIFI|평일&주말 08:00~21:00
커피빈|부산서면점|051-802-4282|부산 부산진구 서면로 62-1 에이스메디컬타워 1F|WIFI|평일 08:00~21:00 ;주말 08:30~21:00 
커피빈|부산서면서전로점|051-819-8708|부산광역시 부산진구 서전로 12, 1층|WIFI|평일 09:00~21:00  주말 10:00~21:00
커피빈|부산수영역점|051-759-9046|부산광역시 수영구 수영로 667 1층|WIFI|평일 08:30~21:00 주말 09:00~21:00
커피빈|해운대점|051-746-8214|부산시 해운대구 해운대 해변로277 다옴빌딩1층|WIFI|월-금 08:30~21:00  토-일 08:00~21:00
