##NAME|SUBNAME|TELNUM|ADDR|FEAT@@드롭탑
카페드롭탑|강릉안목해변점||강원 강릉시 견소동 1층|신규매장;무선인터넷가능
카페드롭탑|보성율포점|061-852-3535|전남 보성군 율포리  469-7|신규매장;주차가능
카페드롭탑|용인역북점||경기 용인시 처인구 역북동 510-3, 107|신규매장;주차가능;무선인터넷가능
카페드롭탑|대구이시아점|053-981-3388|대구 동구 봉무동 메가맥스타워 1층|신규매장;주차가능;무선인터넷가능
카페드롭탑|서전주CGV||전북 전주시 완산구 효자동3가M-SQUARE 6층|신규매장;주차가능;무선인터넷가능;극장
카페드롭탑|전남구례점||전남 구례군 봉남리 222-3|신규매장;무선인터넷가능
카페드롭탑|홈플러스대구동촌점|053-981-1217|대구 동구 검사동홈플러스 홈플러스 지하2층|신규매장;주차가능;무선인터넷가능
카페드롭탑|대전신성점|042-863-8744|대전 유성구 신성동 카페드롭탑|신규매장;주차가능;무선인터넷가능;싱글오리진 판매매장
카페드롭탑|전주혁신도시점|063-222-7483|전북 전주시 덕진구 중동 783-1|신규매장;주차가능;무선인터넷가능
카페드롭탑|전남대의대점|062-227-3535|광주 동구 학동 5 전남대학교 학동캠퍼스 제3학생회관 카페 드롭탑|신규매장;무선인터넷가능;지하철근접
카페드롭탑|부산연산역점|051-987-7495|부산 연제구 연산동 729-14 2층|신규매장;무선인터넷가능;흡연시설 보유;지하철근접
카페드롭탑|포항대잠점|070-7704-7788|경북 포항시 남구 대잠동 938 코아루타워오피스텔 상가 106호|운영중;무선인터넷가능;싱글오리진 판매매장
카페드롭탑|세종로점||서울 종로구 세종로 80-1|운영중;지하철근접
카페드롭탑|광주패밀리랜드점|062-607-8000|광주 북구 생용동 649 광주 패밀리랜드|운영중;주차가능;무선인터넷가능;리조트
카페드롭탑|홈플러스동대전점|042-626-0890|대전 동구 용전동 65-1 홈플러스동대전점 2층|운영중;주차가능;무선인터넷가능
카페드롭탑|대구/두산위브더제니스점||대구 수성구 범어동 179, 301동 B303호|운영중;주차가능;무선인터넷가능;싱글오리진 판매매장
카페드롭탑|대구/메가맥스타워점|053-985-1199|대구 동구 봉무동 1548 메가맥스타워 2층|운영중;주차가능;무선인터넷가능;싱글오리진 판매매장
카페드롭탑|대구병원점||대구 북구 학정동 533|운영중;주차가능;무선인터넷가능
