##NAME|SUBNAME|ID|TELNUM|NEWADDR|OT@@이디야
이디야|강릉CGV점|1365|033-647-2345|강원 강릉시 경강로 2120 (옥천동)|평일 운영시간 : 08:00 ~ 23:00;주말 및 공휴일 : 08:30 ~ 23:30
이디야|강릉교동택지점|1766|033-655-5529|강원 강릉시 솔올로 39 (교동)|평일 운영시간 : 08:00 ~ 01:00월~목, 일 : 08:00 ~ 01:00금,토 : 08:00 ~ 02:00
이디야|강릉내곡점|2375|033-641-8753|강원 강릉시 범일로 601 (내곡동)|평일 운영시간 : 09:00 ~ 23:00;주말 및 공휴일에는 변경될 수 있습니다.
이디야|강릉사천점|2861|033-644-2531|강원 강릉시 사천면 진리해변길 68-14 (사천진리) 1층 이디야 커피|평일 운영시간 : 09:00 ~ 21:00;주말 및 공휴일 : 09:00 ~ 21:00
이디야|강릉역점|2849|033-644-2044|강원 강릉시 용지로 174-6 (교동) 1층 이디야 커피|평일 운영시간 : 07:00 ~ 22:00;주말 및 공휴일에는 변경될 수 있습니다.
이디야|강릉옥천점|2309|033-642-8211|강원 강릉시 옥천로 62 (옥천동)|평일 운영시간 : 09:00 ~ 23:00;주말 및 공휴일에는 변경될 수 있습니다.
이디야|강릉올림픽선수촌점|2225|033-531-3500|강원 강릉시 선수촌로 79-15 (홍제동)|평일 운영시간 : 08:00 ~ 23:00;주말 및 공휴일에는 변경될 수 있습니다.
이디야|강릉입암점|2583|033-645-9716|강원 강릉시 강변로410번길 41 (입암동) 1층 이디야커피|평일 운영시간 : 09:00 ~ 22:00;주말 및 공휴일에는 변경될 수 있습니다.
이디야|강릉중앙점|1267|033-646-5133|강원 강릉시 금성로 58 (금학동)|평일 운영시간 : 09:00 ~ 23:00;주말 및 공휴일에는 변경될 수 있습니다.
이디야|강릉포남점|1820|033-653-0423|강원 강릉시 하평1길 16-5 (포남동)|평일 운영시간 : 08:00 ~ 00:00;주말 및 공휴일에는 변경될 수 있습니다.
이디야|세인트존스경포호텔점|2703|033-652-7223|강원 강릉시 창해로 307 (강문동, 세인트존스 호텔) 이디야커피|평일 운영시간 : 09:00 ~ 22:30;주말 및 공휴일 : 08:30 ~ 23:00
이디야|정동진역점|2955|033-645-0804|강원 강릉시 강동면 정동역길 13 (정동진리) 이디야커피|평일 운영시간 : 07:00 ~ 07:00;주말 및 공휴일에는 변경될 수 있습니다.
이디야|주문진점|2758|033-662-4230|강원 강릉시 주문진읍 항구로 50 (주문리) 이디야커피 주문진점|평일 운영시간 : 09:00 ~ 22:00;주말 및 공휴일 : 09:00 ~ 22:00
이디야|고성경동대점|1866|033-638-6971|강원 고성군 토성면 봉포4길 18 (봉포리)|평일 운영시간 : 08:30 ~ 21:45;주말 및 공휴일 : 08:30 ~ 21:45
이디야|동해무릉계곡점|2558|033-532-2231|강원 동해시 삼화로 510 (삼화동) 1층 이디야커피|평일 운영시간 : 09:00 ~ 18:00;주말 및 공휴일에는 변경될 수 있습니다.점심식사시간에는 주문이 불가능할 수 있습니다.
이디야|동해쇄운점|1428|033-532-0940|강원 동해시 청운1길 49 (쇄운동)|평일 운영시간 : 09:00 ~ 23:00;주말 및 공휴일 : 09:00 ~ 23:00
이디야|동해천곡동점|2296||강원 동해시 한섬로 112 (천곡동)|평일 운영시간 : 10:00 ~ 23:30;주말 및 공휴일에는 변경될 수 있습니다.
이디야|삼척교동점|2365|033-575-2815|강원 삼척시 청석로 59 (교동)|평일 운영시간 : 09:00 ~ 23:00;주말 및 공휴일에는 변경될 수 있습니다.
이디야|삼척중앙점|2659|033-572-2833|강원 삼척시 대학로 30-1 (남양동, 나성미용실) 이디야커피 삼척중앙점|평일 운영시간 : 09:00 ~ 23:00;주말 및 공휴일에는 변경될 수 있습니다.
이디야|속초교동점|1900|033-636-5578|강원 속초시 중앙로 44 (교동)|평일 운영시간 : 09:00 ~ 22:00;주말 및 공휴일 : 09:00 ~ 22:00
이디야|속초대포항점|2517|033-631-6164|강원 속초시 동해대로 3741 (대포동) 1층, 2층|평일 운영시간 : 09:00 ~ 23:00일요일: 09:00 ~ 23:00
이디야|속초엑스포점|2468|02-728-1546|강원 속초시 엑스포로 45 (조양동) 1층 이디야커피 속초엑스포점|평일 운영시간 : 09:00 ~ 23:00;주말 및 공휴일 : 09:00 ~ 23:00
이디야|속초장사항점|2572|033-631-7999|강원 속초시 장사항해안길 51 (장사동)|평일 운영시간 : 10:00 ~ 22:00;주말 및 공휴일에는 변경될 수 있습니다.
