##NAME|SUBNAME|TELNUM|NEWADDR|ADDR|OT|PARKING@@투썸플레이스
투썸플레이스|평내호평점|031-522-6725|경기도 남양주시 경춘로 1329 (평내동) 1층|경기 남양주시 평내동 121-1 1층|08:30~23:00|주차가능
투썸플레이스|노원구청점|02-6959-1880|서울특별시 노원구 노해로 449 (상계동,덕화빌딩) 1~2층|서울 노원구 상계동 705-1 덕화빌딩 1층|펑일 07:00~23:00 / 주말 08:00~23:00|주차불가
투썸플레이스|남양주덕소점|031-577-4447|경기도 남양주시 와부읍 월문천로 115 (덕소리,비어하우제) 1층|경기 남양주시 와부읍 95-32|08:30-23:00|주차가능
투썸플레이스|종암점|02-2038-7699|서울특별시 성북구 종암로 103 (종암동) 1층,2층|서울 성북구 종암동 87-6 1,2층|07:00~23:00|주차불가
투썸플레이스|서초구청점|02-6956-7129|서울특별시 서초구 서운로 7 (서초동) 1층|서울 서초구 서초동 1355-19|평일 08:00~22:00 / 주말 09:00~21:30|주차가능
투썸플레이스|구미봉곡점|054-451-1113|경상북도 구미시 봉곡북로 69 (봉곡동) 1층|경북 구미시 봉곡동 167-5|평일 09:00~23:00 / 주말 10:00~23:00|주차가능
투썸플레이스|장안동사거리점|02-2212-9027|서울특별시 동대문구 답십리로 273 (장안동,한양빌딩) 1층|서울 동대문구 장안동 307-6|평일 08:00~23:00|주차가능
투썸플레이스|부산구서SK점|051-582-8882|부산광역시 금정구 수림로72번길 104 (구서동) 1층~2층|부산 금정구 구서동 472-1|08:00~23:00|4대 가능
투썸플레이스|광주하남3지구점|062-959-8300|광주광역시 광산구 하남동 978|광주 광산구 하남동 978|09:00~23:00|주차가능
투썸플레이스|이천마장점|031-637-9008|경기도 이천시 마장면 오천로 55 (오천리) 1층|경기 이천시 마장면 56-74 1층, 2층|09:00~22:00|건물 내 가능
투썸플레이스|인천계산역점|032-544-3028|인천광역시 계양구 경명대로 1074 (계산동,삼환1빌딩) 101호|인천 계양구 계산동 945-3 삼환빌딩 101호|08:00~23:30|주차불가
투썸플레이스|부산중동점|051-714-5510|부산광역시 해운대구 해운대로 743 (중동,정우빌딩) 1팀|부산 해운대구 중동 1759|월-금 07:00~23:30 / 토,일 09:00~23:30|불가 (인접 공영주차장 이용가능)
투썸플레이스|부산더블유스퀘어점|051-627-7008|부산광역시 남구 분포로 145 (용호동,더블유) 더블유스퀘어 1037~1040호|부산 남구 용호동 954 더블유스퀘어 1037~1040호|08:00~22:00|주차가능
투썸플레이스|인천제물포역점|032-872-4637|인천광역시 미추홀구 경인로 154|인천 미추홀구 숭의동 1-5|09:00~23:00|주차불가
투썸플레이스|창원대산점|055-253-2227|경상남도 창원시 의창구 대산면 진산대로355번길 14-16 (제동리) 1층|경상남도 창원시 의창구 대산면 275-25 1층|08:00 ~ 23:00|주차가능
