INPUTNAME|ID|NAME|OLDADDR|NEWADDR|TELL|CAT|XCORD|YCORD|URL
경기도 용인시기흥구 구갈로72번길 31, 강릉짬뽕순두부 용인점|1384863943|강릉동화가든짬뽕순두부 용인점|경기도 용인시 기흥구 구갈동 357-5 레몬프라자 1층|경기도 용인시 기흥구 구갈로72번길 31 레몬프라자 1층|031-282-3661|['한식', '두부요리']|
경기도 용인시기흥구 용구대로 1998, 강릉짬뽕순두부 용인점|찾을수없음||||||
강원도 강릉시 금성로12번길 8, 강릉커피콩빵 중앙시장점|찾을수없음||||||
강원도 강릉시 금성로13번길 19, 강릉커피콩빵 중앙시장점|1555394981|강릉커피콩빵 중앙시장점|강원도 강릉시 성남동 51-107|강원도 강릉시 금성로13번길 19|033-645-3003|['카페,디저트', '베이커리']|https://coffeebeanbread9.modoo.at
경기도 시흥시 동서로 706-50, 강릉해변메밀막국수 시흥점|18241882|강릉해변메밀막국수 시흥점|경기도 시흥시 물왕동 359-4|경기도 시흥시 동서로 706-50|031-318-8780|['한식', '막국수']|
경기도 시흥시 동서로 679, 강릉해변메밀막국수 시흥점|찾을수없음||||||
경기도 안성시 도라지길 25, 강릉해변메밀막국수 안성점|찾을수없음||||||
경기도 안성시 서동대로 5878, 강릉해변메밀막국수 안성점|1344636386|강릉해변메밀막국수 안성점|경기도 안성시 보개면 상삼리 209-11|경기도 안성시 보개면 서동대로 5878|031-672-0225|['한식', '막국수']|http://blog.naver.com/caoxiangnan
경기도 용인시기흥구 용구대로 2457, 강성은명과 본점|찾을수없음||||||
서울특별시 서초구 신반포로 176, 강성은명과 본점|찾을수없음||||||
서울특별시 중구 남대문로 81, 강성은명과 본점|찾을수없음||||||
대구광역시 북구 태평로 161, 강성은명과 본점|찾을수없음||||||
대구광역시 동구 동부로 149, 강성은명과 본점|찾을수없음||||||
경기도 고양시일산서구 호수로 817, 강성은명과 본점|찾을수없음||||||
서울특별시 영등포구 영중로 9, 강성은명과 본점|찾을수없음||||||
서울특별시 중구 소공로 63, 강성은명과 본점|찾을수없음||||||
서울특별시 서대문구 신촌로 83, 강성은명과 본점|찾을수없음||||||
경기도 의정부시 평화로 525, 강성은명과 본점|찾을수없음||||||
경상북도 포항시북구 삼흥로18번길 3, 강우동 장성점|찾을수없음||||||
경상북도 포항시북구 법원로8번길 5, 강우동 장성점|1513691883|강우동 장성점|경상북도 포항시 북구 장성동 1460-5|경상북도 포항시 북구 법원로8번길 5|054-256-6962|['분식', '종합분식']|
