bztypName|pobsAfstrName|pobsBaseAddr|pobsDtlAddr|pobsGnrlTelno
프랜차이즈|( 주)드라이빙존 운전면허 강남시험장점|서울특별시 강남구 테헤란로114길 20(대치동)|행복빌딩 1층 105호|025657783
레스토랑|( 주)스페인클럽|서울특별시 강남구 압구정로10길 26 (신사동)|1층|025151118
유료직업소개소|(A)닥터맘강남서초|서울특별시 강남구 논현로72길 33 (역삼동)|305호|0231416999
기타 교육지원 서비스업|(A+)다산케어센터본점|서울특별시 강남구 테헤란로64길 13 (대치동, 선릉역 풍림아이원레몬)|제1108A호|-
개인 간병 및 유사 서비스업|(A+)에이플러스 산모케어 강남서초|서울특별시 강남구 테헤란로 327 (역삼동)|4층 415호|025673447
산후관리|(A+)에이플러스산모케어강남서초|서울특별시 강남구 테헤란로 327 (역삼동)|4층 415호 (빅토리아빌딩)|-
카페|(CAFE FOR REST)까페포레스트|서울특별시 강남구 일원로9길68|1층|0260820273
체형 등 기타 신체 관리 서비스업|(CS)수기 테라피|서울특별시 강남구 학동로 219 (논현동)|2층|-
일반교과학원|(GLMA)글로벌인생만남논술교습소|서울특별시 강남구 일원로5길 71 (일원동)|1층|025576622
당구교습,당구용품|(KOREA)당구학교|서울특별시 강남구 학동로4길 18 (논현동)|1층|-
대관업|(TOP)인터넷살사동호회|서울특별시 강남구 압구정로 224 (신사동)|우미빌딩 지하6호|025187767
커피 전문점|(cafe)모퉁이|서울특별시 강남구 봉은사로 129-1, 지하1층 3호 (논현동, 751빌딩)|(cafe)모퉁이|020000000
문서 작성업|(가)가스인|서울특별시 강남구 남부순환로 3183 3층|(가)가스인|0200000000
서점|(문화 비용) 영풍문고 강남포스코점|서울특별시 강남구 테헤란로 440(대치동)|(문화 비용) 영풍문고 강남포스코점|15449020
서점|(문화비) 영풍문고 강남역점|서울특별시 강남구 강남대로 408 YBM어학센터 건물 (서적,문구)|상가 (빌딩) 內 영풍문고|15449020
백화점|(문화비) 한무쇼핑|서울 강남구 테헤란로|517-0|025522233
백화점|(문화비) 현대백화점 본점|서울 강남구 압구정로|165-0|025472233
서적, 잡지 및 신문 도매업|(문화비)예스이십사 강남점|서울특별시 강남구 강남대로 422|지하 2층  (역삼동, 씨티빌딩)|15664295
옥외광고물 안전도검사|(사)서울특별시옥외광고협회강남구지부|서울특별시 강남구 선릉로 665 (논현동)|502호|025411757
커피 전문점|(사회복지) 대한사회복지회|서울특별시 강남구 논현로86길 21(역삼동)|1층|025521017
개인맞춤한복|(유)반가의|서울특별시 강남구 삼성로126길 6 (삼성동)|보고재빌딩 4층, 5층|025110438
일반음식|(유)울프강스테이크하우스코리아|서울특별시 강남구 선릉로152길 21 (청담동)|지하1,2층|025568700
커피숍, 와인바|(유노시엘)EUNOSIERE|서울특별시 강남구 학동로77길 50(청담동)|102호|-
서점|(일반 비용) 영풍문고 강남포스코점|서울특별시 서초구 서초대로 144|(일반 비용) 영풍문고 강남포스코점|15449020
백화점|(일반) 롯데백화점 강남점|서울특별시 강남구 도곡로 401(대치동)|(일반) 롯데쇼핑㈜강남점|027712500
서점|(일반) 영풍문고 강남역점|서울특별시 강남구 강남대로 408 YBM어학센터 건물 (서적,문구)|상가 (빌딩) 內 영풍문고|15449020
백화점|(일반) 한무쇼핑|서울 강남구 테헤란로|517|025522233
백화점|(일반) 현대백화점 본점|서울 강남구 압구정로|165|025472233
식잡,연초,노역,광고,식품잡화,도서판매,주류판매,자|(일반)코레일  선릉역맞이방분식점(마성떡볶이)|서울특별시 강남구 테헤란로 지하340(삼성동)|선릉역 역구내|07070927971
식잡,연초,노역,광고,식품잡화,도서판매,주류판매,자|(일반)코레일 수서지하3층(단기)의류패션점(쌈지마켓)|서울특별시 강남구 광평로 지하270(수서동) 수서역|역구내|07070927971
식잡,연초,노역,광고,식품잡화,도서판매,주류판매,자|(일반)코레일유통 선릉B1맞이방매점전문점일반전문점|서울특별시 강남구 삼성동 172-66 선릉역|역구내|07070927971
식잡,연초,노역,광고,식품잡화,도서판매,주류판매,자|(일반)코레일유통 선릉맞이(단기)화훼점(플랜트닷컴)|서울특별시 강남구 삼성동 172-66 선릉역|역구내|07070927036
식잡,연초,노역,광고,식품잡화,도서판매,주류판매,자|(일반)코레일유통 선릉맞이방(단기)화훼점(플랜트닷컴)|서울특별시 강남구 삼성동 172-66 선릉역|역구내|07070927971
식잡,연초,노역,광고,식품잡화,도서판매,주류판매,자|(일반)코레일유통 선릉맞이방(단기)화훼점(플랜트닷컴)|서울특별시 강남구 삼성동 172-66 선릉역|역구내|07070927971
식잡,연초,노역,광고,식품잡화,도서판매,주류판매,자|(일반)코레일유통 선릉맞이방(단기)화훼점(플랜트닷컴)|서울특별시 강남구 삼성동 172-66 선릉역|역구내|07070927971
식잡,연초,노역,광고,식품잡화,도서판매,주류판매,자|(일반)코레일유통 선릉맞이방커피점(후식)|서을특별시 강남구 테헤란로 지하340(삼성동) 선릉역|역구내|07070927971
식잡,연초,노역,광고,식품잡화,도서판매,주류판매,자|(일반)코레일유통 선릉맞이방커피점(후식)_2|서울특별시 강남구 테헤란로 지하340(삼성동)|선릉역 역구내|07070927971
식잡,연초,노역,광고,식품잡화,도서판매,주류판매,자|(일반)코레일유통 수서맞이(단기_어버이날)화훼(엘리스가든)|서울특별시 강남구 광평로 지하270(수서동) 수서역|역구내|07070927036
식잡,연초,노역,광고,식품잡화,도서판매,주류판매,자|(일반)코레일유통 압구정로데오맞이종합제과(브타이거)|서울특별시 강남구 압구정로 지하 402(압구정동) 압구정로데오역|역구내|07070927036
식잡,연초,노역,광고,식품잡화,도서판매,주류판매,자|(일반)코레일유통 압구정로데오역맞이간편식(치&강)|서울특별시 강남구 압구정로 지하 402(압구정동)|역구내|07070927971
서적, 용품, 휴게음식점|(재) 성바오로 수도회|서울특별시 강남구 학동로 116|1층|0222786607
휴게음식점|(재)아름다운커피세정점|서울시 강남구 삼성로 342(대치동)|지상1층 (재)아름다운커피세정점|-
광고, 홍보 대행업|(주) 18포인트|서울특별시 강남구 테헤란로70길 14-10 (대치동)|3층 O호|0269596333
한식|(주) 곱|서울특별시 강남구 역삼로3길 12 (역삼동)|1~2층|025387592
전자상거래|(주) 공육사|서울특별시 강남구 도산대로33길 20(신사동)|204호|025400644
신발 제조업,기능성신발,잡화,수출입업,기타통신판매|(주) 노이타보니|서울특별시 강남구 선릉로125길 5(논현동)|1층 수영빌딩|18997797
화술교육|(주) 라온제나스피치커뮤니케이션|서울특별시 강남구 도산대로 132 (논현동)|4층 라온제나 스피치|025663780
채식(비건)식품|(주) 러빙헛|서울특별시 강남구 개포로22길 35 (개포동)|1층|025762158
화장품 식품 유지 건강보조식품|(주) 맑은마음|서울특별시 강남구 봉은사로 471 (삼성동)|301호 (삼성동 힐스테이트2단지 상가동)|025432733
서양음식점업|(주) 미즈컨테이너이스트|서울특별시 강남구 강남대로102길 13-3 (역삼동)|(역삼동)|0708885519
경양식|(주) 베라짜노|서울특별시 강남구 도산대로57길 13-2 (청담동)|베라짜노|025984811
실내 암벽 센터|(주) 비블럭컴퍼니|서울특별시 강남구 논현로 563 (역삼동)|지하1층 비블럭|025475838
경영 컨설팅업|(주) 빅핸드에프앤비시스템_올더밥|서울특별시 강남구 논현로95길 24 (역삼동)|1층|-
종합 보습 논술학원 진학지도 상담|(주) 세정학원|서울특별시 강남구 도곡로77길 7 (대치동)|금강빌딩3,4층|025670606
그 외 기타 분류 안된 오락관련 서비스업|(주) 스트로크플레이/ 가로수점 레인지엑스|서울특별시 강남구 압구정로 110 화인빌딩 B1|(주) 스트로크플레이/ 가로수점 레인지엑스|020000000
안경|(주) 시원아이웨어|서울특별시 강남구 테헤란로38길 46(역삼동)|성보빌딩 4층|025656940
광고 대행업|(주) 아트컨티뉴|서울특별시 강남구 테헤란로13길 30(역삼동)|지상1층-지상3층|18006150
커피전문점 생두 무역 커피교육|(주) 에이쓰리바우트커피|서울특별시 강남구 강남대로154길 19 (신사동)|지층|027040701
주류잡화|(주) 와인나라 코엑스점|서울특별시 강남구 봉은사로 524 (삼성동)|지하 2층 C-14호(삼성동, 코엑스 인터콘티넨탈서울)|025589880
서양식 음식점업|(주) 우명에프엔씨|서울특별시 강남구 강남대로 412(역삼동)|지하1층|0200000000
건축사 외|(주) 유비건축사사무소|서울특별시 강남구 학동로33길 46 (논현동)|2층|025484144
한식업|(주) 이화옥|서울특별시 강남구 테헤란로83길 40(삼성동)|1층 이화옥|025655525
브랜드마케팅 및 라이센스|(주) 제이알로고스|서울특별시 강남구 강남대로156길 12 (신사동)|다복빌딩 4층|025125987
컴퓨터학원 서적|(주) 지아이티아카데미(강남아이티)|서울특별시 강남구 테헤란로 119(역삼동)|대호레포츠 8층 강남아이티아카데미학원|0269520717
가죽 및 모피 의복 소매업|(주) 진보제이씨|서울특별시 강남구 삼성로71길 38 (대치동)|(주) 진보제이씨|-
의류신발, 자전거, 오토바이,모자,가방|(주) 캐시 현수인터내셔날|서울특별시 강남구 도곡로 151 (역삼동)|1층상준빌딩  도곡 와이드앵글|025396211
경양식|(주) 캘리스코 사보텐 압구정역점|서울특별시 강남구 압구정로28길 22 (신사동)|1층 사보텐 압구정역점|025404510
양식|(주) 태그린 샤이바나 코엑스점|서울특별시 강남구 영동대로 513 (삼성동)|지하1층 108호 샤이바나 코엑스점|025554281
여행사업|(주) 플랜스|서울특별시 강남구 선릉로 604 303호|(주) 플랜스|020000000
응용 소프트웨어 개발 및 공급업|(주) 플레이코딩아카데미|서울특별시 강남구 선릉로64길 8, 7층 (대치동, 그랜드빌딩)|(주) 플레이코딩아카데미|0200000000
액세서리판매|(주) 피카소24명품관|서울특별시 강남구 강남대로84길 15(역삼동)|202호|16610201
영어학원|(주) 필립영어|서울특별시 강남구 선릉로62길 33 (대치동)|4층|0234540509
연예매니지먼트사업 및 에이젼시사업|(주)25비87|서울특별시 강남구 논현로159길 48-3 (신사동)|1층|0234432587
서양식 음식접엄, 기타 외국식 음식점업, 의류|(주)APO13|서울특별시 강남구 압구정로14길 30 (신사동)|벤시몽|025111376
미술학원|(주)강남씨앤씨미술학원|서울특별시 강남구 선릉로 311 (역삼동)|5층 (역삼동, 한티빌딩)|025542855
부동산중개및컨설팅|(주)강남오피스랜드햇빛부동산중개법인|서울특별시 강남구 봉은사로68길 57 (삼성동)|, 1층|025550150
건축관련기술서비스(건축사)|(주)강남종합건축사사무소|서울특별시 강남구 테헤란로8길 40 (역삼동)|알티넷빌딩 3층|025117424
헬스클럽|(주)강남투엑스휘트니스|서울특별시 강남구 선릉로131길 8|지하1-2층|025439811
한식일반|(주)강남한우정육식당|서울특별시 강남구 삼성로 546 (삼성동)|1층|025575955
슈퍼마켓|(주)강남홈유통|서울특별시 강남구 학동로20길 55|해림빌딩 지층|025185239
애완용품|(주)갤럭시펫|서울특별시 강남구 봉은사로104길 10 (삼성동)|1층 갤럭시펫|0269511120
헬스용품,골프연습장,헬스클럽|(주)건강과땀|서울특별시 강남구 광평로 281 (수서동)|B1 건강과땀휘트니스|0260049696
건축설계|(주)건축사사무소 제이비디|서울특별시 강남구 테헤란로83길 33 (삼성동)|B동 4층|025235893
건축설계,감리|(주)건축사사무소대흥스페이스|서울특별시 강남구 논현로153길 62 (신사동)|대흥빌딩301호(신사동)|025462240
건축설계|(주)건축사사무소플랜어스|서울특별시 강남구 자곡로 174-10 (자곡동)|217호|0226361140
건축관련기술서비스|(주)건축사사무소휴이언플러스|서울특별시 강남구 도곡로 194 (도곡동)|201호(도곡동,일양빌딩)|025745692
건축공사|(주)경북건설|서울특별시 강남구 선릉로 624 (삼성동)|1층|025110004
한식 일반 음식점업|(주)경희 고기준|서울특별시 강남구 도산대로75길 21 (청담동)|지하1층 고기준|0262045515
슈퍼마켓|(주)고객사랑마트|서울특별시 강남구 논현로10길 29 (개포동)|친환경유통센터 지하1층|025290222
한식 일반 음식점업|(주)고래불|서울특별시 강남구 논현로79길 62 (역삼동)|1,2층|025563677
주방용품 및 가정용 유리, 요업제품 소매업|(주)골드스푼|서울특별시 강남구 영동대로 602 (삼성동, 삼성동 미켈란 107)|6층 이48호|-
남성,여성용 예복|(주)골든폰테인클래식|서울특별시 강남구 선릉로158길 12 (청담동)|4층|025432368
직원 훈련기관|(주)공감기업교육연구소|서울특별시 강남구 선릉로 431 (역삼동)|1614호|-
한식|(주)광양본가|서울특별시 강남구 도곡로99길 16 (대치동)|1층|025658494
한식|(주)광양불고기본가|서울특별시 강남구 테헤란로 124 (역삼동)|1층|025558494
인테리어|(주)구룡기업|서울특별시 강남구 개포로 241 (개포동)|2층 선모빌딩|-
스포츠용품|(주)구일일스포츠플러스|서울특별시 강남구 논현로 616(논현동)|1층|15444615
건축자재|(주)구정마루논현|서울특별시 강남구 영동대로 738 (청담동)|10층 1008호|025476778
스포츠센터관리|(주)국제통합필라테스|서울특별시 강남구 테헤란로19길 38(역삼동)|국제통합필라테스협회|0269529607
그외 기타 플라스틱 제품 제조업|(주)굿즈메이커|서울특별시 강남구 논현로30길 38 (도곡동)|2층|07077996974
산후조리원|(주)궁바이오랩스|서울특별시 강남구 봉은사로111길 13 (삼성동)|1층 마당빌딩|025475047
학원|(주)그루샘수학보습학원|서울특별시 강남구 도곡로 451 (대치동)|한나빌딩 5층|025088441
학원|(주)그루샘수학보습학원|서울특별시 강남구 도곡로 451 (대치동)|한나빌딩 5층|025088441
보습학원(수학학원)|(주)그리핀에듀케이션|서울특별시 강남구 남부순환로 2936 (대치동)|504/505호|0220520678
전기, 소방, 정보통신공사|(주)금성전력기술|서울특별시 강남구 선릉로86길 37 (대치동)|덕우빌딩 401호|025685211
설계 감리|(주)기림건축사사무소|서울특별시 강남구 도곡로3길 25 (역삼동)|삼성애니텔1301호|025017310
