NAME|CAT|OLDADDR|NEWADDR|TELL|URL
본죽&본비빔밥 포항연일점 (2022년1월예정)|음식점/퓨전요리/퓨전한식/본죽&비빔밥cafe|경북 포항시 남구 연일읍 생지리 325-2 1층|경북 포항시 남구 연일읍 연일로159번길 12|054-277-6288|
e편한세상광진그랜드파크아파트 (2022년01월예정)|부동산/주거시설/아파트/|서울 광진구 구의동 632-3|서울 광진구 광나루로 458||
컴인워시 강남본점(2022년1월예정)|교통,수송/자동차/세차장/|서울 강남구 삼성동 119-11|서울 강남구 삼성로 569||https://www.comeinwash.com
성남소방서 (2022년1월예정)|사회,공공기관/행정기관/소방서/|경기 성남시 중원구 하대원동 2||02-720-0119|https://119.gg.go.kr/seongnam
청담스타빌딩 (2022년1월 예정)|부동산/빌딩//|서울 강남구 논현동 118-6|||
핑거캔디 (2022년1월1일오픈예정)|서비스,산업/식품/식품가공,제조/|경기 성남시 수정구 복정동 695-7 1층|경기 성남시 수정구 성남대로1416번길 20|031-756-3995|https://pf.kakao.com/_uTwMb
파트너짐 (2022년 1월 오픈예정)|스포츠,레저/스포츠시설/헬스클럽/|서울 강남구 신사동 570-12 지하 1층|서울 강남구 논현로167길 9||https://www.instagram.com/partnergym__official/
스시현 (2022년1월예정)|음식점/일식/초밥,롤/|경기 성남시 중원구 금광동 3126-1 1층|경기 성남시 중원구 광명로 357-1|031-745-9998|
미사강변스카이폴리스 지식산업센터 (2022년1월예정)|부동산/빌딩//|경기 하남시 망월동 834|경기 하남시 미사강변한강로 135||
정 (2022년1월예정)|음식점/일식/초밥,롤/|경기 성남시 중원구 상대원동 1125-3 1층|경기 성남시 중원구 박석로 2|031-735-8284|
신한은행 별내금융센터(2022년1월예정)|금융,보험/금융서비스/은행/신한은행|경기 남양주시 별내동 1006-3|경기 남양주시 별내중앙로 24|031-573-6053|https://www.shinhan.com
그루스터디카페 미사강변센터(2022년1월예정)|서비스,산업/전문대행/공간대여/스터디카페,스터디룸|경기 하남시 망월동 970-1 2층 208|경기 하남시 미사강변대로226번길 26|010-3128-8796|https://blog.naver.com/groostudy/
잇올 스파르타 분당 이매센터(2022년1월예정)|교육,학문/학습시설/독서실/|경기 성남시 분당구 이매동 97-5 오성빌딩 5층|경기 성남시 분당구 판교로 476|031-8023-9119|http://www.itall.com
아이에스비즈타워 (2022년1월예정)|부동산/빌딩//|경기 안양시 만안구 안양동 189|||
성남FC 클럽하우스(2022년1월예정)|스포츠,레저/축구//|경기 성남시 분당구 정자동 4-12|||
가양데시앙플렉스지식산업센터 (2022년1월예정)|부동산/빌딩//|서울 강서구 등촌동 14-7|||
태전 퍼스트센트힐 (2022년1월예정)|가정,생활/상가,아케이드//|경기 광주시 태전동 산 22-80|||
미래에코타워 (2022년1월예정)|부동산/빌딩//|서울 구로구 구로동 609-7|서울 구로구 경인로53길 32|02-6299-5454|http://jisan.creatorlink.net
삼덕교회 (2022년1월예정)|문화,예술/종교/기독교/교회|서울 구로구 고척동 241-41|서울 구로구 고척로33다길 31||
중랑창업지원센터 (2022년1월예정)|사회,공공기관/단체,협회//|서울 중랑구 신내동 821-2 신내 SK V1 center 6층|서울 중랑구 신내역로 111||
송정119안전센터 (2022년1월예정)|사회,공공기관/행정기관/소방서/119안전센터|경기 군포시 도마교동 487||031-479-8223|
소울트레이닝 (2022년 1월 예정)|스포츠,레저/스포츠시설/헬스클럽/|경기 성남시 분당구 백현동 534 지하1층|경기 성남시 분당구 분당내곡로 131||http://www.soultraining.co.kr
잇올 스파르타 목동센터 3관(2022년1월예정)|교육,학문/학원//|서울 양천구 신정동 995-2 재성빌딩 2층|서울 양천구 목동로 183|010-3387-1520|http://www.itall.com
복호두 광명점(2022년1월예정)|음식점/간식/제과,베이커리/|경기 광명시 소하동 1342-3 1층 105호|경기 광명시 소하로92번길 12||
롯데하이마트 옥정점(2022년1월예정)|가정,생활/전자제품/전자제품판매/하이마트|경기 양주시 고읍동 108|경기 양주시 고덕로 357|031-928-7382|http://pf.kakao.com/_xnxcxcjb
비허밍스터디카페 서울명지대점(2022년1월예정)|서비스,산업/전문대행/공간대여/스터디카페,스터디룸|서울 서대문구 홍은동 421-2 2층|서울 서대문구 명지대길 46|010-8224-3902|https://beraming.com/
서로교 (2022년1월 예정)|교통,수송/도로시설/교량,다리/|경기 안양시 만안구 안양동 250|||
가톨릭대학교 제2국제관(2022년1월예정)|교육,학문/학교부속시설//|경기 부천시 역곡동 산 43-1|||
