##NAME|SUBNAME|TELNUM|ADDR|WEBSITE|FEAT@@호텔야자
호텔야자|평택역점|0503-5052-0765|경기 평택시 평택동 294-5|https://www.yanolja.com/motel/1000099664|주차가능
호텔야자|하남시청점|031-792-0018|경기 하남시 신장동 524-13|https://www.yanolja.com/motel/3016074|주차가능
호텔야자|곤지암점|0503-5051-8343|경기 광주시 곤지암읍 곤지암리 220-4|https://www.yanolja.com/motel/3016066|주차가능
호텔야자|이천터미널점|0503-5051-5793|경기 이천시 창전동 464 -7|https://www.yanolja.com/places/3009669|주차가능
호텔야자|화정역점|0503-5050-3577|경기 고양시 덕양구 화정동 980-1|https://www.yanolja.com/places/3000350|
호텔야자|산본역점|0503-5051-4822|경기 군포시 산본동 1142-1 &#40;8층&#41;|https://www.yanolja.com/places/1020338|주차가능
호텔야자|위례점|0503-5051-5710|경기 성남시 수정구 창곡동 561-2 9층, 10층|https://www.yanolja.com/places/3009328|주차가능
호텔야자|용인터미널점|0503-5051-5304|경기 용인시 처인구 김량장동 104-1|https://www.yanolja.com/places/3002398|주차가능
호텔야자|수진역점|0503-5050-4075|경기 성남시 중원구 성남동 2223|http://www.yanolja.com/places/1020163|주차가능
호텔야자|시흥정왕점|0503-5051-4930|경기 시흥시 정왕동 1856-7|http://www.yanolja.com/places/3000110|주차가능
호텔야자|모란역점|0503-5051-4481|경기 성남시 중원구 성남동 3266|https://www.yanolja.com/places/1019456|
호텔야자|역곡역점|0503-5051-4331|경기 부천시 괴안동 113-11|https://www.yanolja.com/places/1019038|주차가능
호텔야자|구리수택점|0503-5050-2018|경기 구리시 수택동 378-10|https://www.yanolja.com/places/27896|주차가능
호텔야자|분당점|0503-5050-1731|경기 성남시 분당구 야탑동 355-3|https://www.yanolja.com/places/27227|주차가능
호텔야자|부천역점|0503-5050-1703|경기 부천시 심곡동 140-3|https://www.yanolja.com/places/27183|주차가능
호텔야자|안산중앙점|0503-5050-1320|경기 안산시 단원구 고잔동 539-16 4~5층|https://www.yanolja.com/places/26449|주차가능
호텔야자|의정부역점|0503-5050-1024|경기 의정부시 의정부동 499-3|http://www.yanolja.com/places/25805|주차가능
호텔야자|평촌역점|0503-5050-0912|경기 안양시 동안구 관양동 1603-3 5층|https://www.yanolja.com/places/25572|주차가능
호텔야자|수원시청점|0503-5050-0348|경기 수원시 권선구 권선동 1017-14|https://www.yanolja.com/places/24314|주차가능
