##NAME|SUBNAME|TELNUM|CAT|ADDR|NEWADDR|KATECX|KATECY@@24게스트하우스
24게스트하우스|서울시청점||숙박>기타숙박업|서울특별시 중구 태평로2가 366-1 오천빌딩 3층|서울특별시 중구 덕수궁길 7 펠리스빌딩 3층|309765|551886
24게스트하우스|명동에비뉴점|02-753-8700|숙박>게스트하우스|서울특별시 중구 북창동 134-1|서울특별시 중구 남대문로1길 6|309880|551511
24게스트하우스|인사동|02-734-0024|숙박>게스트하우스|서울특별시 종로구 관철동 7-5|서울특별시 종로구 삼일대로17길 8 4-5층|310733|552377
24게스트하우스|경복궁점|02-732-3000|숙박>게스트하우스|서울특별시 종로구 체부동 112-1|서울특별시 종로구 자하문로5가길 27-1|309252|553416
24게스트하우스|서울역점|02-754-8124|숙박>게스트하우스|서울특별시 용산구 동자동 35-125|서울특별시 용산구 후암로57길 41 알프스장여관|309551|550440
24게스트하우스|종로타워점|02-747-1002|숙박>게스트하우스|서울특별시 종로구 종로5가 118|서울특별시 종로구 종로31길 12-5|311872|552637
24게스트하우스|명동타운|02-776-0588|숙박>게스트하우스|서울특별시 중구 남창동 9-15 금오빌딩 10F|서울특별시 중구 퇴계로 61 금오빌딩|309977|551281
24게스트하우스|남산|02-774-1212|숙박>게스트하우스|서울특별시 중구 남산동2가 36-6|서울특별시 중구 소공로6길 29|310497|551197
24게스트하우스|명동시티점|02-2274-0024|숙박>게스트하우스|서울특별시 중구 수표동 56-14|서울특별시 중구 을지로9길 26|310860|552138
24게스트하우스|남산가든|02-778-7900|숙박>게스트하우스|서울특별시 중구 남산동2가 37-1|서울특별시 중구 퇴계로20나길 2-23|310535|551226
24게스트하우스|서울역/프리미어점|02-779-0117|숙박>게스트하우스|서울특별시 용산구 동자동 11-7|서울특별시 용산구 후암로 97-1|309602|550630
24게스트하우스|동대문점|02-2176-3659|숙박>게스트하우스|서울특별시 중구 을지로7가 58-1|서울특별시 중구 을지로 280-2 kika|312655|551934
24게스트하우스|동대문마켓|02-742-6200|숙박>게스트하우스|서울특별시 종로구 창신동 444-9 4,5층|서울특별시 종로구 종로46길 22 임진빌딩|312764|552511
24게스트하우스|신촌에비뉴||숙박>게스트하우스|서울특별시 서대문구 창천동 31-92|서울특별시 서대문구 명물길 19 경오빌딩|306342|551168
24게스트하우스|신촌점|02-334-0900|숙박>게스트하우스|서울특별시 마포구 노고산동 57-20|서울특별시 마포구 신촌로18길 9|306111|550844
24게스트하우스|신촌스타일점|02-332-5949|숙박>게스트하우스|서울특별시 서대문구 창천동 57-17|서울특별시 서대문구 연세로5나길 24|306091|551077
24게스트하우스|서울청량리점||숙박>게스트하우스|서울특별시 동대문구 휘경동 183-154|서울특별시 동대문구 회기로29길 18|317023|554716
24게스트하우스|잠실점|02-6949-1000|숙박>게스트하우스|서울특별시 송파구 삼전동 47|서울특별시 송파구 백제고분로22길 5|319686|544968
24게스트하우스|강남센터점|02-538-1177|숙박>게스트하우스|서울특별시 강남구 역삼동 626-29|서울특별시 강남구 봉은사로20길 52|314736|545083
24게스트하우스|여수점|061-666-4757|숙박>게스트하우스|전라남도 여수시 공화동 657|전라남도 여수시 공화남3길 19|376838|238845
24게스트하우스|순천|061-746-2700|숙박>게스트하우스|전라남도 순천시 조곡동 157-15|전라남도 순천시 역전광장3길 44|354500|260892
24게스트하우스|서면점||숙박>게스트하우스|부산광역시 부산진구 부전동 232-15|부산광역시 부산진구 신천대로62번길 46 3, 4층|496646|284290
24게스트하우스|해운대프리미어||숙박>게스트하우스|부산광역시 해운대구 중동 1394-37|부산광역시 해운대구 중동1로 22 2, ,3층|506044|285539
24게스트하우스|자갈치|051-231-6089|숙박>게스트하우스|부산광역시 중구 남포동6가 113-1|부산광역시 중구 구덕로 87-1 하버타워빌딩 5층|493777|278049
24게스트하우스|전주점|063-715-1616|숙박>게스트하우스|전라북도 전주시 완산구 중노송동 498-17|전라북도 전주시 완산구 현무3길 56|323423|358371
24게스트하우스|남포역점|051-257-7005|숙박>게스트하우스|부산광역시 중구 남포동1가 22-3|부산광역시 중구 구덕로 9-1|494521|278143
24게스트하우스|울산||숙박>게스트하우스|울산광역시 동구 방어동 375-10|울산광역시 동구 꽃바위로 323|529393|321659
24게스트하우스|객코스||숙박>펜션|제주특별자치도 서귀포시 색달동 2156-3|제주특별자치도 서귀포시 일주서로 968-8|251805|74822
