##NAME|TELNUM|NEWADDR|ID|ID2|TYPE|SIZE|SUBJ1|SUBJ2|SUBJ3|SUBJ4@@PACADEMY
강진IT컴퓨터학원|061-433-7687|전라남도 강진군 강진읍 평동리  176-5|2000006472|16|학교교과교습학원|2|기타(대)|컴퓨터(소)|컴퓨터(기초)|기타(중)
강진IT컴퓨터학원|061-433-7687|전라남도 강진군 강진읍 평동리  176-5|2000006472|16|학교교과교습학원|2|기타(대)|컴퓨터(소)|정보처리|기타(중)
강진IT컴퓨터학원|061-433-7687|전라남도 강진군 강진읍 평동리  176-5|2000006472|16|학교교과교습학원|2|기타(대)|컴퓨터(소)|자격증|기타(중)
강진버터영어학원|061-433-1223|전라남도 강진군 강진읍 서성리  20-3|5138|103|학교교과교습학원|2|입시.검정 및 보습|보습|영어|보통교과
강진잉글리쉬무무학원|061-434-0594|전라남도 강진군 강진읍 남성리  170-7|5412|108|학교교과교습학원|3|국제화|실용외국어(유아/초·중·고)|주니어발음단계|외국어
강진잉글리쉬무무학원|061-434-0594|전라남도 강진군 강진읍 남성리  170-7|5412|108|학교교과교습학원|3|국제화|실용외국어(유아/초·중·고)|문장 및 문법단계|외국어
강진잉글리쉬무무학원|061-434-0594|전라남도 강진군 강진읍 남성리  170-7|5412|108|학교교과교습학원|3|국제화|실용외국어(유아/초·중·고)|다독 단계|외국어
강진잉글리쉬무무학원|061-434-0594|전라남도 강진군 강진읍 남성리  170-7|5412|108|학교교과교습학원|3|국제화|실용외국어(유아/초·중·고)|속진 단계|외국어
강진잉글리쉬무무학원|061-434-0594|전라남도 강진군 강진읍 남성리  170-7|5412|108|학교교과교습학원|3|국제화|실용외국어(유아/초·중·고)|보충학습|외국어
맑은소리피아노학원|061-434-8987|전라남도 강진군 강진읍 남성리  95|2076|91|학교교과교습학원|2|예능(대)|음악|피아노(초급)|예능(중)
맑은소리피아노학원|061-434-8987|전라남도 강진군 강진읍 남성리  95|2076|91|학교교과교습학원|2|예능(대)|음악|피아노(중급)|예능(중)
맑은소리피아노학원|061-434-8987|전라남도 강진군 강진읍 남성리  95|2076|91|학교교과교습학원|2|예능(대)|음악|피아노(고급)|예능(중)
멜로디피아노학원|061-432-8888|전라남도 강진군 강진읍 평동리  231|2000006502|83|학교교과교습학원|2|예능(대)|음악|피아노(초급)|예능(중)
멜로디피아노학원|061-432-8888|전라남도 강진군 강진읍 평동리  231|2000006502|83|학교교과교습학원|2|예능(대)|음악|피아노(중급)|예능(중)
멜로디피아노학원|061-432-8888|전라남도 강진군 강진읍 평동리  231|2000006502|83|학교교과교습학원|2|예능(대)|음악|피아노(고급)|예능(중)
무지개미술학원||전라남도 강진군 강진읍 평동리  128|5579|109|학교교과교습학원|2|예능(대)|미술|미술|예능(중)
박정현피아노학원|061-434-1100|전라남도 강진군 강진읍 서성리  16|3000010111|124|학교교과교습학원|2|예능(대)|음악|초급|예능(중)
박정현피아노학원|061-434-1100|전라남도 강진군 강진읍 서성리  16|3000010111|124|학교교과교습학원|2|예능(대)|음악|중급|예능(중)
박정현피아노학원|061-434-1100|전라남도 강진군 강진읍 서성리  16|3000010111|124|학교교과교습학원|2|예능(대)|음악|고급|예능(중)
세종학원|061-433-3908|전라남도 강진군 강진읍 평동리  231|2000006473|18|학교교과교습학원|3|입시.검정 및 보습|보습|초등(국,수,과)|보통교과
세종학원|061-433-3908|전라남도 강진군 강진읍 평동리  231|2000006473|18|학교교과교습학원|3|입시.검정 및 보습|보습|초등(영어)|보통교과
세종학원|061-433-3908|전라남도 강진군 강진읍 평동리  231|2000006473|18|학교교과교습학원|3|입시.검정 및 보습|보습|중등(국,수,영,과)|보통교과
소리엘음악학원|061-432-3454|전라남도 강진군 강진읍 서성리  46-1|750|87|학교교과교습학원|2|예능(대)|음악|피아노(초급)|예능(중)
소리엘음악학원|061-432-3454|전라남도 강진군 강진읍 서성리  46-1|750|87|학교교과교습학원|2|예능(대)|음악|피아노(중급)|예능(중)
소리엘음악학원|061-432-3454|전라남도 강진군 강진읍 서성리  46-1|750|87|학교교과교습학원|2|예능(대)|음악|피아노(고급)|예능(중)
솔로몬음악학원|061-434-1625|전라남도 강진군 성전면 월평리  24-1|7131|84|학교교과교습학원|2|예능(대)|음악|피아노(초급)|예능(중)
솔로몬음악학원|061-434-1625|전라남도 강진군 성전면 월평리  24-1|7131|84|학교교과교습학원|2|예능(대)|음악|피아노(중급)|예능(중)
솔로몬음악학원|061-434-1625|전라남도 강진군 성전면 월평리  24-1|7131|84|학교교과교습학원|2|예능(대)|음악|피아노(고급)|예능(중)
수채화미술종합학원|061-434-1014|전라남도 강진군 강진읍 남성리  5-12|5137|104|학교교과교습학원|2|예능(대)|미술|미술(중,고)|예능(중)
수채화미술종합학원|061-434-1014|전라남도 강진군 강진읍 남성리  5-12|5137|104|학교교과교습학원|2|예능(대)|미술|미술(아동)|예능(중)
스마트학원|061-432-9009|전라남도 강진군 강진읍 남성리  52-3|6967|118|학교교과교습학원|4|입시.검정 및 보습|입시|초등(국,영,수,사,과,한)|보통교과
스마트학원|061-432-9009|전라남도 강진군 강진읍 남성리  52-3|6967|118|학교교과교습학원|4|입시.검정 및 보습|입시|중등(국,영,수,사,과)|보통교과
스마트학원|061-432-9009|전라남도 강진군 강진읍 남성리  52-3|6967|118|학교교과교습학원|4|입시.검정 및 보습|입시|초등단과(수학)|보통교과
스마트학원|061-432-9009|전라남도 강진군 강진읍 남성리  52-3|6967|118|학교교과교습학원|4|입시.검정 및 보습|입시|중등단과(영어)|보통교과
스마트학원|061-432-9009|전라남도 강진군 강진읍 남성리  52-3|6967|118|학교교과교습학원|4|입시.검정 및 보습|입시|고등단과(수학)|보통교과
에이플러스학원|061-432-5352|전라남도 강진군 강진읍 서성리  9-2|6278|113|학교교과교습학원|3|입시.검정 및 보습|보습|초등(영,수,한,종합)|보통교과
에이플러스학원|061-432-5352|전라남도 강진군 강진읍 서성리  9-2|6278|113|학교교과교습학원|3|입시.검정 및 보습|보습|중등(영,수)|보통교과
에이플러스학원|061-432-5352|전라남도 강진군 강진읍 서성리  9-2|6278|113|학교교과교습학원|3|입시.검정 및 보습|보습|고등(영,수)|보통교과
엔젤피아노학원|061-433-1311|전라남도 강진군 강진읍 서성리  20-3|2000006485|49|학교교과교습학원|2|예능(대)|음악|피아노(초급)|예능(중)
엔젤피아노학원|061-433-1311|전라남도 강진군 강진읍 서성리  20-3|2000006485|49|학교교과교습학원|2|예능(대)|음악|피아노(중급)|예능(중)
엔젤피아노학원|061-433-1311|전라남도 강진군 강진읍 서성리  20-3|2000006485|49|학교교과교습학원|2|예능(대)|음악|피아노(고급)|예능(중)
엘리트입시단과학원|061-433-9069|전라남도 강진군 강진읍 서성리  12|2000006494|66|학교교과교습학원|7|입시.검정 및 보습|입시|초등(국,영,수,사,과)|보통교과
엘리트입시단과학원|061-433-9069|전라남도 강진군 강진읍 서성리  12|2000006494|66|학교교과교습학원|7|입시.검정 및 보습|입시|중등(국,영,수,과,사|보통교과
엘리트입시단과학원|061-433-9069|전라남도 강진군 강진읍 서성리  12|2000006494|66|학교교과교습학원|7|입시.검정 및 보습|입시|고등(국,영,수,사,과)|보통교과
영재톡톡수학전문학원|061-434-5335|전라남도 강진군 강진읍 서성리  47-4|4624|102|학교교과교습학원|3|입시.검정 및 보습|보습|초등(국,수,사,과)|보통교과
영재톡톡수학전문학원|061-434-5335|전라남도 강진군 강진읍 서성리  47-4|4624|102|학교교과교습학원|3|입시.검정 및 보습|보습|중등(수학)|보통교과
영재톡톡수학전문학원|061-434-5335|전라남도 강진군 강진읍 서성리  47-4|4624|102|학교교과교습학원|3|입시.검정 및 보습|보습|고등(수학)|보통교과
예감미술학원||전라남도 강진군 강진읍 남성리  23-10|7168|122|학교교과교습학원|2|예능(대)|미술|미술(입시)|예능(중)
예음피아노학원|061-434-1213|전라남도 강진군 강진읍 서성리  48-19|7111|119|학교교과교습학원|2|예능(대)|음악|초급|예능(중)
예음피아노학원|061-434-1213|전라남도 강진군 강진읍 서성리  48-19|7111|119|학교교과교습학원|2|예능(대)|음악|중급|예능(중)
잉글루뉴대영학원|061-433-0509|전라남도 강진군 강진읍 평동리  231 금호상가 2층|6012|112|학교교과교습학원|2|입시.검정 및 보습|보습|초등(수학,사회,과학,영어)|보통교과
잉글루뉴대영학원|061-433-0509|전라남도 강진군 강진읍 평동리  231 금호상가 2층|6012|112|학교교과교습학원|2|입시.검정 및 보습|보습|중등(수학,사회,과학,영어)|보통교과
줄리어드음악학원|062-432-9609|전라남도 강진군 강진읍 남성리  61-1|2000006496|69|학교교과교습학원|2|예능(대)|음악|피아노(고급)|예능(중)
줄리어드음악학원|062-432-9609|전라남도 강진군 강진읍 남성리  61-1|2000006496|69|학교교과교습학원|2|예능(대)|음악|피아노(초급)|예능(중)
줄리어드음악학원|062-432-9609|전라남도 강진군 강진읍 남성리  61-1|2000006496|69|학교교과교습학원|2|예능(대)|음악|피아노(중급)|예능(중)
중앙스쿨학원|061-433-8166|전라남도 강진군 강진읍 서성리  20-3|6336|115|학교교과교습학원|3|입시.검정 및 보습|보습|초등(국어,수학,사회,과학)|보통교과
중앙스쿨학원|061-433-8166|전라남도 강진군 강진읍 서성리  20-3|6336|115|학교교과교습학원|3|입시.검정 및 보습|보습|중등(수학)|보통교과
태솔영어전문학원|061-434-2131|전라남도 강진군 강진읍 남성리  18-6|5717|110|학교교과교습학원|3|국제화|실용외국어(유아/초·중·고)|초(영어)|외국어
태솔영어전문학원|061-434-2131|전라남도 강진군 강진읍 남성리  18-6|5717|110|학교교과교습학원|3|국제화|실용외국어(유아/초·중·고)|중(영어)|외국어
튼튼영어마스터클럽학원|061-434-4043|전라남도 강진군 강진읍 서성리  48-10|3000010078|123|학교교과교습학원|3|국제화|실용외국어(유아/초·중·고)|영어(튼튼영어)|외국어
