##NAME|TELNUM|NEWADDR|ID|ID2|TYPE|SIZE|SUBJ1|SUBJ2|SUBJ3|SUBJ4@@PACADEMY
3030영어학원(내곡점)|033-6423-031|강원도 강릉시 강변로 74-26 , 3층 (회산동)|3000012314|1363|학교교과교습학원|3|입시.검정 및 보습|보습|초등영어|보통교과
3030영어학원(내곡점)|033-6423-031|강원도 강릉시 강변로 74-26 , 3층 (회산동)|3000012314|1363|학교교과교습학원|3|입시.검정 및 보습|보습|중등영어|보통교과
Allonge(알롱제)발레학원|033-645-8479|강원도 강릉시 경강로 2192 , 1.2층 (포남동)|3000011469|1289|학교교과교습학원|3|예능(대)|무용|성인취미A|예능(중)
Allonge(알롱제)발레학원|033-645-8479|강원도 강릉시 경강로 2192 , 1.2층 (포남동)|3000011469|1289|학교교과교습학원|3|예능(대)|무용|성인취미B|예능(중)
Allonge(알롱제)발레학원|033-645-8479|강원도 강릉시 경강로 2192 , 1.2층 (포남동)|3000011469|1289|학교교과교습학원|3|예능(대)|무용|유치|예능(중)
Allonge(알롱제)발레학원|033-645-8479|강원도 강릉시 경강로 2192 , 1.2층 (포남동)|3000011469|1289|학교교과교습학원|3|예능(대)|무용|초등레벨1A|예능(중)
Allonge(알롱제)발레학원|033-645-8479|강원도 강릉시 경강로 2192 , 1.2층 (포남동)|3000011469|1289|학교교과교습학원|3|예능(대)|무용|초등레벨1B|예능(중)
Allonge(알롱제)발레학원|033-645-8479|강원도 강릉시 경강로 2192 , 1.2층 (포남동)|3000011469|1289|학교교과교습학원|3|예능(대)|무용|중등입시A|예능(중)
Allonge(알롱제)발레학원|033-645-8479|강원도 강릉시 경강로 2192 , 1.2층 (포남동)|3000011469|1289|학교교과교습학원|3|예능(대)|무용|중등입시B|예능(중)
Allonge(알롱제)발레학원|033-645-8479|강원도 강릉시 경강로 2192 , 1.2층 (포남동)|3000011469|1289|학교교과교습학원|3|예능(대)|무용|중등입시C|예능(중)
Allonge(알롱제)발레학원|033-645-8479|강원도 강릉시 경강로 2192 , 1.2층 (포남동)|3000011469|1289|학교교과교습학원|3|예능(대)|무용|고등입시A|예능(중)
BHL와와영수학원|033-652-2905|강원도 강릉시 하평2길 7 , 2층 (포남동)|9476|1076|학교교과교습학원|3|입시.검정 및 보습|보습|국어,수학,사회,과학,영어(초등)|보통교과
BHL와와영수학원|033-652-2905|강원도 강릉시 하평2길 7 , 2층 (포남동)|9476|1076|학교교과교습학원|3|입시.검정 및 보습|보습|영어(초등)|보통교과
BHL와와영수학원|033-652-2905|강원도 강릉시 하평2길 7 , 2층 (포남동)|9476|1076|학교교과교습학원|3|입시.검정 및 보습|보습|수학(초등)|보통교과
BHL와와영수학원|033-652-2905|강원도 강릉시 하평2길 7 , 2층 (포남동)|9476|1076|학교교과교습학원|3|입시.검정 및 보습|보습|수학(중등)|보통교과
BHL와와영수학원|033-652-2905|강원도 강릉시 하평2길 7 , 2층 (포남동)|9476|1076|학교교과교습학원|3|입시.검정 및 보습|보습|영어(중등)|보통교과
BHL와와영수학원|033-652-2905|강원도 강릉시 하평2길 7 , 2층 (포남동)|9476|1076|학교교과교습학원|3|입시.검정 및 보습|보습|영어(중등)|보통교과
BHL와와영수학원|033-652-2905|강원도 강릉시 하평2길 7 , 2층 (포남동)|9476|1076|학교교과교습학원|3|입시.검정 및 보습|보습|수학(중등)|보통교과
BHL와와영수학원|033-652-2905|강원도 강릉시 하평2길 7 , 2층 (포남동)|9476|1076|학교교과교습학원|3|입시.검정 및 보습|보습|수학(고등)|보통교과
BHL와와영수학원|033-652-2905|강원도 강릉시 하평2길 7 , 2층 (포남동)|9476|1076|학교교과교습학원|3|입시.검정 및 보습|보습|영어(고등)|보통교과
BHL와와영수학원|033-652-2905|강원도 강릉시 하평2길 7 , 2층 (포남동)|9476|1076|학교교과교습학원|3|입시.검정 및 보습|보습|수학(고등)|보통교과
