##NAME|TELNUM|NEWADDR|ID|ID2|TYPE|SIZE|SUBJ1|SUBJ2|SUBJ3|SUBJ4@@PACADEMY
ALLIN영어전문학원||제주특별자치도 서귀포시 중앙로 90 , 3층 (서귀동)|3000010810|494|학교교과교습학원|2|입시.검정 및 보습|보습|고등학생 영어반(월2,400분)|보통교과
BrightEnglish학원|064-767-4566|제주특별자치도 서귀포시 동홍서로 106 , 2층 (동홍동)|3000010308|450|학교교과교습학원|7|국제화|실용외국어(유아/초·중·고)|초등학생 영어 A (월 1,200분)(외국인 600분,내국인 600분|외국어
BrightEnglish학원|064-767-4566|제주특별자치도 서귀포시 동홍서로 106 , 2층 (동홍동)|3000010308|450|학교교과교습학원|7|국제화|실용외국어(유아/초·중·고)|초등학생 영어 B (월 1,400분)(외국인 420분,내국인 980분)|외국어
BrightEnglish학원|064-767-4566|제주특별자치도 서귀포시 동홍서로 106 , 2층 (동홍동)|3000010308|450|학교교과교습학원|7|국제화|실용외국어(유아/초·중·고)|초등학생 영어 C (월 1,600분)(외국인 480분,내국인 1,120분)|외국어
BrightEnglish학원|064-767-4566|제주특별자치도 서귀포시 동홍서로 106 , 2층 (동홍동)|3000010308|450|학교교과교습학원|7|국제화|실용외국어(유아/초·중·고)|초등학생 영어 D(월 1,600분)(외국인 560분,내국인 1,040분)|외국어
BrightEnglish학원|064-767-4566|제주특별자치도 서귀포시 동홍서로 106 , 2층 (동홍동)|3000010308|450|학교교과교습학원|7|국제화|실용외국어(유아/초·중·고)|초등학생 심화영어 A(외국인 월600분)|외국어
BrightEnglish학원|064-767-4566|제주특별자치도 서귀포시 동홍서로 106 , 2층 (동홍동)|3000010308|450|학교교과교습학원|7|국제화|실용외국어(유아/초·중·고)|초등학생 심화영어 B(외국인 월720분)|외국어
BrightEnglish학원|064-767-4566|제주특별자치도 서귀포시 동홍서로 106 , 2층 (동홍동)|3000010308|450|학교교과교습학원|7|국제화|실용외국어(유아/초·중·고)|중학생,고등학생 영어 A(월 1,800분)(외국인 360분, 내국인 1,440분)|외국어
BrightEnglish학원|064-767-4566|제주특별자치도 서귀포시 동홍서로 106 , 2층 (동홍동)|3000010308|450|학교교과교습학원|7|국제화|실용외국어(유아/초·중·고)|중학생,고등학생 영어 B(월 1,920분)(외국인 240분, 내국인 1,680분)|외국어
BrightEnglish학원|064-767-4566|제주특별자치도 서귀포시 동홍서로 106 , 2층 (동홍동)|3000010308|450|학교교과교습학원|7|국제화|실용외국어(유아/초·중·고)|성인일반 영어(월 1,080분)(외국인 1,080분)|외국어
CornerstoneJejuHeui어학원|064-792-8616|제주특별자치도 서귀포시 대정읍 신영로 101-1 , 2층 (대정읍)|4748|408|학교교과교습학원|2|국제화|실용외국어(유아/초·중·고)|중급영어(내국인 월1,600분)|외국어
CornerstoneJejuHeui어학원|064-792-8616|제주특별자치도 서귀포시 대정읍 신영로 101-1 , 2층 (대정읍)|4748|408|학교교과교습학원|2|국제화|실용외국어(유아/초·중·고)|초급영어(내국인 월1,440분)|외국어
CornerstoneJejuHeui어학원|064-792-8616|제주특별자치도 서귀포시 대정읍 신영로 101-1 , 2층 (대정읍)|4748|408|학교교과교습학원|2|국제화|실용외국어(유아/초·중·고)|고급영어(내국인 월1,800분)|외국어
EiE서귀포혁신캠퍼스고려대학교국제어학원|064-739-7988|제주특별자치도 서귀포시 대청로25번길 4 , 401호 (강정동)|3000010890|500|학교교과교습학원|5|국제화|실용외국어(유아/초·중·고)|중등영어B(월 내국인 480분, 외국인 960분)|외국어
EiE서귀포혁신캠퍼스고려대학교국제어학원|064-739-7988|제주특별자치도 서귀포시 대청로25번길 4 , 401호 (강정동)|3000010890|500|학교교과교습학원|5|국제화|실용외국어(유아/초·중·고)|중등영어C(월 내국인 480분, 외국인 960분)|외국어
EiE서귀포혁신캠퍼스고려대학교국제어학원|064-739-7988|제주특별자치도 서귀포시 대청로25번길 4 , 401호 (강정동)|3000010890|500|학교교과교습학원|5|국제화|실용외국어(유아/초·중·고)|중등영어D(월 내국인 480분, 외국인 960분)|외국어
EiE서귀포혁신캠퍼스고려대학교국제어학원|064-739-7988|제주특별자치도 서귀포시 대청로25번길 4 , 401호 (강정동)|3000010890|500|학교교과교습학원|5|국제화|실용외국어(유아/초·중·고)|중등영어E(월 외국인1,440분)|외국어
EiE서귀포혁신캠퍼스고려대학교국제어학원|064-739-7988|제주특별자치도 서귀포시 대청로25번길 4 , 401호 (강정동)|3000010890|500|학교교과교습학원|5|국제화|실용외국어(유아/초·중·고)|중등영어F(월 외국인1,440분)|외국어
EiE서귀포혁신캠퍼스고려대학교국제어학원|064-739-7988|제주특별자치도 서귀포시 대청로25번길 4 , 401호 (강정동)|3000010890|500|학교교과교습학원|5|국제화|실용외국어(유아/초·중·고)|중등영어G(월 외국인1,440분)|외국어
EiE서귀포혁신캠퍼스고려대학교국제어학원|064-739-7988|제주특별자치도 서귀포시 대청로25번길 4 , 401호 (강정동)|3000010890|500|학교교과교습학원|5|국제화|실용외국어(유아/초·중·고)|중등영어H(월 외국인1,440분)|외국어
EiE서귀포혁신캠퍼스고려대학교국제어학원|064-739-7988|제주특별자치도 서귀포시 대청로25번길 4 , 401호 (강정동)|3000010890|500|학교교과교습학원|5|국제화|실용외국어(유아/초·중·고)|파닉스A(월 외국인1,440분)|외국어
EiE서귀포혁신캠퍼스고려대학교국제어학원|064-739-7988|제주특별자치도 서귀포시 대청로25번길 4 , 401호 (강정동)|3000010890|500|학교교과교습학원|5|국제화|실용외국어(유아/초·중·고)|파닉스B(월 외국인1,440분)|외국어
EiE서귀포혁신캠퍼스고려대학교국제어학원|064-739-7988|제주특별자치도 서귀포시 대청로25번길 4 , 401호 (강정동)|3000010890|500|학교교과교습학원|5|국제화|실용외국어(유아/초·중·고)|초등영어A(월 내국인 1,000분, 외국인 600분)|외국어
EiE서귀포혁신캠퍼스고려대학교국제어학원|064-739-7988|제주특별자치도 서귀포시 대청로25번길 4 , 401호 (강정동)|3000010890|500|학교교과교습학원|5|국제화|실용외국어(유아/초·중·고)|초등영어B(월 내국인 1,000분 외국인 600분)|외국어
EiE서귀포혁신캠퍼스고려대학교국제어학원|064-739-7988|제주특별자치도 서귀포시 대청로25번길 4 , 401호 (강정동)|3000010890|500|학교교과교습학원|5|국제화|실용외국어(유아/초·중·고)|초등영어C(월 내국인 1,000분 외국인 600분)|외국어
EiE서귀포혁신캠퍼스고려대학교국제어학원|064-739-7988|제주특별자치도 서귀포시 대청로25번길 4 , 401호 (강정동)|3000010890|500|학교교과교습학원|5|국제화|실용외국어(유아/초·중·고)|초등영어D(월 내국인 1,000분 외국인 600분)|외국어
EiE서귀포혁신캠퍼스고려대학교국제어학원|064-739-7988|제주특별자치도 서귀포시 대청로25번길 4 , 401호 (강정동)|3000010890|500|학교교과교습학원|5|국제화|실용외국어(유아/초·중·고)|중등영어A(월 내국인 480분, 외국인 960분)|외국어
M-plus수학학원|064-732-8256|제주특별자치도 서귀포시 동문로 21 , 2층 (서귀동)|3000010995|510|학교교과교습학원|4|입시.검정 및 보습|보습|중학생 수학반(월 1,440분)|보통교과
M-plus수학학원|064-732-8256|제주특별자치도 서귀포시 동문로 21 , 2층 (서귀동)|3000010995|510|학교교과교습학원|4|입시.검정 및 보습|보습|고등학생 수학반(월 1,440분)|보통교과
PROJECTONE학원|064-732-8711|제주특별자치도 서귀포시 동홍중앙로66번길 4-5 , 1층 (동홍동)|3000010344|452|학교교과교습학원|4|입시.검정 및 보습|보습|초등영어 A (월 1,800분)|보통교과
PROJECTONE학원|064-732-8711|제주특별자치도 서귀포시 동홍중앙로66번길 4-5 , 1층 (동홍동)|3000010344|452|학교교과교습학원|4|입시.검정 및 보습|보습|초등영어 B (월 2,400분)|보통교과
PROJECTONE학원|064-732-8711|제주특별자치도 서귀포시 동홍중앙로66번길 4-5 , 1층 (동홍동)|3000010344|452|학교교과교습학원|4|입시.검정 및 보습|보습|중등영어 A (월 1,800분)|보통교과
PROJECTONE학원|064-732-8711|제주특별자치도 서귀포시 동홍중앙로66번길 4-5 , 1층 (동홍동)|3000010344|452|학교교과교습학원|4|입시.검정 및 보습|보습|중등영어 B (월 2,100분)|보통교과
PROJECTONE학원|064-732-8711|제주특별자치도 서귀포시 동홍중앙로66번길 4-5 , 1층 (동홍동)|3000010344|452|학교교과교습학원|4|입시.검정 및 보습|보습|중등영어 C (월 2,600분)|보통교과
PROJECTONE학원|064-732-8711|제주특별자치도 서귀포시 동홍중앙로66번길 4-5 , 1층 (동홍동)|3000010344|452|학교교과교습학원|4|입시.검정 및 보습|보습|고등영어 A (월 2,000분)|보통교과
PROJECTONE학원|064-732-8711|제주특별자치도 서귀포시 동홍중앙로66번길 4-5 , 1층 (동홍동)|3000010344|452|학교교과교습학원|4|입시.검정 및 보습|보습|고등영어 B (월 2,400분)|보통교과
Study&Sparta학원|064-733-5520|제주특별자치도 서귀포시 중앙로 92 , 3층 (서귀동)|3000010430|459|학교교과교습학원|3|입시.검정 및 보습|보습|중학생 3학년 국어,영어,수학,사회,과학|보통교과
Study&Sparta학원|064-733-5520|제주특별자치도 서귀포시 중앙로 92 , 3층 (서귀동)|3000010430|459|학교교과교습학원|3|입시.검정 및 보습|보습|중학생 과학|보통교과
Study&Sparta학원|064-733-5520|제주특별자치도 서귀포시 중앙로 92 , 3층 (서귀동)|3000010430|459|학교교과교습학원|3|입시.검정 및 보습|보습|중학생 1학년 국어,영어,수학,사회,과학|보통교과
Study&Sparta학원|064-733-5520|제주특별자치도 서귀포시 중앙로 92 , 3층 (서귀동)|3000010430|459|학교교과교습학원|3|입시.검정 및 보습|보습|중학생 1학년 국어,영어,수학,사회,과학|보통교과
Study&Sparta학원|064-733-5520|제주특별자치도 서귀포시 중앙로 92 , 3층 (서귀동)|3000010430|459|학교교과교습학원|3|입시.검정 및 보습|보습|중학생 2학년 국어,영어,수학,사회,과학|보통교과
TheLearningSquare독서실|010-9242-1703|제주특별자치도 서귀포시 동홍중앙로66번길 8 (동홍동)|3000010012|419|학교교과교습학원|1|독서실|독서실(유아/초·중·고)|1일이용료|독서실
TheLearningSquare독서실|010-9242-1703|제주특별자치도 서귀포시 동홍중앙로66번길 8 (동홍동)|3000010012|419|학교교과교습학원|1|독서실|독서실(유아/초·중·고)|1개월이용료|독서실
VIX어학원|064-792-6330|제주특별자치도 서귀포시 대정읍 에듀시티로 44 , 2층 (대정읍)|3000011256|534|학교교과교습학원|5|국제화|실용외국어(유아/초·중·고)|초등영어주말반 A [월 원어민 960분]|외국어
VIX어학원|064-792-6330|제주특별자치도 서귀포시 대정읍 에듀시티로 44 , 2층 (대정읍)|3000011256|534|학교교과교습학원|5|국제화|실용외국어(유아/초·중·고)|초등영어주말반 B [월 내국인 960분]|외국어
VIX어학원|064-792-6330|제주특별자치도 서귀포시 대정읍 에듀시티로 44 , 2층 (대정읍)|3000011256|534|학교교과교습학원|5|국제화|실용외국어(유아/초·중·고)|중등영어 A [월 원어민 1,200분]|외국어
VIX어학원|064-792-6330|제주특별자치도 서귀포시 대정읍 에듀시티로 44 , 2층 (대정읍)|3000011256|534|학교교과교습학원|5|국제화|실용외국어(유아/초·중·고)|중등영어 B [월 원어민 720분]|외국어
VIX어학원|064-792-6330|제주특별자치도 서귀포시 대정읍 에듀시티로 44 , 2층 (대정읍)|3000011256|534|학교교과교습학원|5|국제화|실용외국어(유아/초·중·고)|중등영어 C [월 내국인 1,200분]|외국어
VIX어학원|064-792-6330|제주특별자치도 서귀포시 대정읍 에듀시티로 44 , 2층 (대정읍)|3000011256|534|학교교과교습학원|5|국제화|실용외국어(유아/초·중·고)|중등영어 D [월 내국인 720분]|외국어
VIX어학원|064-792-6330|제주특별자치도 서귀포시 대정읍 에듀시티로 44 , 2층 (대정읍)|3000011256|534|학교교과교습학원|5|국제화|실용외국어(유아/초·중·고)|초등영어 A [월 원어민 1,200분]|외국어
VIX어학원|064-792-6330|제주특별자치도 서귀포시 대정읍 에듀시티로 44 , 2층 (대정읍)|3000011256|534|학교교과교습학원|5|국제화|실용외국어(유아/초·중·고)|초등영어 B [월 원어민 720분]|외국어
VIX어학원|064-792-6330|제주특별자치도 서귀포시 대정읍 에듀시티로 44 , 2층 (대정읍)|3000011256|534|학교교과교습학원|5|국제화|실용외국어(유아/초·중·고)|초등영어 C [월 원어민 480분]|외국어
VIX어학원|064-792-6330|제주특별자치도 서귀포시 대정읍 에듀시티로 44 , 2층 (대정읍)|3000011256|534|학교교과교습학원|5|국제화|실용외국어(유아/초·중·고)|초등영어 D [월 내국인 1,200분]|외국어
VIX어학원|064-792-6330|제주특별자치도 서귀포시 대정읍 에듀시티로 44 , 2층 (대정읍)|3000011256|534|학교교과교습학원|5|국제화|실용외국어(유아/초·중·고)|초등영어 E [월 내국인 720분]|외국어
VIX어학원|064-792-6330|제주특별자치도 서귀포시 대정읍 에듀시티로 44 , 2층 (대정읍)|3000011256|534|학교교과교습학원|5|국제화|실용외국어(유아/초·중·고)|초등영어 F [월 내국인 480분]|외국어
VIX어학원|064-792-6330|제주특별자치도 서귀포시 대정읍 에듀시티로 44 , 2층 (대정읍)|3000011256|534|학교교과교습학원|5|국제화|실용외국어(유아/초·중·고)|중등영어주말반 A [월 원어민 960분]|외국어
VIX어학원|064-792-6330|제주특별자치도 서귀포시 대정읍 에듀시티로 44 , 2층 (대정읍)|3000011256|534|학교교과교습학원|5|국제화|실용외국어(유아/초·중·고)|중등영어주말반 B [월 내국인 960분]|외국어
VIX어학원|064-792-6330|제주특별자치도 서귀포시 대정읍 에듀시티로 44 , 2층 (대정읍)|3000011256|534|학교교과교습학원|5|국제화|실용외국어(유아/초·중·고)|고등영어 A [월 원어민 480분]|외국어
VIX어학원|064-792-6330|제주특별자치도 서귀포시 대정읍 에듀시티로 44 , 2층 (대정읍)|3000011256|534|학교교과교습학원|5|국제화|실용외국어(유아/초·중·고)|고등영어 B [월 원어민 480분]|외국어
VIX어학원|064-792-6330|제주특별자치도 서귀포시 대정읍 에듀시티로 44 , 2층 (대정읍)|3000011256|534|학교교과교습학원|5|국제화|실용외국어(유아/초·중·고)|고등영어주말반 A [월 원어민 960분]|외국어
VIX어학원|064-792-6330|제주특별자치도 서귀포시 대정읍 에듀시티로 44 , 2층 (대정읍)|3000011256|534|학교교과교습학원|5|국제화|실용외국어(유아/초·중·고)|고등영어주말반 B [월 내국인 960분]|외국어
