input|id|name|oldaddr|newaddr|tell|cat|xcord|ycord|url
네이버 2022년 1월예정|1062618146|컴인워시 강남본점 (2022년1월예정)|서울특별시 강남구 삼성동  119-11|서울특별시 강남구 삼성로 569||['생활,편의', '세차']|127.0533653|37.5121045|
네이버 2022년 1월예정|1415676900|익산 더반포레 (2022년1월예정)|전라북도 익산시 춘포면 쌍정리 160-1|전라북도 익산시 춘포면 궁성로 116||['아파트', '예정,공사중']|127.0537628|35.9240749|
네이버 2022년 1월예정|1617536552|문화전당역오펠리움(2022년1월예정)|광주광역시 동구 금동 19-3|||['오피스텔', '예정,공사중']|126.9170350|35.1442154|
네이버 2022년 1월예정|1672960535|원통체육문화센터 (2022년1월예정)|강원도 인제군 북면 원통리 459-4|||['스포츠,오락', '스포츠센터']|128.2066913|38.1201531|
네이버 2022년 1월예정|1081264680|춘천농협 삼천동지점(2022년1월예정)|강원도 춘천시 온의동 81-4|강원도 춘천시 스포츠타운길 486||['금융,보험', '신용조합']|127.7105963|37.8668769|
네이버 2022년 1월예정|1992183458|현대테라타워감일(2022년2월예정)|경기도 하남시 감이동 52-1|||['시설,건물', '기업,빌딩']|127.1651202|37.5073682|
네이버 2022년 1월예정|1606395118|광주상생일자리재단 (2022년1월예정)|광주광역시 광산구 장덕동  977-10|광주광역시 광산구 하남산단4번로 65||['공공,사회기관', '일자리센터']|126.8005631|35.1950525|
네이버 2022년 1월예정|1863925719|삼방어울림센터 (2022년1월예정)|경상남도 김해시 삼방동|경상남도 김해시 인제로230번길 46||['교육,학문', '문화센터']|128.9071613|35.2471695|
네이버 2022년 1월예정|1802269735|화엄사진입도로(2022년1월예정)|전라남도 구례군 마산면 마산리|||['계획,개발', '도시계획']|127.4910773|35.2238620|
네이버 2022년 1월예정|1977516077|강동리엔파크13단지아파트(2022년4월예정)|서울특별시 강동구 상일동 33|||['아파트', '예정,공사중']|127.1814884|37.5519084|
네이버 2022년 1월예정|1766267616|개포4복합문화센터(2022년2월예정)|서울특별시 강남구 개포동 1204|서울특별시 강남구 개포로24길 33 공영주차장||['문화,예술', '복합문화공간']|127.0499130|37.4771364|
네이버 2022년 1월예정|1595109398|미사강변스카이폴리스(2022년2월예정)|경기도 하남시 망월동 834-1||070-8745-1010|['시설,건물', '기업,빌딩']|127.1929372|37.5771983|
네이버 2022년 1월예정|1865262238|회기역리브인오피스텔(2022년4월예정)|서울특별시 동대문구 휘경동 258|서울특별시 동대문구 망우로21길 26-1||['오피스텔', '예정,공사중']|127.0618223|37.5906199|
네이버 2022년 1월예정|1881222397|용마산모아엘가파크포레(2023년1월예정)|서울특별시 중랑구 면목동 55-14|||['아파트', '예정,공사중']|127.0961024|37.5860337|
네이버 2022년 1월예정|1066321892|청담스타빌딩(2022년2월예정)|서울특별시 강남구 논현동|서울특별시 강남구 학동로53길 5||['시설,건물', '기업,빌딩']|127.0401393|37.5173163|
네이버 2022년 1월예정|1887550363|하남시청역해링턴타워더센트럴오피스텔(2022년12월예정)|경기도 하남시 신장동 430-6|||['오피스텔', '예정,공사중']|127.2055430|37.5374380|
네이버 2022년 1월예정|1862996593|에이원청담사옥(2022년2월예정)|서울특별시 강남구 청담동 83-2|||['시설,건물', '기업,빌딩']|127.0412730|37.5266445|
네이버 2022년 1월예정|1610724738|에피소드신촌369 (2022년2월예정)|서울특별시 마포구 노고산동 57-50|||['시설,건물', '기업,빌딩']|126.9347668|37.5541381|
네이버 2022년 1월예정|1610573633|휴스턴창경궁 오피스텔(2022년5월예정)|서울특별시 종로구 원남동 66-39|서울특별시 종로구 창경궁로18길 22-2||['오피스텔', '예정,공사중']|126.9986944|37.5749572|
네이버 2022년 1월예정|1012834963|하남국민체육센터수영장(2022년5월예정)|경기도 하남시 망월동|경기도 하남시 아리수로 600||['스포츠,오락', '수영장']|127.1960367|37.5668899|
