##NAME|SUBNAME|ID|TELNUM|NEWADDR|TYPE|ETC|FEAT|XCOORD|YCOORD|SOURCE2@@묘지
망우리묘지||2000000147|02-434-3337|서울특별시 중랑구 망우동  산57-1|공원묘원||None|127.1123718|37.5974502|보건복지부장사정보시스템
천주교도봉동묘원||2000000126|010-2973-4815|서울특별시 도봉구 도봉동 산 66-9|공원묘원||None|127.0369953|37.6799495|보건복지부장사정보시스템
운경공원묘원||2000000362|031-826-4821|경기도 양주시 장흥면 호국로785번길 117|공원묘원||None|126.9895585|37.7311835|보건복지부장사정보시스템
용미리제2묘지||2000000352|031-943-3937|경기도 파주시 광탄면 진지로 151 (용미리, 추모의집)|공원묘원||None|126.8882013|37.7411769|보건복지부장사정보시스템
용미리제1묘지||2000000351|031-943-1930|경기도 파주시 광탄면 용미리 산107|공원묘원||None|126.8801062|37.7399176|보건복지부장사정보시스템
자하연/일산/묘지||2000000046|031-977-8351|경기 고양시 일산동구 지영동 산44|공원묘원||None|126.827158|37.7067085|보건복지부장사정보시스템
분당메모리얼파크||2000000006|031-704-6508|경기도 성남시 분당구 새나리로 79 (야탑동)|공원묘원||None|127.1640127|37.4034231|보건복지부장사정보시스템
충현동산||2000000482|031-764-9617|경기도 광주시 용샘길 115-25 (목현동)|공원묘원||None|127.2252286|37.4272374|보건복지부장사정보시스템
자하연분당/묘지||2000000494|031-719-2780|경기도 광주시 오포읍 대명대길 57 (능평리)|공원묘원||None|127.1748414|37.3599222|보건복지부장사정보시스템
광릉추모공원/묘지||7000001045|031-532-2520|경기도 포천시 내촌면 마명리 134     |공원묘원||None|127.200361|37.7717955|보건복지부장사정보시스템
삼성개발공원묘원/묘지||2000000216|031-766-4260|경기 광주시 오포읍 능평리 산16-1 |공원묘원||None|127.1812651|37.3614374|보건복지부장사정보시스템
인천가족공원/묘지||2000000390|032-522-0570|인천광역시 부평구 평온로 61 (부평동)|공원묘원||None|126.720593|37.4743377|보건복지부장사정보시스템
천주교나자렛묘원||2000000605|031-947-0173|경기 파주시 광탄면 신산리 산7-18 |공원묘원||None|126.8487547|37.7936732|보건복지부장사정보시스템
시안/가족추모공원||2000000275|031-766-2894|경기도 광주시 오포읍 오포안로 17 |공원묘원|매장묘|None|127.1897909|37.35267|보건복지부장사정보시스템
일산공원||2000000393|031-932-5880|경기도 파주시 동패샘길 139-55 (동패동)|공원묘원||None|126.7801781|37.7598688|보건복지부장사정보시스템
천주교용인공원묘원||2000000450|031-334-0807|경기 용인시 처인구 모현면 오산리 산31-1|공원묘원||None|127.14425|37.322373|보건복지부장사정보시스템
꽃빛공원||2000000071|031-481-3359|경기도 안산시 단원구 순환로 390 (와동)|공원묘원|와동공설공원묘지|None|126.8340389|37.3405455|보건복지부장사정보시스템
낙원공원묘원||2000000074|031-941-6200|경기도 파주시 송화로 118 (야동동)|공원묘원||None|126.7743618|37.7780546|보건복지부장사정보시스템
선부동/공설묘지||2000008413|031-481-2834|경기도 안산시 단원구 선부동 산59|공원묘원||None|126.8017492|37.3464473|보건복지부장사정보시스템
자하연/팔당/묘지||2000000756|031-772-7102|경기도 양평군 양서면 목왕로688번길 71 (목왕리)|공원묘원||None|127.39302|37.56413|보건복지부장사정보시스템
무궁화공원묘원||2000000160|031-771-1400|경기도 양평군 서종면 잠실2길 134 (도장리)|공원묘원||None|127.3901209|37.6130155|보건복지부장사정보시스템
한남공원묘원||2000000515|031-765-0076|경기도 광주시 오포읍 매자리길 185-22|공원묘원||None|127.2688827|37.3496314|보건복지부장사정보시스템
동화경모공원||2000000141|031-945-3226|경기 파주시 탄현면 법흥리 1632|공원묘원||None|126.7004431|37.7935621|보건복지부장사정보시스템
용인공원//묘지||2000000353|031-334-3484|경기도 용인시 처인구 모현면 새래로 158-33|공원묘원||None|127.2543909|37.2987249|보건복지부장사정보시스템
예래원/묘지||2000000328|031-867-8707|경기도 동두천시 탑신로 668 (탑동동)|공원묘원||None|127.1382679|37.9112668|보건복지부장사정보시스템
영종공설묘지||2000000327|032-746-1672|인천광역시 중구 운북동 132-80|공원묘원||None|126.5278262|37.5146331|보건복지부장사정보시스템
자하연/포천/묘지||2000000674|031-532-6534|경기도 포천시 영중면 금주리 산161-1|공원묘원||None|127.2648394|37.9780865|보건복지부장사정보시스템
광림공원주식회사||7000001452|1577-9446|강원도 춘천시 동산면 종자리로 331-50동산추모공원 |공원묘원|동산추모공원|None|127.7436546|37.7593923|보건복지부장사정보시스템
춘천안식공원/묘지||2000000477|033-263-6454|강원 춘천시 동산면 군자리 산134-1|공원묘원||None|127.7447876|37.7639387|보건복지부장사정보시스템
남한강공원묘원/묘지||2000000084|031-882-6688|경기 여주군 가남면 금곡리 산45-1|공원묘원||None|127.6207168|37.1970166|보건복지부장사정보시스템
별그리다||7000001348|031-333-1111|경기도 양평군 양동면 양동금곡1길 331 |공원묘원|THE HILL|None|127.7883676|37.420192|보건복지부장사정보시스템
목련공원묘원||2000000159|033-458-4444|강원도 철원군 서면 싸리골길 133|공원묘원||None|127.4465965|38.1882957|보건복지부장사정보시스템
풍산공원묘원||2000000502|041-554-4199|충남 천안시 동남구 병천면 봉항리 산157|공원묘원||None|127.3055456|36.828984|보건복지부장사정보시스템
화산추모공원/묘지||2000000012|041-332-2284|충청남도 예산군 대술면 대술로 574-57|공원묘원||None|126.922062|36.689018|보건복지부장사정보시스템
진달래공원묘원||2000000430|042-253-5770|충청남도 논산시 벌곡면 신양리 산79|공원묘원||None|127.2953819|36.206767|보건복지부장사정보시스템
청솔공원가족봉안묘||2000000702|033-660-3857|강원도 강릉시 사천면 석교리 산162번|공원묘원||None|128.8161727|37.8292624|보건복지부장사정보시스템
청솔공원||2000000465|033-660-3857|강원도 강릉시 사천면 청솔공원길 252-55 석교리 산162번지|공원묘원||None|128.8190852|37.8296638|보건복지부장사정보시스템
영모묘원||2000000009|063-836-4311|전라북도 익산시 왕궁면 호반로 173-45|공원묘원||None|127.0915934|36.0013887|보건복지부장사정보시스템
전주효자공원||2000000530|063-239-2694|전라북도 전주시 완산구 콩쥐팥쥐로 1705-138 (효자동3가, 전주승화원)|공원묘원||None|127.0927655|35.8255731|보건복지부장사정보시스템
현대공원2묘원||2000000519|054-972-6375|경상북도 칠곡군 동명면 다부거문1길 51-75 (가천리)|공원묘원||None|128.526397|36.03065|보건복지부장사정보시스템
학명묘원||2000000514|054-972-5560|경북 칠곡군 동명면 학명리 산81-1|공원묘원||None|128.5447447|36.0405256|보건복지부장사정보시스템
현대공원1묘원||2000000518|053-312-1755|경상북도 칠곡군 지천면 낙산로3길 34-22 (낙산리)|공원묘원||None|128.53043|35.9379558|보건복지부장사정보시스템
함양하늘공원||2000000255|055-964-0303|경남 함양군 지곡면 마산리 산67번지|공원묘원||None|127.7535193|35.5944897|보건복지부장사정보시스템
오룡군립묘원/묘지||2000000331|061-380-3840|전남 담양군 무정면 오룡리 산29|공원묘원||None|127.016546|35.2960413|보건복지부장사정보시스템
대명공원묘원||2000000105|054-762-3810|경상북도 경주시 강동면 비학로 50-126 (단구리)|공원묘원||None|129.2620524|36.073823|보건복지부장사정보시스템
서라벌공원묘원||2000000231|054-751-1444|경상북도 경주시 서면 갠버불길 183-119 |공원묘원||None|129.0872186|35.8961517|보건복지부장사정보시스템
함안군공설추모공원||7000000349|055-582-1207|경상남도 함안군 가야읍 봉수로 609(도항리 산32)|공원묘원||None|128.4001156|35.2483883|보건복지부장사정보시스템
진주내동공원묘원||7000001317|055-756-1500|경상남도 진주시 내동면 유수길75번길 8-214 (유수리, 진주내동공동묘원)|공원묘원||None|128.0111987|35.1219521|보건복지부장사정보시스템
솥발산공원묘원||7000001330|055-382-7714|경상남도 양산시 하북면 삼덕로 288 (답곡리)|공원묘원||None|129.11565|35.4716|보건복지부장사정보시스템
창원공원묘원||2000000145|055-271-1700|경상남도 창원시 마산합포구 진동면 공원묘원로 134|공원묘원||None|128.5299589|35.1408817|보건복지부장사정보시스템
울산공원묘원||2000000365|052-272-1075|울산광역시 남구 문수로217번길 34(옥동)|공원묘원||None|129.2788917|35.5412626|보건복지부장사정보시스템
낙원공원묘원||2000000075|055-343-0656|경남 김해시 주촌면 원지리 산130|공원묘원||None|128.8322421|35.2648435|보건복지부장사정보시스템
여수시공설묘지공원||2000000312|061-685-8100|전라남도 여수시 소라면 봉두리 산190 |공원묘원||None|127.5797639|34.8321322|보건복지부장사정보시스템
백운공원묘원||2000000175|051-508-2934|부산광역시 기장군 정관면 정관로 165|공원묘원|제1묘지|None|129.1581295|35.3527186|보건복지부장사정보시스템
백운공원묘원||2000000176|051-727-3188|부산 기장군 정관면 모전리 산88-7|공원묘원|제2묘지|None|129.1615851|35.3320409|보건복지부장사정보시스템
대정공원묘원||2000000110|051-728-4949|부산광역시 기장군 정관면 양수길 76|공원묘원||None|129.1584585|35.3291388|보건복지부장사정보시스템
부산영락공원묘지||2000000322|051-790-5000|부산 금정구 선두구동 1494-1 (두구동, 영락공원)|공원묘원||None|129.1042192|35.2733077|보건복지부장사정보시스템
재)실로암공원묘원||2000000291|051-721-5115|부산광역시 기장군 철마면 사등길 181(고촌리, 실로암공원묘원관리사무소)|공원묘원||None|129.1578083|35.2504584|보건복지부장사정보시스템
효자동공동묘지||7000000707|031-8075-3304|경기 고양시 덕양구 효자동 산27|공원묘원||None|126.9528132|37.6618757|보건복지부장사정보시스템
구리시공설묘지||2000000044|031-550-2955|경기도 구리시 산마루로 174-21 (사노동)|공원묘원||None|127.1315558|37.6280823|보건복지부장사정보시스템
화전동공동묘지||7000000708|031-8075-3304|경기도 고양시 덕양구 대덕로156번길 106-14 (화전동)|공원묘원||None|126.86783|37.59864|보건복지부장사정보시스템
삼하리공설묘지||2000000561|031-8082-7634|경기 양주시 장흥면 삼하리 산35|공원묘원||None|126.919955|37.6811918|보건복지부장사정보시스템
천주교세종로묘원||2000000447|031-571-8800|경기 남양주시 별내면 광전리 산193-1|공원묘원||None|127.1380164|37.6658542|보건복지부장사정보시스템
강매동공동묘지||7000000709|031-8075-3304|경기 고양시 덕양구 강매동 193-6|공원묘원||None|126.8476831|37.6055416|보건복지부장사정보시스템
도내동공동묘지||7000000705|031-8075-3304|경기 고양시 덕양구 도내동 454-2|공원묘원||None|126.8600547|37.6383426|보건복지부장사정보시스템
내곡리묘지||2000000086|031-434-3337|경기 남양주시 진접읍 내곡리 558-3|공원묘원||None|127.1508506|37.6691504|보건복지부장사정보시스템
삼상리공설묘지||2000000560|031-8082-7634|경기 양주시 장흥면 삼상리 산34-1|공원묘원||None|126.9530656|37.7124745|보건복지부장사정보시스템
행주외동공동묘지||7000000710|031-8075-3304|경기 고양시 덕양구 행주외동 119-3|공원묘원||None|126.8247599|37.5949403|보건복지부장사정보시스템
벽제동공동묘지||7000000711|031-8075-3304|경기 고양시 덕양구 벽제동 산75|공원묘원||None|126.9074279|37.7025106|보건복지부장사정보시스템
성사동공동묘지||7000000706|031-8075-3304|경기 고양시 덕양구 성사동 342-8|공원묘원||None|126.8401749|37.6512919|보건복지부장사정보시스템
천주교청파묘원||2000000535|031-855-5660|경기도 양주시 장흥면 호국로 8|공원묘원||None|126.924668|37.7170501|보건복지부장사정보시스템
안양시청계공설묘지||2000000462|031-421-9165|경기 의왕시 청계동 산 8-5 |공원묘원||None|127.0351999|37.3975899|보건복지부장사정보시스템
영락교회공원묘원||2000000325|031-573-8123|경기도 남양주시 진건읍 사릉로264번길 232|공원묘원||None|127.2095001|37.6630806|보건복지부장사정보시스템
학의동공설묘지||7000000864|031-345-2833|경기도 의왕시 학의동 산 14|공원묘원||None|127.0268648|37.3885074|보건복지부장사정보시스템
벽제리묘지||2000000178|031-964-3443|경기도 고양시 덕양구 보광로 193-2 (벽제동)|공원묘원||None|126.9025848|37.7376329|보건복지부장사정보시스템
신곡공동묘지||2000000759|031-980-2215|경기도 김포시 고촌읍 신곡리 산22|공원묘원||None|126.7804372|37.6092799|보건복지부장사정보시스템
식사동공동묘지||7000001493|031-8075-3305|경기도 고양시 일산동구 식사동  158-1|공원묘원||None|126.8099276|37.6739909|보건복지부장사정보시스템
지영동공동묘지||7000000713|031-8075-3304|경기 고양시 일산동구 지영동 산42|공원묘원||None|126.8312227|37.7058308|보건복지부장사정보시스템
내유동공동묘지||7000001494|031-8075-3305|경기도 고양시 덕양구 내유동  산 82|공원묘원||None|126.8621206|37.7290068|보건복지부장사정보시스템
내유동공설묘지||2000000095|031-8075-3305|경기 고양시 덕양구 내유동 산82|공원묘원||None|126.8621206|37.7290068|보건복지부장사정보시스템
백란공원묘원||2000000173|031-962-8391|경기 고양시덕양구 내유동 산83|공원묘원||None|126.8640868|37.7302493|보건복지부장사정보시스템
화교화원||2000000522|031-942-0451|경기도 파주시 광탄면 샘말길 102|공원묘원||None|126.8697999|37.7390494|보건복지부장사정보시스템
태리공동묘지||2000000758|031-980-2215|경기도 김포시 고촌읍 태리 산55|공원묘원||None|126.7618806|37.6024083|보건복지부장사정보시스템
광사동공설묘지||2000000565|031-8082-7750|경기 양주시 광사동 산137-1|공원묘원||None|127.0733666|37.7734062|보건복지부장사정보시스템
복지리공설묘지||2000000539|031-8082-7510|경기 양주시 백석읍 복지리 산21외1|공원묘원||None|126.9972253|37.7808594|보건복지부장사정보시스템
어둔동공설묘지||2000000563|031-8082-7714|경기 양주시 어둔동 산102|공원묘원||None|127.0088601|37.7829852|보건복지부장사정보시스템
오전동공설묘지||7000000866|031-345-2833|경기도 의왕시 오전동 산 2|공원묘원||None|127.0051257|37.3594833|보건복지부장사정보시스템
천주교소화묘원||2000000457|031-576-1461|경기도 남양주시 조안면 다산로 363|공원묘원||None|127.2792412|37.5315181|보건복지부장사정보시스템
유양동공설묘지||2000000562|031-8082-7714|경기 양주시 유양동 산99|공원묘원||None|127.0132354|37.7864826|보건복지부장사정보시스템
마전동공설묘지||2000000564|031-8082-7714|경기 양주시 마전동 산3|공원묘원||None|127.0628289|37.7866632|보건복지부장사정보시스템
성석동공설묘지||2000000253|031-8075-3305|경기 고양시 일산동구 성석동 산153|공원묘원||None|126.7932148|37.7061236|보건복지부장사정보시스템
소흘읍제2공설묘지||7000001103||경기도 포천시 소흘읍 무림리 산41번지|공원묘원||None|127.1367386|37.7790701|보건복지부장사정보시스템
홍죽리공설묘지||2000000540|031-8082-7510|경기 양주시 백석읍 홍죽리 산2외1|공원묘원||None|126.9656666|37.8018548|보건복지부장사정보시스템
천도교/무봉공원||7000001044|02-732-3956|경기도 포천시 소흘읍 무봉리 산141-1  |공원묘원||None|127.13791|37.78455|보건복지부장사정보시스템
장곡||2000000592|031-940-4402|경기 파주시 조리읍 장곡리 산45-1,산45-3,산48|공원묘원||None|126.8417653|37.7628267|보건복지부장사정보시스템
운연/공설묘지||2000008429|032-453-5502|인천광역시 남동구 운연동 |공원묘원||None|126.7673841|37.4404318|보건복지부장사정보시스템
내촌면/제3공설묘지||2000008374|031-538-4261|경기도 포천시 내촌면 마명리 산38|공원묘원||None|127.1842181|37.7670113|보건복지부장사정보시스템
이동공설묘지||7000000865|031-345-2833|경기도 의왕시 이동 산 58|공원묘원||None|126.9693506|37.3374442|보건복지부장사정보시스템
