##NAME|SUBNAME|TELNUM|NEWADDR
이마트에브리데이|가락동점|02-848-3651|서울특별시 송파구 중대로 9길 35 (가락동 88-2)
이마트에브리데이|가양동점|02-2659-8376,7|서울특별시 강서구 허준로 121 (가양동 3-1)
이마트에브리데이|가운점|031-556-5200|경기도 남양주시 경춘로 360 (가운동 668-1)
이마트에브리데이|감삼동점|053-522-5000|대구광역시 달서구 장기로 238 (감삼동 507-1)
이마트에브리데이|개봉동점|02-2684-2013~4|서울특별시 구로구 개봉로 17길 30-8 (개봉동 324-1)
이마트에브리데이|개포동점|02-3413-5800~1|서울특별시 강남구 개포로 623 (개포동, 대청타워)
이마트에브리데이|거제수월점|055-730-9366|경상남도 거제시 수양로 448-29 (수월동 1111-1번지)
이마트에브리데이|거제아주점|055-682-2008|경상남도 거제시 용소1길 22, 1층 (아주동)
이마트에브리데이|걸포동점|031-983-9854|경기도 김포시 걸포2로 9 (걸포동 1563-2)
이마트에브리데이|검암점|032-710-0789|인천광역시 서구 승학로 504 (검암동 610-5)
이마트에브리데이|경서점|032-568-3541,2|인천광역시 서구 푸른로 7번안길 4 (경서동 976-60, 청라주차장제1층 101)
이마트에브리데이|경주용강점|054-744-8000|경상북도 경주시 다불로 9
이마트에브리데이|고양동점|031-963-5005,5883|경기도 고양시 덕양구 혜음로 22 (고양동 206-2)
이마트에브리데이|고양삼송점|02-381-9810~1|경기도 고양시 덕양구 신원동 64-10  101호
이마트에브리데이|고양삼송2점|02-389-7438|경기도 고양시 덕양구 삼송로 94-14 (삼송동)
이마트에브리데이|고읍동점|031-848-0848|경기도 양주시 고덕로 342 (고읍동 439)
이마트에브리데이|고촌점|031-985-1611,1711|경기도 김포시 고촌읍 장차로 13번길 25 (신곡리 1062-8,9 1층)
이마트에브리데이|고촌2점|031-996-4270,2|경기도 김포시 고촌읍 수기로 56 (신곡리)
이마트에브리데이|고흥점|061-832-1336,7|전라남도 고흥군 고흥읍 1871 (남계리 234)
이마트에브리데이|공릉동점|02-948-6767|서울특별시 노원구 노원로 1길 67 (공릉동 89-1, 대덕프라자)
이마트에브리데이|관산동점|031?969-9690|경기도 고양시 덕양구 통일로 768번길 49 (관산동 112-22)
이마트에브리데이|관저효성점|042-710-1141|대전광역시 서구 관저동로 12, 101~104호 (관저동, 효성해링턴 플레이스 APT 상가)
이마트에브리데이|광교점|031-216-5386~7|경기도 수원시 영통구 센트럴타운로 15 (이의동 1335, 아이플렉스)
이마트에브리데이|광릉점|031-527-5253|경기도 남양주시 진접읍 광릉내로 107 (팔야리 728-5)
이마트에브리데이|광사동점|031-848-1330|경기도 양주시 고읍남로 23 메가시티프라자 1층 (광사동 657)
이마트에브리데이|광장점|02-452-3735|서울특별시 광진구 아차산로 599 광장동 신동아 파밀리에상가
이마트에브리데이|광탄점|031-947-1923|경기도 파주시 광탄면 큰여울길 44 (신산리 188-113)
이마트에브리데이|구로점|02-859-7942|서울특별시 구로구 구일로 8길 85 (구로동)
이마트에브리데이|구리갈매점|031-523-4040|경기도 구리시 갈매순환로 202, 101, B01호 (갈매동, 로터스타워)
이마트에브리데이|구미구평점|054-476-2405,6|경상북도 구미시 인동가산로 308
이마트에브리데이|구미봉곡점|054-716-2021|경상북도 구미시 봉곡로 24길 14 (봉곡동)
이마트에브리데이|구미옥계점|054-471-7398,9|경상북도 구미시 산호대로 25길 10 (옥계동 636-2)
이마트에브리데이|궁내점|031-716-1622|경기도 성남시 분당구 대왕판교로 272 (궁내동 )
이마트에브리데이|귤현점|032-546-5517|인천광역시 계양구 형제봉길 77 (귤현동, 1층)
이마트에브리데이|금곡점|031-593-3337|경기도 남양주시 경춘로 997 (금곡동)
이마트에브리데이|기흥점|031-266-2589|경기도 용인시 기흥구 이현로 29번길 72 (보정동)
이마트에브리데이|김천혁신점|054-437-9141|경상북도 김천시 혁신3로 20 (율곡동)
이마트에브리데이|김포구래점|031-997-6110|경기도 김포시 김포한강4로420번길 88
이마트에브리데이|김포양곡점|031-997-2791|경기도 김포시 김포한강 8로 161 (마산동, 1층)
