##NAME|SUBNAME|TELNUM|NEWADDR|FEAT|PARKING|COST|OT|DATE|ID|XCOORD|YCOORD|SOURCE2@@지역축제
팔공산 벚꽃축제 2019||동구청 문화관광과 053-662-2173|대구광역시 동구 팔공산로199길 6-1|가볼만한축제;가족여행;관광지;기차여행;꽃여행;나들이;데이트코스;아이와함께;연인과함께;이색체험;체험학습;친구와함께;팔공산벚꽃축제;힐링||무료|자유|20190405~20190409|2476f988-968e-4aa6-8ffb-555318c0c06e|128.7005138885|35.9920608818|한국관광공사
제천풍호 벚꽃축제 "소풍" 2019||043-641-4870(문화예술위원회)<br>043-641-5518(문화예술과)|충청북도 제천시 청풍면 청풍호로 2048|가볼만한축제;가족여행;관광지;기차여행;꽃여행;나들이;데이트코스;아이와함께;연인과함께;이색체험;제천청풍호벚꽃축제;체험학습;충청권;친구와함께;힐링||무료|기간내자유|20190405~20190414|61d6e326-c498-4403-9b90-4fb8aab5bb14|128.1710348542|37.0046326700|한국관광공사
가평 에덴벚꽃길 벚꽃축제 2019||031-585-0025, 031-581-1300|경기도 가평군 청평면 에덴벚꽃길 189|가볼만한축제;가족여행;가평에덴벚꽃길벚꽃축제;관광지;기차여행;꽃여행;나들이;데이트코스;수도권;아이와함께;연인과함께;이색체험;체험학습;친구와함께;힐링||무료|약 3~4시간|20190405~20190414|cbdaec59-d6e9-438d-9599-4545a515fee0|127.4864296700|37.7815968116|한국관광공사
석촌호수 벚꽃축제 2019||송파구청 02-2147-2800|서울특별시 송파구 잠실로 148|가볼만한축제;가족여행;관광지;기차여행;꽃여행;나들이;데이트코스;석촌호수벚꽃축제;수도권;아이와함께;연인과함께;이색체험;체험학습;친구와함께;힐링||무료 (* 일부 체험프로그램 이용료 있음)|기간내 자유|20190405~20190412|c3c8b79f-14e4-4f19-8f9b-e9b3826ee4ea|127.1017724761|37.5111851145|한국관광공사
수양벚꽃과 함께하는 호국의 봄 열린 현충원 행사 2019||02-815-3625|서울특별시 동작구 현충로 210|가볼만한축제;가족여행;관광지;기차여행;꽃여행;나들이;데이트코스;도심여행;수도권;아이와함께;연인과함께;이색체험;체험학습;친구와함께;현충원,호국의봄을열다;힐링||무료|체험행사 3시간 및 벚꽃길 산책3시간|20190405~20190411|60984a54-60a3-4c91-8292-29ee55fc8ca0|126.9783840286|37.4998147736|한국관광공사
서울 밤도깨비 야시장 2019||070-8230-8911|서울특별시 영등포구 여의동로 330|가볼만한축제;가족여행;관광지;나들이;밤도깨비야시장;서울밤도깨비야시장;수도권;아이와함께;연인과함께;친구와함께;힐링||||20190405~20191027|b376fd8a-fdf2-476e-a3c6-d2be779f7996|126.9335762507|37.5263358907|한국관광공사
태안 수선화 축제 2019||041-675-9200|충청남도 태안군 남면 마검포길 200|가볼만한축제;가족여행;관광지;기차여행;꽃여행;나들이;아이와함께;연인과함께;이색체험;체험학습;충청권;친구와함께;태안수선화축제;힐링||성인:9,000원, 청소년 및 단체:7,000원, 경로 및 단체:8,000원예매처: 현장 및 인터넷(추후 공지)|1시간 ~ 1시간 30분|20190405~20190501|f595acde-d2a0-4ba8-8f6a-2f22ec12fa23|126.2998807800|36.6151330244|한국관광공사
양재천 벚꽃 등(燈) 축제 2019||02-2155-8607|서울특별시 서초구 양재동 양재천 영동1교~영동2교 구간|관광지;꽃축제;양재천벚꽃등축제||무료|기간내자유|20190405~20190407|c299e453-9173-4bb5-9d64-0e1ac86a806f|127.0369572323|37.4730133801|한국관광공사
안산자락길 벚꽃음악회 2019||02-330-1410|서울특별시 서대문구 연희로 248|가볼만한축제;가족여행;관광지;나들이;데이트코스;도심여행;수도권;아이와함께;안산자락길벚꽃음악회;연인과함께;음악회;이색체험;체험학습;친구와함께;힐링||음악회 무료 (아트마켓 구매, 체험 유료)|약 90분|20190405~20190407|53fd1226-2176-43dc-8cef-60a8fd2dbaa1|126.9367744661|37.5792075807|한국관광공사
영등포 여의도봄꽃축제 2019||02-2670-3114|서울특별시 영등포구 여의서로|가볼만한축제;가족여행;관광지;기차여행;꽃여행;나들이;데이트코스;수도권;아이와함께;연인과함께;영등포여의도봄꽃축제;이색체험;체험학습;친구와함께;힐링||무료|기간내 자유|20190405~20190411|cc5f3857-cf66-4d43-a8fd-66901b6c0ae8|126.9141334174|37.5320321034|한국관광공사
