NAME|BRANCH|ADDR|TELL|TIME|XCORD|YCORD
현대자동차 상용블루핸즈|국제보링1급정비|경상남도 창원시 마산회원구 내서읍 중리 공단로149|055-232-4442|오전 09:00~오후 05:30|128.5134722|35.2410806
현대자동차 상용블루핸즈|대덕현대서비스|대전광역시 대덕구 신탄진로 375 (와동)|042-625-6600|오전 09:00~오후 06:00|127.42565|36.4095861
현대자동차 상용블루핸즈|풍남자동차써비스|전라북도 완주군 이서면 혁신로 15-28|063-221-0038|오전 08:30~오후 05:30|127.03505|35.8203611
현대자동차 상용블루핸즈|강진정비|부산광역시 강서구 녹산산업북로 169(송정동)|051-311-4400|오전 08:30~오후 05:30|128.8457641|35.0949894
현대자동차 상용블루핸즈|경기자동차|경기도 남양주시 진접읍 금강로 1943-11|031-528-0770|오전 08:00~오후 06:00|127.2189833|37.751825
현대자동차 상용블루핸즈|남양공업사|경기도 화성시 주석로 370-17 (북양동)|031-356-3816|오전 08:30~오후 06:00|126.8645722|37.1993639
현대자동차 상용블루핸즈|대광현대서비스|경기도 여주시 가남읍 여주남로 755 1층|031-881-1079|오전 08:30~오후 06:00|127.5770874|37.2313586
현대자동차 상용블루핸즈|대산공사|경기도 광주시 곤지암읍 평촌길 100-9(곤지암)|031-763-8162|오전 08:00~오후 06:00|127.320239|37.352154
현대자동차 상용블루핸즈|동서울중기|경기도 광주시 오포읍 오포로 281 (오포읍)|031-766-8826|오전 08:30~오후 05:30|127.1953833|37.3446306
현대자동차 상용블루핸즈|동양모터스|충청남도 당진시 송악읍 대섬길 228|041-357-6811|오전 08:30~오후 05:00|126.750061|36.9728165
현대자동차 상용블루핸즈|디케이목포현대상용서비스|전라남도 영암군 삼호읍 대불역로 219|061-464-0077|오전 08:30~오후 05:30|126.4488601|34.7760172
현대자동차 상용블루핸즈|명성모터스|경기도 광주시 회덕길 19-11(회덕동)|031-797-8111|오전 08:30~오후 05:30|127.2429889|37.4271944
현대자동차 상용블루핸즈|베스트원현대서비스|경상북도 경주시 태종로 266-3(충효동)|054-701-2323|오전 08:30~오후 05:30|129.1675415|35.8348964
현대자동차 상용블루핸즈|부산정비|부산광역시 사하구 을숙도대로 670 (장림동)|051-263-2111|오전 09:00~오후 06:00|128.9808556|35.0814722
