name|addr|tell|timeinfo
볼보트럭 양주사업소|경기도 양주시 광적면 삼일로 189|대표전화: 031)855-4373 , 팩스: 031)855-4378|['- 평일 : 09:00~18:00', '-토요일/일요일: 휴무', '- 공휴일 : 근무']
남양주사업소 및 남양주지점|대표전화: 031)559-4884 / 팩스:031)559-4224| |['- 평일: 09:00~18:00', '- 토요일/일요일 : 휴무', '- 공휴일 : 근무']
볼보트럭 김포사업소|김포시 통진읍 김포대로 2051번길 3|대표전화: 031) 998-8703, 팩스: 031) 998-8702|['- 평일: 09:00~18:00', '- 토요일/일요일: 휴무', '- 공휴일: 근무']
볼보트럭센터 인천|인천광역시 동구 염전로40번길 62 (송림동)|전화번호 : 032-760-1718, 팩스 : 032-764-1513|['- 평일 : 07:00~24:00', '- 토요일 / 일요일 / 공휴일 : 휴무']
볼보트럭 남인천사업소|인천광역시 중구 서해대로 106(신흥동3가)|대표전화: 032)888-8985, 팩스: 032)888-8983|['근무시간', '- 평일 : 09:00~18:00', '- 토요일 / 일요일 / 공휴일 : 휴무']
비봉사업소 및 비봉지점|경기도 화성시 비봉면 푸른들판로 1255|대표전화: 031) 355-9939, 팩스: 031) 3442-9939|['- 평일: 09:00~18:00', '- 토요일 / 일요일 / 공휴일 : 휴무']
볼보트럭센터 동탄|전화번호 : 1688-6001, 팩스 : 031) 378-0329| |['근무시간', '-평일 : 07:00~20:00', '- 토요일 / 일요일 / 공휴일 : 휴무']
볼보트럭 평택사업소|경기도 평택시 청북면 오금길 14-22|대표전화: 031) 686-8390, 팩스: 031) 686-8399|['근무시간', '- 평일 : 08:30~17:30(점심시간 : 12:30~13:30)', '- 토요일 / 일요일 / 공휴일 : 휴무']
볼보트럭 서산사업소|충남 서산시 음암면 운암로 648-10|대표전화:  041)668-0114, 팩스: 041)668-0224|['근무시간', '- 평일: 09:00~18:00', '- 토요일 / 일요일 / 공휴일 : 휴무']
볼보트럭 제천사업소|충청북도 제천시 장평천로 49(강제동)|대표전화: 043)643-3716, 팩스: 043)643-3718 |['- 평일: 08:00~18:00', '- 토요일 / 일요일 / 공휴일 : 휴무']
볼보트럭 청원 사업소|충청북도 청주시 서원구 현도면 우록길 15-26|대표전화: 043)269-4491, 팩스: 043)260-4468  |['- 평일: 08:30~18:00', '- 토요일: 08:30~15:00', '- 일요일 / 공휴일 : 휴무']
볼보트럭 부여광명서비스|충청남도 부여군 구룡면 충의로 29|대표전화: 041)832-8884, 팩스: 041)837-8884|['근무시간', '- 평일 : 09:00~18:00', '- 토요일 : 09:00~12:00', '- 일요일/공휴일 : 휴무']
볼보트럭 전주사업소|전라북도 김제시 금구면 애통길 122|대표전화: 063)546-2355, 팩스: 063)546-2356|['근무시간', '- 평일 : 08:30~18:00', '- 토요일 : 08:30~15:00', '- 일요일 / 공휴일 : 휴무']
볼보트럭 광주사업소|광주광역시 광산구 상완길 190 (수완동)|대표전화: 062)951-8122, 팩스: 062)961-8394  |['-평일: 08:00~19:00', '- 토요일 / 일요일 / 공휴일 : 휴무']
볼보트럭 목포사업소|전라남도 무안군 삼향읍 국사로 5-5|대표전화: 061) 287-1148, 팩스: 061) 287-1149|['근무시간', '- 평일 : 08:30~18:00', '- 토요일 / 일요일 / 공휴일 : 휴무']
볼보트럭 광양사업소|전라남도 광양시 광양읍 익신산단 3길 5|대표전화: 061)761-8119, 팩스: 061)761-8115|['- 평일 : 08:30~18:00', '- 토요일 / 일요일 / 공휴일 : 휴무']
볼보트럭 사천사업소|경상남도 사천시 축동면 두량로 59|대표전화: 055) 852-4960, 팩스: 055) 852-4964|['근무시간', '- 평일 : 08:30~18:00 (매주 수요일은 17:30 근무 종료)', '- 토요일/일요일/공휴일 : 휴무']
볼보트럭 남부산사업소|부산광역시 남구 신선로 235|대표전화: 051) 621-6484, 팩스: 051) 621-6487|['근무시간', '- 평일 : 08:30~18:00 (매주 수요일은 17:30 근무 종료)', '- 토요일/일요일/공휴일 : 휴무']
볼보트럭 부산신항사업소|경상남도 창원시 진해구 신항2로 13-19 |대표전화: 051) 714-6050, 팩스: 051) 714-6051|['근무시간', '- 평일 : 08:30~18:00 (매주 수요일은 17:30 근무 종료)', '- 토요일/일요일/공휴일 : 휴무']
