##NAME|SUBNAME|ID|TELNUM|NEWADDR|ADDR|ETCADDR|FEAT|XCOORD|YCOORD@@아웃백스테이크하우스
아웃백스테이크하우스|원주점|153|033-766-6941~2|강원 원주시 시청로 27 (무실동)|강원 원주시 무실동 1722-1||주차가능|127.9235|37.340252
아웃백스테이크하우스|구리점|72|031-558-7981|경기 구리시 경춘로 274 (수택동, 성원메스티지상가)|경기 구리시 수택동 534-2||주차가능|127.145454|37.602604
아웃백스테이크하우스|김포점|144|031-8048-2577|경기 김포시 고촌읍 아라육로152번길 100 (전호리, 현대프리미엄아울렛)|경기 김포시 고촌읍 전호리 654|3층|주차가능|126.78529|37.596695
아웃백스테이크하우스|동탄점|124|031-8015-4261|경기 화성시 동탄중앙로 220 (반송동, 메타폴리스)|경기 화성시 반송동 96|A블럭 3층 S 01호|주차가능|127.06831|37.20516
아웃백스테이크하우스|부천상동점|28|032-327-2571|경기 부천시 길주로 111 (상동, 센타프라자)|경기 부천시 상동 535-8|2층|주차가능|126.75488|37.506363
아웃백스테이크하우스|부천역사점|99|032-654-0761|경기 부천시 부천로 1 (심곡본동, 부천역사쇼핑몰)|경기 부천시 심곡본동 316-2|203호|주차가능|126.782646|37.484035
아웃백스테이크하우스|분당미금점|27|031-715-1741|경기 성남시 분당구 돌마로 46 (구미동)|경기 성남시 분당구 구미동 7-2||주차가능|127.106995|37.3497
아웃백스테이크하우스|분당서현점|21|031-781-9261|경기 성남시 분당구 서현로 192 (서현동, 야베스밸리)|경기 성남시 분당구 서현동 251-1||주차가능|127.124405|37.387806
아웃백스테이크하우스|수원권선점|18|031-267-0911|경기 수원시 권선구 권광로 149 (권선동)|경기 수원시 권선구 권선동 1023-1||주차가능|127.03121|37.261017
아웃백스테이크하우스|수원역사점|38|031-240-2111|경기 수원시 팔달구 덕영대로 924 (매산로1가, AK플라자)|경기 수원시 팔달구 매산로1가 18|6층|주차가능|127.000244|37.26568
아웃백스테이크하우스|수원영통점|101|031-205-9251|경기 수원시 영통구 봉영로 1613 (영통동, 영통하우스토리)|경기 수원시 영통구 영통동 958-3|지하1층|주차가능|127.07389|37.255135
아웃백스테이크하우스|안산고잔점|31|031-405-4691|경기 안산시 단원구 당곡로 11 (고잔동, 거풍스카이팰리스)|경기 안산시 단원구 고잔동 530-2||주차가능|126.83299|37.31833
아웃백스테이크하우스|안양평촌점|40|031-387-3761|경기 안양시 동안구 시민대로 214 (호계동, 다운타운빌딩)|경기 안양시 동안구 호계동 1043-1||주차가능|126.9548|37.391773
아웃백스테이크하우스|오산점|95|031-378-9171|경기 오산시 경기대로 241 (원동, 아웃백)|경기 오산시 원동 757-18||주차가능|127.07322|37.146675
아웃백스테이크하우스|의정부금오점|85|031-853-7601|경기 의정부시 청사로48번길 25 (금오동, 아웃백스테이크하우스금오점)|경기 의정부시 금오동 474-5||주차가능|127.07141|37.753086
아웃백스테이크하우스|일산원마운트점|129|031-961-6491|경기 고양시 일산서구 한류월드로 300 (대화동, 원마운트)|경기 고양시 일산서구 대화동 2606|2층|주차가능|126.754524|37.664562
아웃백스테이크하우스|일산점|177|031-915-2361|경기 고양시 일산동구 무궁화로 237 (중산동)|경기 고양시 일산동구 중산동 1809|이마트풍산점 3층 |주차가능|126.78714|37.673855
아웃백스테이크하우스|평택점|138|031-692-2381|경기 평택시 평택로 51 (평택동, 평택민자역사)|경기 평택시 평택동 185-579|AK플라자 지하1층|주차가능|127.084694|36.990917
아웃백스테이크하우스|화정점|64|031-973-5131|경기 고양시 덕양구 화신로 273 (화정동, 명지프라자)|경기 고양시 덕양구 화정동 1002-1|2층|주차가능|126.83084|37.63058
아웃백스테이크하우스|거제점|137|055-636-9411|경남 거제시 서문로5길 6 (고현동)|경남 거제시 고현동 970-2|우형빌딩 2층|주차가능|128.62103|34.889175
아웃백스테이크하우스|경남진주점|98|055-759-5721|경남 진주시 진주대로 864 (칠암동)|경남 진주시 칠암동 487-1||주차가능|128.09201|35.177677
아웃백스테이크하우스|김해점|173|055-337-6191|경남 김해시 내외중앙로 76 (내동)|경남 김해시 내동 1143-1|서울빌딩 2층|주차가능|128.86742|35.236713
아웃백스테이크하우스|양산점|131|055-366-0281|경남 양산시 중부로 2 (중부동, 인터불고몰)|경남 양산시 중부동 685-2|6층|주차가능|129.02742|35.339027
아웃백스테이크하우스|중앙점|36|055-285-9751|경남 창원시 성산구 중앙대로 33 (중앙동, 대흥인터빌)|경남 창원시 성산구 중앙동 101-2|2층|주차가능|128.67499|35.219044
아웃백스테이크하우스|남포항점|89|054-276-5641|경북 포항시 남구 포스코대로 337 (대도동, 아웃백스테이크하우스)|경북 포항시 남구 대도동 93-3||주차가능|129.36066|36.01825
아웃백스테이크하우스|인동점|77|054-476-9791|경북 구미시 인동가산로 14 (진평동)|경북 구미시 진평동 1023-2||주차가능|128.41788|36.107292
아웃백스테이크하우스|광주광천점|92|062-363-0531|광주 서구 죽봉대로 68 (농성동)|광주 서구 농성동 460-33|다나메디컬센터 2층|주차가능|126.883675|35.158817
아웃백스테이크하우스|광주상무점|29|062-374-3761|광주 서구 상무연하로 41 (치평동, 아웃백스테이크)|광주 서구 치평동 1237-4||주차가능|126.84992|35.152016
