ID|NAME|CAT|ADDR|TELL|FORDISABLED|PARKING|PET|SMOKINGROOM|WIFI|APPOINTMENT|PACKAGE|SOURCEDATE|MENU|TVINFO1|TVINFO2|TVINFO3|TVINFO4|TVINFO5|DAYOFF|24HR|MONTIME|THUTIME|WEDTIME|TURRIME|FRITIME|SATTIME|SUNTIME|HOLTIME
16414503|경복식당 (2021년7월19일까지 휴업)|한식|서울 노원구 공릉로39길 10|02-949-7331||||||N|N|2021.06.28.|오늘의 백반 (기본메뉴):6000@제육볶음 추가 (사이드메뉴):2000|150회/SBS/백종원의 골목식당/2020.12.30.|109회/SBS/백종원의 골목식당/2020.03.11.|108회/SBS/백종원의 골목식당/2020.03.04.|107회/SBS/백종원의 골목식당/2020.02.26.|106회/SBS/백종원의 골목식당/2020.02.19.||||||||||
746855476|비앙꼬|카페|강원 강릉시 관솔길 85|||Y|||Y|||2021.04.16.|망고요거트:5500@레몬아이스티:3400@레몬차:4300@국화허브티(H):4200@딸기에이드:4500|2376회/SBS/생방송 투데이/2019.07.24.||||||12:00-20:00|12:00-20:00|12:00-20:00|12:00-20:00|12:00-20:00|12:00-20:00|12:00-20:00||
27244691|묵동할머니떡볶이|떡볶이|서울 중랑구 공릉로12가길 14|02-979-6082||||||||2020.02.21.|짜장떡볶이 (순한맛):3000@짜장떡볶이 (중간맛):3000@짜장떡볶이 (매운맛):4000@치킨컵밥:4000@제육컵밥:4000|642회/SBS/생활의 달인/2018.10.15.|||||W1D1,W2D1,W3D1,W4D1,W5D1||10:30-21:00|10:30-21:00|10:30-21:00|10:30-21:00|10:30-21:00|10:30-21:00||
11833906|동흥관|중화요리|서울 금천구 시흥대로63길 20|02-803-3759||Y||||||2021.02.02.|꿔바로우 (small):19000@사천탕수육 (small):24000@탕수육 (small):18000@짜춘결:28000@징장로쓰:28000@깐풍기 (small):29000|2370회/SBS/생방송 투데이/2019.07.16.||||||11:00-21:30|11:00-21:30|11:00-21:30|11:00-21:30|11:00-21:30|11:00-21:30|11:00-21:30|11:00-21:30|
27193650|한신포차 송파방이점|실내포장마차|서울 송파구 올림픽로32길 20|02-412-8882||||||||2021.02.15.|계란게살탕:9000@계란말이:12000@계란찜:10000@고추장찌개:15000@골뱅이무침:18000@김치전골:20000@낙지볶음:18000@닭똥집:13000@먹태구이:12000@메밀전병:15000@석화(겨울한정):18000@아귀순살튀김:14000@알탕:15000@야채꼼장어구이:20000@옛날계란후라이:11000@오뎅탕:14000@오돌뼈:14000@오징어간장버터구이:8000@치즈돼지고추장바베큐:16000@쿨황도:11000@토마토소스계란말이:14000@통오징어철판구이:15000@한신닭발:17000@한신통닭:12000@해물누룽지탕:18000@해물떡볶이:17000@해물모둠볶음:18000@홍합짬뽕탕:19000@홍합탕:12000|||||||16:30-04:00|16:30-04:00|16:30-04:00|16:30-04:00|16:30-04:00|16:30-04:00|16:30-04:00|16:30-04:00|
27201991|하이드미플리즈|디저트카페|서울 서대문구 통일로39나길 5|02-394-2015||||||N||2021.04.14.|아메리카노:4000@카페라떼:4500@바닐라라떼:4800@헤이즐넛라떼:4800@아포가또:4500@지글지글브라우니:9000|2628회/SBS/생방송 투데이/2020.08.03.||||||11:00-22:00|11:00-22:00|11:00-22:00|11:00-22:00|11:00-22:00|11:00-22:00|11:00-22:00|11:00-22:00|
1642933637|승리손칼국수|국수|경기 가평군 가평읍 석봉로 193|031-581-7775||||||||2021.05.24.|바지락 칼국수:6000@들깨 칼국수:6000@비빔 칼국수:6000@미역 수제비:6000@닭볶음탕(1마리):30000|726회/KBS2/2TV 생생정보/2019.01.03.||||||09:00-21:00|09:00-21:00|09:00-21:00|09:00-21:00|09:00-21:00|09:00-21:00|09:00-21:00|09:00-21:00|
1933999479|동아식당|퓨전일식|대구 중구 국채보상로125길 14|||||||||2021.04.18.|고등어소면:9500@된장 비빔면:9000@김치 볶음밥:9000@계란 김밥:8000|1360회/MBC/생방송 오늘 저녁/2020.07.16.|1005회/KBS2/2TV 생생정보/2020.02.17.|||||11:30-22:00|11:30-22:00|11:30-22:00|11:30-22:00|11:30-22:00|11:30-22:00|11:30-22:00|11:30-22:00|
996972400|연남방앗간|카페|서울 마포구 동교로29길 34|||||||||2021.04.14.|방앗간커피:6000@참깨라떼:6500@아메리카노:5000@라떼:6000@오미자에이드:6500|22회/SBS 플러스/외식하는 날/2018.12.18.|3092회/MBC/생방송 오늘 아침/2018.11.13.|608회/KBS2/2TV 생생정보/2018.07.04.|||W1D1,W2D1,W3D1,W4D1,W5D1||12:00-21:00|12:00-21:00|12:00-21:00|12:00-21:00|12:00-21:00|12:00-21:00||
2061889779|버바나|햄버거|서울 마포구 월드컵북로6길 88|02-332-2498||N|||Y|N|Y|2021.05.28.|스파이시 치킨 버거:7500@시그니쳐 버거:14000@와사비 새우 버거:10000@클래식 버거:8000@라구 버거:12000@베이컨 치즈 버거:9000@풀드포크 샌드위치:9000@레모네이드:5000@블루 소다:4000@망고&패션후르츠 에이드:6000|2743회/SBS/생방송 투데이/2021.01.19.|||||W1D1,W2D1,W3D1,W4D1,W5D1||11:30-22:00|11:30-22:00|11:30-22:00|11:30-22:00|11:30-22:00|11:30-22:00||
190212583|밀|한식|충남 아산시 탕정면 탕정로 9|041-533-0042|Y|Y|Y|N|Y|Y|Y|2021.04.14.|수제 뽕 밀면:8000@왕갈비탕:12000@제육볶음:8000@수제왕돈까스:8000@돌판된장정식:12000@차돌된장찌개:8000@묵은지김치찌개:8000@뽕잎찐만두:6000@수제에이드:5000@뽕잎삼겹살:13000@우삼겹:13000|919회/KBS2/2TV 생생정보/2019.10.16.|915회/MBC/생방송 오늘 저녁/2018.09.14.|||||10:00-21:00|10:00-21:00|10:00-21:00|10:00-21:00|10:00-21:00|10:00-21:00|10:00-21:00||
