##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@파스쿠찌
파스쿠찌|파스쿠찌/영도점|||파스쿠찌|051-417-8497|부산광역시 영도구 남항서로 123||주차가능;무선인터넷|8시~22시|||||파스쿠찌 파스쿠찌/영도점|2층 (남항동1가,정림위더스하임)|||80705
파스쿠찌|성남신흥역|||파스쿠찌|031-606-8497|경기 성남시 수정구 산성대로 267||흡연실;주차가능;무선인터넷|월~목, 일 08:00~24:00 / 금,토, 공휴일 08:00~01:00|||||파스쿠찌 성남신흥역|롯데시네마타워 2층|||80705
파스쿠찌|상무타임스점|||파스쿠찌|062-373-8497|광주광역시 서구 상무중앙로 58||무선인터넷|08:00~22:00|||||파스쿠찌 상무타임스점|타임스타워 1층|||80705
파스쿠찌|대구칠곡태전DT|||파스쿠찌|053-321-8497|대구 북구 칠곡중앙대로 238||주차가능;무선인터넷|평일, 일 08:00 ~ 24:00 / 금, 토 08:00 ~ 01:00|||||파스쿠찌 대구칠곡태전DT||||80705
파스쿠찌|대구국가산단점|||파스쿠찌|053-214-8497|대구 달성군 국가산단대로42길 5-23||주차가능;무선인터넷|09:30 ~ 21:00|||||파스쿠찌 대구국가산단점||||80705
파스쿠찌|역삼테헤란점|||파스쿠찌|02-552-8497|서울시 강남구 테헤란로 151||무선인터넷;신규매장;케이터링|평일 07:00~24:00 / 토 08:00~24:00 / 공휴일 08:00~22:00|||||파스쿠찌 역삼테헤란점|1층 (역삼하이츠빌딩)|||80705
파스쿠찌|광명역자이스트릿점|||파스쿠찌|02-897-8854|경기도 광명시 광명역로 28||주차가능;무선인터넷|08:00~24:00|||||파스쿠찌 광명역자이스트릿점|근린생활시설 1층|||80705
파스쿠찌|경산월드컵대로점|||파스쿠찌|053-817-8497|경북 경산시 삼성현로 50||주차가능;무선인터넷;케이터링|평일/주말 : 09:00 24:00|||||파스쿠찌 경산월드컵대로점||||80705
파스쿠찌|해운대장산점|||파스쿠찌|051-702-8497|부산광역시 해운대구 세실로69번길 17||주차가능;무선인터넷;케이터링|월~목 08:00 ~ 01:00 / 금~토 09:00 ~ 03:00 / 일 09:00 ~ 01:00|||||파스쿠찌 해운대장산점||||80705
파스쿠찌|진하비치점|||파스쿠찌|052-237-8497|울산광역시 울주군 서생면 깨목4길 15||주차가능;무선인터넷|매일 09:00 ~ 22:00|||||파스쿠찌 진하비치점||||80705
