##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@일반상장기업
가온전선||||일반상장기업|031-459-6207|경기도 군포시 엘에스로45번길 120||||||||가온전선|(금정동)|||210201
강남제비스코||||일반상장기업|051-892-4221|부산광역시 부산진구 냉정로 289||||||||강남제비스코|(가야동)|||210201
강원랜드||||일반상장기업|033-590-7700|강원도 정선군 사북읍 하이원길 265||||||||강원랜드||||210201
갤럭시아에스엠||||일반상장기업|02-775-1300|서울시 강남구 학동로 311||||||||갤럭시아에스엠||||210201
경농||||일반상장기업|02-3488-5800|서울특별시 서초구 강남대로39길 15-10||||||||경농|한라비발디스튜디오193|||210201
경동나비엔||||일반상장기업|031-659-1144|경기도 평택시 서탄면 수월암길 95||||||||경동나비엔||||210201
경동도시가스||||일반상장기업|052-219-5300|울산광역시 북구 염포로 260-10||||||||경동도시가스|(진장동) 주식회사 경동도시가스|||210201
경동인베스트||||일반상장기업|052-219-5300|경기도 성남시 분당구 수내로46번길 4||||||||경동인베스트|경동빌딩|||210201
경방||||일반상장기업|02-2638-6000|서울특별시 영등포구 영중로 15||||||||경방|(영등포동4가)|||210201
경보제약||||일반상장기업|02-2175-2315|충청남도 아산시 실옥로 174||||||||경보제약||||210201
경인양행||||일반상장기업|032-571-7498|인천광역시 서구 건지로 199||||||||경인양행|(석남동)|||210201
경인전자||||일반상장기업|02-2113-2000|서울시 금천구 가산디지털 2로 184||||||||경인전자|(경인/벽산디지털 밸리 2차 1411호)|||210201
계룡건설||||일반상장기업|042-480-7114~5|대전시 서구 월평중로 21||||||||계룡건설|(월평동 519 계룡건설빌딩)|||210201
계양전기||||일반상장기업|02-559-6800|서울특별시 강남구 테헤란로 508||||||||계양전기|(대치동)해성2빌딩 2층|||210201
고려개발||||일반상장기업|031-420-9000|경기도 용인시 수지구 풍덕천로 112||||||||고려개발|501 (풍덕천동,하나프라자빌딩)|||210201
고려산업||||일반상장기업|051-600-5000|부산시 사상구 새벽시장로 21||||||||고려산업|(감전동 127-17)|||210201
고려아연||||일반상장기업|02-519-3416|서울특별시 강남구 강남대로 542||||||||고려아연|(논현동)|||210201
고려제강||||일반상장기업|051-760-1700|부산시 수영구 구락로 150||||||||고려제강||||210201
광동제약||||일반상장기업|02-6006-7777|서울특별시 서초구 서초중앙로 85||||||||광동제약|가산빌딩 3~8층 (서초동)|||210201
광명전기||||일반상장기업|031-494-0720|경기도 안산시 단원구 목내로 160||||||||광명전기||||210201
광전자||||일반상장기업|063-839-1111|전라북도 익산시 약촌로8길 62-8||||||||광전자|(어양동)|||210201
광주신세계||||일반상장기업|062-360-1234|광주시 서구 무진대로 932||||||||광주신세계|(광천동)|||210201
교보증권||||일반상장기업|02-3771-9000|서울시 영등포구 의사당대로 97||||||||교보증권|(여의도동 26-4)교보증권빌딩|||210201
국도화학||||일반상장기업|02-3282-1400|서울시 금천구 가산디지털 2로 61||||||||국도화학||||210201
국동||||일반상장기업|02-3407-7710|서울시 동대문구 천호대로 405||||||||국동|7,8층 (동보빌딩)|||210201
국보||||일반상장기업|02-765-5544|서울특별시 중구 소공로 88||||||||국보|(소공동)|||210201
국제약품||||일반상장기업|031-781-9081~9|경기도 성남시 분당구 야탑로 96-8||||||||국제약품||||210201
그린케미칼||||일반상장기업|041-661-5000|충청남도 서산시 대산읍 독곶2로 103||||||||그린케미칼||||210201
극동유화||||일반상장기업|055-370-9900|경남 양산시 어실로 101||||||||극동유화||||210201
금강공업||||일반상장기업|051-264-8881|부산시 사하구 다산로 110||||||||금강공업|(다대동 1512-3)|||210201
금비||||일반상장기업|031-632-5280|경기도 이천시 부발읍 중부대로1707번길 13||||||||금비||||210201
금양||||일반상장기업|051-316-5881|부산광역시 사상구 낙동대로960번길 81||||||||금양|(감전동)|||210201
금호산업||||일반상장기업|061-333-7612|전남 나주시 시청길 4||||||||금호산업||||210201
금호석유||||일반상장기업|02-6961-1114|서울시 중구 청계천로 100||||||||금호석유|(수표동,시그니쳐타워스 서울)|||210201
금호에이치티||||일반상장기업|062-958-2700|광주광역시 광산구 용아로 717||||||||금호에이치티|(오선동)|||210201
금호전기||||일반상장기업|02-707-4000|서울특별시 마포구 마포대로4다길 41||||||||금호전기|마포타워빌딩|||210201
금호타이어||||일반상장기업|062-940-2114|광주광역시 광산구 어등대로 658||||||||금호타이어|(소촌동)|||210201
기신정기||||일반상장기업|032-820-1600|인천시 남동구 은봉로 111||||||||기신정기||||210201
기아차||||일반상장기업|02-3464-1114|서울특별시 서초구 헌릉로 12||||||||기아차|(양재동)|||210201
기업은행||||일반상장기업|02-729-6114|서울특별시 중구 을지로 79||||||||기업은행|중소기업은행본점건물 (을지로2가)|||210201
까뮤이앤씨||||일반상장기업|031-633-9114|경기도 이천시 대월면 경충대로 1937번길 57||||||||까뮤이앤씨||||210201
깨끗한나라||||일반상장기업|02-2270-9200|서울특별시 중구 삼일대로6길 5||||||||깨끗한나라|신조양빌딩 8층 (충무로2가)|||210201
나노메딕스||||일반상장기업|031-366-9600|경기도 화성시 비봉면 현대기아로 818-11||||||||나노메딕스||||210201
남광토건||||일반상장기업|02-3011-0114|경기도 용인시 기흥구 흥덕중앙로 120||||||||남광토건|비122호 (영덕동,흥덕유타워)|||210201
남선알미늄||||일반상장기업|053-610-5200|대구시 달성군 논공중앙로 288||||||||남선알미늄||||210201
남성||||일반상장기업|02-2109-1550|서울시 구로구 디지털로 31길 20||||||||남성|(구로동 197-22 크라운프라자)|||210201
남양유업||||일반상장기업|02-2010-6601|서울특별시 강남구 도산대로 240||||||||남양유업|1964빌딩|||210201
남영비비안||||일반상장기업|02-3780-1114|서울시 용산구 서빙고로 51길 52||||||||남영비비안||||210201
남해화학||||일반상장기업|061-688-5354|서울특별시 강남구 테헤란로113길 15||||||||남해화학|(삼성동)|||210201
넥센||||일반상장기업|055-333-0771|경상남도 김해시 김해대로 2595||||||||넥센|(안동)|||210201
넥센타이어||||일반상장기업|055-370-5114|경남 양산시 충렬로 355||||||||넥센타이어|(유산동)|||210201
넥스트사이언스||||일반상장기업|02-6925-4450|강원도 정선군 사북읍 동탄길 32||||||||넥스트사이언스||||210201
