##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@KFC
KFC|상암DMC점|126.890322492|37.5794413686|KFC|02-302-8291|서울 마포구 월드컵북로 396|서울 마포구 상암동 1605|치맥;딜리버리;단체주문;지하철인근;징거벨오더|매장 10:00~23:00 / 딜리버리  11:00~23:00|||||KFC 상암DMC점|1층;(상암동)|||80601
KFC|구리돌다리점|127.139853813|37.6007737887|KFC|031-551-3694|경기 구리시 경춘로 221|경기 구리시 인창동 280-8|치맥;딜리버리;단체주문;지하철인근;징거벨오더|매장 10시~23시 / 딜리버리  11시00분~23시00분|||||KFC 구리돌다리점|(인창동)|||80601
KFC|한국외대점|127.060680832|37.596736136|KFC|02-957-5858|서울 동대문구 이문로 114|서울 동대문구 이문동 288-10|치맥;딜리버리;단체주문;지하철인근;징거벨오더|매장 10시~23시 / 딜리버리  10시30분~23시00분|||||KFC 한국외대점|(이문동)|||80601
KFC|롯데월드점|127.098140395|37.5113107836|KFC|02-2143-1296|서울 송파구 올림픽로 240|서울 송파구 잠실동 40-1|단체주문;지하철인근|일~목 : (09:30 ~ 21:00) / 금,토 : (09:30 ~ 22:00)|||||KFC 롯데월드점|롯데월드 매직아일랜드;(잠실동)|||80601
KFC|연신내역점|126.920526119|37.6184280116|KFC|02-352-0328|서울 은평구 연서로 226-1|서울 은평구 대조동 185-24|치맥;딜리버리;Wi-Fi 매장;단체주문;지하철인근;징거벨오더|매장 10:00~24:00 / 딜리버리  10:30~23:30|||||KFC 연신내역점|(대조동)|||80601
KFC|성남태평점|127.14047417|37.4437860655|KFC|031-751-0315|경기 성남시 수정구 수정로 185|경기 성남시 수정구 태평동 7288-17|치맥;딜리버리;Wi-Fi 매장;단체주문;징거벨오더|매장 10:00~24:00 / 딜리버리  10:30~23:30|||||KFC 성남태평점|1층;(태평동)|||80601
KFC|불광역점|126.928664634|37.6123353233|KFC|02-351-3297|서울 은평구 통일로 750|서울 은평구 불광동 267-1|치맥;딜리버리;Wi-Fi 매장;단체주문;지하철인근;징거벨오더|매장 10:00~24:00 / 딜리버리  10:30~23:30|||||KFC 불광역점|(불광동)|||80601
KFC|노량진역점|126.943068774|37.5144336838|KFC|02-811-1681|서울 동작구 노량진로 151|서울 동작구 노량진동 67-2|치맥;딜리버리;Wi-Fi 매장;단체주문;지하철인근;징거벨오더|매장 10:00~23:30 / 딜리버리  10:30~23:00|||||KFC 노량진역점|맞이방 광장1층;(노량진동)|||80601
KFC|이수역점|126.982677727|37.4867636247|KFC|02-532-2622|서울 서초구 동작대로 114|서울 서초구 방배동 3160|치맥;딜리버리;Wi-Fi 매장;단체주문;지하철인근;징거벨오더|매장 10시~23시 / 딜리버리  10시 30분 ~23시|||||KFC 이수역점|(재)원불교 유문빌딩 1층;(방배동)|||80601
KFC|경성대부경대점|129.10155224|35.1374995598|KFC|051-611-3281|부산 남구 수영로 324|부산 남구 대연동 54-5|치맥;딜리버리;Wi-Fi 매장;단체주문;지하철인근;징거벨오더|매장 10:00~23:00 / 딜리버리  10:30~23:00|||||KFC 경성대부경대점|리마크빌대연 주상복합 1층;(대연동)|||80601
