##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@탐앤탐스
탐앤탐스|DMC/탐스커버리점|||탐앤탐스|02-6925-0108|서울 은평구 수색로 195||A클래스;24시간;마이탐사용;와이파이존;테라스;주차가능;BCPAY||||||탐앤탐스 DMC/탐스커버리점||||80708
탐앤탐스|WD호텔신림점2층|||탐앤탐스|02-6746-9000|서울특별시 관악구 신림로 349||B클래스;마이탐사용;와이파이존;비지니스룸;주차가능;흡연실설치;BCPAY||||||탐앤탐스 WD호텔신림점2층|(신림동) WD호텔 2층|||80708
탐앤탐스|가산디지털단지역점|||탐앤탐스|02) 2083-5565|서울특별시 금천구 벚꽃로 298||B클래스;마이탐사용;와이파이존;테라스;주차가능;BCPAY||||||탐앤탐스 가산디지털단지역점|(가산동) 가산동대륭포스트타워 6차 탐앤탐스|||80708
탐앤탐스|강남고속터미널점|||탐앤탐스|02-595-4561|서울 서초구 신반포로 194||A클래스;마이탐사용;와이파이존;BCPAY||||||탐앤탐스 강남고속터미널점|(반포동) 서울고속터미널|||80708
탐앤탐스|강남구청역사거리점|||탐앤탐스|02-516-4565|서울 강남구 선릉로131길 16||A클래스;24시간;마이탐사용;와이파이존;테라스;주차가능;BCPAY||||||탐앤탐스 강남구청역사거리점|(논현동)|||80708
탐앤탐스|강남면허점|||탐앤탐스|02-563-8201|서울 강남구 테헤란로114길 16||A클래스;마이탐사용;와이파이존;비지니스룸;테라스;주차가능;BCPAY||||||탐앤탐스 강남면허점|(대치동) 동남빌딩|||80708
탐앤탐스|강남바로세움점|||탐앤탐스|02-532-0620|서울 서초구 서초대로77길 55||A클래스;24시간;마이탐사용;와이파이존;테라스;BCPAY||||||탐앤탐스 강남바로세움점||||80708
탐앤탐스|강릉(서창)휴게소|||탐앤탐스|없음|강원도 강릉시 성산면 영동고속도로 231||마이탐사용;와이파이존;주차가능;흡연실설치||||||탐앤탐스 강릉(서창)휴게소|강릉 (서창)휴게소|||80708
탐앤탐스|강릉점|||탐앤탐스|033-646-8688|강원도 강릉시 경강로 2120||A클래스;마이탐사용;와이파이존;BCPAY||||||탐앤탐스 강릉점|(옥천동)|||80708
탐앤탐스|강서구청사거리점|||탐앤탐스|02-3661-9890|서울시 강서구 공항대로 395||A클래스;24시간;마이탐사용;와이파이존;주차가능||||||탐앤탐스 강서구청사거리점|기도산업사옥|||80708
