##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@설빙
설빙|강원/양구점|127.98872514915901|38.10643954350084|설빙|033-482-7001|양구읍 양록길 84||||||||설빙 강원/양구점|2층|||80720
설빙|강원원주단구점|127.94846279469101|37.331034903967655|설빙|033-764-7001|||||||||설빙 강원원주단구점|2층 206호|||80720
설빙|강원/속초점|128.581371|38.197500|설빙|033-636-3300||강원도 속초시 교동 1019-13|||||||설빙 강원/속초점||||80720
설빙|강원/단계점|127.9299383|37.343975|설빙|070-8843-2002||강원 원주시 단계동 881-4||am 11:00 ~ pm 11:00 (주문마감 pm 10:00)|||||설빙 강원/단계점||||80720
설빙|강릉/대학로점|128.8964892|37.7531133|설빙|033-646-3799|강원도 강릉시 금성로 36|||am 10:30 ~ pm 10:30|||||설빙 강릉/대학로점|(금학동 대학로)|||80720
설빙|강원/춘천점|127.7277202|37.8780629|설빙|033-252-7906||강원 춘천시 죽림동 189||am 10:30 ~ pm 10:30|||||설빙 강원/춘천점|브라운상가 2층|||80720
설빙|경기파주문산점|126.78575861195858|37.85808158827417|설빙|031-571-5936|문산읍 문향로 72-1||||||||설빙 경기파주문산점|문산터미널타워 203호|||80720
설빙|경기남양주진접점|127.21955636105899|37.70797316560404|설빙|031-571-5936||진접읍 77|||||||설빙 경기남양주진접점|213호 (장현프라자)|||80720
설빙|경기/김포/장기점|126.66813994569081|37.643457016179745|설빙|031-987-4741|김포한강1로 55||||||||설빙 경기/김포/장기점|이솔프라자 2층 202호 (장기동)|||80720
설빙|경기/고양/스타필드점|126.89647749270337|37.64769449354769|설빙|-|덕양구 고양대로 1955||||||||설빙 경기/고양/스타필드점|3 (일부)층 (동산동,스타필드 고양)|||80720
설빙|경기/화성/수원대점|126.9770270115724|37.21517104685153|설빙|031-221-5233|봉담읍 와우안길 35||||||||설빙 경기/화성/수원대점|101,102호|||80720
설빙|경기/남양주/평내호평점|127.2482818207292|37.6631524765818|설빙|031-559-0065|천마산로 14||||||||설빙 경기/남양주/평내호평점|천마프라자 2층|||80720
설빙|경기/화성/향남신도시점|126.91275269390863|37.11580304318433|설빙|031-353-1188|향남읍 발안양강로 205||||||||설빙 경기/화성/향남신도시점|2층 204호|||80720
설빙|배곧점|37.368187139116806|126.73067180888944|설빙|031-319-0035|서울대학로278번길 61||||||||설빙 배곧점|2층 223~226호|||80720
