##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@치어스
치어스|사당점|||치어스|070-8803-0511|서울특별시 서초구 방배천로2길 15||카드;포장;와이파이||||||치어스 사당점||||80216
치어스|강남/일원점|||치어스|02-445-0552|서울특별시 강남구 일원로9길 6||카드;포장;와이파이||||||치어스 강남/일원점||||80216
치어스|안산/와동체육공원점|||치어스|031-413-8880|경기도 안산시 단원구 와동공원로 134||카드;포장;와이파이||||||치어스 안산/와동체육공원점||||80216
치어스|광주/오포점|||치어스|031-766-7270|경기도 광주시 오포읍 마루들길 227||주차;카드;포장;와이파이||||||치어스 광주/오포점||||80216
치어스|구의점|||치어스|02-455-7557|서울특별시 광진구 아차산로 471||주차;카드;포장;와이파이||||||치어스 구의점||||80216
치어스|안양관양점|||치어스|031-344-3008|경기도 안양시 동안구 관평로305번길 49||주차;카드;포장;와이파이||||||치어스 안양관양점||||80216
치어스|위례중앙점|||치어스|031-756-9990|경기도 성남시 수정구 위례광장로 322||주차;카드;포장;와이파이||||||치어스 위례중앙점||||80216
치어스|정자/수성점|||치어스|031-251-8003|경기도 수원시 장안구 장안로76번길 40||주차;카드;와이파이||||||치어스 정자/수성점||||80216
치어스|호계2동점|||치어스|031-427-5866|경기도 안양시 동안구 귀인로 99||주차;카드;포장;와이파이||||||치어스 호계2동점||||80216
치어스|정왕일동점|||치어스|031-319-1880|경기도 시흥시 평안상가4길 16-10||카드;포장;와이파이||||||치어스 정왕일동점||||80216
치어스|미사강변점|||치어스|031-796-4508|경기도 하남시 미사강변중앙로 223||카드;포장;와이파이||||||치어스 미사강변점||||80216
치어스|왕십리뉴타운점|||치어스|02-2282-2323|서울특별시 성동구 왕십리로 410||카드;포장;와이파이||||||치어스 왕십리뉴타운점||||80216
치어스|구미/상모점|||치어스|054-462-9985|경상북도 구미시 상사서로5길 3||카드;포장;와이파이||||||치어스 구미/상모점||||80216
치어스|대구/대곡점|||치어스|053-644-6332|대구광역시 달서구 도원로 7||||||||치어스 대구/대곡점||||80216
치어스|동탄/수변공원점|||치어스|031-373-6309|경기도 화성시 동탄순환대로29길 54||주차;카드;포장||||||치어스 동탄/수변공원점||||80216
치어스|구운점|||치어스|031-293-0770|경기도 수원시 권선구 일월천로16번길 14||주차;카드;포장||||||치어스 구운점||||80216
치어스|인천/간석점|||치어스|032-202-7087|인천광역시 남동구 남동대로 860||카드;포장;와이파이||||||치어스 인천/간석점||||80216
치어스|광주/탄벌점|||치어스|031-769-8870|경기도 광주시 포돌이로 12-8||주차;카드;포장;와이파이||||||치어스 광주/탄벌점||||80216
치어스|포천/송우점|||치어스|031-542-7387|경기도 포천시 소흘읍 태봉로166번길 3-1||카드;포장;와이파이||||||치어스 포천/송우점||||80216
치어스|구리/인창점|||치어스|031-566-7572|경기도 구리시 건원대로 63||주차;카드;포장;와이파이||||||치어스 구리/인창점||||80216
치어스|천안/불당점|||치어스|041-551-7570|충청남도 천안시 서북구 검은들3길 69||주차;카드;포장;와이파이||||||치어스 천안/불당점||||80216
치어스|광명/소하점|||치어스|02-2083-2224|경기도 광명시 하안로 60||주차;카드;포장;와이파이||||||치어스 광명/소하점||||80216
치어스|과천/원문점|||치어스|02-503-0098|경기도 과천시 별양로 12||주차;카드;포장;와이파이||||||치어스 과천/원문점||||80216
치어스|창원/대방점|||치어스|055-261-7780|경상남도 창원시 성산구 가양로136번길 24||||||||치어스 창원/대방점||||80216
치어스|동탄수변공원점|||치어스|031-373-6309|경기 화성시 동탄순환대로29길 54||카드;포장;와이파이||||||치어스 동탄수변공원점||||80216
치어스|천안불당점|||치어스|041-551-7570|충남 천안시 서북구 검은들3길 69||주차;카드;포장;와이파이||||||치어스 천안불당점||||80216
치어스|도봉구청점|||치어스|02-813-0968|서울 도봉구 도봉로152길 16||주차;카드;포장;와이파이||||||치어스 도봉구청점||||80216
치어스|수원/우만점|||치어스|031-217-6060|경기 수원시 팔달구 중부대로143번길 11||카드;포장;와이파이||||||치어스 수원/우만점||||80216
치어스|은평구청점|||치어스|02-6227-4781|서울 은평구 은평로 197||카드;포장;와이파이||||||치어스 은평구청점||||80216
치어스|화성/능동점|||치어스|031-613-2453|경기 화성시 동탄원천로 360||주차;카드;포장;와이파이||||||치어스 화성/능동점||||80216
치어스|용인/서천점|||치어스|031-203-2006|경기 용인시 기흥구 서천로 121||주차;카드;포장;와이파이||||||치어스 용인/서천점||||80216
치어스|여주/중앙점|||치어스|031-886-7139|경기 여주시 여흥로11번길 33||카드;포장;와이파이||||||치어스 여주/중앙점||||80216
치어스|봉담/동화점|||치어스|031-298-3336|경기 화성시 봉담읍 동화새터길 96||주차;카드;포장;와이파이||||||치어스 봉담/동화점||||80216
치어스|오류동점|||치어스|02-2060-7971|서울 구로구 경인로 216||카드;포장;와이파이||||||치어스 오류동점||||80216
치어스|대화역점|||치어스|031-916-8400|경기 고양시 일산서구 중앙로 1573||주차;카드;포장;와이파이||||||치어스 대화역점||||80216
치어스|구파발역점|||치어스|02-387-9880|서울 은평구 진관2로 29-21||주차;카드;포장;와이파이||||||치어스 구파발역점||||80216
치어스|김포운양점|||치어스|031-989-0502|경기 김포시 김포한강11로 288-27||카드;포장;와이파이||||||치어스 김포운양점||||80216
치어스|별내/북부점|||치어스|031-572-3245|경기 남양주시 덕송2로6번길 21||주차;카드;포장;와이파이||||||치어스 별내/북부점||||80216
치어스|녹양역점|||치어스|031-855-7870|경기 의정부시 체육로 306-28||카드;포장;와이파이||||||치어스 녹양역점||||80216
치어스|병점점|||치어스|031-234-5933|경기 화성시 병점중앙로 100-11||카드;포장;와이파이||||||치어스 병점점||||80216
치어스|오산/한신대점|||치어스|031-375-3303|경기 오산시 양산로 360||카드;포장;와이파이||||||치어스 오산/한신대점||||80216
치어스|장유/관동점|||치어스|055-332-8480|경남 김해시 계동로 21||카드;포장;와이파이||||||치어스 장유/관동점||||80216
치어스|굽은다리역점|||치어스|02-426-8338|서울 강동구 양재대로 1566||카드;포장;와이파이||||||치어스 굽은다리역점||||80216
치어스|이충점|||치어스|031-668-4489|경기 평택시 이충로 49-27||카드;포장;와이파이||||||치어스 이충점||||80216
치어스|광명소하점|||치어스|02-2083-2224|경기 광명시 하안로 60||카드;포장;와이파이||||||치어스 광명소하점||||80216
치어스|곡반정점|||치어스|031-234-9295|경기 수원시 권선구 동수원로58번길 14||카드;포장;와이파이||||||치어스 곡반정점||||80216
치어스|뱅뱅사거리점|||치어스|02-2051-2575|서울 강남구 강남대로62길 7||카드;포장;와이파이||||||치어스 뱅뱅사거리점||||80216
치어스|자양점|||치어스|02-447-0623|서울 광진구 뚝섬로 600||카드;포장;와이파이||||||치어스 자양점||||80216
치어스|광나루점|||치어스|02-3425-3600|서울 광진구 아차산로76길 19||카드;포장;와이파이||||||치어스 광나루점||||80216
치어스|마석점|||치어스|031-595-5744|경기 남양주시 화도읍 마석로61번길 18-5||카드;포장;와이파이||||||치어스 마석점||||80216
치어스|본점|||치어스|031-707-5500|경기 성남시 분당구 판교로 435||주차;카드;포장;와이파이||||||치어스 본점||||80216
