##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@공공도서관
강릉교육문화관||||공공도서관|033-640-9942|강원도 강릉시 노암등길 37-1||||||||강릉교육문화관|(노암동) 37-1 강릉교육문화관|||200101
강릉시립중앙도서관||||공공도서관|033-660-3274|강원 강릉시 포남2동 강릉대로 448||||||||강릉시립중앙도서관||||200101
고성교육도서관||||공공도서관|033-682-4886|강원도 고성군 거탄진로 29번길 7||||||||고성교육도서관|(고성교육도서관)|||200101
고성군립도서관||||공공도서관|033-680-3560|강원 고성군 간성읍 쇠롱골길 17||||||||고성군립도서관||||200101
관전도서관||||공공도서관|033-455-9192|강원도 철원군 철원읍 금학로330번길 12||||||||관전도서관|관전도서관|||200101
담작은도서관||||공공도서관|033-256-6363|강원도 춘천시 효자문길7번길 10||||||||담작은도서관|담작은도서관|||200101
동해교육도서관||||공공도서관|033-533-4436|강원도 동해시 부곡5길 22||||||||동해교육도서관||||200101
동해시립발한도서관||||공공도서관|033-530-2480|강원도 동해시 해안로 535||||||||동해시립발한도서관|(발한동) 535 (동해시립발한도서관)|||200101
동해시립북삼도서관||||공공도서관|033-530-2490|강원도 동해시 효자로 649||||||||동해시립북삼도서관||||200101
둔내태성도서관||||공공도서관|033-340-5869|강원도 횡성군 둔내면 둔방로4번길 38||||||||둔내태성도서관|둔내면 둔방로 4번길 38|||200101
명주교육도서관||||공공도서관|033-662-8559|강원도 강릉시 해안3길 11||||||||명주교육도서관|(명주교육도서관)|||200101
모루도서관||||공공도서관|033-660-3240|강원 강릉시 율곡로 7호 (교동 822번지) ||||||||모루도서관||||200101
문막교육도서관||||공공도서관|033-735-3682|강원도 원주시 문막읍 문막시장1길 76-6||||||||문막교육도서관|문막시장 1길 76-6|||200101
사북공공도서관||||공공도서관|033-592-5757|강원도 정선군 사북읍 파랑새길 33||||||||사북공공도서관|사북공공도서관|||200101
삼척교육문화관||||공공도서관|033-570-5503|강원도 삼척시 진주로 48-41||||||||삼척교육문화관|(당저동) 삼척교육문화관|||200101
삼척도계도서관||||공공도서관|033-570-4211|강원도 삼척시 도계느티로 25-18||||||||삼척도계도서관||||200101
삼척원덕도서관||||공공도서관|033-572-4819|강원도 삼척시 원덕읍 삼척로 446-11||||||||삼척원덕도서관|446 11 (원덕도서관)|||200101
소양도서관||||공공도서관|033-245-5142|강원도 춘천시 삭주로145번길 69-8||||||||소양도서관|(후평동) 198-58 번지|||200101
속초교육도서관||||공공도서관|033-636-1495|강원도 속초시 번영로 15||||||||속초교육도서관|(속초도서관)|||200101
속초교육문화관||||공공도서관|033-630-0216|강원도 속초시 번영로 82||||||||속초교육문화관||||200101
속초시립도서관||||공공도서관|033-631-1443|강원도 속초시 조양로 89||||||||속초시립도서관|(조양동) 89|||200101
양구교육도서관||||공공도서관|033-482-0284|강원도 양구군 우정로119번길 30||||||||양구교육도서관||||200101
양양교육도서관||||공공도서관|033-672-2679|강원도 양양군 양양읍 남문로 50||||||||양양교육도서관|양양교육도서관|||200101
영월교육도서관||||공공도서관|033-373-9315|강원도 영월군 영월읍 영월로 1914-7||||||||영월교육도서관|1914-7 (영월교육도서관)|||200101
영월주천도서관||||공공도서관|033-374-7766|강원도 영월군 주천면 주천로 103||||||||영월주천도서관|주천로103|||200101
원주교육문화관||||공공도서관|033-737-1001||강원 원주시 단계동 168|||||||원주교육문화관|(북원로 2312)|||200101
원주시립도서관||||공공도서관|033-737-4360|강원도 원주시 서원대로 472-12||||||||원주시립도서관|(단구동) 472-12 (단구동990) 원주시립중앙도서관|||200101
원통도서관||||공공도서관|033-461-0089|강원도 인제군 금강로 62||||||||원통도서관|(원통종합복지타운)|||200101
인제교육도서관||||공공도서관|033-460-1077|강원도 인제군 인제로193번길 15-1||||||||인제교육도서관|(인제교육도서관)|||200101
정선교육도서관||||공공도서관|033-563-5330|강원도 정선군 정선읍 봉양4길 9||||||||정선교육도서관||||200101
중천철학도서관||||공공도서관|033-737-4480|강원도 원주시 남원로 105||||||||중천철학도서관|중천철학도서관|||200101
철원갈말도서관||||공공도서관|033-450-5227|강원도 철원군 갈말읍 명성로179번길 21||||||||철원갈말도서관|갈말도서관|||200101
철원교육도서관||||공공도서관|033-455-6928|강원도 철원군 금학로273번길 21-14||||||||철원교육도서관|(철원교육도서관)|||200101
철원김화도서관||||공공도서관|033-450-5627|강원도 철원군 서면 와수로184번길 6-31||||||||철원김화도서관|김화 도서관|||200101
춘성교육도서관||||공공도서관|033-242-6636|강원 춘천시 신북읍 율문리 신샘밭로 359-32||||||||춘성교육도서관|춘성교육도서관|||200101
춘천교육문화관||||공공도서관|033-258-2500|강원도 춘천시 중앙로107번길 14||||||||춘천교육문화관|춘천교육문화관|||200101
춘천남산도서관||||공공도서관|033-262-2332||강원도 춘천시 남산면 방곡리 629-30|||||||춘천남산도서관||||200101
춘천동내도서관||||공공도서관|033-245-5125|강원도 춘천시 동내면 학곡동1길 43207||||||||춘천동내도서관||||200101
춘천시립도서관||||공공도서관|033-245-5114|강원도 춘천시 우석로 100||||||||춘천시립도서관|춘천시립도서관|||200101
춘천시립분관서면도서관||||공공도서관|033-243-7902||강원도 춘천시 서면 금산리 402-4|||||||춘천시립분관서면도서관||||200101
춘천시립청소년도서관||||공공도서관|033-245-5762|강원도 춘천시 옛경춘로 830-24||||||||춘천시립청소년도서관|(삼천동) 시립청소년도서관 1층 사무실|||200101
춘천신사우동도서관||||공공도서관|033-245-5131|강원도 춘천시 사우4길 26||||||||춘천신사우동도서관|(우두동) 26 (신사우도서관)|||200101
태백교육도서관||||공공도서관|033-553-1237|강원도 태백시 태백로 1126||||||||태백교육도서관|(황지동) 태백교육도서관|||200101
태백산소드림도서관||||공공도서관|033-550-2757|강원도 태백시 장수길 33||||||||태백산소드림도서관|(황지동) 태백산소드림도서관|||200101
태백시립도서관||||공공도서관|033-550-2755|강원도 태백시 평화길 12||||||||태백시립도서관|(시립도서관)|||200101
토성공공도서관||||공공도서관|033-632-6002|강원도 고성군 토성로 167-6||||||||토성공공도서관||||200101
평창교육도서관||||공공도서관|033-332-2615|강원도 평창군 평창읍 평창중앙로 83-17||||||||평창교육도서관|(평창교육도서관)|||200101
평창군립대화도서관||||공공도서관|033-330-2549|강원도 평창군 남산2길 27||||||||평창군립대화도서관|(대화도서관)|||200101
평창군립봉평도서관||||공공도서관|033-330-2826|강원도 평창군 봉평면 기풍4길 10||||||||평창군립봉평도서관|10 봉평도서관|||200101
평창군립진부도서관||||공공도서관|033-330-2821|강원도 평창군 석두로 12-8||||||||평창군립진부도서관|(진부도서관)|||200101
홍천교육도서관||||공공도서관|033-434-3236|강원도 홍천군 홍천읍 꽃뫼로 93||||||||홍천교육도서관|93 (홍천교육도서관)|||200101
홍천연봉도서관||||공공도서관|033-430-2417|강원도 홍천군 연봉중앙로 11-10||||||||홍천연봉도서관||||200101
화천교육도서관||||공공도서관|033-441-6343|강원도 화천군 화천읍 상승로3길 22||||||||화천교육도서관|화천교육도서관|||200101
화천어린이도서관||||공공도서관|033-442-0078|강원도 화천군 화천읍 상승로1길 9||||||||화천어린이도서관|화천어린이도서관|||200101
횡성교육도서관||||공공도서관|033-344-6591|강원도 횡성군 횡성읍 교항로 32||||||||횡성교육도서관|횡성교육도서관|||200101
횡성군립도서관||||공공도서관|033-340-5861|강원도 횡성군 횡성읍 읍하리 문예로 75||||||||횡성군립도서관||||200101
가람도서관||||공공도서관|031-949-2552|경기도 파주시 가람로 116번길 170||||||||가람도서관||||200101
가평군립청평도서관||||공공도서관|031-580-4331|경기도 가평군 청평면 은고개로 31||||||||가평군립청평도서관||||200101
가평군조종도서관||||공공도서관|031-580-4301|경기도 가평군 조종면 조종희망로 26||||||||가평군조종도서관|22 (가평조종도서관)|||200101
가평군중앙도서관||||공공도서관|031-580-4040|경기도 가평군 가평읍 가화로 64||||||||가평군중앙도서관|64 (가평군립도서관)|||200101
경기과천교육도서관||||공공도서관|02-3677-0371|경기도 과천시 도서관길 36||||||||경기과천교육도서관|(별양동) 36 (경기도립도서관)|||200101
경기광주교육도서관||||공공도서관|031-768-6921|경기도 광주시 경안안길58번길 3||||||||경기광주교육도서관|(경안동) 경기도 광주시 경안동 47-1 경기광주교육도서관|||200101
경기김포교육도서관||||공공도서관|031-985-3536|경기도 김포시 봉화로 68||||||||경기김포교육도서관|(사우동) 68 (경기도립김포도서관)|||200101
경기성남교육도서관||||공공도서관|031-730-3500|경기도 성남시 수정구 공원로370번길 26||||||||경기성남교육도서관|(경기도립성남도서관)|||200101
경기여주가남교육도서관||||공공도서관|031-882-1066|경기도 여주시 가남읍 태평2길 28-7||||||||경기여주가남교육도서관|경기여주가남교육도서관|||200101
