##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@파파이스치킨
파파이스치킨|모슬포점|126.248089|33.228846|파파이스치킨|064-792-0004|제주특별자치도 서귀포시 대정읍 일주서로 2641||||||||파파이스치킨 모슬포점|우리들마트 내 1층;우리들마트 내 1층|||80606
파파이스치킨|대전모다점|127.318969|36.312756|파파이스치킨|042-541-8824|대전광역시 유성구 대정로 5|대전광역시 유성구 대정동 303-2|||||||파파이스치킨 대전모다점|대전모다아울렛 2층;대전모다아울렛 내 2층|||80606
파파이스치킨|충남대점|127.347046|36.374667|파파이스치킨|042-829-5007|대전광역시 유성구 대학로 99|대전광역시 유성구 궁동 220|||||||파파이스치킨 충남대점|충남대학교 생활관내 1층;충남대학교 생활관내 1층|||80606
파파이스치킨|광명KTX점|126.884951|37.416897|파파이스치킨|02-898-8826|경기도 광명시 광명역로 21||||||||파파이스치킨 광명KTX점|서편 1층 맞이방;서편 1층 맞이방|||80606
파파이스치킨|광주터미널점|127.261307|37.409435|파파이스치킨|031-799-7724|경기도 광주시 광주대로 30|경기도 광주시 경안동 25-3|||||||파파이스치킨 광주터미널점|광주터미널 1층;광주터미널 1층|||80606
파파이스치킨|김포구래점|126.627105|37.639529|파파이스치킨|031-998-8834|경기도 김포시 김포한강9로 30||||||||파파이스치킨 김포구래점||||80606
파파이스치킨|동국대일산병원점|126.806511|37.676297|파파이스치킨|031-961-9191|경기도 고양시 일산 동구 동국로 27|경기도 고양시 일산동구 식사동 814|||||||파파이스치킨 동국대일산병원점|동국대 일산병원 지하1층;동국대 일산병원 지하1층|||80606
파파이스치킨|동수원점|127.034529|37.266339|파파이스치킨|031-221-8824|경기도 수원시 팔달구 인계로 154|경기도 수원시 팔달구 인계동 1114-1|||||||파파이스치킨 동수원점|동수원뉴코아 지하1층;동수원뉴코아 지하1층|||80606
파파이스치킨|문산홈플러스점|126.791697|37.876424|파파이스치킨|031-954-8825|경기도 파주시 문산읍 방촌로 1759|경기도 파주시 문산읍 당동리 당동산업지구 지원용지 1-1-1|||||||파파이스치킨 문산홈플러스점|문산홈플러스 내 2층;문산홈플러스점 2층|||80606
파파이스치킨|봉담이마트점|126.973286|37.222452|파파이스치킨|031-224-8810|경기도 화성시 봉담읍 효행로 278|경기도 화성시 봉담읍 동화리 138-1|||||||파파이스치킨 봉담이마트점|이마트 지하1층 푸드코트 내;이마트 지하1층 푸드코트 내|||80606
파파이스치킨|분당이마트점|127.119772|37.358735|파파이스치킨|031-711-8824|경기도 성남시 분당구 불정로 134|경기도 성남시 분당구 정자동 211|||||||파파이스치킨 분당이마트점|분당이마트점 3층내;분당이마트점 3층내|||80606
파파이스치킨|성남복정점|127.127295|37.465046|파파이스치킨|031-759-4861|경기도 성남시 수정구 복정로 134번길 1|경기도 성남시 수정구 복정동 646-5|||||||파파이스치킨 성남복정점|1층;1층|||80606
파파이스치킨|성남점|127.146009|37.439878|파파이스치킨|031-745-8814|경기도 성남시 중원구 산성대로 258|경기도 성남시 중원구 중앙동 1152|||||||파파이스치킨 성남점||||80606
파파이스치킨|수원대점|126.977799|37.214098|파파이스치킨|031-898-8823|경기도 화성시 봉담읍 와우로 110|경기도 화성시 봉담읍 와우리 41-1|||||||파파이스치킨 수원대점||||80606
파파이스치킨|수원하나로점|126.966765|37.282699|파파이스치킨|031-292-8879|경기도 수원시 권선구 서부로 1937|경기도 수원시 권선구 구운동 218-1|||||||파파이스치킨 수원하나로점|1 하나로클럽 푸드코트 1층내;하나로클럽 푸드코트 1층내|||80606
파파이스치킨|의왕레일파크점|126.953090|37.307044|파파이스치킨|070-7178-4395|경기도 의왕시 왕송못동로 307||||||||파파이스치킨 의왕레일파크점||||80606
파파이스치킨|의왕포일점|126.985312|37.395395|파파이스치킨|031-424-8824|경기도 의왕시 안양판교로 101||||||||파파이스치킨 의왕포일점||||80606
