##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@카페베네
카페베네|춘천명동점|||카페베네|033-242-6232||강원도 춘천시 조양동 144-3||09:00 ~ 23:00|||||카페베네 춘천명동점||||80709
카페베네|대전관저점|||카페베네|042-541-6231|대전 서구 관저남로 25번길 23-30||||||||카페베네 대전관저점|1층|||80709
카페베네|엔터식스동탄점|||카페베네||경기도 화성시 동탄중앙로 220||||||||카페베네 엔터식스동탄점||||80709
카페베네|대전농협하나로마트점|||카페베네||대전광역시 중구 대둔산로199번길 43||직영매장||||||카페베네 대전농협하나로마트점||||80709
카페베네|경주월드공원점|||카페베네||경상북도 경주시 보문로 544||직영매장;세미나실;WIFI;24시간;PC사용가능;북카페||||||카페베네 경주월드공원점||||80709
카페베네|원주세브란스기독병원점|||카페베네|033-731-7898|||직영매장;WIFI||||||카페베네 원주세브란스기독병원점||||80709
카페베네|경북대병원간이휴게소동점|||카페베네||대구광역시 중구 동덕로 130||직영매장||||||카페베네 경북대병원간이휴게소동점|(삼덕동 2가,경북대병원 간이휴게소동 지상)|||80709
카페베네|영대병원점|||카페베네||대구광역시 남구 현충로 170||직영매장;세미나실;WIFI;24시간;PC사용가능;북카페||||||카페베네 영대병원점|호흡기전문질환센터 지상 2층|||80709
카페베네|고려대중앙광장점|||카페베네|02-925-6232|서울특별시 성북구 안암로 145||직영매장;WIFI;북카페||||||카페베네 고려대중앙광장점|고려대학교 중앙광장 지하1층 101호|||80709
카페베네|연세원주장례사업소점|||카페베네||강원도 원주시 일산로 20||직영매장||||||카페베네 연세원주장례사업소점|지상1층|||80709
카페베네|한양사이버대점|||카페베네|02-2291-6232|서울특별시 성동구 왕십리로 222||직영매장||||||카페베네 한양사이버대점|한양사이버대학교 2관 1층|||80709
카페베네|사당역점|||카페베네|02-521-5232||서울특별시 관악구 남현동 1060-4|세미나실;WIFI;PC사용가능;북카페||||||카페베네 사당역점|지상1층|||80709
카페베네|부천워터파크점|||카페베네|032-328-6232||경기도 부천시 원미구 상동 572-1|WIFI;PC사용가능;북카페||||||카페베네 부천워터파크점|웅진플레이도시스포츠 AD103~105|||80709
카페베네|인천연수대동점|||카페베네|032-813-6232||인천광역시 연수구 연수동 625-13|세미나실;WIFI;북카페|08:00~24:00|||||카페베네 인천연수대동점||||80709
카페베네|인천주안점|||카페베네|032-867-5588||인천광역시 남구 주안동 190-8|세미나실;WIFI;북카페||||||카페베네 인천주안점|유경빌딩 1층 지하1층|||80709
카페베네|인천부평로데오점|||카페베네|032-522-6232||인천광역시 부평구 부평동 153-4|WIFI;북카페;베이글인매장||||||카페베네 인천부평로데오점||||80709
카페베네|부천역점|||카페베네|032-663-6232||경기도 부천시 원미구 심곡동 382-12|세미나실;WIFI;24시간;북카페|08:00~23:00|||||카페베네 부천역점||||80709
카페베네|대방역점|||카페베네|02-821-6232||서울특별시 동작구 대방동 354-1|WIFI;북카페||||||카페베네 대방역점|공군관사내 1층 101호 102호|||80709
카페베네|면목홈플러스점|||카페베네|02-433-9717||서울특별시 중랑구 면목동 168-2|WIFI||||||카페베네 면목홈플러스점|1층|||80709
카페베네|인천숭의점|||카페베네|070-8231-0174||인천광역시 남구 숭의동 303-7|WIFI;북카페|09:00~01:00|||||카페베네 인천숭의점|숭의교회|||80709
카페베네|대림점|||카페베네|02-831-6232||서울특별시 영등포구 대림동 779-10|WIFI;북카페|08:00~24:00|||||카페베네 대림점||||80709
카페베네|방화역점|||카페베네|02-2064-0717||서울특별시 강서구 방화동 829-5|WIFI;PC사용가능;북카페||||||카페베네 방화역점|에어뷰21|||80709
카페베네|등촌역점|||카페베네|02-2645-3262||서울특별시 강서구 등촌동 507-8|WIFI;PC사용가능;북카페||||||카페베네 등촌역점|에이큐빌딩 1층 101호|||80709
카페베네|건대스타시티점|||카페베네|02-2024-8890||서울특별시 광진구 자양동 227-7|WIFI;북카페|일 목 : 10:00~23:30 / 금 토 : 10:00~24:00|||||카페베네 건대스타시티점|스타시티 122 123호|||80709
카페베네|청량리역점|||카페베네|02-960-6232||서울특별시 동대문구 전농동 591-1|WIFI;북카페||||||카페베네 청량리역점||||80709
카페베네|안산선부점|||카페베네|031-486-6232||경기도 안산시 단원구 선부동 1070-18|WIFI;베이글인매장||||||카페베네 안산선부점|상록타운 115|||80709
