##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@로티보이
로티보이|딴뚬꽌뚬|||로티보이||인천광역시 미추홀구 경인로 358||||||||로티보이 딴뚬꽌뚬|(주안동)|||80812
로티보이|카페피카|||로티보이|031-673-0098|경기도 안성시 혜산로 16||||||||로티보이 카페피카||||80812
로티보이|권선점|||로티보이|031-234-0006|경기도 수원시 권선구 권선로694번길 26||||||||로티보이 권선점|권선 SK VIEW|||80812
로티보이|롱블랙|||로티보이|042-543-8129|대전광역주 서구 도안동로31번길 27-24||||||||로티보이 롱블랙||||80812
로티보이|딜라이트풀멜로디|||로티보이|032-501-1194|인천광역시 계양구 작전동 계양대로 32||||||||로티보이 딜라이트풀멜로디|유성상가 라동 107호|||80812
로티보이|아토커피|||로티보이||인천광역시 중구 제물량로 270||||||||로티보이 아토커피|(차이나타운)|||80812
로티보이|가산커피/IT점|||로티보이|02-2026-8171|서울특별시 금천구 가산디지털 2로 98||||||||로티보이 가산커피/IT점|110-1호 (가산동,아이티캐슬)|||80812
로티보이|제천중앙점|||로티보이|043-646-5459|충북 제천시 의림대로 118||||||||로티보이 제천중앙점|1층|||80812
로티보이|원주고속버스터미널|||로티보이|033-747-5777|강원도 원주시 서원대로 181||||||||로티보이 원주고속버스터미널|원주고속버스터미널|||80812
로티보이|클라우드나인|||로티보이|064-757-5752||제주특별자치도 제주시 이도이동 1767-1|||||||로티보이 클라우드나인||||80812
로티보이|어썸브로(용인휴게소)|||로티보이|070-4814-6962|경기도 용인시 처인구 주북로94번길 30-1||||||||로티보이 어썸브로(용인휴게소)|(고림동,강릉방향)|||80812
로티보이|마망스|||로티보이||강원도 원주시 남원로469번길 1-16||||||||로티보이 마망스||||80812
