##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@맘스터치
맘스터치|동작보라매점|||맘스터치|02-832-4233|서울특별시 동작구 여의대방로 82||||||||맘스터치 동작보라매점||||80622
맘스터치|관악난곡점|||맘스터치|02-863-3190|서울특별시 관악구 난곡로34길 1||||||||맘스터치 관악난곡점||||80622
맘스터치|공룡루지테마파크점|||맘스터치||전라남도 여수시 소라면 안심산길 155||||||||맘스터치 공룡루지테마파크점||||80622
맘스터치|용인신봉점|||맘스터치|031-272-8245||경기도 용인시 수지구 신봉동 965-1|||||||맘스터치 용인신봉점||||80622
맘스터치|구로시장점|||맘스터치|02-866-7745||서울 구로구 구로동 313-150|||||||맘스터치 구로시장점||||80622
맘스터치|의정부행복로점|||맘스터치|031-848-8982|경기도 의정부시 시민로 121번길 31||||||||맘스터치 의정부행복로점||||80622
맘스터치|김해주촌점|||맘스터치|055-336-0245|경상남도 김해시 주촌면 천곡로 14||||||||맘스터치 김해주촌점||||80622
맘스터치|서산터미널점|||맘스터치|041-662-9280|충청남도 서산시 안견로 201||||||||맘스터치 서산터미널점||||80622
맘스터치|구미산동점|||맘스터치|054-471-3133|경상북도 구미시 산동면 신당1로 2길 13||||||||맘스터치 구미산동점||||80622
맘스터치|가산디지털단지역점|||맘스터치|02-858-8253|서울특별시 그천구 벚꽃로 298||||||||맘스터치 가산디지털단지역점||||80622
맘스터치|성북종암점|||맘스터치|02-6082-9707|서울특별시 성북구 종암로 86-1||||||||맘스터치 성북종암점||||80622
맘스터치|성남세이브존점|||맘스터치|031-732-9924|경기 성남시 수정구 산성대로 337||||||||맘스터치 성남세이브존점||||80622
맘스터치|낙성대역점|||맘스터치|02-883-2628|서울시 관악구 남부순환로 1941||||||||맘스터치 낙성대역점||||80622
맘스터치|건대스타시티점|||맘스터치|02-447-0017|서울시 광진구 능동로 92||||||||맘스터치 건대스타시티점||||80622
맘스터치|마포공덕역점|||맘스터치|02-718-3868|서울시 마포구 마포대로 137||||||||맘스터치 마포공덕역점|1층|||80622
맘스터치|제주연북로점|||맘스터치|064-745-9200|제주특별자치도 제주시 원노형남2길 35||||||||맘스터치 제주연북로점||||80622
맘스터치|안성한경대점|||맘스터치|031-674-1212|경기도 안성시 중앙로 324-3||||||||맘스터치 안성한경대점||||80622
맘스터치|중랑역점|||맘스터치|02-433-2344|서울시 중랑구 망우로 211||||||||맘스터치 중랑역점|1층|||80622
맘스터치|홈플러스동대문점|||맘스터치|02-960-7785|서울특별시 동대문구 천호대로 133||||||||맘스터치 홈플러스동대문점||||80622
맘스터치|강서방화사거리점|||맘스터치|02-2664-6610|서울시 강서구 양천로 87||||||||맘스터치 강서방화사거리점|1층|||80622
맘스터치|인덕원역점|||맘스터치|031-422-8280|경기 안양시 동안구 흥안대로 521||||||||맘스터치 인덕원역점||||80622
맘스터치|연천역점|||맘스터치|031-834-1919|경기도 연천군 연천읍 연천역로 7||||||||맘스터치 연천역점|1층|||80622
맘스터치|서초교대점|||맘스터치|02-2055-1175|서울특별시 서초중앙로22길 25||||||||맘스터치 서초교대점||||80622
맘스터치|목동파리공원점|||맘스터치|02-2643-1456|서울시 양천구 목동동로 393||||||||맘스터치 목동파리공원점||||80622
맘스터치|전주에코시티점|||맘스터치|063-254-7899|전주시덕진구 세병로 137||||||||맘스터치 전주에코시티점|에코시티자이2차 213동 106호|||80622
맘스터치|광명철산점|||맘스터치|02-2066-5515||경기도 광명시 철산동 411|||||||맘스터치 광명철산점|2층|||80622
맘스터치|동두천보산역점|||맘스터치|031-858-4727|경기도 동두천시 평화로 2551||||||||맘스터치 동두천보산역점||||80622
맘스터치|안산신길점|||맘스터치|031-494-9295|경기도 안산시 신길로1길 94||||||||맘스터치 안산신길점||||80622
맘스터치|강남역점|||맘스터치|02-567-4802|서울시 강남구 강남대로100길 10||||||||맘스터치 강남역점||||80622
맘스터치|천안풍세산단점|||맘스터치|041-568-8688||충청남도 천안시 동남구 풍세면 보성리 580-59|||||||맘스터치 천안풍세산단점||||80622
맘스터치|목감역점|||맘스터치|031-403-2225|경기도 시흥시 솔고개길 4-3||||||||맘스터치 목감역점||||80622
맘스터치|제주관광대점|||맘스터치|064-747-5599|제주 제주시 애월읍 광령중길 133-2||||||||맘스터치 제주관광대점||||80622
맘스터치|수지동천점|||맘스터치|031-265-8866|경기도 용인시 수지구 손곡로 100||||||||맘스터치 수지동천점||||80622
맘스터치|서판교점|||맘스터치|031-707-0912|경기도 성남시 분당구 운중로 142||||||||맘스터치 서판교점||||80622
맘스터치|홍제역점|||맘스터치|02-379-7696|서울시 서대문구 통일로 465||||||||맘스터치 홍제역점||||80622
맘스터치|천안성성점|||맘스터치|041-523-9928|충남 천안시 성성6로 89||||||||맘스터치 천안성성점||||80622
맘스터치|상도역점|||맘스터치|02-814-8255|서울 동작구 상도로 283-2||||||||맘스터치 상도역점||||80622
맘스터치|남해창선점|||맘스터치|055-867-2807|경상남도 남해군 창선면 동부대로 2807-3||||||||맘스터치 남해창선점||||80622
맘스터치|쌍문역점|||맘스터치|02-900-0071|서울특별시 도봉구 도봉로 496||||||||맘스터치 쌍문역점||||80622
맘스터치|용인상갈점|||맘스터치|031-284-9284|경기도 용인시 기흥구 금화로 103||||||||맘스터치 용인상갈점||||80622
맘스터치|제주애월고점|||맘스터치|064-799-3355|제주 제주시 애월읍 일주서로 6365||||||||맘스터치 제주애월고점|1층|||80622
맘스터치|세종도담점|||맘스터치|044-867-9278||세종특별자치시 도담동 653|||||||맘스터치 세종도담점|카림에비뉴 1동|||80622
맘스터치|충주칠금점|||맘스터치|043-855-2559|충북 충주시 계명대로 35||||||||맘스터치 충주칠금점|1충|||80622
맘스터치|부산동삼동점|||맘스터치|051-404-3666|부산시 영도구 동삼로 80-1||||||||맘스터치 부산동삼동점|1층|||80622
맘스터치|이천롯데마트점|||맘스터치|031-638-6600|경기도 이천시 구만리로 191||||||||맘스터치 이천롯데마트점||||80622
맘스터치|대구동서변점|||맘스터치|053-281-1001|대구광역시 북구 호국로43길 8-18||||||||맘스터치 대구동서변점|(서변동),1층|||80622
맘스터치|경북성주점|||맘스터치|054-933-8827|경북 성주군 성주읍 성주로 3216-1||||||||맘스터치 경북성주점||||80622
