##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@놀부보쌈
놀부보쌈|가산디지털보쌈과돌솥밥점|||놀부보쌈|02-2083-5382||서울 금천구 가산동 50-3|예약가능;포장가능;배달가능;주차가능|11:30   22:30|||||놀부보쌈 가산디지털보쌈과돌솥밥점|대륭포스트타워6차 218~219호;대륭포스트타워6차 218~219호|||81018
놀부보쌈|개봉점|||놀부보쌈|02-2686-0193||서울 구로구 개봉동 403-58|예약가능;포장가능;배달가능;주차가능|11:00   22:00|||||놀부보쌈 개봉점||||81018
놀부보쌈|거제장승포아주점|||놀부보쌈|055-682-6060||경남 거제시 아주동 464-3|예약가능;포장가능;배달가능;주차가능|11:00   22:00|||||놀부보쌈 거제장승포아주점||||81018
놀부보쌈|경기양주덕정점|||놀부보쌈|031-859-0056||경기도 양주시 덕정동 208-2|예약가능;포장가능;배달가능;주차가능|11:00   23:00|||||놀부보쌈 경기양주덕정점|(2층);(2층)|||81018
놀부보쌈|경남함안점|||놀부보쌈|055-582-5382||경남 함안군 가야읍 323-2|예약불가능;포장가능;배달불가능;주차가능|11:00   22:00|||||놀부보쌈 경남함안점|2층;2층|||81018
놀부보쌈|경남합천점|||놀부보쌈|055-931-9800||경남 합천군 합천읍 합천리 435-3|예약가능;포장가능;배달불가능;주차가능||||||놀부보쌈 경남합천점||||81018
놀부보쌈|경북문경점|||놀부보쌈|054-556-5382||경북 문경시 모전동 971-3|예약가능;포장가능;배달가능;주차가능|11:30   22:30|||||놀부보쌈 경북문경점||||81018
놀부보쌈|경북상주점|||놀부보쌈|054-531-9500||경북 상주시 무양동 276-3|예약가능;포장가능;배달가능;주차가능|11:30   22:00|||||놀부보쌈 경북상주점||||81018
놀부보쌈|경북성주점|||놀부보쌈|054-933-8243||경상북도 성주군 성주읍 성산리 2101-5|예약가능;포장가능;배달가능;주차가능|11:00   22:00|||||놀부보쌈 경북성주점||||81018
놀부보쌈|경북신도청점|||놀부보쌈|054-843-5080||경북 안동시 풍천면 갈전리 870|예약불가능;포장가능;배달가능;주차가능|10:00   22:00|||||놀부보쌈 경북신도청점||||81018
놀부보쌈|경북영덕점|||놀부보쌈|054-733-2688|경북 영덕군 영덕읍 군청길 59||예약불가능;포장가능;배달가능;주차가능|11:30   22:00|||||놀부보쌈 경북영덕점||||81018
놀부보쌈|경산중방점|||놀부보쌈|053-814-9861|경상북도 경산시 원효로 9||예약불가능;포장가능;배달불가능;주차가능||||||놀부보쌈 경산중방점||||81018
놀부보쌈|고양행신점|||놀부보쌈|031-973-5382|||예약불가능;포장가능;배달가능;주차가능|11:00   22:00|||||놀부보쌈 고양행신점|21필지 아성프라자 2층2호;21필지 아성프라자 2층2호|||81018
놀부보쌈|곤지암점|||놀부보쌈|031-768-5959||경기도 광주시 실촌읍 삼리 106-27|예약가능;포장가능;배달가능;주차가능|11:00   23:00|||||놀부보쌈 곤지암점||||81018
놀부보쌈|광명역점|||놀부보쌈|02-898-0048||경기도 광명시 일직동 506-1|예약불가능;포장가능;배달불가능;주차가능|11:00   22:00|||||놀부보쌈 광명역점|산타마리아 2층;산타마리아 2층|||81018
놀부보쌈|광명테크노파크점|||놀부보쌈|02-2083-1515||경기도 광명시 소하동 1345|예약불가능;포장가능;배달불가능;주차가능||||||놀부보쌈 광명테크노파크점|광명테크노파크 E-204;광명테크노파크 E-204|||81018
놀부보쌈|광주계림점|||놀부보쌈|062-526-3323|광주 동구 참판로 6번길 5-1||예약불가능;포장가능;배달불가능;주차가능||||||놀부보쌈 광주계림점|1층;1층|||81018
놀부보쌈|광주동구점|||놀부보쌈|062-222-0963||광주 동구 황금동 13-9|예약가능;포장가능;배달가능;주차가능|10:00   24:00|||||놀부보쌈 광주동구점||||81018
놀부보쌈|광주두암점|||놀부보쌈|062-251-6392||광주 북구 두암동 969-3|예약가능;포장가능;배달가능;주차가능|11:00   23:00|||||놀부보쌈 광주두암점||||81018
놀부보쌈|광주문흥점|||놀부보쌈|062-266-5382||광주 북구 문흥2동 1001-8|예약가능;포장가능;배달가능;주차가능|10:00   22:00|||||놀부보쌈 광주문흥점|1층 (광주광역시 북구 문산로 27-8);1층 (광주광역시 북구 문산로 27-8)|||81018
놀부보쌈|광주봉선점|||놀부보쌈|062-655-5382|광주 남구 봉선동 봉선중앙로 51||예약불가능;포장가능;배달가능;주차가능|10:00   22:00|||||놀부보쌈 광주봉선점||||81018
놀부보쌈|광주북구점|||놀부보쌈|062-264-0963||광주 북구 용봉동 152-12|예약가능;포장가능;배달가능;주차가능|11:30   24:00|||||놀부보쌈 광주북구점||||81018
놀부보쌈|광주빛고을점|||놀부보쌈|062-572-0054||광주 북구 신용동 725|예약가능;포장가능;배달가능;주차가능|10:00   23:00|||||놀부보쌈 광주빛고을점|(광주 북구 첨단연신로 107번길 5-10 202호;(광주 북구 첨단연신로 107번길 5-10 202호|||81018
놀부보쌈|광주상무2호점|||놀부보쌈|062-383-0131||광주 서구 치평동 1187-2|예약가능;포장가능;배달가능;주차가능|11:00   22:00|||||놀부보쌈 광주상무2호점|월계수타운 113,114호;월계수타운 113,114호|||81018
놀부보쌈|광주상무점|||놀부보쌈|062-267-0963||광주 서구 치평동 1222-1|예약가능;포장가능;배달가능;주차가능|10:00   22:00|||||놀부보쌈 광주상무점|1층 102;1층 102|||81018
놀부보쌈|광주송정점|||놀부보쌈|062-942-4466||광주 광산구 송정동 895-1|예약가능;포장가능;배달가능;주차가능|11:00   23:00|||||놀부보쌈 광주송정점||||81018
놀부보쌈|광주수완점|||놀부보쌈|062-962-5382||광주 광산구 수완동 1547|예약가능;포장가능;배달가능;주차가능|11:30   22:30|||||놀부보쌈 광주수완점||||81018
놀부보쌈|광주용봉점|||놀부보쌈|062-524-5200||광주 북구 용봉동 1386-2|예약불가능;포장가능;배달불가능;주차가능||||||놀부보쌈 광주용봉점||||81018
놀부보쌈|광주우산점|||놀부보쌈|062-611-7382||광주 광산구 우산동 1587-1|예약불가능;포장가능;배달가능;주차가능|11:00   22:00|||||놀부보쌈 광주우산점|301호;301호|||81018
놀부보쌈|광주운암점|||놀부보쌈|062-511-1636|광주광역시 북구 서강로 77-1||예약불가능;포장가능;배달불가능;주차가능||||||놀부보쌈 광주운암점||||81018
놀부보쌈|광주일곡점|||놀부보쌈|062-571-1500||광주 북구 일곡동 833-4|예약불가능;포장가능;배달가능;주차가능|11:00   22:00|||||놀부보쌈 광주일곡점||||81018
놀부보쌈|광주진월점|||놀부보쌈|062-412-6562||광주 남구 진월동 261|예약불가능;포장가능;배달가능;주차가능|11:00   23:00|||||놀부보쌈 광주진월점|2층;2층|||81018
놀부보쌈|광주학동점|||놀부보쌈|062-228-6688||광주 동구 학동 750-71|예약가능;포장가능;배달가능;주차가능|11:00   22:00|||||놀부보쌈 광주학동점|2층;2층|||81018
놀부보쌈|광주화정점|||놀부보쌈|062-373-8890||광주 서구 화정동 835-16|예약불가능;포장가능;배달가능;주차불가능|10:00   22:00|||||놀부보쌈 광주화정점|(도로명: 광주 서구 월드컵4강로 48-1);(도로명: 광주 서구 월드컵4강로 48-1)|||81018
놀부보쌈|광화문오피시아점|||놀부보쌈|02-734-3037||서울 종로구 신문로1가 163|예약가능;포장가능;배달가능;주차불가능|10:30   22:00|||||놀부보쌈 광화문오피시아점||||81018
놀부보쌈|광화문LG점|||놀부보쌈|02-725-8892||서울 종로구 신문로2가 92|예약불가능;포장가능;배달불가능;주차가능||||||놀부보쌈 광화문LG점||||81018
놀부보쌈|구로역점|||놀부보쌈|02-2635-5382||서울 구로구 구로동 603-9|예약불가능;포장가능;배달불가능;주차불가능|11:30   22:30|||||놀부보쌈 구로역점|(서울 구로구 경인로 572) 2층;(서울 구로구 경인로 572) 2층|||81018
놀부보쌈|구리수택점|||놀부보쌈|031-558-5382||경기 구리시 수택동 448|예약불가능;포장가능;배달불가능;주차불가능|11:00   22:00|||||놀부보쌈 구리수택점|내 제4동;내 제4동|||81018
놀부보쌈|구미공단점|||놀부보쌈|054-444-3939|경북 구미시 1공단로 198-7||예약불가능;포장가능;배달불가능;주차가능||||||놀부보쌈 구미공단점|(공단동 263-2);(공단동 263-2)|||81018
놀부보쌈|구미상모점|||놀부보쌈|054-464-3633||경북 구미시 상모동 65-8|예약가능;포장가능;배달가능;주차가능|10:00   22:00|||||놀부보쌈 구미상모점||||81018
놀부보쌈|구미신평점|||놀부보쌈|054-463-7711|경상북도 구미시 신평동 구미대로 390||예약가능;포장가능;배달가능;주차가능|11:30   24:00|||||놀부보쌈 구미신평점|1층;1층|||81018
