##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@코넥스기업
골든블루||||코넥스기업|051-727-2883|부산광역시 기장군 정관면 농공길 89-2||||||||골든블루||||210203
골프존데카||||코넥스기업|1644-8481|경기도 성남시 분당구 야탑로 98||||||||골프존데카|신도리코빌딩 8층|||210203
관악산업||||코넥스기업|02-2240-7900|서울특별시 송파구 올림픽로 293-19||||||||관악산업|(신천동,현대타워빌딩 2층)|||210203
교육혁명||||코넥스기업|053-358-7992|대구시 북구 침산남로 172||||||||교육혁명|5~6층 (침산동)|||210203
구스앤홈||||코넥스기업|02-2157-0123|서울특별시 송파구 송파대로 55||||||||구스앤홈|에이동 607호 (장지동,서울복합물류)|||210203
굿센||||코넥스기업|02-368-8055|서울특별시 서초구 반포대로 22||||||||굿센|7층 (서초동,서초평화빌딩)|||210203
그린플러스||||코넥스기업|041-332-6421|충남 예산군 응봉면 응봉로 50-42||||||||그린플러스||||210203
끄렘드라끄렘||||코넥스기업|02-511-6693|서울시 강남구 언주로 168길 21||||||||끄렘드라끄렘|1층 (신사동)|||210203
나눔테크||||코넥스기업|062-955-8588|광주광역시 북구 첨단벤처소로 57||||||||나눔테크|(월출동)|||210203
나라소프트||||코넥스기업|02-3487-7988|서울특별시 서초구 강남대로 163||||||||나라소프트|2층 (양재동,혜인빌딩)|||210203
내일신문||||코넥스기업|02-738-9010|서울특별시 종로구 새문안로 43||||||||내일신문|(신문로2가)|||210203
네오플럭스||||코넥스기업|02-560-9760|서울특별시 강남구 테헤란로 534||||||||네오플럭스|(대치동,글라스타워빌딩)|||210203
네추럴FNP||||코넥스기업|043-211-1056|충청북도 청주시 청원구 오창읍 양청송대길 39||||||||네추럴FNP||||210203
넷마블네오||||코넥스기업|02-2271-8603|서울특별시 구로구 디지털로 300||||||||넷마블네오|(구로동,지밸리비즈플라자) 9층|||210203
노브메타파마||||코넥스기업|02-538-1893|서울특별시 강남구 언주로 727||||||||노브메타파마|13층 (논현동,트리스빌딩)|||210203
뉴젠홀딩스||||코넥스기업|02-1544-7230|서울시 구로구 디지털로 26길 61||||||||뉴젠홀딩스|602호 (구로동,에이스하이엔드타워 2차)|||210203
다원넥스뷰||||코넥스기업|031-8085-3013|경기도 안산시 단원구 시화호수로 485||||||||다원넥스뷰||||210203
다이노나||||코넥스기업|02-578-0810|서울특별시 송파구 올림픽로43길 88||||||||다이노나|아산생명과학 11층 (풍납동,서울아산병원)|||210203
다이오진||||코넥스기업|031-701-6488|경기도 성남시 분당구 판교로 255번길 9-22||||||||다이오진|302호 (삼평동,우림더블유시티)|||210203
대동고려삼||||코넥스기업|041-753-8803|충남 금산군 군북면 군북로 586||||||||대동고려삼||||210203
대영씨엔이||||코넥스기업|033-650-9000|강원도 강릉시 사천면 과학단지로 202-25||||||||대영씨엔이||||210203
대우산업개발||||코넥스기업|02-6244-7000|인천시 연수구 컨벤시아대로 69||||||||대우산업개발|601호 (송도동,송도밀레니엄)|||210203
대원모방||||코넥스기업|043-275-9181|충청북도 청주시 흥덕구 공단로126번길 37||||||||대원모방||||210203
대주이엔티||||코넥스기업|070-7015-1323|인천광역시 중구 신포로 4||||||||대주이엔티|(사동)|||210203
더존다스||||코넥스기업|02-6233-3000|강원도 춘천시 남산면 버들1길 130||||||||더존다스||||210203
더치카페||||코넥스기업|02-851-3390|서울특별시 금천구 가산디지털1로 25||||||||더치카페|806호,807호 (가산동,대륭테크노타워 17차)|||210203
더콘텐츠온||||코넥스기업|02-2183-1930|서울특별시 강남구 테헤란로 322||||||||더콘텐츠온|동관 601호,602호,603호,604호,605호 (역삼동,한신인터밸리24)|||210203
데이터스트림즈||||코넥스기업|02-3473-9077|서울특별시 서초구 사임당로 28||||||||데이터스트림즈|6층 (서초동,청호나이스)|||210203
동진건설||||코넥스기업|054-974-9694|경북 칠곡군 동명면 금암2길 1||||||||동진건설||||210203
두원석재||||코넥스기업|070-4280-7529||강원도 원주시 귀래면 귀래리 317|||||||두원석재|주식회사 두원석재|||210203
듀켐바이오||||코넥스기업|02-332-4868|서울특별시 서대문구 경기대로 47||||||||듀켐바이오|진양빌딩 4층 동관|||210203
드림텍||||코넥스기업|041-532-4070|충청남도 아산시 신창면 서부북로 929||||||||드림텍||||210203
드림티엔터테인먼트||||코넥스기업|02-3452-2525|서울특별시 용산구 녹사평대로26길 36||||||||드림티엔터테인먼트|C&C빌딩 2층 (이태원동)|||210203
디비메탈||||코넥스기업|02-3484-1800|서울시 강남구 테헤란로 432||||||||디비메탈|(대치동) 동부금융센터 21층|||210203
디피코||||코넥스기업|031-688-1500|경기도 군포시 공단로140번길 47-7||||||||디피코||||210203
라온테크||||코넥스기업|031-492-0277|경기도 수원시 권선구 산업로156번길 88-4||||||||라온테크|(고색동)|||210203
라이프사이언스테크놀로지||||코넥스기업|070-8620-8020|서울특별시 강서구 양천로 401||||||||라이프사이언스테크놀로지|B-1207 (가양동,강서한강자이타워)|||210203
래몽래인||||코넥스기업|02-761-9978|서울특별시 강남구 언주로 729||||||||래몽래인|12층 (논현동,마스터스729빌딩)|||210203
럭스피아||||코넥스기업|070-8671-2530|경기도 수원시 영통구 광교로 109||||||||럭스피아|10층 (이의동,나노소자특화팹센터)|||210203
로보쓰리||||코넥스기업|02-544-9145|서울특별시 강남구 봉은사로18길 85||||||||로보쓰리|BM빌딩 2층|||210203
롯데글로벌로지스||||코넥스기업|02-2170-3355|서울특별시 종로구 율곡로 194||||||||롯데글로벌로지스||||210203
루켄테크놀러지스||||코넥스기업|070-8633-8009|경기도 이천시 마장면 중부대로2670번길 94||||||||루켄테크놀러지스||||210203
리독스바이오||||코넥스기업|031-353-6451|경기도 화성시 향남읍 제약공단3길 83||||||||리독스바이오|(상신리)|||210203
리메드||||코넥스기업|042-934-5560|대전광역시 유성구 테크노2로 187||||||||리메드|(용산동,미건테크노월드2 301호)|||210203
마이다스IT||||코넥스기업|031-789-2098|경기도 성남시 분당구 판교로 228번길 17||||||||마이다스IT|(삼평동,마이다스아이티)|||210203
매일방송||||코넥스기업|02-2000-3072|서울특별시 중구 퇴계로 190||||||||매일방송|매경미디어센터|||210203
메가젠임플란트||||코넥스기업|053-222-2820|대구광역시 달성군 다사읍 세천로7길 45||||||||메가젠임플란트|(세천리)|||210203
메디쎄이||||코넥스기업|031-879-0414|충청북도 제천시 한방엑스포로 129||||||||메디쎄이|(제천시 왕암동 1389)|||210203
메디안디노스틱||||코넥스기업|033-244-0100|강원도 춘천시 동내면 순환대로 878||||||||메디안디노스틱||||210203
메디젠휴먼케어||||코넥스기업|02-555-9808|서울특별시 강남구 테헤란로 223||||||||메디젠휴먼케어|큰길타워빌딩 20층|||210203
메디포럼||||코넥스기업|02-465-1777|경기도 군포시 군포로 488-1||||||||메디포럼|3층 (당동,흥명빌딩)|||210203
명진홀딩스||||코넥스기업|070-7561-9468|서울특별시 서초구 서초중앙로 41||||||||명진홀딩스|대성빌딩 9층|||210203
모아정보기술||||코넥스기업|1566-1291|서울시 구로구 디지털로 30길 28||||||||모아정보기술|507호 (구로동 마리오타워)|||210203
모헤닉게라지스||||코넥스기업|031-945-5514|전라남도 영암군 삼호읍 용당로 358||||||||모헤닉게라지스||||210203
미디어젠||||코넥스기업|02-6429-7100|경기도 성남시 분당구 성남대로925번길 41||||||||미디어젠|4층 (야탑동,파인벤처빌딩)|||210203
미라콤아이앤씨||||코넥스기업|02-2125-6967|서울시 송파구 올림픽로 35길 123||||||||미라콤아이앤씨|10층 (신천동,향군타워)|||210203
미애부||||코넥스기업|1577-1401|경기도 성남시 중원구 갈마치로 215||||||||미애부|금강펜테리움IT타워 에이동 -808 (상대원동)|||210203
미코바이오메드||||코넥스기업|02-2025-3019|경기도 성남시 수정구 창업로 54||||||||미코바이오메드|가동 3층,4층 (시흥동,LH기업성장센터)|||210203
