##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@태권도장
청훈/체육관||||태권도장|029817938||서울 강북구 미아5동 469-42|||||||청훈 체육관||||20311
태선문/체육관||||태권도장|980-5356|서울 강북구 삼양로 231||||||||태선문 체육관|2층 (미아동)|||20311
한빛/체육관||||태권도장|985-5425||서울 강북구 미아동 1353-5|||||||한빛 체육관|SK아파트상가 123호|||20311
한양/체육관||||태권도장|993-1716||서울 강북구 번1동 462-18|||||||한양 체육관||||20311
한진/체육관||||태권도장|984-8109||서울 강북구 번3동 139|||||||한진 체육관|한진그랑빌 상가 2층|||20311
강서원도/체육관||||태권도장|2666-5252|서울특별시 강서구 초원로10길 12-4||||||||강서원도 체육관|(방화동)|||20311
강서종합/체육관||||태권도장|2602-5225||서울 강서구 화곡동 969-11|||||||강서종합 체육관||||20311
명성태권도/체육관||||태권도장|2666-7989||서울 강서구 방화2동 614-172|||||||명성태권도 체육관||||20311
한국체대호랑이||||태권도장|2605-1360|서울특별시 강서구 우현로 15||||||||한국체대호랑이|2층|||20311
공항경희/체육관||||태권도장|02-2666-5580||서울 강서구 공항동 60-173|||||||공항경희 체육관|대성빌딩 2층|||20311
공항국제/체육관||||태권도장|2666-7559||서울 강서구 공항동 34-50|||||||공항국제 체육관||||20311
꿈나무/체육관||||태권도장|070-8275-6017||서울 강서구 가양동 5단지상가 |||||||꿈나무 체육관||||20311
남부/체육관||||태권도장|2643-2282||서울 강서구 화곡4동 802-19|||||||남부 체육관||||20311
대한/체육관||||태권도장|2608-4631|서울 강서구 가로공원로76가길 53||||||||대한 체육관|4층 (화곡동)|||20311
대호/체육관||||태권도장|26639754||서울 강서구 방화1동 876|||||||대호 체육관|우림@2차 상가 2층|||20311
도산/체육관||||태권도장|02-3664-2456||서울 강서구 내발산2동 산4-5|||||||도산 체육관||||20311
동국/체육관||||태권도장|02-2695-4160||서울 강서구 화곡8동 339-2|||||||동국 체육관||||20311
로뎀/체육관||||태권도장|3662-0105||서울 강서구 내발산동 663-10|||||||로뎀 체육관|2층|||20311
백두산/체육관||||태권도장|26626162||서울 강서구 방화동 559-1|||||||백두산 체육관|3층|||20311
염창경희/체육관||||태권도장|3665-9922||서울 강서구 염창동 270-1|||||||염창경희 체육관|태영송화아파트단지내상가 2층|||20311
용인대/체육관||||태권도장|2666-8281||서울 강서구 방화3동 324-3|||||||용인대 체육관|동우빌딩4층|||20311
으뜸/체육관||||태권도장|2665-5077||서울 강서구 방화1동 601-3|||||||으뜸 체육관||||20311
일심/체육관||||태권도장|3664-6886||서울특별시 강서구 염창동 249-15|||||||일심 체육관|3층|||20311
정곡/체육관||||태권도장|2658-8481||서울 강서구 등촌동 택지개발아파트-4블럭 |||||||정곡 체육관||||20311
정무/체육관||||태권도장|02-2668-5747||서울 강서구 가양동 가양아파트 8단지상가 304호 |||||||정무 체육관||||20311
정재환/체육관||||태권도장|2659-8586||서울 강서구 염창동 동아아파트단지내상가 401호 |||||||정재환 체육관||||20311
제일/체육관||||태권도장|2608-9582||서울 강서구 화곡7동 368-68|||||||제일 체육관||||20311
한국가양/체육관||||태권도장|36659333||서울 강서구 가양3동 1488|||||||한국가양 체육관|가양프라자 501호|||20311
한국명성/체육관||||태권도장|3665-2265||서울특별시 강서구 등촌3동 697-1|||||||한국명성 체육관|그랜드종합상가 5층|||20311
한미/체육관||||태권도장|02-2654-3890||서울특별시 강서구 등촌2동 526-3|||||||한미 체육관||||20311
해봉/체육관||||태권도장|2658-8336||서울 강서구 등촌1동 상업용지 3-1|||||||해봉 체육관||||20311
화곡문무/체육관||||태권도장|0226992937||서울 강서구 화곡본동 24-287|||||||화곡문무 체육관||||20311
화곡한국/체육관||||태권도장|2608-3919||서울 강서구 화곡본동 51-89|||||||화곡한국 체육관|201호 5층|||20311
관악본관/체육관||||태권도장|864-0407||서울 관악구 신림1동 1630-2|||||||관악본관 체육관||||20311
금메달/체육관||||태권도장|830-4824||서울 관악구 신림13동 704-65|||||||금메달 체육관||||20311
남부/체육관||||태권도장|8562221||서울 관악구 신림동 637-16|||||||남부 체육관||||20311
대원/체육관||||태권도장|855-7998||서울 관악구 신림1동 1636-35|||||||대원 체육관||||20311
대한/체육관||||태권도장|02-830-8687||서울 관악구 신림동 540|||||||대한 체육관|2호|||20311
대호/체육관||||태권도장|882-1349||서울 관악구 봉천동 1636-21|||||||대호 체육관||||20311
삼성/체육관||||태권도장|884-4686||서울 관악구 봉천8동 921-35|||||||삼성 체육관|2층|||20311
석사/체육관||||태권도장|873-8487||서울 관악구 봉천4동 1590-7|||||||석사 체육관|3층|||20311
석사경희/체육관||||태권도장|586-7676|서울 관악구 남현4길 1||||||||석사경희 체육관|301호 (남현동)|||20311
선무||||태권도장|883-1112||서울 관악구 신림5동 1432-162|||||||선무||||20311
세계/체육관||||태권도장|863-4112||서울 관악구 신림7동 670-20|||||||세계 체육관||||20311
세일/체육관||||태권도장|886-7195|서울 관악구 신림로29길 8||||||||세일 체육관|상가 A상가 209호 (신림동,신림현대아파트)|||20311
신성/체육관||||태권도장|855-2810||서울 관악구 신림4동 487-19|||||||신성 체육관||||20311
원도/체육관||||태권도장|028719111|서울특별시 관악구 서림길 3||||||||원도 체육관|3층 (신림동)|||20311
은천/체육관||||태권도장|878-0066||서울 관악구 봉천9동 937-1|||||||은천 체육관||||20311
정무/체육관||||태권도장|8749444||서울 관악구 봉천1동 952-1|||||||정무 체육관||||20311
주한외국인/체육관||||태권도장|884-5833||서울 관악구 봉천1동 721-6|||||||주한외국인 체육관||||20311
태풍/체육관||||태권도장|63342000|서울 관악구 성현로 80||||||||태풍 체육관|302호 (봉천동,관악드림타운아파트)|||20311
포올/체육관||||태권도장|873-2501||서울 관악구 봉천3동 관악현대아파트상가2층 202호 |||||||포올 체육관||||20311
대산||||태권도장|883-6675||관악구 봉천본동 902-8|||||||대산||||20311
한일/체육관||||태권도장|873-5506|서울특별시 관악구 신림로 264||||||||한일 체육관|4층 (신림동)|||20311
현대경희/체육관||||태권도장|888-8619||서울 관악구 봉천3동 1000|||||||현대경희 체육관|현대@상가 407호|||20311
현대호키/체육관||||태권도장|876-5339||서울 관악구 봉천8동 929-2|||||||현대호키 체육관||||20311
호림/체육관||||태권도장|886-6622||서울 관악구 신림10동 1704-3|||||||호림 체육관||||20311
군자/체육관||||태권도장|465-7830|서울 광진구 긴고랑로 42||||||||군자 체육관|3층 (중곡동)|||20311
동아/체육관||||태권도장|446-7976||서울 광진구 자양3동 792|||||||동아 체육관|현대아파트10차 상가|||20311
문무중앙/체육관||||태권도장|02-446-6558||서울 광진구 구의동 48-6|||||||문무중앙 체육관||||20311
연세/정훈||||태권도장|3409-0992|서울 광진구 능동로6길 14||||||||연세 정훈|B01호 (자양동)|||20311
백호/체육관||||태권도장|3436-3888||서울 광진구 중곡2동 161-28|||||||백호 체육관||||20311
백호2/체육관||||태권도장|447-6793||서울 광진구 중곡4동 58-18|||||||백호2 체육관||||20311
보성/체육관||||태권도장|2201-2039||서울 광진구 광장동 453-1|||||||보성 체육관||||20311
연세석사/체육관||||태권도장|3437-7333||서울 광진구 구의3동 현대프라임아파트상가 |||||||연세석사 체육관||||20311
영광/체육관||||태권도장|4477008||서울 광진구 중곡2동 124-65|||||||영광 체육관|3층|||20311
용맹/체육관||||태권도장|453-2214||서울 광진구 중곡4동 82-1|||||||용맹 체육관||||20311
장안/체육관||||태권도장|497-6847||서울특별시 광진구 군자동 64-1|||||||장안 체육관||||20311
정훈/체육관||||태권도장|452-2328|서울 광진구 자양로 172||||||||정훈 체육관|B101호 (구의동,솔렌시아2)|||20311
정훈3/체육관||||태권도장|464-2454||서울 광진구 군자동 355-10|||||||정훈3 체육관||||20311
정훈7/체육관||||태권도장|456-1931||서울 광진구 광장동 576|||||||정훈7 체육관||||20311
조양/체육관||||태권도장|464-5073||서울 광진구 노유동 9-5|||||||조양 체육관||||20311
중앙/체육관||||태권도장|435-5355||서울 광진구 중곡3동 571-3|||||||중앙 체육관||||20311
충효/체육관||||태권도장|466-7434||서울 광진구 중곡3동 169-21|||||||충효 체육관||||20311
한국화랑/체육관||||태권도장|02-446-3237||서울 광진구 자양동 600-15|||||||한국화랑 체육관||||20311
현대/체육관||||태권도장|446-9433||서울 광진구 자양동 621-18|||||||현대 체육관|2층|||20311
호랑이/체육관||||태권도장|461-0520||서울 광진구 광장동 114|||||||호랑이 체육관|포슬렌 스포츠센터 내|||20311
호랑이/체육관||||태권도장|971-9003|서울특별시 광진구 광나루로 566||||||||호랑이 체육관|2층|||20311
화랑/체육관||||태권도장|462-1827|서울 광진구 뚝섬로54길 74||||||||화랑 체육관|현대5차 상가 302 (자양동,현대아파트)|||20311
가리봉/체육관||||태권도장|02-855-7314||서울 구로구 가리봉동 115-221|||||||가리봉 체육관|3층|||20311
개명/체육관||||태권도장|2615-5803||서울 구로구 개봉3동 386-10|||||||개명 체육관||||20311
개봉/체육관||||태권도장|2612-6119||서울 구로구 개봉2동 262-29|||||||개봉 체육관||||20311
개봉경희/체육관||||태권도장|2066-0066||서울 구로구 개봉동 481|||||||개봉경희 체육관|현대아파트상가 2동 305호|||20311
개웅/체육관||||태권도장|26874222||서울 구로구 개봉동 349-1|||||||개웅 체육관|4층|||20311
경희대/체육관||||태권도장|856-5555||서울 구로구 구로5동 552-8|||||||경희대 체육관|대원빌딩 5층|||20311
고척/체육관||||태권도장|2612-9293||서울 구로구 고척1동 46-21|||||||고척 체육관||||20311
구일/체육관||||태권도장|028570991||서울 구로구 구로1동 685-155|||||||구일 체육관|구일프라자 302호|||20311
극동/체육관||||태권도장|862-8724||서울 구로구 구로6동 314-1|||||||극동 체육관||||20311
매봉/체육관||||태권도장|26838176||서울 구로구 개봉1동 97-3|||||||매봉 체육관||||20311
백암/체육관||||태권도장|853-2734||서울 구로구 구로5동 111-41|||||||백암 체육관||||20311
백호총본관/체육관||||태권도장|2677-3569||서울 구로구 신도림동 393-26|||||||백호총본관 체육관||||20311
석사/체육관||||태권도장|856-7557||서울 구로구 구로6동 74-30|||||||석사 체육관|현대아파트상가 3층|||20311
솔잎/체육관||||태권도장|867-5051||서울 구로구 구로동 685-448|||||||솔잎 체육관|신영상가 2층|||20311
고려||||태권도장|02-2688-9007||서울 구로구 오류2동 156|||||||고려||||20311
신개명/체육관||||태권도장|2612-4772||서울 구로구 개봉동 327-22|||||||신개명 체육관||||20311
신고척/체육관||||태권도장|26139409||서울 구로구 고척1동 326|||||||신고척 체육관|청구아파트상가 3층|||20311
신도림경희/체육관||||태권도장|2636-8977||서울 구로구 신도림동 현대아파트단지내상가 |||||||신도림경희 체육관||||20311
아람/체육관||||태권도장|02-868-2020||서울 구로구 구로1동 685-147|||||||아람 체육관||||20311
오류경희대/체육관||||태권도장|2617-0094||서울 구로구 오류동 338|||||||오류경희대 체육관|동부골든아파트상가 3층|||20311
용인대석사/체육관||||태권도장|2684-2514||서울 구로구 고척2동 216-3|||||||용인대석사 체육관||||20311
청우/체육관||||태권도장|02-2060-1243||서울 구로구 개봉2동 259-15|||||||청우 체육관||||20311
타이거/체육관||||태권도장|2611-3774||서울 구로구 개봉동 180-1|||||||타이거 체육관|한마을아파트상가 207-304|||20311
현대||||태권도장|2625-6333||서울 구로구 개봉동 480|||||||현대|홈타운상가 2층|||20311
황호/체육관||||태권도장|2684-5623||서울 구로구 온수동 45-34|||||||황호 체육관||||20311
천하/체육관||||태권도장|854-7972||서울 금천구 독산동 63|||||||천하 체육관|(독산동977-24)|||20311
금동/체육관||||태권도장|803-4050||서울 금천구 시흥2동 266|||||||금동 체육관|벽산5단지상가 3층|||20311
금천/체육관||||태권도장|804-7840||서울 금천구 시흥5동 827-23|||||||금천 체육관||||20311
대호/체육관||||태권도장|8075557||서울 금천구 시흥4동 799-36|||||||대호 체육관|3층|||20311
덕승/체육관||||태권도장|02-804-2597||서울 금천구 독산2동 1061-48|||||||덕승 체육관||||20311
독수리/체육관||||태권도장|862-7004||서울 금천구 독산1동 301-25|||||||독수리 체육관||||20311
문성태비/체육관||||태권도장|02-862-4905||서울 금천구 독산동 982-1|||||||문성태비 체육관||||20311
백호/체육관||||태권도장|809-6321|서울특별시 금천구 시흥대로68길 87||||||||백호 체육관|2층 (시흥동)|||20311
본동/체육관||||태권도장|896-2934||서울 금천구 시흥5동 935-2|||||||본동 체육관||||20311
새고려/체육관||||태권도장|809-3600||서울 금천구 시흥5동 831-1|||||||새고려 체육관||||20311
선무/체육관||||태권도장|805-4519||서울 금천구 독산1동 331-43|||||||선무 체육관||||20311
성무/체육관||||태권도장|028532177||서울 금천구 독산4동 184-3|||||||성무 체육관||||20311
정훈/체육관||||태권도장|856-8333||서울 금천구 가산동 152-16호 성현빌딩 |||||||정훈 체육관||||20311
톱용인/체육관||||태권도장|02-898-1551||서울 금천구 독산1동 1095|||||||톱용인 체육관|한신아파트상가|||20311
하늘/체육관||||태권도장|806-7106||서울 금천구 시흥5동 926|||||||하늘 체육관|3층|||20311
경희석사||||태권도장|803-9272||서울 금천구 시흥동 493-2|||||||경희석사||||20311
호암/체육관||||태권도장|803-0720||서울 금천구 시흥3동 270-4|||||||호암 체육관||||20311
호키신승/체육관||||태권도장|802-8288||서울 금천구 시흥동 794-11|||||||호키신승 체육관|3층 301호|||20311
화랑/체육관||||태권도장|805-6464||서울 금천구 시흥동 954-30|||||||화랑 체육관|2층|||20311
당현제2/체육관||||태권도장|952-6400||서울 노원구 상계6동 767-6|||||||당현제2 체육관||||20311
경희대상경/체육관||||태권도장|939-3222||서울 노원구 상계8동 주공15단지 꿈동산 유치원내 |||||||경희대상경 체육관||||20311
경희대중앙/체육관||||태권도장|02-931-7026|서울특별시 노원구 동일로239나길 19||||||||경희대중앙 체육관|3층|||20311
공릉/체육관||||태권도장|974-2403||서울 노원구 공릉동 743|||||||공릉 체육관|한보상가 3층|||20311
공릉평화/체육관||||태권도장|02-978~7126||서울 노원구 공릉동 1.3 708|||||||공릉평화 체육관|공릉종합사회복지관 3층|||20311
금메달/체육관||||태권도장|935-0995|서울 노원구 동일로 1619||||||||금메달 체육관|스타빌딩 202호 (상계동)|||20311
금메달2관/체육관||||태권도장|02-939-3669||서울 노원구 상계1동 1265|||||||금메달2관 체육관|벽운아파트상가동 2층|||20311
금빛/체육관||||태권도장|952-9966|서울특별시 노원구 노원로 522||||||||금빛 체육관|상가2층 (상계동)|||20311
노원/체육관||||태권도장|971-7339||서울 노원구 하계동 131|||||||노원 체육관|벽산아파트상가 410|||20311
노원경희/체육관||||태권도장|02-935-5003||서울 노원구 상계동 728-7|||||||노원경희 체육관|올림피아상가|||20311
대한/체육관||||태권도장|995-2177||서울 노원구 월계동 907|||||||대한 체육관||||20311
용인대/미르/체육관||||태권도장|997-7369||서울 노원구 월계동 주공2단지 유치원 상가 |||||||용인대 미르 체육관||||20311
동부상하/체육관||||태권도장|937-3254||서울특별시 노원구 상계1동 1113-58|||||||동부상하 체육관|(지층)|||20311
무궁화/체육관||||태권도장|029395869||서울특별시 노원구 중계동 426-27|||||||무궁화 체육관||||20311
미래/체육관||||태권도장|971-4332||서울 노원구 공릉1동 567-5|||||||미래 체육관||||20311
백두산/체육관||||태권도장|9491717||서울 노원구 공릉1동 366-2|||||||백두산 체육관||||20311
삼호/체육관||||태권도장|978-5952||서울 노원구 월계동 12|||||||삼호 체육관||||20311
선/체육관||||태권도장|934-3811||서울 노원구 상계동 692-2|||||||선 체육관||||20311
수락경희대/체육관||||태권도장|6223-1400||서울 노원구 상계1동 1258|||||||수락경희대 체육관|오피앙 210|||20311
연세월드/체육관||||태권도장|938-7111||서울 노원구 상계3동 1289|||||||연세월드 체육관|불암대림상가 204호|||20311
용문/체육관||||태권도장|930-8002||서울특별시 노원구 상계동 389-520|||||||용문 체육관||||20311
용인대노원/체육관||||태권도장|915-7339||서울 노원구 월계1동 929|||||||용인대노원 체육관|현대아파트상가 310호|||20311
용인대상록/체육관||||태권도장|02-937-1359||서울 노원구 상계2동 581-6|||||||용인대상록 체육관|동진상가 505호|||20311
월계꿈나무/체육관||||태권도장|999-3102||서울 노원구 월계2동 청매아파트 1단지상가 |||||||월계꿈나무 체육관||||20311
월드태권도아카데미||||태권도장|948-0915||서울 노원구 중계동 512|||||||월드태권도아카데미|(2단지 무지개상가)|||20311
유신/체육관||||태권도장|979-0443||서울특별시 노원구 월계3동 18|||||||유신 체육관|그랑빌A 주상가동 지층 102호|||20311
은빛/체육관||||태권도장|9332620||서울 노원구 상계1동 1256|||||||은빛 체육관|은빛아파트 2단지 상가3층|||20311
이박사/체육관||||태권도장|977-1737||서울 노원구 월계동 13|||||||이박사 체육관|(고층APT)|||20311
청구경희/체육관||||태권도장|971-3424||서울 노원구 하계2동 354|||||||청구경희 체육관|학여울청구아파트상가2층|||20311
태양/체육관||||태권도장|979-1939||서울 노원구 공릉동 323-21|||||||태양 체육관||||20311
한국/체육관||||태권도장|9397535||서울 노원구 상계동 649-1|||||||한국 체육관|다래빌딩 402|||20311
한국체대강북/체육관||||태권도장|948-0119||서울 노원구 공릉3동 726|||||||한국체대강북 체육관|풍림아파트상가 2층 123|||20311
한국체대중평/체육관||||태권도장|979-7235||서울 노원구 중계동 505|||||||한국체대중평 체육관|롯데상가 303호|||20311
현대/체육관||||태권도장|974-2527||서울 노원구 공릉2동 335-15|||||||현대 체육관||||20311
화랑/체육관||||태권도장|974-9798||서울 노원구 중계동 시영1단지 유치원상가 |||||||화랑 체육관||||20311
한양대/세심||||태권도장|938-3133||서울 노원구 상계3동 대림아파트상가 3층 |||||||한양대 세심||||20311
대우/체육관||||태권도장|998-2238||서울 도봉구 창2동 593-12|||||||대우 체육관||||20311
방학/체육관||||태권도장|3491-7136||서울 도봉구 방학2동 668-32|||||||방학 체육관|(3층)|||20311
백두장안/체육관||||태권도장|903-2806|서울 도봉구 도봉로109길 30||||||||백두장안 체육관|3층 (쌍문동)|||20311
쌍문경희/체육관||||태권도장|991-9921||서울 도봉구 쌍문4동 176|||||||쌍문경희 체육관|한양프라자5층|||20311
창도/체육관||||태권도장|3494-5772||서울 도봉구 방학동 720-1|||||||창도 체육관|대상타운현대아파트 309호|||20311
충효/체육관||||태권도장|3492-1535||서울 도봉구 방학2동 630-20|||||||충효 체육관||||20311
탑/체육관||||태권도장|996-0045||서울 도봉구 쌍문동 723|||||||탑 체육관|신원프라자|||20311
튼튼/체육관||||태권도장|990-5040||서울 도봉구 창4동 주공19단지 상가201호 |||||||튼튼 체육관||||20311
한성/체육관||||태권도장|34913911||서울 도봉구 방학동 313-3|||||||한성 체육관||||20311
경희원도/체육관||||태권도장|02-2244-3663||서울 동대문구 장안3동 355-1|||||||경희원도 체육관||||20311
답십리용인/체육관||||태권도장|2241-7442||서울특별시 동대문구 답십리2동 265-3|||||||답십리용인 체육관|3층|||20311
대림/체육관||||태권도장|964-8787||서울 동대문구 이문3동 대림아파트상가 3층 |||||||대림 체육관||||20311
동아/체육관||||태권도장|967-6291||서울 동대문구 제기2동 662|||||||동아 체육관||||20311
명성/체육관||||태권도장|968-5554||서울 동대문구 이문2동 393-9|||||||명성 체육관||||20311
비룡/체육관||||태권도장|02-2213-7883||서울 동대문구 전농4동 270-42|||||||비룡 체육관||||20311
오륜/체육관||||태권도장|2212-8488||서울 동대문구 답십리2동 80|||||||오륜 체육관||||20311
용광용인/체육관||||태권도장|2242-2917||서울 동대문구 답십리1동 263-1|||||||용광용인 체육관||||20311
용두장안/체육관||||태권도장|923-0656|서울특별시 동대문구 약령시로 18||||||||용두장안 체육관|3층 (제기동)|||20311
우성거룡/체육관||||태권도장|2248-0425||서울 동대문구 전농3동 우성아파트상가 3층 |||||||우성거룡 체육관||||20311
장안/체육관||||태권도장|2244-0139||서울 동대문구 장안동 331-13|||||||장안 체육관||||20311
전농경희/체육관||||태권도장|2212-7843||서울 동대문구 전농1동 648-104|||||||전농경희 체육관|4층|||20311
청량경희/체육관||||태권도장|964-6801||서울 동대문구 청량리동 한신아파트상가 122-503|||||||청량경희 체육관||||20311
충호장안/체육관||||태권도장|2246-8314||서울 동대문구 장안2동 324-1|||||||충호장안 체육관|웰빙프라자4층 401호|||20311
한양대/체육관||||태권도장|2216-6690|서울 동대문구 전농로23길 54||||||||한양대 체육관|(전농동)|||20311
호랑이/체육관||||태권도장|2212-4423||서울 동대문구 장안동 93-77|||||||호랑이 체육관||||20311
화랑/체육관||||태권도장|2244-8996||서울 동대문구 휘경2동 286-334|||||||화랑 체육관|2층|||20311
회기한미/체육관||||태권도장|9617730||서울 동대문구 회기동 65-73|||||||회기한미 체육관||||20311
TS태성아카데미||||태권도장|2249-5840||서울 동대문구 장안3동 336|||||||TS태성아카데미|현대호타운상가 312|||20311
경문/체육관||||태권도장|02-596-5689||서울특별시 동작구 사당동 71-2|||||||경문 체육관|3층|||20311
국무/체육관||||태권도장|6677-5933||서울 동작구 사당1동 321-114|||||||국무 체육관||||20311
대산/체육관||||태권도장|812-0497||서울 동작구 대방동 17-20|||||||대산 체육관||||20311
독수리/체육관||||태권도장|817-9567||서울 동작구 상도2동 201-73|||||||독수리 체육관||||20311
동광/체육관||||태권도장|025887227||서울 동작구 사당동 316-26|||||||동광 체육관||||20311
무림/체육관||||태권도장|833-0170||서울 동작구 신대방1동 470-8|||||||무림 체육관||||20311
