##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@部瘤荤膊
部瘤荤膊|器亲剧傣痢|||部瘤荤膊|054-255-7784|版合 器亲矫 合备 厘己肺 92||||||||部瘤荤膊 器亲剧傣痢|(厘己悼)|||80221
部瘤荤膊|加檬炼剧何康痢|||部瘤荤膊|033-633-3232|碍盔 加檬矫 悼秦措肺 4161||||||||部瘤荤膊 加檬炼剧何康痢|(炼剧悼)|||80221
部瘤荤膊|辑匡傈丑痢|||部瘤荤膊|02-3394-8866|辑匡 悼措巩备 傈丑肺 102||||||||部瘤荤膊 辑匡傈丑痢|(翠绞府悼,格访呼爹) 1摸 103龋|||80221
部瘤荤膊|颇林巩魂CGV痢|||部瘤荤膊|031-952-6787|版扁 颇林矫 巩魂谰 规锰肺 1719-10||||||||部瘤荤膊 颇林巩魂CGV痢|(寸悼府) 1摸|||80221
部瘤荤膊|玫救阂寸橇扼叼框痢|||部瘤荤膊|041-532-7174|面巢 玫救矫 辑合备 傍盔肺 176||||||||部瘤荤膊 玫救阂寸橇扼叼框痢|(阂寸悼,玫救阂寸 矫萍橇扼叼框 3瞒) 辟赴积劝矫汲 3悼 瘤窍1摸 B133龋|||80221
部瘤荤膊|盔林酋脚吝蕊痢|||部瘤荤膊|033-746-7462|碍盔 盔林矫 硅匡肺 24||||||||部瘤荤膊 盔林酋脚吝蕊痢|(馆邦悼,吝蕊S努贰胶 橇扼叼框 酒颇飘) APT惑啊 106龋|||80221
部瘤荤膊|备固犬厘窜瘤痢|||部瘤荤膊|054-472-5158|版合 备固矫 魂悼搁 脚寸1肺2辨 9||||||||部瘤荤膊 备固犬厘窜瘤痢|(脚寸府) 1悼 107龋|||80221
部瘤荤膊|面林侩魂痢|||部瘤荤膊|043-852-1888|面合 面林矫 巢魂肺 91||||||||部瘤荤膊 面林侩魂痢|(侩魂悼)|||80221
部瘤荤膊|措备岿己痢|||部瘤荤膊|053-634-3668|措备 崔辑备 炼鞠肺 39||||||||部瘤荤膊 措备岿己痢|(岿己悼)|||80221
部瘤荤膊|技辆辆锰痢|||部瘤荤膊|044-998-3180|技辆 档框1肺 105||||||||部瘤荤膊 技辆辆锰痢|(辆锰悼,啊犁付阑 5窜瘤) 窜瘤郴 惑啊 532悼 105龋|||80221
部瘤荤膊|盔林扁诀档矫痢|||部瘤荤膊|033-732-3366|碍盔 盔林矫 瘤沥搁 脚瘤沥肺 325-2||||||||部瘤荤膊 盔林扁诀档矫痢|(啊邦府,EG-the1 酒颇飘 惑啊悼) 惑啊悼 421悼 111龋|||80221
部瘤荤膊|何魂矫没痢|||部瘤荤膊|051-851-0506|何魂 楷力备 脚锰肺 27||||||||部瘤荤膊 何魂矫没痢|(楷魂悼) 101龋|||80221
部瘤荤膊|措备措邦荐格盔痢|||部瘤荤膊|053-637-3500|措备 崔辑备 茄角肺6辨 120-39||||||||部瘤荤膊 措备措邦荐格盔痢|(措邦悼) 1摸|||80221
部瘤荤膊|乞琶救吝痢|||部瘤荤膊|031-681-6181|版扁 乞琶矫 救吝谰 救泅肺 304||||||||部瘤荤膊 乞琶救吝痢|(价淬府) 101龋|||80221
部瘤荤膊|柳秦磊篮痢|||部瘤荤膊|055-546-4460|版巢 芒盔矫 柳秦备 趁玫巢肺 3-10||||||||部瘤荤膊 柳秦磊篮痢|(磊篮悼,磊篮胶涅绢) 磊篮胶涅绢林瞒B/D,106|||80221
部瘤荤膊|悼藕厘瘤痢|||部瘤荤膊|031-372-7730|版扁 拳己矫 版扁悼肺317锅啊辨 4-10||||||||部瘤荤膊 悼藕厘瘤痢|(厘瘤悼)|||80221
部瘤荤膊|陛玫吩单某浇痢|||部瘤荤膊|02-805-8800|辑匡 陛玫备 矫蕊措肺 291||||||||部瘤荤膊 陛玫吩单某浇痢|(刀魂悼,陛玫吩单某浇榜靛颇农3瞒) 2摸 224龋|||80221
部瘤荤膊|没林啦樊痢|||部瘤荤膊|043-215-2600|面合 没林矫 没盔备 林己肺279锅辨 27||||||||部瘤荤膊 没林啦樊痢|(林己悼) 1摸|||80221
部瘤荤膊|牢玫辑芒痢|||部瘤荤膊|032-465-7755|牢玫 巢悼备 辑芒巢肺 35||||||||部瘤荤膊 牢玫辑芒痢|(辑芒悼) 秦乔橇扼磊 1摸 111龋|||80221
部瘤荤膊|老魂傀胶畔导痢|||部瘤荤膊|031-963-1052|版扁 绊剧矫 老魂悼备 沥惯魂肺 24||||||||部瘤荤膊 老魂傀胶畔导痢|(厘亲悼,傀胶畔导) A悼 112龋|||80221
部瘤荤膊|乞琶季飘凡磊捞痢|||部瘤荤膊|031-658-0423|版扁 乞琶矫 惑辑犁肺5辨 15||||||||部瘤荤膊 乞琶季飘凡磊捞痢|(悼昏悼,乞琶季飘凡磊捞 1窜瘤) 117悼 110龋|||80221
部瘤荤膊|力林楷悼痢|||部瘤荤膊|064-721-5090|力林 力林矫 惫扁肺4辨 1||||||||部瘤荤膊 力林楷悼痢|(楷悼)|||80221
部瘤荤膊|救魂夯坷痢|||部瘤荤膊|031-502-5247|版扁 救魂矫 惑废备 基榜肺 99-1||||||||部瘤荤膊 救魂夯坷痢|(夯坷悼) 103龋|||80221
部瘤荤膊|匡魂疙傣痢|||部瘤荤膊|052-252-5115|匡魂 悼备 疙傣4辨 11||||||||部瘤荤膊 匡魂疙傣痢|(辑何悼)|||80221
部瘤荤膊|备固苛拌痢|||部瘤荤膊|054-475-3300|版合 备固矫 魂龋措肺29辨 9||||||||部瘤荤膊 备固苛拌痢|(苛拌悼) 1摸 107龋|||80221
部瘤荤膊|剧魂拱陛痢|||部瘤荤膊|055-366-7548|版巢 剧魂矫 拱陛谰 拱陛肺 96-17||||||||部瘤荤膊 剧魂拱陛痢|(啊锰府)|||80221
部瘤荤膊|版巢钦玫痢|||部瘤荤膊|055-932-0099|版巢 钦玫焙 钦玫谰 苛魂肺 34||||||||部瘤荤膊 版巢钦玫痢|(钦玫府)|||80221
部瘤荤膊|籍锰龋荐痢|||部瘤荤膊|02-422-2429|辑匡 价颇备 价颇措肺49辨 52||||||||部瘤荤膊 籍锰龋荐痢|(籍锰悼) 唱牢颇农 坷乔胶炮 A悼 1摸 101龋|||80221
部瘤荤膊|柳林陛魂痢|||部瘤荤膊|055-763-3012|版巢 柳林矫 陛魂搁 陛魂鉴券肺12锅辨 10-4||||||||部瘤荤膊 柳林陛魂痢|(厘荤府)|||80221
部瘤荤膊|捞玫窍捞葱胶痢|||部瘤荤膊|031-638-9423|版扁 捞玫矫 何惯谰 版面措肺2110锅辨 10-1||||||||部瘤荤膊 捞玫窍捞葱胶痢|(酒固府,康盔鸥款)|||80221
部瘤荤膊|玫救没寸痢|||部瘤荤膊|041-555-9792|面巢 玫救矫 悼巢备 没荐12肺 21||||||||部瘤荤膊 玫救没寸痢|(没寸悼) 101龋|||80221
部瘤荤膊|何魂巢备没痢|||部瘤荤膊|051-636-8411|何魂 巢备 荐康肺 185||||||||部瘤荤膊 何魂巢备没痢|(措楷悼)|||80221
部瘤荤膊|何魂巢亲痢|||部瘤荤膊|051-411-5957|何魂 康档备 例康肺35锅辨 34||||||||部瘤荤膊 何魂巢亲痢|(巢亲悼1啊)|||80221
部瘤荤膊|康傣康秦痢|||部瘤荤膊|054-732-5115|版合 康傣焙 康秦搁 318父技辨 148-1||||||||部瘤荤膊 康傣康秦痢|(己郴府)|||80221
部瘤荤膊|公救痢|||部瘤荤膊|061-454-2632|傈巢 公救焙 公救谰 阂公肺 38-3||||||||部瘤荤膊 公救痢|(背锰府,焊版橇扼磊)|||80221
部瘤荤膊|芒盔魂龋痢|||部瘤荤膊|055-245-7778|版巢 芒盔矫 付魂钦器备 侩付肺 77||||||||部瘤荤膊 芒盔魂龋痢|(魂龋悼) 105龋|||80221
部瘤荤膊|咯荐公急痢|||部瘤荤膊|061-666-5454|傈巢 咯荐矫 拳魂肺 117||||||||部瘤荤膊 咯荐公急痢|(拳厘悼) 1摸|||80221
部瘤荤膊|巢秦痢|||部瘤荤膊|055-863-0803|版巢 巢秦焙 巢秦谰 拳傈肺38锅辨 3||||||||部瘤荤膊 巢秦痢|(辑函府,巢秦滴何)|||80221
部瘤荤膊|侩牢付乞痢|||部瘤荤膊|031-322-0428|版扁 侩牢矫 贸牢备 陛飞肺 175||||||||部瘤荤膊 侩牢付乞痢|(付乞悼) 1摸|||80221
部瘤荤膊|酒瞒魂开痢|||部瘤荤膊|02-454-6278|辑匡 堡柳备 玫龋措肺 671||||||||部瘤荤膊 酒瞒魂开痢|(备狼悼,颇农鸥款) 106龋|||80221
部瘤荤膊|矫蕊硅梆痢|||部瘤荤膊|031-499-9222|版扁 矫蕊矫 辑匡措切肺278锅辨 61||||||||部瘤荤膊 矫蕊硅梆痢|(沥空悼,辑康海聪胶胶涅绢) 201龋|||80221
部瘤荤膊|面巢抗魂痢|||部瘤荤膊|041-333-3696|面巢 抗魂焙 抗魂谰 孩采肺155锅辨 17||||||||部瘤荤膊 面巢抗魂痢|(魂己府,倾宏呼爹)|||80221
部瘤荤膊|辑匡侩翠痢|||部瘤荤膊|02-6448-1845|辑匡 己悼备 侩翠19辨 12-1||||||||部瘤荤膊 辑匡侩翠痢|(侩翠悼)|||80221
部瘤荤膊|匡魂馆备痢|||部瘤荤膊|052-292-9735|匡魂 吝备 馆备肺 50||||||||部瘤荤膊 匡魂馆备痢|(馆备悼,辑盔呼爹)|||80221
部瘤荤膊|侩牢磷傈痢|||部瘤荤膊|031-896-9292|版扁 侩牢矫 荐瘤备 泅鞠肺 153||||||||部瘤荤膊 侩牢磷傈痢|(磷傈悼,扒康鸥款) 1摸|||80221
部瘤荤膊|剧魂乞魂痢|||部瘤荤膊|055-387-5577|版巢 剧魂矫 乞魂巢肺 65||||||||部瘤荤膊 剧魂乞魂痢|(乞魂悼)|||80221
部瘤荤膊|柳秦何魂脚亲痢|||部瘤荤膊|055-547-5169|版巢 芒盔矫 柳秦备 脚亲4肺 41-34||||||||部瘤荤膊 柳秦何魂脚亲痢|(侩盔悼,靛覆鸥况) 105龋|||80221
