##NAME|SUBNAME|X|Y|MAPPERS_TYPE|TELNUM|NEWADDR|ADDR|FEAT1|FEAT2|AREA|DATE|ALTNAME|ETCNAME|ORGNAME|ETCADDR|PNUCODE|RD_JIBUN|MAPPERS_CD@@할리스커피
할리스커피|성남터미널점|||할리스커피|031-725-1004|경기도 성남시 분당구 성남대로925번길 16||테라스;주차||||||할리스커피 성남터미널점|성남종합버스터미널 1층|||80704
할리스커피|부산백양대로점|||할리스커피|051-311-5399||괘법동 141|주차||||||할리스커피 부산백양대로점||||80704
할리스커피|왕십리역점|||할리스커피|02-2200-1303|성동구 왕십리광장로 17||주차||||||할리스커피 왕십리역점|(행당동 168-151 ),비트플렉스몰 3층|||80704
할리스커피|홍대출판사거리점|||할리스커피|02-332-3567|서울시 마포구 독막로7길 40||주차||||||할리스커피 홍대출판사거리점|1층|||80704
할리스커피|간석오거리점|||할리스커피|032-425-0915|인천광역시 남동구 간석동 남동대로 931||주차||||||할리스커피 간석오거리점|씨앤케이 웨딩홀|||80704
할리스커피|위례중앙점|||할리스커피|031-755-5064|경기 성남시 수정구 위례광장로 104||주차||||||할리스커피 위례중앙점||||80704
할리스커피|수유사거리점|||할리스커피|070-5226-1999|서울시 강북구 도봉로 82길 11||||||||할리스커피 수유사거리점|(2~4층)|||80704
할리스커피|하남덕풍점|||할리스커피|031-792-9389|덕풍북로 2||주차||||||할리스커피 하남덕풍점||||80704
할리스커피|전경련회관점|||할리스커피|02-786-3485||서울시 영등포구 여의도동 28-1|||||||할리스커피 전경련회관점|전경련신축회관 B109-11|||80704
할리스커피|대전만년점|||할리스커피||대전 서구 둔산대로117번길 95||주차||||||할리스커피 대전만년점|(만년동,리더스타운)|||80704
할리스커피|대전탄방점|||할리스커피|042-482-8425|대전 서구 계룡로571번길 23-19||주차||||||할리스커피 대전탄방점||||80704
할리스커피|신월사거리점|||할리스커피|02-2606-5040|가로공원로 113||주차||||||할리스커피 신월사거리점|1층|||80704
할리스커피|양산부산대병원치과동점|||할리스커피|070-4442-0608|물금읍 금오로 20||||||||할리스커피 양산부산대병원치과동점|양산부산대학교병원 치과병동 1층|||80704
할리스커피|양산부산대병원본점|||할리스커피|055-362-4582|물금읍 금오로 20||||||||할리스커피 양산부산대병원본점|양산부산대학교병원 중앙진료동 1층|||80704
할리스커피|대전역점|||할리스커피||대전 동구 중앙로 215||||||||할리스커피 대전역점|3층 대합실|||80704
할리스커피|화성융건릉점|||할리스커피|031-224-6999|경기도 화성시 효행로 501-3||주차||||||할리스커피 화성융건릉점||||80704
할리스커피|커피클럽/선릉역점|||할리스커피|02-6196-7935|서울특별시 강남구 테헤란로 325||||||||할리스커피 커피클럽/선릉역점|1층|||80704
할리스커피|(하)선산휴게소점|||할리스커피||경상북도 구미시 옥성면 중부내륙고속도로 128||주차||||||할리스커피 (하)선산휴게소점||||80704
할리스커피|진해속천점|||할리스커피|055-547-9777|경남 창원시 진해구 태평로 132||테라스;주차||||||할리스커피 진해속천점||||80704
할리스커피|천안신부점|||할리스커피|041-566-5085|충남 천안시 동남구 만남로 26||||||||할리스커피 천안신부점|대영빌딩 4,5층|||80704
할리스커피|양주옥정점|||할리스커피|||경기도 양주시 옥정동 963-6|주차||||||할리스커피 양주옥정점||||80704
할리스커피|서초마제스타시티점|||할리스커피|02-6411-0063|서초대로38길 12||||||||할리스커피 서초마제스타시티점|1층|||80704
할리스커피|부산명륜역점|||할리스커피|051-557-7811|부산광역시 동래구 온천장로 5||||||||할리스커피 부산명륜역점|1층|||80704
할리스커피|대전은행본점|||할리스커피|042-222-3288||대전 중구 대흥동 153-1|테라스||||||할리스커피 대전은행본점||||80704
할리스커피|구리수택점|||할리스커피|031-551-0988|경기도 구리시 검배로 73||주차||||||할리스커피 구리수택점|할리스커피|||80704
할리스커피|진주평거점|||할리스커피|055-745-9633|경상남도 진주시 진양호로 46||테라스;주차||||||할리스커피 진주평거점||||80704
할리스커피|할리스커피/울산시청점|||할리스커피|070-7733-7108|삼산로 60||테라스;24시간;주차||||||할리스커피 할리스커피/울산시청점|1층 (신정동)|||80704
할리스커피|부산대학교병원1호점|||할리스커피|051-231-9647|부산광역시 서구 구덕로 179||||||||할리스커피 부산대학교병원1호점|융합동|||80704
할리스커피|종로5가점|||할리스커피|02-2266-1989|동호로 401||||||||할리스커피 종로5가점||||80704
할리스커피|서전주DT점|||할리스커피|063-901-0802|전북 전주시 완산구 콩쥐팥쥐로 1713||DT 매장;주차||||||할리스커피 서전주DT점||||80704
