##NAME|SUBNAME|TELNUM|ADDR|NEWADDR|XCOORD|YCOORD@@파파이스치킨
파파이스치킨|모슬포점|064-792-0004|제주특별자치도 서귀포시 대정읍 일주서로 2641 우리들마트 내 1층|제주특별자치도 서귀포시 대정읍 일주서로 2641 우리들마트 내 1층| 126.248089|33.228846
파파이스치킨|대전모다점|042-541-8824|대전광역시 유성구 대정동 303-2번지 대전모다아울렛 내 2층|대전광역시 유성구 대정로 5  대전모다아울렛 2층|127.318969|36.312756
파파이스치킨|충남대점|042-829-5007|대전광역시 유성구 궁동 220 충남대학교 생활관내 1층|대전광역시 유성구 대학로 99  충남대학교 생활관내 1층| 127.347046|36.374667
파파이스치킨|광명KTX점|02-898-8826|경기도 광명시 광명역로 21 서편 1층 맞이방|경기도 광명시 광명역로 21 서편 1층 맞이방| 126.884951|37.416897
파파이스치킨|광주터미널점|031-799-7724|경기도 광주시 경안동 25-3 광주터미널 1층|경기도 광주시 광주대로 30  광주터미널 1층|127.261307|37.409435
파파이스치킨|김포구래점|031-998-8834|경기도 김포시 김포한강9로 30|경기도 김포시 김포한강9로 30| 126.627105|37.639529
파파이스치킨|동국대일산병원점|031-961-9191|경기도 고양시 일산동구 식사동 814 동국대 일산병원 지하1층|경기도 고양시 일산 동구 동국로 27  동국대 일산병원 지하1층|126.806511|37.676297
파파이스치킨|동수원점|031-221-8824|경기도 수원시 팔달구 인계동 1114-1 동수원뉴코아 지하 1층|경기도 수원시 팔달구 인계로 154 동수원뉴코아 지하 1층|127.034529|37.266339
파파이스치킨|문산홈플러스점|031-954-8825|경기도 파주시 문산읍 당동리 당동산업지구 지원용지 1-1-1 문산홈플러스점 2층|경기도 파주시 문산읍 방촌로 1759 문산홈플러스 내 2층|126.791697|37.876424
파파이스치킨|봉담이마트점|031-224-8810|경기도 화성시 봉담읍 동화리 138-1 이마트 지하1층 푸드코트 내|경기도 화성시 봉담읍 효행로 278  이마트 지하1층 푸드코트 내|126.973286|37.222452
파파이스치킨|분당이마트점|031-711-8824|경기도 성남시 분당구 정자동 211번지 분당이마트점 3층내|경기도 성남시 분당구 불정로 134 분당이마트점 3층내|127.119772|37.358735
파파이스치킨|성남복정점|031-759-4861|경기도 성남시 수정구 복정동 646-5 1층|경기도 성남시 수정구 복정로 134번길 1 1층|127.127295|37.465046
파파이스치킨|성남점|031-745-8814|경기도 성남시 중원구 중앙동 1152,|경기도 성남시 중원구 산성대로 258|127.146009|37.439878
파파이스치킨|수원대점|031-898-8823|경기도 화성시 봉담읍 와우리 41-1|경기도 화성시 봉담읍 와우로 110| 126.977799|37.214098
파파이스치킨|수원하나로점|031-292-8879|경기도 수원시 권선구 구운동 218-1 하나로클럽 푸드코트 1층내|경기도 수원시 권선구 서부로 1937 1 하나로클럽 푸드코트 1층내|126.966765|37.282699
파파이스치킨|의왕레일파크점|070-7178-4395|경기도 의왕시 왕송못동로 307|경기도 의왕시 왕송못동로 307| 126.953090|37.307044
파파이스치킨|의왕포일점|031-424-8824|경기도 의왕시 안양판교로 101|경기도 의왕시 안양판교로 101| 126.985312|37.395395
파파이스치킨|이천하나로점|031-631-8823|경기도 이천시 창전동 458-24 이천하나로마트 1층|경기도 이천시 영창로 235|127.448493|37.280891
파파이스치킨|임진각점|031-954-6551|경기도 파주시 문산읍 사목리 494-1|경기도 파주시 문산읍 임진각로 177|126.740014|37.88923
파파이스치킨|평택이마트점|031-653-8814|경기도 평택시 영신로 29 평택이마트점 1층 푸드코트내|경기도 평택시 영신로 29 평택이마트점 1층 푸드코트 내|127.075633|37.021469
파파이스치킨|평택장당점|031-611-8834|경기도 평택시 이충동 612-4번지|경기도 평택시 송탄로 40번길 79-21|127.056879|37.051626
파파이스치킨|고척스카이돔점|02-3666-8824|서울시 구로구 경인로 433-1|서울시 구로구 경인로 433-1| 126.867085|37.499894
파파이스치킨|등촌점|02-3662-8814|서울시 강서구 공항대로 41길 52|서울시 강서구 공항대로 41길 52| 126.846208|37.559988
파파이스치킨|목동점|02-2652-8823|서울시 양천구 목동동로 233-3|서울시 양천구 목동동로 233-3| 126.871593|37.527999
파파이스치킨|문래점|02-2635-8824|서울시 영등포구 문래로 79-4|서울시 영등포구 문래로 79-4| 126.890912|37.519753
