##NAME|SUBNAME|TELNUM|ADDR|NEWADDR@@교촌치킨
교촌치킨|개포1호점|02-573-5699,5499|서울 강남구 개포동 1229-18|서울 강남구 논현로16길 5
교촌치킨|논현1호(서울)|02-540-2182|서울 강남구 논현동 184-21|서울 강남구 강남대로114길 15(논현동)
교촌치킨|대치1호점|02-556-3599,558-3599|서울 강남구 대치동936|서울 강남구 선릉로 312
교촌치킨|대치2호점|02-556-9963|서울 강남구 대치동 990번지 삼성상가 113호 1/2|서울 강남구 도곡로 516, 삼정상가 113호의 1/2
교촌치킨|삼성1호점|02-515-2399,2599|서울 강남구 삼성동 44-18|서울 강남구 봉은사로 451
교촌치킨|세곡점|02-2226-1991|서울 강남구 자곡동 611|서울 강남구 자곡로 101 강남레미안힐즈상가 103호
교촌치킨|압구정신사점|02-547-9945|서울 강남구 신사동 640-5 대성빌딩 1층 1호|서울 강남구 언주로172길 29, 대성빌딩 1층 1호
교촌치킨|역삼1호점|02-566-9942|서울 강남구 역삼동 837-15|서울 강남구 강남대로 66길 16 1층
교촌치킨|일원본동점|02-2226-4080|서울 강남구 수서동 747 삼성아파트 상가 104호|서울 강남구 광평로31길 27, 삼성아파트 상가 104호
교촌치킨|청담역점|02-515-9995,515-9975|서울 강남구 청담동 65 진흥아파트상가|서울 강남구 학동로 87길 9 진흥아파트상가
교촌치킨|강일점|02-426-6692,6696|서울 강동구 강일동 679-3 리슈빌오피스텔|서울 강동구 아리수로 419 리슈빌오피스텔
교촌치킨|고덕1호점|02-481-9503~4|서울 강동구 고덕동 650-1|서울 강동구 고덕로61길 116
교촌치킨|길1호점|02-473-0092|서울 강동구 길동 347-31|서울 강동구 천중로 201
교촌치킨|둔촌1호점|02-475-9295|서울 강동구 둔촌동 454-5|서울 강동구 진황도로 168(둔촌동,예창빌딩)
교촌치킨|명일1호점|02-3426-9199,3380|서울 강동구 명일동 328-2|서울 강동구 구천면로 438
교촌치킨|성내점|02-485-9293|서울 강동구 성내2동 509-7 1층|서울 강동구 풍성로 143, 1층
교촌치킨|암사1호점|02-426-8533,3426-8400|서울 강동구 천호동 287-22|서울 강동구 올림픽로92길 11
교촌치킨|암사2호점|02-427-9982|서울 강동구 암사동 446-18|서울 강동구 고덕로 85
교촌치킨|천호1호점|02-470-9908|서울 강동구 천호동 550번지|서울 강동구 구천면로 216
교촌치킨|덕성여대점|02-900-3123|서울 강북구 우이동 72-148|서울 강북구 삼양로 525
교촌치킨|미아1호점|02-987-9280|서울 강북구 미아5동 1264-233|서울 강북구 삼양로 128
교촌치킨|미아역점|02-989-6288|서울 강북구 미아동 131-8|서울 강북구 도봉로 142
교촌치킨|수유1호점|02-994-8911~2|서울 강북구 수유동 385-2|서울 강북구 삼각산로 119
교촌치킨|수유역점|02-903-3693|서울 강북구 번동 461-127|서울 강북구 한천로 1016
교촌치킨|가양점|02-3665-3433|서울 강서구 등촌동 75-1|서울 강서구 양천로 482 삼부르네상스 109호
교촌치킨|강서구청점|02-2699-3999,2699-2828|서울 강서구 화곡6동 987-7|서울 강서구 화곡로 289
교촌치킨|까치산역점|02-2602-1991|서울 강서구 화곡동 343-62 라인씨티 1층|서울 강서구 곰달래로 125, 라인씨티 1층
교촌치킨|등촌점|02-2647-2328|서울 강서구 등촌동 649-14|서울 강서구 공항대로 509
교촌치킨|마곡1호점|02-3662-5556|서울 강서구 강서로 마곡동 784-11 마곡오드카운티1차 111호|서울 강서구 강서로 429 마곡오드카운티1차 111호
교촌치킨|발산역점|02-2663-6077|서울 강서구 내발산동 655-6번지 1층 13호|서울 강서구 강서로 341, 1층 13호
교촌치킨|방화2호점|02-2666-9559|서울 강서구 방화2동 580-27|서울 강서구 방화동로 113-1
교촌치킨|염창점|02-3662-9238|서울 강서구 염창동 249-5|서울 강서구 양천로 689
교촌치킨|화곡2호점|02-2692-9279|서울 강서구 화곡동 400-45|서울 강서구 가로공원로 227
교촌치킨|봉천2호점|02-882-1107|서울 관악구 봉천동 1674-20|서울 관악구 남부순환로 1881
교촌치킨|봉천3호점|02-888-2366,887-3998|서울 관악구 봉천동 1632-9|서울 관악구 봉천로 604
교촌치킨|봉천4호점|02-884-9991,882-8991|서울 관악구 봉천동 931-12|서울 관악구 봉천로 374
교촌치킨|봉천5호점|02-889-2299,6699|서울 관악구 봉천3동 7-291|서울 관악구 관악로 274-1
교촌치킨|신림1호점|02-830-6668|서울 관악구 신림4동 504-22|서울 관악구 남부순환로161가길 42
교촌치킨|신림2호점|02-857-9992,857-9799|서울 관악구 신림동 762-7|서울 관악구 문성로 82
교촌치킨|신림3호점|02-877-3688|서울 관악구 신림9동 246-49|서울 관악구 대학길 47
교촌치킨|건대점|02-462-1991|서울 광진구 화양동 9-18|서울 광진구 아차산로 31길 13
교촌치킨|광장점|02-453-9292|서울 광진구 광장동 530-13|서울 광진구 광나루로 607(광장동)
교촌치킨|구의2호점|02-453-9995|서울 광진구 구의동 229-43|서울 광진구 광나루로 544
교촌치킨|자양1호점|02-452-8593~4|서울 광진구 자양3동 584-28|서울 광진구 자양번영로 15
교촌치킨|자양2호점|02-458-1991|서울 광진구 자양동 624-42|서울 광진구 자양로13길 40(자양동)
교촌치킨|중곡1호점|02-446-9908|서울 광진구 중곡동 243-1|서울 광진구 긴고랑로 40
교촌치킨|중곡2호점|02-453-9288|서울 광진구 중곡동 24-2|서울시 광진구 용마산로 109
교촌치킨|개봉1호점|02-2066-9244~5|서울 구로구 개봉동 403-159|서울 구로구 개봉로 30-1
교촌치킨|고척1호점|02-2060-4940|서울 구로구 개봉1동 126-4|서울 구로구 고척로 129
교촌치킨|구로2호점|02-854-1004|서울 구로구 구로동 74-30|서울 구로구 구로중앙로 18길 68
교촌치킨|구로디지털점|02-856-5542|서울 구로구 구로동 826-1|서울 구로구 디지털로 26길 110
교촌치킨|동양미래대학점|02-2060-1991|서울 구로구 고척동 343|서울 구로구 중앙로 8길 11, 106호
교촌치킨|신도림1호점|02-2675-9288|서울 구로구 신도림동 410-1 신도림6차대림@상가 902동111호|서울 구로구 신도림동 410-1 신도림6차대림@상가 902동111호
교촌치킨|오류1호점|02-2060-9277|서울 구로구 오류1동 10-3|서울 구로구 경인로 189-1
교촌치킨|천왕역점|02-2616-1991|서울 구로구 오류동 203-1 1층|서울 구로구 서해안로 2264
교촌치킨|가산디지털점|02-865-0865|서울 금천구 가산동 371-6 가산비지니스센터 2층|서울 금천구 가산디지털1로 165
교촌치킨|독산1호점|02-868-8788|서울 금천구 독산동 888-20 102호,103호|서울 금천구 문성로 7, 102호,103호
교촌치킨|시흥1호점|02-806-9990807-9990|서울 금천구 시흥2동 264-17|서울 금천구 금하로 753-1
교촌치킨|시흥2호점|02-806-9911,806-9922|서울 금천구 시흥1동 905-5|서울 금천구 은행나무로 12
교촌치킨|공릉1호점|02-974-3999|서울 노원구 공릉동 338-6|서울 노원구 공릉로 35길 2
교촌치킨|공릉2호점|02-975-9991|서울 노원구 공릉동 461-1|서울 노원구 공릉로 235
교촌치킨|상계4단지점|02-937-4785,952-9992|서울 노원구 상계7동 749-5 상계주공@4단지상가101호|서울 노원구 동일로 1356  101호 (상계동, 상계주공4단지아파트)
교촌치킨|상계보람점|02-952-7123|서울 노원구 상계5동 456-130|서울 노원구 한글비석로52길 14
교촌치킨|석계역점|02-909-9229,5297|서울 노원구 월계1동 73-13|서울 노원구 석계로 31
교촌치킨|수락산역점|02-936-1212|서울 노원구 상계동 1118|서울 노원구 동일로 1651
교촌치킨|중계1호점|02-933-9992|서울 노원구 중계1동 360-9|서울 노원구 한글비석로 245
교촌치킨|중계2호점|02-933-9829,930-9829|서울 노원구 중계동 137-39 정진빌라 1층|서울 노원구 덕릉로 721 정진빌라 1층
교촌치킨|중계역점|02-978-9255,978-9252|서울 노원구 중계2동 503|서울 노원구 동일로 1279  (중계동)
교촌치킨|하계1호점|02-976-4882|서울 노원구 하계1동 251 청구상가 201동 101호|서울 노원구 한글비석로 89  101호 (하계동)
교촌치킨|도봉동점|02-956-8892|서울 도봉구 도봉2동 623-163|서울 도봉구 마들로 689
교촌치킨|쌍문1호점|02-955-7999,3492-6999|서울 도봉구 방학1동 263-75|서울 도봉구 도당로 36, 재인상가 106호
교촌치킨|쌍문역점|02-905-9292,9294|서울 도봉구 쌍문3동 88-127|서울 도봉구 도봉로 505
교촌치킨|창3동점|02-999-5222|서울 도봉구 창동 568-2|서울 도봉구 덕릉로 264
교촌치킨|창동점|02-905-8292,8290|서울 도봉구 창5동 296-37|서울 도봉구 해등로 120
교촌치킨|경희대점|02-963-5353|서울 동대문구 회기동 42-16|서울 동대문구 경희대로3길 20
교촌치킨|답십리1호점|02-2214-7782|서울 동대문구 답십리동 257-3|서울 동대문구 전농로 65-1
교촌치킨|서울시립대점|02-2243-1560~1|서울 동대문구 전농1동 141-141|서울 동대문구 전농로 189
교촌치킨|신이문점|02-963-9998,0209|서울 동대문구 이문3동 237-114|서울 동대문구 신이문로 29-1
교촌치킨|안암점|02-923-3363|서울 동대문구 제기동 142-8|서울 동대문구 안암로 122
교촌치킨|장안1호점|02-2216-0092|서울 동대문구 전농3동 1-171|서울 동대문구 한천로 229
교촌치킨|장안2호점|02-2249-9599|서울 동대문구  장안동 375-3|서울 동대문구 장한로 69
교촌치킨|청량리역점|02-957-0001~2|서울 동대문구 청량리동 50-3|서울 동대문구 왕산로 253
교촌치킨|대방1호점|02-816-8999,9959|서울 동작구 대방동 20-25 한스빌 105호|서울특별시 동작구 등용로 101, 한스빌 105호
교촌치킨|사당1호점|02-3477-9945~6|서울 동작구 사당3동 155-2 1F|서울 동작구 사당로23길 2, 1층
교촌치킨|사당3호점|02-3471-9292,9282|서울 동작구 사당동 220-119|서울 동작구 사당로 185-1
교촌치킨|상도터널점|02-815-8833|서울 동작구 상도1동 587|서울 동작구 흑석로 5  (상도1동)
교촌치킨|신대방점|02-846-9992|서울 동작구 신대방동 607-28|서울 동작구 시흥대로 646
교촌치킨|신대방삼거리점|02-823-1991|서울 동작구 대방동 407-46|서울 동작구 여의대방로24길 129
교촌치킨|흑석1호점|02-814-3377|서울 동작구 흑석동 180-6|서울 동작구 흑석로 116
교촌치킨|도화(서울)|02-715-9987|서울 마포구 도화동 179-8 1,2층|서울특별시 마포구 도화길 31, 1,2층
교촌치킨|망원2동점|02-3143-5575|서울 마포구 망원2동 474-15|서울 마포구 월드컵로 151
교촌치킨|상암점|02-309-2500|서울 마포구 상암동 34-45|서울 마포구 월드컵북로 48길 14
교촌치킨|성산2동점|02-373-9909|서울 마포구 성산동 592|서울 마포구 월드컵로 190
교촌치킨|신공덕점|02-703-9919|서울 마포구 신공덕동 159 (신공덕 래미안상가 1동109호)|서울 마포구 만리재로 74, 1동 109호
