##NAME|SUBNAME|TELNUM|NEWADDR|XCOORD|YCOORD@@아이더
아이더|파주금촌점|031-941-1551|경기 파주시 문화로 103 1층|126.7744605|37.7632713
아이더|자곡점|02-3294-8660|서울특별시 강남구 자곡동 648 1층|127.10319|37.472127
아이더|인천스퀘어원점|032-456-4254|인천 연수구 청능대로 210 스퀘어몰 2층|126.683727|37.406037
아이더|부안점|063-581-5855|전라북도 부안군 부안읍 석정로 241|126.737699|35.724216
아이더|남청주상설점|043-260-3442|충청북도 청주시 서원구 남이면 청남로 976|127.430006|36.539843
아이더|현대판교점|031-5170-1762|경기 성남시 분당구 백현동 541, 7층|127.0981659|37.3806089
아이더|동두천점|031-857-3334|경기도 동두천시 중앙로 225|127.052789|37.901728
아이더|아이더대구수성|053-286-8787|대구광역시 수성구 범어동 217-11|128.642688|35.858429
아이더|아이더양산|055-381-9811|경남 양산시 서일동1길 30|129.034572|35.340841
아이더|아이더포항중앙|054-253-8833|경상북도 포항시 북구 중앙상가길 66|129.366285|36.040408
아이더|안양평촌점|031-422-3667|경기도 안양시 동안구 흥안대로 457-26 1층 101호(평촌동)|126.973972|37.395291
아이더|제주이도점|064-757-1380|제주특별자치도 제주시 중앙로 358 (이도이동)|126.5383916|33.4891525
아이더|안양점|031-465-9466|경기도 안양시 만안구 안양로 293-1|126.921258|37.398499
아이더|시흥정왕점|031-433-3373|경기도 시흥시 중심상가4길 24 104호(정왕동, E1빌딩)|126.737407|37.344575
아이더|문산점|031-952-1933|경기도 파주시 문산읍 문향로 56|126.785312|37.8568887
아이더|남양주모다점|031-514-8272|경기도 구리시 갈매동 268-3|127.1159566|37.6329834
아이더|안산선부점|031-484-2600|경기도 안산시 단원구 선부광장북로 36, 상가동 1층 115호 (선부동, 동명벽산아파트)|126.811076|37.337643
아이더|천안모다점|041-904-0696|충청남도 천안시 서북구 공원로 196 (불당동, 펜타포트) 2층|127.101498|36.798394
아이더|현대목동점|02-2163-3591|서울특별시 양천구 목동동로 257 1층(목동, 현대백화점 목동점)|126.875289|37.526366
아이더|신세계사이먼/부산점|051-940-1339|부산광역시 기장군 장안읍 정관로 1133 신세계사이먼 부산점 3층|129.2348|35.322665
아이더|신세계사이먼시흥|031-8072-3406|경기도 시흥시 서해안로 699 (정왕동)|126.736257|37.379406
아이더|현대아울렛송도|032-727-2461|인천광역시 연수구 송도국제대로123 (송도동)|126.657175|37.381479
아이더|신세계강남|02-3479-1256|서울특별시 서초구 신반포로 176 (반포동)신세계백화점|127.004031|37.50525
