##NAME|SUBNAME|TYPE|ID|TELNUM|ADDR|XCOORD|YCOORD@@노스페이스
노스페이스|TNF/동해점||11805|033-535-6800|강원도 동해시 한섬로 113-8||
노스페이스|TNF/강릉점||11806|033-642-8838|강원도 강릉시 문화의길 9||
노스페이스|TNF/춘천점||11807|033-241-5113|강원도 춘천시 금강로 59||
노스페이스|TNF/홍천점||11809|033-434-3470|강원도 홍천군 홍천읍 홍천로 396 (1층)||
노스페이스|TNF/속초점||11811|033-637-8838|강원도 속초시 중앙로 76||
노스페이스|TNF/원주점||11814|033-745-9240|강원도 원주시 원일로 1,2층(중앙동)||
노스페이스|TNF/AK원주점||11916|033-811-5923|강원도 원주시 봉화로 1 (단계동) AK플라자 5층||
노스페이스|TNF/(Y)AK원주점||12050|033-811-5765|강원도 원주시 봉화로 1(단계동) AK플라자 원주점 3층||
노스페이스|TNF/신세계/파주/아울렛점||11504|031-8071-7546|경기도 파주시 탄현면 법흥리 필승로 200||
노스페이스|TNF/롯데/이천/아울렛점||11510|031-887-4717|경기도 이천시 호법면 프리미엄아울렛로 48-1 롯데이천아울렛별관 12층||
노스페이스|TNF/롯데/파주/아울렛점||11511|031-960-2792|경기도 파주시 문발로 284 롯데 파주 아울렛 B블록 2층||
노스페이스|롯데/아울렛/고양터미널점||11512|031-936-3700|경기도 고양시 일산동구 중앙로 1036 베스트 고양터미널 2층||
노스페이스|TNF/롯데/광명/아울렛점||11513|02-6226-2411|경기도 광명시 일직로 17||
노스페이스|TNF/신세계/여주/아울렛점||11515|031-8087-2602|경기도 여주시 명품로 360 여주프리미엄아울렛||
노스페이스|TNF/현대/김포/아울렛점||11516|031-8048-2811|경기도 김포시 고촌읍 아라육로 152번지 100 현대 프리미엄 아울렛||
노스페이스|TNF/롯데/광교/아울렛점||11517|031-8064-2209|경기도 수원시 영통구 도청로 10||
노스페이스|TNF/롯데아울렛/고양점(원흥)점||11524|031-8035-2857|경기도 고양시 덕양구 권율대로 420 (도내동, 롯데아울렛 고양점 B1)||
노스페이스|TNF/롯데/구리/아울렛점||11527|031-8034-2559|경기도 구리시 동구릉로136번길 47, 4층 (인창동, 롯데아울렛구리점)||
노스페이스|TNF/신세계시흥아울렛점||11530|031-8072-3828|경기도 시흥시 서해안로 699, 2층 (정왕동, 신세계 사이먼)||
노스페이스|TNF/스타필드하남점||11551|031-8072-8460|경기도 하남시 미사대로 750, L2층 2180호||
