##NAME|SUBNAME|TELNUM|NEWADDR@@케이스위스
케이스위스|2001미금점|031-786-2835|경기도 성남시 분당구 미금일로154번길20 4층
케이스위스|검단산점|070-7717-1100|경기도 하남시 창우동 293-2
케이스위스|그랜드일산점|031-910-2091|경기도 고양시 일산서구 중앙로 1436 그랜드백화점 (주엽동)
케이스위스|김포점|031-983-7548|경기도 김포시 장기동 21-4번지 나-321-5번지 다-3
케이스위스|뉴코아모란점|031-729-1306|경기도 성남시 중원구 성남동 성남대로1136
케이스위스|뉴코아산본점|031-390-7316|경기도 군포시 번영로504 3층(산본쇼핑센터)
케이스위스|뉴코아야탑점|031-729-1306|경기도 성남시 중원구 성남동 성남대로1136
케이스위스|뉴코아평촌점|031-380-1349|경기도 안양시 동안구 동안로119 범계뉴코아5층
케이스위스|뉴코아평택점|031-650-6345|경기도 평택시 경기대로279(비전동,뉴코아아울렛백화점)
케이스위스|롯데구리점|031-550-7587|경기도 구리시 인창동 677번지 5층
케이스위스|롯데안산점|031-412-7922|경기도 안산시 단원구 고잔1길 12(고잔동) 5층
케이스위스|롯데이천아울렛점|010-3921-8324|경기도 이천시 호법면 프리미엄아울렛로177-74
케이스위스|롯데중동점|032-320-7577|경기도 부천시 원미구 중동 1140번지 5층
케이스위스|모다곤지암점|031-797-9188|경기도 광주시 초월읍 경충대로907 모다아울렛 곤지암점3층
케이스위스|모다남양주점|031-514-8501|경기도 구리시 갈매동 268-3 모다아울렛3층
케이스위스|발안점|031-352-5354|경기도 화성시 3.1만세로1124
케이스위스|북수원점|031-258-1317|경기도 수원시 장안구 경수대로950 아일렛쇼핑타운
케이스위스|성남상설직매장점|031-757-5880|경기도 성남시 수정구 수진동 2933번지
케이스위스|세이브존상동점|010-3022-2536|경기도 부천시 길주로105 세이브존 상동점1층
케이스위스|세이브존화정점|031-979-7788|경기도 고양시 덕양구 화정동 970번지 세이브존상가1층
케이스위스|수원영통점|031-205-5696|경기도 수원시 영통구 덕영대로1556번길 16 디지털엠파이어 (영통동)
케이스위스|시흥하늘휴게소점|070-7722-6531|경기도 시흥시 조남동산15-1(시흥휴게소)
케이스위스|신세계팩토리고양점||경기도 고양시 덕양구 동산동370 신세계스타필드고양
케이스위스|신세계하남점|031-8072-1399|경기도 하남시 미사대로 750 (신장동 616) 3층 멀티슈즈샵
케이스위스|아울렛고양점|031-936-3807|경기도 고양시 일산동구 백석1동 1242 4층
케이스위스|아울렛광명점|02-6226-2345|경기도 광명시 일직로 17 (일직동 500) 3층
케이스위스|아울렛구리점|031-8034-2515|경기도 구리시 동구릉로 136번길 47 (인창동 419-7) 5층
케이스위스|안산선부(H)점|031-410-3035|경기도 안산시 단원구 선부광장북로 36 벽산블루밍아파트 상가동
케이스위스|안산원곡점|031-493-6240|경기도 안산시 단원구 원곡동 746-16
