##NAME|SUBNAME|TELNUM|NEWADDR|XCOORD|YCOORD@@K2
K2|ALL ABOUT K2 KOREA 성수사거리점|02-3408-9800|서울특별시 성동구 성수이로22길 60 (성수동2가)|127.0632512|37.5427071
K2|곤지암모다상설점|031-763-4233|경기도 광주시 초월읍 경충대로 907 곤지암모다 아울렛|127.312588|37.363262
K2|영덕점|054-734-9333|경북 영덕군 영덕읍 덕곡길 99|129.368657|36.411789
K2|안양평촌점|031-426-2425|경기도 안양시 동안구 평촌동 85 플러스아울렛 D동|126.974068|37.395644
K2|의정부회룡점|031-826-0201|경기도 의정부시 평화로 408|127.048407|37.728233
K2|부평모다점||인천광역시 부평구 부평문화로 35 모다아울렛 부평점 4층|126.719603|37.493469
K2|자양상설점|02-456-7288|서울시 광진구 자양로 73|127.084106|37.534351
K2|양평점|031-775-0502|경기도 양평군 양평읍 양근로 197-2|127.491543|37.4894
K2|나주점|061-336-5391|전라남도 나주시 중앙로 57-1 (성북동)|126.718869|35.034345
K2|세종어반아트리움점|044-867-2132|세종특별자치시 나성로 96(나성동)|127.261329|36.487748
K2|ALL ABOUT K2 KOREA 자곡점|02-3294-8660|서울시 강남구 자곡로 174-14 1층|127.10319|37.472127
K2|롯데 프리미엄 아울렛 기흥점|031-8036-3152|경기도 용인시 기흥동 신고매로 124|127.121246|37.224926
K2|화순점|061-375-3355|전라남도 화순군 화순읍 중앙로 90|126.991111|35.060416
K2|종로점|02-2273-8611|서울 종로구 종로5가 동호로38길 28|127.00373|37.570312
K2|상암월드컵상설점|02-303-4254|서울특별시 마포구 월드컵로 240 홈플러스 월드컵점 2층|None|37.568022
K2|NC야탑점|031-780-3287|경기도 성남시 분당구 야탑로81번길 11 NC백화점 야탑점|127.127422|37.411127
K2|동래메가마트점|051-556-6066|부산광역시 동래구 충렬대로 197 메가마트 동래점 1층|129.081155|35.204445
K2|광주세정아울렛점|062-370-9257|광주광역시 서구 상무대로 773 세정아울렛 2층 257호|126.847274|35.146816
K2|광주송하MS점|062-655-6007|광주광역시 남구 서문대로 465 109~110호|126.884115|35.107836
K2|광명사거리점|070-4616-6001|경기도 광명시 오리로 944 1층(광명동)|126.858312|37.478467
K2|신세계팩토리고양점||경기도 고양시 덕양구 고양대로 1955 1층|126.894799|37.646907
K2|양산모다점|055-911-7136|경상남도 양산시 중부로 2 (중부동) 양산모다아울렛 1층|129.027508|35.338993
K2|팩토리아울렛점|031-884-9701~03|경기도 여주시 가남읍 본두리 713-1번지|127.57516|37.235478
K2|남양주평내점|031-559-7700|경기도 남양주시 경춘로 1293|127.2365098|37.6496969
K2|뉴코아아울렛 부천점|032-624-7457|경기도 부천시 송내대로 239 뉴코아아울렛 5층|126.7564396|37.5041697
K2|인천모다MS점|032-288-7727|인천 서구 북항로32번안길 50 인천모다아울렛 1층|126.64782|37.51
K2|남양주모다상설점|031-514-8279|경기도 구리시 갈매동 268-3 모다아울렛 2층|127.1159566|37.6329834
K2|홍성MS점|041-631-8611|충청남도 홍성군 의사로36번길 48 1층|126.6761299|36.6017753
K2|울산모다상설점|052-935-3065|울산광역시 북구 진장유통로 78-6 모다아울렛 1층|129.357142|35.577071
