##NAME|SUBNAME|TELNUM|NEWADDR|OT|TYPE|XCOORD|YCOORD
코오롱스포츠|롯데/강남점|02-531-2718|서울 강남구도곡로 401 (대치동 936-21)|10:00:00-20:30:00|백화점|127.05315118|37.49679591
코오롱스포츠|롯데/청량리점|02-3707-1549|서울 동대문구 전농동왕산로 214|10:00:00-20:30:00|백화점|127.04600371|37.57963611
코오롱스포츠|현대/목동점|02-2163-3568|서울 양천구 목1동916|10:00:00-20:30:00|백화점|126.87538357|37.5262421
코오롱스포츠|문정직영점|02-402-1594|서울 송파구 문정동4-11축복빌딩|10:30:00-20:00:00|직영점|127.1252932|37.4906894
코오롱스포츠|서울시흥점|02-807-3366|서울 금천구 시흥동890-10 전청빌딩 1층|10:00:00-20:30:00|특약점|126.90218981|37.45156395
코오롱스포츠|현대/디큐브시티점|02-2210-9355|서울 구로구 신도림동692|10:00:00-20:30:00|백화점|126.889392|37.509003
코오롱스포츠|롯데/영등포점|02-2164-5395|서울시 영등포구 영등포동618-496 (6층)|10:00:00-20:30:00|백화점|126.90741166|37.51605467
코오롱스포츠|현대/천호점|02-2225-7774|서울 강동구 천호동455-8|10:00:00-20:30:00|백화점|127.12416868|37.53878038
코오롱스포츠|청담직영점|02-545-8886|서울 강남구 청담동84-6번지 B1~1F|11:00:00-20:00:00|직영점|127.04042391|37.52621569
코오롱스포츠|롯데/본점|02-772-3699|서울 중구 소공동1번지.|10:00:00-20:30:00|백화점|126.98182715|37.56476214
코오롱스포츠|AK/구로점|02-6092-1973|서울 구로구 구로동573|10:00:00-20:30:00|백화점|126.88287212|37.50085618
코오롱스포츠|현대/신촌점|02-3145-2640|서울 서대문구 창천동신촌로 83|10:00:00-20:30:00|백화점|126.93577715|37.55581847
코오롱스포츠|현대/미아점|02-2117-1541|서울 성북구동소문로 315|10:00:00-20:30:00|백화점|127.02868404|37.60818816
코오롱스포츠|롯데/김포공항점|02-6116-3441|서울 강서구 방화동886 (4층)|10:00:00-20:30:00|백화점|126.80316599|37.56305243
코오롱스포츠|롯데/관악점|02-3289-8543|서울 관악구봉천로 209 (봉천동 729-22)|10:00:00-20:30:00|백화점|126.92512404|37.49049352
