##NAME|SUBNAME|TELNUM|NEWADDR|OT|XCOORD|YCOORD@@네파
네파|AK구로(N)|02-6923-2540|서울특별시 구로구 구로중앙로 152  (구로동,애경백화점 573)|10~22|126.882774|37.50116
네파|가든파이브4(N)|02-2157-5503|서울 송파구 문정동 516|10~22|127.12432|37.479225
네파|구로W-MALL(N)|02-2081-0526|서울 금천구 가산동 디지털로 188|10~22|126.88768|37.477325
네파|뉴코아강서(N)|02-2667-9925|서울 강서구 강서로56길 17 엔씨백화점,5층 (강서로56길 17)|10~22|126.8405|37.559933
네파|뉴코아불광(N)|02-350-7947|서울 은평구 불광로 20 NC백화점 (대조동 240)|10~22|126.92894|37.609737
네파|롯데강남7(N)|02-531-2771|서울특별시 강남구 도곡로 401  (대치동,롯데백화점 937)|10~22|127.05325|37.49698
네파|롯데관악4(N)|02-3289-8557|서울 관악구 봉천로 209 롯데백화점 5층  (봉천동 729-22)|10~22|126.924981|37.490496
네파|롯데김포2(N)|02-6116-3449|서울특별시 강서구 하늘길 38  (방화동,스카이시티 886)|10~22|126.80328|37.569916
네파|롯데노원4(N)|02-950-2685|서울특별시 노원구 동일로 1414  (상계동,롯데백화점 713)|10~22|127.06184|37.65542
네파|롯데미아4(N)|02-944-2507|서울 강북구 미아동 도봉로 62|10~22|127.03052|37.614594
네파|롯데본점4(N)|02-772-3647|서울특별시 중구 남대문로 81  (소공동,롯데백화점(본점) 1)|10~22|126.981735|37.564728
네파|롯데스타시티3(N)|02-2218-3755|서울 광진구 능동로 92 롯데백화점 (자양동 227-342)|10~22|127.07121|37.538998
네파|롯데아울렛가산상설3(N)|02-2623-2210|서울 금천구 벚꽃로 278 2층  (가산동 60-19)|10~22|126.884635|37.479493
네파|롯데아울렛서울역3(N)|02-6965-2812|서울특별시 중구 봉래동2가  한강대로 405 , 롯데백화점아울렛 서울역점4층|10~22|126.970968|37.556539
네파|롯데영등포3(N)|02-2630-6804|서울 영등포구 영등포동 618-496|10~22|126.90616|37.513405
네파|롯데잠실5(N)|02-2143-7556|서울 송파구 올림픽로 240  (잠실동 40-1)|10~22|127.09814|37.511311
네파|롯데청량리6(N)|02-3707-1575|서울특별시 동대문구 왕산로 214  (전농동 591-53)|10~22|127.048325|37.58061
네파|마리오아울렛6(N)|02-861-5171|서울 금천구 가산동 60-22, 60-52|10~22|126.88709|37.478188
네파|서울강서직영2(N)|02-2648-3448|서울특별시 양천구 등촌로 232  (목동 606-15)|10~22|126.86426|37.550247
네파|서울공항2(N)|02-6101-2357|서울 강서구 방화동로 22  (공항동 45-11, 1층)|10~22|126.81|37.562824
네파|서울도봉산직영2(N)|02-3492-8846|서울 도봉구 도봉동  도봉산길 73 제다동제43,44,51,52|~|127.037605|37.686512
네파|서울마천(N)|02-407-4073|서울특별시 송파구 성내천로63길 3 1층 (마천동 331-8)|10~22|127.1573|37.490574
네파|서울문정직영5(N)|02-401-4845|서울 송파구 동남로 120  (동남로 120)|10~22|127.124514|37.490274
네파|서울바우하우스상설4(N)|02-2115-1253|서울 동대문구 장안동 답십리로 288|10~22|127.07239|37.571922
네파|서울북한산성2(N)|02-354-8818|서울 은평구 대서문길 43-9  (진관동 278-12)|10~22|126.94942|37.655636
네파|서울불광직영5(N)|02-388-2588|서울특별시 은평구 통일로 708  (불광동 285-28)|10~22|126.93127|37.609238
