##NAME|SUBNAME|ORGNAME|ID|TELNUM|ADDR|NEWADDR|XCOORD|YCOORD@@유안타증권
유안타증권|Finance/Hub/강남점|Finance Hub 강남점|10037|02-567-3900|서울 강남구 역삼동 823-21 대공빌딩 3층|서울 강남구 테헤란로 126 대공빌딩 3층|127.0323209|37.4990618
유안타증권|MEGA센터분당|MEGA센터분당|10706|031-781-4500|경기 성남시 분당구 서현동 265-3 센트럴타워 4층|경기 성남시 분당구 황새울로 312번길 26 센트럴타워 4층|127.1227913|37.3835642
유안타증권|MEGA센터잠실|MEGA센터잠실|10102|02-423-0086|서울 송파구 신천동 7-25 월드타워 10층|서울 송파구 송파대로 558 월드타워 10층|127.0996876|37.515082
유안타증권|W/Prestige/강남센터|W Prestige 강남센터|10277|02-552-8811|서울 강남구 삼성동 157-1 삼성동빌딩 2층|서울 강남구 삼성로 512 삼성동오피스빌딩 2층|127.0563947|37.5081430
유안타증권|W/Prestige/강북센터|W Prestige 강북센터|10276|02-3770-2300|서울 중구 을지로2가 185 유안타증권빌딩 5층|서울 중구 을지로 76 유안타증권빌딩 5층|126.9861801|37.5656787
유안타증권|골드센터강남점|골드센터강남점|10702|02-554-2000|서울 강남구 삼성동 158-23 K타워 3층|서울 강남구 테헤란로 513 K타워 3층|127.0588681|37.5079774
유안타증권|골드센터대전점|골드센터대전점|10054|042-488-9119|대전 서구 둔산동 1501번지 2층|대전 서구 둔산로 144  (2층)|127.3898554|36.350987
유안타증권|골드센터목동점|골드센터목동점|10532|02-2652-9600|서울 양천구 목동 405-276 제일빌딩 4층|서울 양천구 오목로 312 제일빌딩 4층|126.8719874|37.5246985
유안타증권|골드센터부산점|골드센터부산점|10007|051-808-7725|부산 부산진구 부전동 163-1 파이낸스센터 3층|부산 부산진구 중앙대로 708 파이낸스센터 3층|129.0595710|35.1559909
유안타증권|골드센터영업부|골드센터영업부|10701|02-3770-2200|서울 중구 을지로2가 185 유안타증권빌딩 1층|서울 중구 을지로 76 유안타증권빌딩 1.5층|126.9861524|37.5656569
유안타증권|골드센터울산점|골드센터울산점|10704|052-258-3100|울산 남구 달동 1358-8번지 8층|울산 남구 삼산로 197 유안타증권빌딩 8층|129.3285175|35.538102
유안타증권|금융센터강릉본부점|금융센터강릉본부점|10115|033-655-8822|강원 강릉시 임당동 112-1 2층|강원 강릉시 경강로 2109 문선빌딩 2층|128.8970339|37.7558576
유안타증권|금융센터거제지점|금융센터거제지점|10130|055-635-7766|경남 거제시 고현동 978-7 2층|경남 거제시 서문로 71 제일빌딩 2층|128.6235045|34.8900546
유안타증권|금융센터광주본부점|금융센터광주본부점|10023|062-226-2100|광주 동구 금남로3가 1-6 동양빌딩 3층|광주 동구 중앙로 198 동양빌딩 3층|126.9164746|35.1506912
유안타증권|금융센터구미지점|금융센터구미지점|10096|054-471-3636|경북 구미시 황상동 318-34 강동빌딩 2층|경북 구미시 인동가산로 23 강동빌딩 2층|128.4195142|36.1067955
유안타증권|금융센터대구본부점|금융센터대구본부점|10710|053-256-0900|대구 중구 남산2동 936-1 동양금융센터빌딩 2,3층|대구 중구 달구벌대로 2090 동양금융센타 2층|128.5921058|35.8652824
유안타증권|금융센터도곡본부점|금융센터도곡본부점|10052|02-3460-2255|서울 강남구 도곡동 467-19 현대비전21 4층|서울 강남구 언주로30길 10 현대비젼21빌딩 4층|127.0512947|37.4873448
유안타증권|금융센터동북본부점|금융센터동북본부점|10064|02-934-3383|서울 노원구 상계동 709-2 메가빌딩 4층|서울 노원구 노해로 459 메가빌딩 4층|127.0589624|37.654242
유안타증권|금융센터동탄지점|금융센터동탄지점|10239|031-8003-6900|경기 화성시 반송동 103-1 동탄스카이뷰빌딩 3층|경기 화성시 동탄반석로 144 동탄스카이뷰빌딩 3층|127.0711684|37.2016878
