##NAME|SUBNAME|TELNUM|NEWADDR|XCOORD|YCOORD@@KB증권
KB증권|가락지점|02-6077-0100|서울 송파구 중대로 80, (문정동, 롯데마트) 3층 KB증권 가락지점|127.11778163909912|37.49177898235845
KB증권|강남지점|02-6077-0220|서울 강남구 테헤란로 107, (역삼동,메디타워) 3층 KB증권 강남지점|127.02874079999992|37.4986429
KB증권|복합점포/강남스타PB센터|02-2096-3064|서울시 강남구 테헤란로 152, 21층(역삼동, 강남파이낸스센터) KB증권 강남스타PB센터|127.03655260000005|37.4999269
KB증권|복합점포/강동지점|02-6077-0300|서울특별시 강동구 양재대로 1443, 4층(길동, 동우빌딩) KB증권 강동지점|127.13852240000005|37.5348924
KB증권|경주지점|054-622-1100|경북 경주시 화랑로 146 (황오동) 기업은행2층 KB증권 경주지점|129.21681940555573|35.8440931358202
KB증권|복합점포/과천지점|02-6077-0500|경기 과천시 별양상가3로 5, 유니온빌딩 2층 KB증권 과천지점|126.9911277294159|37.4266625626693
KB증권|복합점포/광명지점|02-6077-0400|경기 광명시 광명로 896 (광명동) 해솔타워 3층 KB증권 광명지점|126.85447529999999|37.478831
KB증권|복합점포/광산지점|062-450-0300|광주광역시 광산구 사암로 205, 2층(우산동, 국민은행빌딩) KB증권 광산지점|126.80940002202988|35.162141401596166
KB증권|광주지점|062-410-3800|광주 동구 금남로 211, (금남로3가,SK브로드밴드(주)광주사옥) 1층 KB증권광주지점|126.9160273|35.1500843
KB증권|광화문지점|02-6077-0600|서울 종로구 사직로 130, (적선동,적선현대빌딩) 2층 KB증권(주)광화문지점|126.97321325540543|37.575397006361996
KB증권|구로지점|02-6077-0700|서울 구로구 경인로53길 15, 업무A동 2층(구로동,중앙유통단지) KB증권(주)구로지점|126.87457501888275|37.50087637099973
KB증권|복합점포/구리지점|031-510-2900|경기 구리시 경춘로 239, (인창동,리맥스빌딩) 6층 KB증권 구리지점|127.1416237950325|37.60164162168007
KB증권|구미지점|054-605-4000|경북 구미시 송원동로7 용은빌딩2층 KB증권구미지점|128.34659546613693|36.11884059361695
KB증권|군산지점|063-912-2000|전북 군산시 하나운로 32 (세경프라자 1층) KB증권(주)군산지점|126.70175970000002|35.9607845
KB증권|복합점포/김천지점|054-911-6200|경상북도 김천시 김천로 94,2층(평화동,국민은행빌딩) KB증권 김천지점|128.1107595562935|36.12527752997725
KB증권|김포지점|031-990-8400|경기 김포시 김포대로 847 (사우동) 김포중앙프라자 2층 KB증권 김포지점|126.71962112188339|37.619657649808715
KB증권|김해지점|055-906-1400|경남 김해시 내외중앙로 59 (내동), 햄튼타워2층 KB증권 김해지점|128.86650413274765|35.2354829168659
