##NAME|SUBNAME|ORGNAME|ID|TELNUM|ADDR|NEWADDR|ETCADDR|XCOORD|YCOORD@@한화투자증권
한화투자증권|강서지점|강서지점|17|02-2606-4712|서울특별시 강서구 등촌동 648-6번지 비원빌딩 2층|서울특별시 강서구공항대로 525 비원빌딩 2층|비원빌딩 2층|126.86492311965645|37.55167518946901
한화투자증권|갤러리아지점|갤러리아지점|3|02-3445-8700|서울특별시 강남구 청담동 79번지 The트리니티빌딩 7층|서울특별시 강남구압구정로 416 The트리니티빌딩 7층|The트리니티빌딩 7층|127.04240264654821|37.52694931710733
한화투자증권|거창지점|거창지점|42|055-943-3000|경상남도 거창군 거창읍 상림리 27-11 현대빌딩 4층|경상남도 거창군거창읍 거열로 131 현대빌딩 4층|현대빌딩 4층|127.90816855352672|35.68922179103399
한화투자증권|공주지점|공주지점|24|041-856-7233|충청남도 공주시 신관동 29-1번지 은우빌딩 3층|충청남도 공주시번영1로 120 은우빌딩 3층|29-1번지 은우빌딩 3층|127.14074807746394|36.47395932232403
한화투자증권|과천지점|과천지점|53|02-507-7070|경기도 과천시 별양동 1-16번지 교보빌딩 2층|경기도 과천시별양상가1로 13 교보빌딩 2층|교보빌딩 2층|126.99155684564172|37.427166321338
한화투자증권|광주지점|광주지점|54|062-713-5700|광주광역시 동구 금남로2가20-2번지 무등빌딩1층|광주광역시 동구금남로 238 무등빌딩 1층|무등빌딩1층|126.9175948066611|35.1482963450647
한화투자증권|군산지점|군산지점|56|063-730-8400|전라북도 군산시 나운동107-8번지 나운프라자2층|전라북도 군산시하나운로 38 나운프라자 2층|나운프라자2층|126.7008939341203|35.96218235294333
한화투자증권|노원지점|노원지점|77|02-931-2711|서울 노원구 상계동 705-2 청산빌딩 3층|서울특별시 노원구노해로 451 청산빌딩 3층|청산빌딩 3층|127.05821395116179|37.6540635658878
한화투자증권|대치센트럴지점|대치센트럴지점|8|02-553-0008|서울특별시 강남구 대치동 630번지 동하빌딩 2층|서울특별시 강남구남부순환로 2913 동하빌딩 2층|동하빌딩 2층|127.05866670558349|37.49284046427454
한화투자증권|동울산지점|동울산지점|60|052-233-9229|울산광역시 동구 전하동 621-2 5층|울산광역시 동구방어진순환도로 785 5층|5층|129.430320|35.511810
한화투자증권|리더스라운지/강남지점|리더스라운지 강남지점|21|02-6975-2000|서울특별시 강남구 역삼동 824-24번지 동주빌딩 1층|서울특별시 강남구테헤란로8길 8 동주빌딩 1층|동주빌딩 1층|127.03100277400902|37.4981973117823
한화투자증권|마린시티지점|마린시티지점|63|051-751-8321|부산광역시 해운대구 우1동1434-1번지 마리나센터2층|부산광역시 해운대구해운대해변로 154 마리나센터 2층|마리나센터2층|129.14847763202388|35.15790156297153
한화투자증권|목동지점|목동지점|66|02-2654-2300|서울특별시 양천구 목1동 962번지 목동트라팰리스 웨스턴에비뉴 3층|서울특별시 양천구오목로 299 목동트라펠리스 웨스턴에비뉴 3층|962번지 목동트라팰리스 웨스턴에비뉴 3층|126.87038373198122|37.525995183503525
한화투자증권|문경지점|문경지점|20|054-550-3500|경상북도 문경시 점촌동 275-3번지 KT빌딩 2층|경상북도 문경시영신로 6 KT빌딩 2층|KT빌딩 2층|128.1990574246306|36.594122210386146
한화투자증권|반포지점|반포지점|52|02-6918-2400|서울특별시 서초구 잠원동 69-22번지 반포쇼핑타운 8동 2층|서울특별시 서초구신반포로 219 반포쇼핑타운 8동 2층|반포쇼핑타운 8동 2층|127.00823375143453|37.507531006831016
한화투자증권|범어지점|범어지점|71|053-741-3211|대구광역시 수성구 범어동42-8번지 요아킴빌딩4층|대구광역시 수성구달구벌대로 2393 요아킴빌딩 4층|요아킴빌딩4층|128.62438539457756|35.85954391804352
한화투자증권|부산지점|부산지점|2|051-465-7533|부산광역시 부산진구 부전동 255-33 서면금융프라자빌딩 2층|부산광역시 부산진구중앙대로 709 서면금융프라자빌딩 2층|서면금융프라자빌딩 2층|129.05881679051853|35.156190476992386
한화투자증권|부천지점|부천지점|73|032-322-0909|경기도 부천시 원미구 중동 1140-2번지 트리플타워 A동2층|경기도 부천시원미구 신흥로 205 트리플타워A동 2층|트리플타워 A동2층|126.77598097811739|37.5018969948957
한화투자증권|분당지점|분당지점|83|031-707-7114|경기도 성남시 분당구 서현동 246-1번지 금화빌딩2층|경기도 성남시분당구 황새울로 360번길 19 금화빌딩 2층|금화빌딩2층|127.12592912776292|37.385885348968344
한화투자증권|삼산지점|삼산지점|16|052-265-0505|울산광역시 남구 삼산동 1474-2번지 한화손해보험빌딩 2층|울산광역시 남구삼산로 262 한화손해보험빌딩 2층|한화손해보험빌딩 2층|129.3359328157797|35.53874938084736
한화투자증권|성서지점|성서지점|85|053-588-3211|대구광역시 달서구 이곡동1198-5번지 국민연금대구회관1층|대구광역시 달서구성서로 419 국민연금대구회관 1층|국민연금대구회관1층|128.50674920396415|35.85497298011378
한화투자증권|송도IFEZ지점|송도IFEZ지점|6|032-851-7233|인천광역시 연수구 송도동 3-1번지 송도밀레니엄빌딩 2층 211호|인천광역시 연수구컨벤시아대로 69 송도밀레니엄빌딩 2층 211호|송도밀레니엄빌딩 2층 211호|126.650884|37.39572555
한화투자증권|송파지점|송파지점|5|02-449-3677|서울특별시 송파구 가락동 78번지 IT벤처타운 서관 1층|서울특별시 송파구중대로 135 IT벤처타운 서관 1층|IT벤처타운 서관 1층|127.12241715069973|37.49510268816866
한화투자증권|순천지점|순천지점|4|061-724-6400|전라남도 순천시 연향동 1324-1번지 우리은행 2층|전라남도 순천시이수로 314 우리은행 2층|우리은행 2층|127.51840392270422|34.9532835096933
한화투자증권|신갈지점|신갈지점|7|031-285-7233|경기도 용인시 기흥구 신갈동 53-12번지 효진프라자빌딩 2층|경기도 용인시기흥구 신갈로 58번길 17 효진프라자빌딩 2층|효진프라자빌딩 2층|127.10763539192282|37.27257329814793
한화투자증권|신촌지점|신촌지점|90|02-6944-7700|서울특별시 서대문구 창천동72-14번지 케이스퀘어신촌 2층|서울특별시 서대문구신촌로 73 케이스퀘어신촌 2층|케이스퀘어신촌 2층|126.93481245809372|37.556333298417925
한화투자증권|안성지점|안성지점|43|031-677-0233|경기도 안성시 석정동 145-8 YH빌딩 3층|경기도 안성시중앙로 252(석정동) YH빌딩 3층|YH빌딩 3층|127.25681874329123|37.01298194739073
한화투자증권|언양지점|언양지점|15|052-262-9300|울산광역시 울주군 언양읍 동부리 208-1번지 송강빌딩 1층|울산광역시 울주군언양읍 동문길 58 송강빌딩 1층|송강빌딩 1층|129.12455571040252|35.56615208431922
한화투자증권|영업부|영업부|49|02-3775-0775|서울특별시 영등포구 여의도동 23-5번지 한화투자증권빌딩 1층|서울특별시 영등포구여의대로 56 한화투자증권빌딩 1층|한화투자증권빌딩 1층|126.92280992770497|37.5240744014233
한화투자증권|영주지점|영주지점|41|054-633-8811|경상북도 영주시 하망동 548-16번지 동아빌딩 3층|경상북도 영주시구성로 332-1 동아빌딩 3층|동아빌딩 3층|128.62475719330897|36.82209087934853
한화투자증권|영천지점|영천지점|9|054-331-5000|경상북도 영천시 문외동  38-9번지 영동빌딩 2층|경상북도 영천시동문길 147 2층 (문외동,영동빌딩)|영동빌딩 2층|128.93826695236575|35.97119812022871
한화투자증권|올림픽지점|올림픽지점|100|02-404-4161|서울특별시 송파구 방이동89-11번지 올림픽선수기자촌중심상가1층|서울특별시 송파구양재대로 1222 올림픽선수기자촌중심상가 1층|올림픽선수기자촌중심상가1층|127.1322163873404|37.51582523384204
한화투자증권|이촌지점|이촌지점|103|02-6937-7400|서울특별시 용산구 이촌동300-16번지 서울스투디오빌딩2층|서울특별시 용산구이촌로88길 8 서울스투디오빌딩 2층|서울스투디오빌딩2층|126.97777172847913|37.51822332797042
한화투자증권|일산지점|일산지점|29|031-929-1313|경기도 고양시 일산서구 주엽동 66-1번지 노블레스빌딩 2층|경기도 고양시일산서구 중앙로 1426 노블레스빌딩 2층|노블레스빌딩 2층|126.76194485918512|37.67028961555485
한화투자증권|전주지점|전주지점|35|063-710-1000|전라북도 전주시 덕진구 금암동 472-3번지 한화생명 3층|전라북도 전주시덕진구 기린대로 405 한화생명 3층|한화생명 3층|127.13144855968694|35.83771486452867
한화투자증권|제주지점|제주지점|109|064-800-7500|제주도 제주시 이도1동1736-16번지 1층|제주특별자치도 제주시중앙로 207 1층|1층|126.52916989928283|33.501130920306814
한화투자증권|중앙지점|중앙지점|48|02-743-7311|서울특별시 중구 광희동1가 216번지 광희빌딩 2층|서울특별시 중구퇴계로 307 광희빌딩 2층|광희빌딩 2층|127.00571451902088|37.564339245213624
한화투자증권|창원지점|창원지점|112|055-285-2211|경상남도 창원시 의창구 용호동 73-37번지 대구은행빌딩 6층|경남 창원시의창구 용지로 159 6층(용호동,대구은행빌딩)|대구은행빌딩 6층|128.68131010270198|35.22916058547278
한화투자증권|천안지점|천안지점|27|041-563-2001|충청남도 천안시 서북구 불당동 1418번지 충남북부상공회의소 1층|충청남도 천안시서북구 광장로 215 충남북부상공회의소 1층|충남북부상공회의소 1층|127.10837406617216|36.79813216422491
한화투자증권|청주지점|청주지점|18|043-224-3300|충청북도 청주시 흥덕구 강서동 477번지 MK빌딩 2층 (고속터미널 맞은편)|충정북도 청주시흥덕구 2순환로 1240 MK빌딩 2층(고속터미널 맞은편)|MK빌딩 2층 (고속터미널 맞은편)|127.43019693887113|36.62551397635756
한화투자증권|타임월드지점|타임월드지점|25|042-488-7233|대전광역시 서구 둔산 2동 1034번지 타임월드백화점 업무동 3층|대전광역시 서구대덕대로 219 타임월드백화점 업무동 3층|업무동 3층|127.37835609933565|36.3521377708314
