##NAME|SUBNAME|TELNUM|ADDR|NEWADDR|ID|XCOORD|YCOORD@@뚜레쥬르
뚜레쥬르|칠곡구암점|053-314-2806|대구광역시 북구 구암동 650-1 1층 뚜레쥬르|대구광역시 북구 구암로 150 (구암동) 1층 뚜레쥬르 |1109741|35.9314900|128.5571018
뚜레쥬르|카페건대점|02-466-0962|서울특별시 광진구 화양동 7-2 (삼진빌딩) 1층 뚜레쥬르|서울특별시 광진구 아차산로 237 (화양동,삼진빌딩) 1층 뚜레쥬르 |1109765|37.5405026|127.0697556
뚜레쥬르|카페별내미리내점|070-7797-3766|경기도 남양주시 별내동 1079-5 1층|경기도 남양주시 별내5로5번길 61 (별내동) 1층 |1109746|37.6523085|127.1160567
뚜레쥬르|서청주파크자이점|043-238-3339|충청북도 청주시 흥덕구 비하동 687-6 (엄지어린이집) 충청북도 청주시 청향로 9번길 40-|충청북도 청주시 흥덕구 청향로9번길 40-6 (비하동,엄지어린이집) 충청북도 청주시 청향로 9번길 |1109716|36.6360544|127.4216294
뚜레쥬르|구로디지털직영점|02-853-9215|서울특별시 구로구 구로동 1124-72 (조영빌딩) 1층 뚜레쥬르|서울특별시 구로구 디지털로32길 79 (구로동,조영빌딩) 1층 뚜레쥬르 |1109703|37.4835336|126.8997792
뚜레쥬르|김포청송점|031-996-8229|경기도 김포시 장기동 1865-4 (호반베르디움6차더퍼스트) 호반베르디움더퍼스트 단지|경기도 김포시 김포한강2로 361 (장기동,호반베르디움6차더퍼스트) 호반베르디움더퍼스트 단 |1109705|37.6525764|126.6701365
뚜레쥬르|수원정자점|031-268-0598|경기도 수원시 장안구 정자동 877-4 정연메이져빌딩1층 뚜레쥬르|경기도 수원시 장안구 대평로 80 (정자동) 정연메이져빌딩1층 뚜레쥬르 |1109665|37.2955355|126.9936193
뚜레쥬르|동탄디엠시티더센텀점|031-373-0660|경기도 화성시 영천동 산 24-1 대방디엠시티C118~120|경기도 화성시동탄대로 636-14 대방디엠시티C118~120 |1109700|37.2102486|127.0994623
뚜레쥬르|순천선평점|010-2002-2045|전남 순천시 서면 선평리 234-5 1층|전남 순천시 서면 선평리 234-5 1층 |1109702|34.9857561|127.5036352
뚜레쥬르|부산하단역점|051-206-4208|하단동 525-3|부산광역시 사하구 낙동남로 1391 (하단동) |1109590|35.1066535|128.9639426
뚜레쥬르|순천연향3지구점|061-725-0020|전라남도 순천시 팔마2길  56 (연향동)|전남 순천시 연향동 1686-3 |1109719|34.9339541|127.5167644
뚜레쥬르|마산합포중앙점|055-241-0232|경상남도 창원시 마산합포구 중앙동2가 2-5 (중앙동메디칼) 1층|경상남도 창원시 마산합포구 3·15대로 192 (중앙동2가,중앙동메디칼) 1층 |1109707|35.1952153|128.5671521
뚜레쥬르|대전관저더샵점|042-541-2877|대전광역시 서구 관저동 1989 (비젼9) 대전광역시 서구 관저로14번길 40 비젼9|대전광역시 서구 관저로14번길 40 (관저동,비젼9) 대전광역시 서구 관저로14번길 40 비젼 |1109643|36.2965842|127.3266916
뚜레쥬르|풍무센트럴푸르지오점|031-998-1187|경기도 김포시 풍무동 217 오렌지빌딩 1층|경기도 김포시 풍무2로 33 (풍무동) 오렌지빌딩 1층 |1109708|37.6096098|126.7256857
뚜레쥬르|제천고암점|043-647-8998|충청북도 제천시 고암동 1108-2 1층 뚜레쥬르|충청북도 제천시 용두천로46길 35 (고암동) 1층 뚜레쥬르 |1109424|37.1587167|128.2208803
뚜레쥬르|목포대성점|061-245-0888|전라남도 목포시 산정동 1789-29 1층 뚜레쥬르|전라남도 목포시 청호로 96 (산정동) 1층 뚜레쥬르 |1109691|34.8011423|126.3795888
뚜레쥬르|제천하소코아루점|043-647-5343|충청북도 제천시 하소동 165-59 1층 뚜레쥬르 제천하소코아루점|충청북도 제천시 원뜰로 34 (하소동) 1층 뚜레쥬르 제천하소코아루점 |1109699|37.1332340|128.1949899
뚜레쥬르|다산진건점|031-566-0111|경기도 남양주시 다산동 6058 다산헤리움그랑비스타 2차 121,122,123호|경기도 남양주시 다산중앙로123번길 22-30 (다산동) 다산헤리움그랑비스타 2차 121,122,1 |1109627|37.6254944|127.1521046
뚜레쥬르|평택지제센트럴파크점|031-658-9875|경기도 평택시 동삭동 371-1 가온빌딩 104호|경기도 평택시 동삭1로 22번길 19-15, (가온빌딩)104호 |1109602|37.0203824|127.0932941
뚜레쥬르|해남군청점|061-536-3456|전라남도 해남군 해남읍 성내리 42-2|전라남도 해남군 해남읍 군청길 13 |1109688|34.5729792|126.5984416
뚜레쥬르|두암미라보점|010-3632-6707|광주광역시 북구 두암동 584-28 1층 뚜레쥬르|광주광역시 북구 군왕로 157 (두암동) 1층 뚜레쥬르 |1109622|35.1753651|126.9330353
뚜레쥬르|대구남산점|053-252-1978|대구광역시 중구 남산동 3012 (남산역화성파크드림) 남산역화성파크드림 제302동 10|대구광역시 중구 남산로7길 7 (남산동,남산역화성파크드림) 남산역화성파크드림 제302동 1 |1109613|35.8582854|128.5817024
뚜레쥬르|춘천후평점|033-910-0606|강원도 춘천시 후평동 67-72 1층 뚜레쥬르|강원도 춘천시 후석로 312 (후평동) 1층 뚜레쥬르 |1109599|37.8789722|127.7508984
뚜레쥬르|제주한림점|064-796-8094|제주도 제주시 한림읍 명랑로4길 27 1층|제주도 제주시 한림읍 명랑로4길 27 1층 |1109630|33.4123935|126.2682362
뚜레쥬르|사랑모아범천점|070-7769-3718|부산진구 범천동 지상1층|부산광역시 부산진구 중앙대로 632 지상1층 |1109651|35.1491563|129.0595503
뚜레쥬르|창원유니시티점|055-253-3999|경상남도 창원시 의창구 중동 788 (창원중동유니시티4단지) 4단지 상가 113호|경상남도 창원시 의창구 중동로 60 (중동,창원중동유니시티4단지) 4단지 상가 113호 |1109696|35.2547940|128.6290356
뚜레쥬르|창원북면점|055-275-3322|경상남도 창원시 의창구 북면 감계리 247-4 1층 뚜레쥬르 창원북면점|경상남도 창원시 의창구 북면 감계로110번길 59 (감계리) 1층 뚜레쥬르 창원북면점 |1109633|35.3017900|128.5931852
뚜레쥬르|진영휴게소/부산방향점|010-2476-0175|진영읍 우동리 415|하계로 96 |1109443|35.2850687|128.7138123
