##NAME|SUBNAME|TELNUM|ADDR|OT|PARKING|SEAT@@신선설농탕
신선설농탕|고척점|02-2615-8080|서울 구로구 경인로 385 (고척동 72-1번지)|24시간(단,일요일은24시까지)|30대|180석
신선설농탕|광나루역점|02-446-9944|서울 광진구 광장동 240-8 외필지 1층|24시간|15대|96석
신선설농탕|구리점|031-554-3500|경기 구리시 인창동 609-1|24시간|30대|120석
시화담|그릴|02-793-9292|서울 용산구 이태원로 254 2층|11:30~22:00|16대|78석
신선설농탕|길동점|02-471-2525|서울 강동구 천호대로 1201 (길동)|07:00~23:00|최대 6대|71석
신선설농탕|김포점|031-985-3361|경기 김포시 사우동 121-1|24시간|40대|167석
신선설농탕|노원역점|02-934-3388|서울 노원구 노해로 511 1층 (상계동)|24시간|14대|84석
신선설농탕|당산역점|02-2634-0051|서울 영등포구 당산동5가 33-9 1층|07:00~23:00|3대 (건물앞 주차장)|55석
신선설농탕|도곡점|02-571-6375|서울 서초구 양재동 3-3 1층|24시간|10대|138석
신선설농탕|독산점|02-851-1900|서울 금천구 독산동 289-7 1층|24시간|주차불가|74석
신선설농탕|명동점|02-777-4531|서울 중구 명동2가 2-2|24시간|불가|64석
신선설농탕|목동점|02-2650-8868|서울 양천구 신정동 321-6 센트럴프라자상가 1층 107호~108호|07:00~24:00|20대|64석
신선설농탕|발산역점|02-3664-7100|서울 강서구 등촌동 668-11 (공항대로 323)|24시간(단,일요일24시마감/월요일7시오픈)|15대|124석
신선설농탕|방이점|02-422-0069|서울 송파구 방이동 24-4|24시간|5대|100석
수련|본점|032-329-9100|경기 부천시 원미구 중3동 1086번지 신선빌딩 3층|12:00~22:00(20시30분까지방문고객에한하여식사가능합니다.)브레이크타임:15:30~17:30|100대|108석(홀 82석, 룸 28석)
우소보소|본점|032-327-3392|경기 부천시 원미구 중3동 1086번지 신선빌딩 2층|11:30~22:00(21시20분까지방문고객에한하여식사가능합니다.)|100대|134석(홀 114석, 룸 20석)
신선설농탕|부평역점|032-503-9911|인천 부평구 부평동 159-40번지 (인천광역시 부평구 경원대로 1405)|07:00~23:00|9대|112석
신선설농탕|부평점|032-514-3966|인천 부평구 부평동 10-868, 10-873|24시간|25대|170석
신선설농탕|북수원점|031-547-9633|경기 수원시 장안구 조원동 752-15 2층|24시간(단,일요일은24시까지)|12대|102석
신선설농탕|분당서현점|031-708-0041|경기 성남시 분당구 서현동 254-4번지 여암빌딩 1층|24시간운영|20대|92석
신선설농탕|산본점|031-391-0067|경기 군포시 산본동 1136번지 한솔프라자 202, 203, 204호|07:00~23:00|10대  (자체 주차장), 100대 (산본중심상가 공영주차장 30분 무료 티켓제공)|86석
신선설농탕|서울대역점|02-871-9500|서울 관악구 봉천동 863-2번지 1층|24시간|10대|96석
신선설농탕|서초점|02-3473-1155|서울 서초구 서초동 1443-8|24시간(단,일요일24시마감/월요일7시오픈)|20대|78석
신선설농탕|수원영통점|031-202-0039|경기 수원시 영통구 영통동 976-17|24시간|25대|86석
신선설농탕|수지점|031-272-0041|경기 용인시 수지구 신봉동 899 부광타워|07:00~24:00|150대(주차빌딩)|72석
신선설농탕|신촌점|02-393-0040|서울 서대문구 창천동 5-38|24시간|인근 타이거, 부자 주차장 (30분 이용권 지급)|52석
신선설농탕|안산중앙점|031-482-3952|경기 안산시 단원구 고잔동 536|24시간|대형 공용주차장 이용|82석
신선설농탕|안양역점|031-441-5500|경기 안양시 만안구 안양동 1195-49  1층|24시간|공영주차장 30분 무료주차|77석
신선설농탕|연신내역점|02-359-8885|서울 은평구 갈현동 395-2번지 1층|24시간|8대|74석
신선설농탕|영등포점|02-2679-5633|서울 영등포구 영등포동3가 6번지|24시간|인근 아자프라자 (30분 이용권 지급)|61석
신선설농탕|의정부점|031-851-4433|경기 의정부시 신곡동 761-5|24시간|20대  (자체 주차장)|71석
신선설농탕|이태원본점|02-793-8833|서울 용산구 이태원로 254 1층 지하1층|24시간|8대|지하1층  78석 / 1층 78석 (단체석 완비)
신선설농탕|일산백석점|031-901-3231|경기 고양시 일산동구 백석동 1297-1|24시간|40대|182석
신선설농탕|자양점|02-454-7944|서울 광진구 자양동 766-10|24시간|20대|80석
신선설농탕|작전점|032-548-5599|인천 계양구 작전동 865-30번지|24시간(단,일요일24시마감/월요일7시오픈)|25대|104석
신선설농탕|정발산점|031-907-0025|경기 고양시 일산동구 장항동 847 114호~116호|24시간|25대  (건물지하주차장)|77석
신선설농탕|중동/본점|032-327-3388|경기 부천시 원미구 중3동 1086, 1086-1|24시간|100대|154석
신선설농탕|천호역점|02-2088-8823|서울 강동구 천호대로 1012 태승빌딩 1층|24시간운영|30대(주차비 일부 지원)|80석
신선설농탕|청담점|02-548-3370|서울 강남구 청담동 124-7 청담빌딩 1층, 2층|24시간|17대|109석
시화담|파인다이닝|02-798-3311|서울 용산구 이태원로 254 3층|12:00~22:00(break15:00~17:00)|16대|65석
신선설농탕|홍대점|02-337-6400|서울 마포구 양화로 140 (서교동)|24시간|주차불가|55석
신선설농탕|화곡역점|02-2693-1600|서울 강서구 화곡동 1074번지|24시간|20대|144석
