##NAME|SUBNAME|ID|TELNUM|NEWADDR|FEAT
공차|동탄레이크꼬모점|31014|070-4085-0407|경기 화성시 동탄대로 181, 1층|좌석;화장실;주차가능;와이파이
공차|동탄북광장점|31015|0507-1467-7753|경기도 화성시 동탄반석로 204 동탄제일프라자 1층 108호|좌석;화장실;주차가능;와이파이
공차|용인백현마을점|31019|031-275-3350|경기도 용인시 기흥구 동백7로 77, 101-3호|좌석;화장실;와이파이
공차|울산태화강점|31020|052-211-7730|울산광역시 중구 태화강국가정원길 217(태화동)|좌석;화장실;주차가능;와이파이
공차|인천만수점|31017|032-468-3389|인천광역시 남동구 만수동 1019-6|좌석;화장실;주차가능;와이파이
공차|충북진천점|31018|043-537-3350|충청북도 진천군 진천읍 중앙동로 69|좌석;화장실;와이파이
공차|화성시청점|31016|031-355-1322|경기도 화성시 남양읍 시청로 123, 1층|좌석;화장실;주차가능;와이파이
공차|성수역점|30887|02-469-1533|서울특별시 성동구 성수이로20길 3 세종빌딩 1F|좌석;화장실;주차가능;와이파이
공차|대구평리점|30696|053-523-0407|대구광역시 서구 국채보상로 258(평리동)|좌석;화장실;주차가능;와이파이
공차|더현대서울점|30697|02-3277-0776|서울특별시 영등포구 여의도동 22, 더현대서울 지하1층|화장실;주차가능;와이파이
공차|서울아산병원점|30466||서울시 송파구 올림픽로43길 88 서울아산병원 동관 지하1층|화장실;와이파이
공차|순천오천점|30465|061-741-2756|전라남도 순천시 오천6길 10, 1층|좌석;화장실;와이파이
공차|아산둔포점|30468|041-532-7750|충청남도 아산시 둔포면 아산밸리중앙로 50, 1층|좌석;화장실;와이파이
공차|암사역점|30357|02-428-7750|서울시 강동구 올림픽로 777,1층 101호(암사동)|와이파이
공차|현대아울렛대전점|30366|042-332-2826|대전광역시 유성구 용산동 579 현대프리미엄아울렛 대전점 3층|화장실;와이파이
공차|청주터미널점|30254|043-238-4229|충북 청주시 흥덕구 풍산로6, 1호동 203호(가경동)|
공차|대구매천점|30225|053-312-3380|대구광역시 북구 학정로 38, 1층(태전동)|좌석;와이파이
공차|대전죽동점|30180|042-825-1947|대전시 유성구 죽동로279번길 34, 지상1층(죽동)|좌석;화장실
공차|진영휴게소부산방향점|30079|055-334-8700|경남 김해시 진영읍 하계로 96번길 94-4 (우동리 289-1) 진영휴게소 부산방향|좌석;화장실;주차가능
공차|수지상현점|30060|031-897-3636|경기도 용인시 수지구 만현로 120, SR프라자 1층 124호|좌석;화장실;주차가능;와이파이
공차|파주야당점|29903|031-948-0454|경기도 파주시 경의로 1074, 115호|좌석;주차가능;와이파이
공차|순천신대점|29728|061-723-2252|전라남도 순천시 해룡면 신대로 118, 1층|좌석;화장실;주차가능;와이파이
공차|대구이곡점|29614|053-588-0099|대구광역시 달서구 계대동문로 123, 119동 1층 114호(이곡동, 성서우방타운)|좌석;와이파이
공차|대전은행중앙로점|29568|042-224-7878|대전광역시 중구 중앙로 156번길 35,1층(은행동)|좌석;화장실;와이파이
공차|가톨릭서울성모병원점|29467||서울특별시 서초구 반포대로 222, 지하1층|좌석
공차|나주중앙점|29421|061-331-9546|전라남도 나주시 중앙로 42, 1층|좌석;화장실;와이파이
공차|동해천곡점|29420|‭033-533-0807‬|강원도 동해시 천곡동 10721 106호|좌석;화장실;와이파이
공차|대전도안점|29355|042-823-1107|대전시 유성구 도안대로 512-11, 103호(봉명동)|좌석;와이파이
공차|천안봉명점|29353|041-571-2253|충청남도 천안시 서북구 봉명로 25, 1층|좌석;화장실;와이파이
공차|부산동대신점|29286|051-256-7776|부산광역시 서구 구덕로 316|좌석;화장실;와이파이
공차|대구연경점|29213|053-986-4777|대구광역시 북구 연경지묘로 2, 태왕아너스스퀘어 105호,106호|좌석;화장실;주차가능;와이파이
공차|수지롯데몰점|29038|031-5174-4056|경기도 용인시 수지구 성복2로 38, 롯데몰성복점 지하1층 공차|화장실;주차가능
공차|안성공도점|29022|031-651-3303|경기도 안성시 공도읍 공도로 93,103~104호|좌석;화장실;와이파이
공차|현대아울렛남양주점|29004|031-8078-2084|경기도 남양주시 다산순환로 50, 현대프리미엄아울렛 SPACE-A 178-1호 (다산동)|화장실;주차가능
공차|용인상현역점|28937|031-211-8850|경기도 용인시 수지구 광교중앙로 308, 1층 106호|좌석;화장실;주차가능;와이파이
공차|대전반석점|28914|042-824-5980|대전광역시 유성구 반석동로51 ,1층104호(반석동 , 쎈타프라자2)|좌석;화장실;주차가능;와이파이
공차|신정네거리역점|28859|02-2653-5538|서울특별시 양천구 중앙로 264, 1층(신정동)|좌석;와이파이
공차|대구복현점|28823|053-954-3644|대구광역시 북구 동북로 301|좌석;화장실;와이파이
공차|삼척점|28818|033-575-0705|강원도 삼척시 척주로 16|좌석;화장실;와이파이
공차|녹번역점|28809|02-3157-5866|서울시 은평구 은평로 226|좌석;와이파이
공차|오목교역점|28794|02-2645-9600|서울특별시 양천구 오목로 329, 지상 1,2층 (목동)|좌석;화장실;와이파이
공차|상일동역점|28648|02-427-1878|서울시 강동구 고덕로 399,메가스퀘어동 1층 105호(고덕동,고덕센트럴푸르지오)|좌석;주차가능;와이파이
공차|청주강서점|28649|043-236-2223|충청북도 청주시 흥덕구 강서로 118 104호(강서동)|좌석;주차가능;와이파이
공차|스타필드안성점|28626|031-8092-1834|안성시 공도읍 서동대로 3930-39  스타필드안성 3층 3190호|좌석;주차가능;와이파이
공차|계양구청점|28543|032-543-7531|인천광역시 계양구 계산새로 93, 밀레니엄프라자 1층 107호(용종동)|좌석;화장실;주차가능;와이파이
공차|청주하복대점|28373|043-232-1227|청주시 흥덕구 진재로 49, 1층|좌석;주차가능;와이파이
공차|포항이동점|28260|054-278-1237|경상북도 포항시 남구 대이로 112-1, 1층(대잠동)|좌석;화장실;와이파이
공차|울산언양점|28174|052-254-3546|울산광역시 울주군 언양읍 헌양길 157|좌석;화장실;주차가능;와이파이
공차|롯데몰광명점|28132|02-6226-2378|경기도 광명시 일직로 17, 3층 공차(일직동, 롯데몰)|좌석;화장실;주차가능;와이파이
공차|광주두암점|28064|062-269-6120|광주광역시 북구 갈마로 51, 1층(두암동)|좌석;화장실;와이파이
공차|광명사거리점|28029|02-2613-1764|경기도 광명시 광명로 895, 1층(광명동)|좌석;화장실;와이파이
공차|NC구로점|27991|02-6923-2102|서울특별시 구로구 구로중앙로 152, 지하1 층(구로동)|화장실;주차가능
공차|중계은행사거리점|27899|02-939-0039|서울시 노원구 한글비석로 245, 두타빌 B동 101,102호|좌석;화장실;주차가능;와이파이
공차|남양주덕소점|27878|031-577-0401|경기도 남양주시 와부읍 덕소로 97번길 7 1층|좌석;와이파이
공차|광주신창점|27753|062-959-4581|광주광역시 광산구 신창로 64, 1층 113,114호(신창동, 프뤼몰타운)|좌석;주차가능;와이파이
공차|충남서천점|27706|041-453-8288|충남 서천군 서천읍 서천로142번길 4|좌석;화장실;주차가능;와이파이
공차|숭례문점|27673|02-318-4346|서울 중구 세종대로 22, 1층 (남대문로5가)|좌석;와이파이
공차|경산중산신도시점|27655|053-817-2520|경상북도 경산시 펜타힐즈2로 57, 106호107호|좌석;화장실;와이파이
공차|김해인제대점|27654|055-322-3350|경남 김해시 인제로 200번길 2, 2층|좌석;화장실;주차가능;와이파이
공차|부산송도점|27653|051-231-4108|부산광역시 서구 송도해변로 81|좌석;화장실;와이파이
공차|신세계아울렛시흥점|27648|031-8072-3111|경기도 시흥시 서해안로 699, 1층(정왕동)|화장실;주차가능
공차|천안안서점|27571|041-523-0706|충청남도 천안시 동남구 각원사길 64, 1층|좌석;화장실;주차가능;와이파이
공차|수원광교점|27542|031-212-7753|경기도 수원시 영통구 센트럴타운로94, 1층 102호(이의동, 앤에스코어빌딩)|좌석;화장실;주차가능;와이파이
공차|인천마전점|27543|032-565-0170|인천광역시 서구 완정로 59, 1층(마전동, 금강프라자)|좌석;화장실;주차가능;와이파이
공차|칠곡왜관점|27364|054-920-4196|경상북도 칠곡군 왜관읍 중앙로 182|좌석;화장실;와이파이
공차|부산명지점|27321|051-205-8850|부산광역시 강서구 명지오션시티4로 65, 1층|좌석
공차|왕십리센트라스점|27283|02-2293-6000|서울특별시 성동구 왕십리로 410 L동 1층 125호(왕십리센트라스상가)|좌석;화장실;주차가능;와이파이
공차|광주하남점|27240|062-954-5500|광주광역시 광산구 무진대로 279, 1층 110, 111호(우산동)|좌석;주차가능;와이파이
공차|당진터미널점|27239|041-353-2400|충청남도 당진시 밤절로 136, 1층|좌석;주차가능;와이파이
공차|아트몰링하단점|27243|051-999-7590|부산광역시 사하구 낙동남로 1413, 7층|화장실;주차가능;와이파이
공차|호매실금곡점|27187|031-278-2542|경기도 수원시 권선구 금곡로 102번길 29, A동 1층 105호(금곡동, 센트럴프라자)|좌석;화장실;주차가능;와이파이
공차|석촌역점|27142|02-6326-7030|서울시 송파구 백제고분로 387,1층 101호,102호|좌석;와이파이
공차|하남시청점|27141|031-793-0611|경기도 하남시 대청로 11,1층(신장동,백천빌딩)|좌석;주차가능;와이파이
공차|여수여서점|26939|061-651-3200|전라남도 여수시 여서동 1길 46-1, 1층|좌석;화장실;와이파이
공차|여의도전경련회관점|26940|02-786-0535|서울특별시 영등포구 여의대로 24, B1층 B119호|좌석;화장실;주차가능;와이파이
공차|수원호매실점|26899|031-296-3110|경기도 수원시 권선구 금곡로 213, 1층 107, 108호|좌석;화장실;주차가능;와이파이
공차|가재울점|26844|02-303-4911|서울 서대문구 가재울미래로2 별동상가동 1층 107-1,2호(남가좌동, DMC파크뷰자이)|좌석;화장실
공차|천안성성점|26835|041-551-4416|성성8로 14-64번지 1층 102호|좌석;와이파이
공차|진주과기대점|26819|055-753-5291|동진로 25, 1층|좌석;화장실;주차가능;와이파이
공차|잠실학원사거리점|26738|02-416-2202|석촌호수로 138, 101호|좌석;화장실;주차가능;와이파이
공차|분당아름마을점|26711|031-708-7408|경기도 분당구 판교로 441, 남서울프라자 1층|좌석;화장실;주차가능;와이파이
공차|안양역사점|26697|031-441-3098|만안구 만안로 232(안양동, 안양역)|좌석;화장실;와이파이
공차|광주용봉점|26643|062-511-1121|광주광역시 북구 설죽로 207, 1층(용봉동)|좌석;화장실;와이파이
공차|대전중촌점|26632|042-223-4315|대전광역시 중구 목중로10번길 1 ,1층 (중촌동)|좌석;화장실;와이파이
공차|대구본리점|26620|02-779-7758|대구광역시 달서구 와룡로 130, 1층(감삼동)|좌석;화장실;주차가능;와이파이
공차|평택소사벌점|26616|031-651-7992|비전2로 196, 1층 106,107호|좌석;화장실;주차가능;와이파이
