##NAME|SUBNAME|TELNUM|ADDR|FEAT@@로티보이
로티보이|딴뚬꽌뚬||인천광역시 미추홀구 경인로 358(주안동)|
로티보이|카페피카|031-673-0098|경기도 안성시 혜산로 16|
로티보이|권선점|031-234-0006|경기도 수원시 권선구 권선로694번길 26 권선 SK VIEW|
로티보이|롱블랙|042-543-8129|대전광역주 서구 도안동로31번길 27-24|
로티보이|딜라이트풀멜로디|032-501-1194|인천광역시 계양구 작전동 계양대로 32 유성상가 라동 107호|
로티보이|아토커피||인천광역시 중구 제물량로 270 (차이나타운)|
로티보이|가산커피/IT점|02-2026-8171|서울특별시 금천구 가산디지털 2로 98, 110-1호(가산동, 아이티캐슬)|
로티보이|제천중앙점|043-646-5459|충북 제천시 의림대로 118, 1층|
로티보이|원주고속버스터미널|033-747-5777|강원도 원주시 서원대로 181 원주고속버스터미널|
로티보이|클라우드나인|064-757-5752|제주특별자치도 제주시 이도이동 1767-1|
로티보이|어썸브로(용인휴게소)|070-4814-6962|경기도 용인시 처인구 주북로94번길 30-1(고림동,강릉방향)|
로티보이|마망스||강원도 원주시 남원로469번길 1-16|
로티보이|라마다호텔(문경새재)|054-504-7077|경상북도 문경시 문경읍 새재2길 32-3 1층|
로티보이|카페피노(솔밭공원)|043-642-1376|충북 제천시 세명로2길 27(모산동)|
로티보이|세종/CGV점||세종특별자치시 도움1로 108, 7층 703-2호|
로티보이|카페/콜롬보(제물포)|032-433-6307|인천광역시 미추홀구 석정로 210-1 , 1~2층|
로티보이|새말휴게소(카페문)||강원 횡성군 횡성읍 한우로 1401 새말휴게소 카페문|
로티보이|서운점|032-549-5566|인천광역시 계양구 아나지로 443번길 20 1층|
로티보이|카페시나브로(내유동)||경기도 고양시 덕양구 통일로 1320, 나동 1층|
로티보이|커피엘빈|070-8832-3236|서울특별시 도봉구 노해로 63다길 41|
로티보이|리코||경기도 용인시 처인구 명지로 60번길 19-7, 1층(역북동)|
로티보이|코렌치(덕이동)|031-912-0202|경기 고양시 일산서구 하이파크1로91번길 4-1|
로티보이|화양강휴게소|033-434-9120|강원도 홍천군 두촌면 설악로 3330|
로티보이|이현커피(괴정점)|042-536-1210|대전광역시 서구 괴정동 69-28|
로티보이|지니어스커피바(금호역)|02-2297-6232|서울특별시 성동구 독서당로48길 2|
로티보이|Boat/N/Net(하남)|070-8266-7822|경기도 하남시 서하남로 441 2층(13016)|
로티보이|일산위시티점|031-966-5752|경기도 고양시 일산동구 식사동 1487 일산위시티 1단지 상가|
로티보이|머그린/(대화역점)|070-4202-3995|경기도 고양시 일산서구 중앙로 1575(대화동), 102호|
로티보이|춘천점|033-241-7752|강원도 춘천로 449번길 9-1|
로티보이|인천신포점|032-761-1617|인천광역시 중구 내동 206번지|
로티보이|선화교보점|042-226-1411|대전광역시 중구 중앙로69(선화동) 교보빌딩 1층|
로티보이|군산점|063-463-1542|군산시 하나운로 25(나운동 153-7)|
로티보이|누문교보점|062-513-2744|광주광역시 북구 누문동 115번지 교보빌딩 1층|
로티보이|광주금호점|062-652-0607|광주광역시 서구 금호동 209-15 세모빌딩 1층|
로티보이|광주풍앙점|062-655-2017|광주광역시 서구 풍암동 1088번지|
로티보이|광양중마점|061-793-8522|전라남도 광양시 중동 1654-6번지|
로티보이|진주칠암점|055-759-9696|경남 진주시 강남로 95번길(칠암동 112-8)|
로티보이|마산창동점|055-244-6267|경상남도 마산시 중성동 64-8번지|
로티보이|부산영도점|051-414-8883|부산광역시 영도 영선동 1가 21-5|
