##NAME|FEAT|SUBNAME|TELNUM|NEWADDR|FATHER|SOURCE2@@기도원
원니스수양관|||032-715-7800|인천 강화군 길상면  선두4리-865-1|이재용|아멘선교회
예수평화원|||054-776-6635|경북 경주시 외동읍  입실2리-산23|이진화|아멘선교회
무등산헐몬수양관|||062-262-1970|광주시 북구 화암동 140-1|문인순|아멘선교회
광주기도원|||062-556-5016|광주시 북구 신안동 4-6|장용환|아멘선교회
갈릴리기도원|||062-941-9300|광주시 광산구 도산동 1208-16|공바울|아멘선교회
한라산기도원|||064-783-2644|제주도 서귀포시 상효동 산 2|임금찬|아멘선교회
한국중앙기도원|||02-2248-3443|서울시 동대문구 장안2동 331-2(영일빌딩4층)|이원일|아멘선교회
얍복강기도원|||031-952-6000|경기 파주시 파주읍 봉서2리 28|최귀자|아멘선교회
곡성다니엘금식수양관|||061-362-9002|전남 곡성군 죽곡면 삼태리 40|대흥|아멘선교회
무척산기도원|||02--|경남 김해시 생림면 생철리|송은파|아멘선교회
김해생림벧엘기도원|||055-338-9555|경남 김해시 생림면 마사리 1184-1|김은진|아멘선교회
금오산기도원|||054-453-3564|경북 구미시 수점동 273|이경선|아멘선교회
팔복기도원|||054-252-0246|경북 포항시 북구 환호동 175|대흥|아멘선교회
의성영성훈련센타기도원|||054-832-6333|경북 의성군 금성면 제오리 643|대흥|아멘선교회
에바다기도원|||053-812-0449|경북 경산시 서상동 131-21 동남아파트 동남빌딩|이영신|아멘선교회
실로암기도원|||054-972-1707|경북 칠곡군 동명면 학명리 산 193-3|이명임|아멘선교회
무학산기도원|||053-852-0270|경북 경산시 와촌면 강학리 55|대흥|아멘선교회
다락골수련관|||054-571-8238|경북 문경군 농암면 내서2리 18|대흥|아멘선교회
임마누엘축복기도원|||041-951-9662|충남 서천군 화양면 금당리 147|대흥|아멘선교회
임마누엘기도원|||041-951-9662|충남 금산군 진산면 지방리 257-1|대흥|아멘선교회
예수마을수련원기도원|||041-752-9591|충남 금산군 부리면 창평리 (구)창평초등학교|대흥|아멘선교회
에덴기도원|||041-753-1066|충남 금산군 복수면 구례리 228|대흥|아멘선교회
선교기도원|||041-943-1928|충남 청양군 대치면 주정2리 67|대흥|아멘선교회
삼흥수양관|||041-841-8833|충남 공주시 유구읍 탑곡리산 120|대흥|아멘선교회
부여기도원|||041-833-8355|충남 부여읍 능산리 20-1|김선희|아멘선교회
베데스다기도원|||041-753-3674|충남 충주시 엄정면 원곡 216|대흥|아멘선교회
만목수양관|||041-733-1116|충남 논산시 벌곡면 만목리 447|대흥|아멘선교회
공주국제금식기도원|||041-856-8121|충남 공주시 계룡면 내흥리 2구 산 53-5|고바울|아멘선교회
