##NAME|SUBNAME|TYPE1|TYPE2|TELNUM|NEWADDR|SINCE|URL|ID|XCOORD|YCOORD@@보건소
곡성군보건의료원||보건의료원|공립|061-362-4000|전라남도 곡성군 곡성읍 곡성로 854 (곡성읍)|19890520|http://health.gokseong.go.kr/|JDQ4MTYyMiM3MSMkMSMkMCMkOTIkNDgxNzAyIzExIyQxIyQzIyQ3OSQyNjEyMjIjNzEjJDEjJDgjJDgz|127.296904133|35.2788662616
구례군보건의료원||보건의료원|공립|061-780-2003|전라남도 구례군 구례읍 동편제길 30 (구례읍)|19630404||JDQ4MTYyMiM3MSMkMSMkMCMkOTIkNDgxNzAyIzExIyQxIyQzIyQ3OSQyNjEwMDIjODEjJDEjJDYjJDgz|127.461779011|35.2160741079
무주군보건의료원||보건의료원|공립|063-320-8314|전라북도 무주군 무주읍 한풍루로 413 (무주읍)|20020410|http://health.muju.go.kr/index.sko|JDQ4MTYyMiM2MSMkMSMkNiMkOTIkNDgxNzAyIzExIyQxIyQzIyQ3OSQzNjE0ODEjNDEjJDEjJDQjJDgz|127.671699071|36.0058820243
산청군보건의료원||보건의료원|공립|055-970-7500|경상남도 산청군 산청읍 중앙로 97 ()|19890601||JDQ4MTYyMiM4MSMkMSMkNCMkOTIkNDgxNzAyIzExIyQxIyQzIyQ3OSQyNjEyMjIjNjEjJDEjJDAjJDgz|127.884238144|35.4160820623
순창군보건의료원||보건의료원|공립|063-650-5322|전라북도 순창군 순창읍 교성로 135 (순창군보건의료원)|19890407|http://health.sunchang.go.kr|JDQ4MTYyMiM2MSMkMSMkNiMkOTIkNDgxNzAyIzExIyQxIyQzIyQ3OSQyNjEwMDIjNjEjJDEjJDQjJDgz|127.143624542|35.367104757
연천군보건의료원||보건의료원|공립|031-839-4001|경기도 연천군 전곡읍 은대성로 95 (전곡읍)|19630110|http://health.iyc21.net|JDQ4MTYyMiM1MSMkMSMkMCMkOTIkNDgxNzAyIzExIyQxIyQzIyQ3OSQyNjEwMDIjNDEjJDEjJDgjJDgz|127.060962784|38.0235344463
완도군보건의료원||보건의료원|공립|061-550-6720|전라남도 완도군 완도읍 농공단지길 34 (완도읍)|19890601|http://health.wando.go.kr/|JDQ4MTYyMiM3MSMkMSMkMCMkOTIkNDgxNzAyIzExIyQxIyQzIyQ3OSQyNjE4MzIjNjEjJDEjJDQjJDgz|126.731322945|34.3358245484
울릉군보건의료원||보건의료원|공립|054-790-6871|경상북도 울릉군 울릉읍 울릉순환로 396-18 ()|19630213|http://www.ulleung.go.kr/health|JDQ4MTYyMiM4MSMkMSMkMCMkOTIkNDgxNzAyIzExIyQxIyQzIyQ3OSQyNjE4MzIjODEjJDEjJDYjJDgz|130.898832628|37.4859010227
임실군보건의료원||보건의료원|공립|063-640-3102|전라북도 임실군 임실읍 호국로 1680-1680 1680|19610101|http://bogun.imsil.go.kr|JDQ4MTYyMiM2MSMkMSMkNiMkOTIkNDgxNzAyIzExIyQxIyQzIyQ3OSQyNjEyMjIjNTEjJDEjJDYjJDgz|127.2869773|35.6124995
장수군보건의료원||보건의료원|공립|063-351-8000|전라북도 장수군 장수읍 장천로 247 ()|19950324|http://office.jangsu.go.kr/board/list.sko?boardId=office_notice12&menuCd=ND12001000000&contentsSid=222115|JDQ4MTYyMiM2MSMkMSMkNiMkOTIkNDgxNzAyIzExIyQxIyQzIyQ3OSQyNjE4MzIjNDEjJDEjJDgjJDgz|127.519437604|35.6545855385
