NAME|BRANCH|ADDR|TELL
김가네김밥|산성역점|경기 성남시 수정구 수정로 341 105호|031-743-7778|
김가네김밥|평택더샵센트럴점|경기 평택시 동삭1로22번길 19-21 104호|031-655-3445|
김가네김밥|부천시청점|경기 부천시 소향로 181 센트럴파크푸르지오 1층 176호|032-321-2588|
김가네김밥|동서울터미널점|서울 광진구 강변역로4길 10, 1층|02-455-7600|
김가네김밥|울산야음점|울산 남구 수암로 121 1층|052-256-8887|
김가네김밥|경산중산점|경북 경산시 펜타힐즈2로 41 1층 104호|053-801-6699|
김가네김밥|향남2지구점|경기 화성시 향남읍 발안양감로 195|031-366-6193|
김가네김밥|송정역점|서울 강서구 공항대로 36|02-2661-2644|
김가네김밥|진해석동점|경남 창원시 진해구 석동로 65 1층 102호|055-714-7699|
김가네김밥|성남신흥점|경기 성남시 수정구 산성대로 305|031-742-8886|
김가네김밥|부산시청점|부산 연제구 연제로 30 105동 B106호|051-867-7778|
김가네김밥|전북대점|전북 전주시 덕진구 권삼득로 333|063-271-9053|
김가네김밥|방학역점|서울 도봉구 도봉로150길 43 114호|02-955-2080|
김가네김밥|안양엠시티점|경기 안양시 만안구 만안로 131|031-442-2881|
김가네김밥|송파여성문화회관점|서울 송파구 송파대로42길 20|02-420-4878|
김가네김밥|진천혁신점|충북 진천군 덕산읍 시가로 39 1층 104호|043-533-3111|
김가네김밥|부산당감점|부산 부산진구 동평로 106 105호|051-891-1010|
김가네김밥|예산점|충남 예산군 예산읍 벚꽃로155번길 20 다올빌딩 104호|041-334-6699|
김가네김밥|우장산역점|서울 강서구 강서로 271|02-6953-0087|
김가네김밥|용인세브란스병원점|경기 용인시 기흥구 동백죽전대로 333 1필지 스프링카운티자이 제101-301동 부대시설동 제지4층 116호|031-283-0011|
김가네김밥|전주에코시티점|전북 전주시 덕진구 세병로 134|063-254-2333|
김가네김밥|무교점|서울 중구 세종대로20길 23|02-3789-8807|
김가네김밥|운서역점|인천 중구 영종대로 94 두림타워 107호|032-747-1470|
김가네김밥|울산명촌점|울산 북구 명촌20길 33 상가 110호|052-287-0208|
김가네김밥|용인서천점|경기 용인시 기흥구 서천로117번길 9, 102호|031-202-2988|
김가네김밥|행신역점|경기 고양시 덕양구 충장로 8, 106호|031-979-1991|
김가네김밥|미사1호점|경기 하남시 미사강변대로226번안길 9|031-794-2021|
김가네김밥|동백역점|부산 해운대구 해운대해변로 117 대우마리나2차아파트상가 104호|051-747-5540|
김가네김밥|장지점|경기 광주시 순암로 63|031-797-7753|
김가네김밥|상도역점|서울 동작구 만양로 6 E편한세상 상도노빌리티 상가|02-6959-2059|
김가네김밥|충정로역점|서울 중구 중림로 10|02-364-2004|
김가네김밥|풍무역점|경기 김포시 유현로238번길 31|031-987-9409|
김가네김밥|수원아이파크시티점|경기 수원시 권선구 동수원로145번길 24 1동 109호|031-221-8222|
김가네김밥|미사가로수길점|경기 하남시 미사강변한강로 290|031-791-7922|
김가네김밥|시흥은계점|경기 시흥시 은계번영길 1 1층 118호|031-311-2882|
김가네김밥|김해율하점|경남 김해시 율하3로 37 1층 107호|055-313-2973|
김가네김밥|명동역점|서울 중구 퇴계로 114|02-3789-5940|
김가네김밥|인천마전점|인천 서구 완정로 25 104호|032-561-8858|
김가네김밥|마곡점|서울 강서구 공항대로 124 단지상가|02-2662-7989|
김가네김밥|항동점|서울 구로구 서해안로 2098|02-2060-2333|
김가네김밥|마두역점|경기 고양시 일산동구 중앙로 1172|031-902-1915|
김가네김밥|당진점|충남 당진시 당진중앙1로 246|041-358-8566|
김가네김밥|삼전점|서울 송파구 석촌호수로 134|02-417-7890|
김가네김밥|동패점|경기 파주시 와석순환로 125|031-934-0230|
김가네김밥|신동백점|경기 용인시 기흥구 동백중앙로 273 1층 107호|031-274-1419|
김가네김밥|거제아주점|경남 거제시 아주2로2길 10 301-102|055-682-7500|
김가네김밥|가산점|서울 금천구 가산디지털1로 219 103호(가산동,벽산디지털밸리6차)|02-2627-3882|
김가네김밥|별내중앙점|경기 남양주시 별내2로 64 쎈타프라자 1층 106호|031-571-3107|
김가네김밥|일곡점|광주광역시 북구 양일로305번길 20|062-571-8002|
김가네김밥|한류초교점|경기 고양시 일산동구 연리지로 50|031-926-3447|
김가네김밥|영등포점|서울 영등포구 당산로 76|02-2633-6990|
김가네김밥|거제홈플러스점|경남 거제시 장평로 12||
김가네김밥|신정네거리역점|서울 양천구 중앙로 256|02-2652-7890|
김가네김밥|마곡M비즈타워점|서울 강서구 마곡중앙로 59-11 103호|02-2661-9898|
김가네김밥|고덕파라곤점|경기 평택시 고덕면 고덕국제대로 180 302동 L106호|031-663-5220|
김가네김밥|용산푸르지오써밋점|서울 용산구 한강대로 69 지하1층 123호|02-792-3335|
김가네김밥|신철원점|강원 철원군 갈말읍 삼부연로 21|033-452-0797|
김가네김밥|종로5가점|서울 종로구 대학로 1|02-745-6781|
김가네김밥|첨단점|광주광역시 광산구 월계로 191|062-974-0029|
김가네김밥|홈플러스시흥점|서울 금천구 시흥대로 201 지하 1층 푸드코트|-|
김가네김밥|밤가시점|경기 고양시 일산동구 일산로441번길 5-2 (정발산동) 1층|031-915-7449|
김가네김밥|내발산점|서울 강서구 수명로 72 (내발산동) 발산신성프라자 103호|02-2667-1255|
김가네김밥|민락수변공원점|부산 수영구 광안해변로 311 103호|051-753-1011|
김가네김밥|광주학동점|광주광역시 동구 남문로753번길 20 119호|062-223-7778|
김가네김밥|양산점|광주광역시 북구 양산택지로 81 1층 102호|062-573-2112|
김가네김밥|김포장기점|경기 김포시 태장로795번길 23 1층 R122호|031-988-1957|
김가네김밥|광주삼동점|경기 광주시 순암로 491|031-797-8114|
김가네김밥|고덕삼성점|경기 평택시 고덕면 고덕여염10길 111|031-665-2223|
김가네김밥|을지로3가점|서울 중구 을지로 103-1|02-2268-2220|
김가네김밥|용인고림점|경기 용인시 처인구 고림로 84 1층|031-332-5999|
김가네김밥|논산내동점|충남 논산시 중앙로 132 103호|041-732-1368|
김가네김밥|미사테스타타워점|경기 하남시 미사강변서로 25|031-5175-6868|
김가네김밥|남양1호점|경기 화성시 남양읍 역골로49번길 19-1 1동 101호|031-356-5288|
김가네김밥|삼호대불산단점|전남 영암군 삼호읍 대불주거5로1길 3|061-461-0233|
김가네김밥|수유역점|서울 강북구 도봉로89길 1|02-996-3201|
김가네김밥|서대문점|서울 서대문구 충정로 59|02-313-3390|
김가네김밥|대연파크푸르지오점|부산 남구 홍곡로 360 상가 401동 203호|051-624-5444|
김가네김밥|배곧점|경기 시흥시 배곧4로 87 114호 (정왕동, 베스트프라자)|031-433-5656|
김가네김밥|삼송점|경기 고양시 덕양구 동송로 33 E-편한세상시티삼송 상가동 1층 27호|02-371-0140|
김가네김밥|동천자이점|경기 용인시 수지구 고기로 89 A132호|031-262-6857|
김가네김밥|메트로힐탑점|부산 남구 분포로 115 B동 105호|051-623-9988|
김가네김밥|하월곡점|서울 성북구 오패산로 98|02-943-4338|
김가네김밥|루원시티점|인천 서구 봉오재3로 96 1층 108호|032-565-7013|
김가네김밥|증미역점|서울 강서구 양천로 564 1층(110호)|02-3662-8064|
김가네김밥|상암푸르지오점|서울 마포구 월드컵북로54길 25|02-305-8595|
김가네김밥|대연SK점|부산 남구 수영로 261|051-626-2285|
김가네김밥|청량리역사점|서울 동대문구 왕산로 214 청량리역사 4층|02-3707-1499|
김가네김밥|김해내동점|경남 김해시 경원로73번길 15|055-339-0099|
김가네김밥|미사중앙점|경기 하남시 미사강변중앙로 226|031-795-5355|
김가네김밥|동탄청계점|경기 화성시 동탄대로시범길 261 1층 104호 (청계동,리더스프라자)|031-373-2988|
김가네김밥|웅진플레이도시점|경기 부천시 조마루로 2 웅진플레이도시 1층|032-321-2225|
김가네김밥|미사랑데르점|경기 하남시 미사강변남로 103 110호|031-791-2294|
김가네김밥|이천증포점|경기 이천시 이섭대천로 1403|031-635-9390|
김가네김밥|기흥역점|경기 용인시 기흥구 기흥역로 9 기흥롯데캐슬 레이시티상가 105호|031-281-7868|
김가네김밥|미사2호점|경기 하남시 미사강변대로34번길 106 1층|031-792-7311|
김가네김밥|수지E편한세상점|경기 용인시 수지구 포은대로313번길 7-10  124동 105호|031-265-7789|
김가네김밥|울산우정혁신점|울산 중구 종가6길 7|052-245-2233|
김가네김밥|가산롯데IT점|서울 금천구 가산디지털2로 98|02-2026-8228|
김가네김밥|판교H스퀘어점|경기 성남시 분당구 판교역로 231|031-696-7600|
김가네김밥|금호점|광주광역시 서구 풍금로151번길 14|062-671-1515|
김가네김밥|옥동점|경북 안동시 광명로 178|054-856-1552|
김가네김밥|성서점|대구 달서구 성서로 420|053-592-3100|
김가네김밥|구미도량점|경북 구미시 도봉로 80|054-441-1577|
김가네김밥|울진점|경북 울진군 울진읍 연호로 24-1|054-783-0807|
김가네김밥|봉선점|광주광역시 남구 봉선중앙로 48|062-655-7775|
김가네김밥|목동메디컬센터점|서울 양천구 등촌로 142|02-2654-5477|
