NAME|BRANCH|ADDR|TELL|CORDX|CORDY
폴바셋|올림픽공원북2문점|서울시 강동구 강동대로 199 1층|02-488-8654|127.1287|37.52418
폴바셋|롯데월드몰점|서울시 송파구 신천동 29 롯데월드몰 캐주얼동 5층|02-3213-4522|127.1039|37.51398
폴바셋|롯데잠실점|서울시 송파구 올림픽로 240 롯데백화점 잠실점 신관 지하 1층|02-2143-1763|127.0986|37.51206
폴바셋|현대백화점천호점|서울 강동구 천호대로 1005 현대백화점 천호점 지하1층|02-2225-8952|127.1244|37.53914
폴바셋|스타필드시티위례점|경기도 하남시 위례대로 200 4층 폴 바셋|031-8097-1443|127.1484|37.4801
폴바셋|일원역점|서울특별시 강남구 일원동 717 1층 폴 바셋|02-445-2056|127.0844|37.48414
폴바셋|더클래식500(건대)점|서울특별시 광진구 자양동 227-342번지 더클래식500 지상1층|02-452-3157|127.0709|37.53821
폴바셋|코엑스몰점|서울 강남구 영동대로 513 코엑스몰 P104호|02-3454-0349|127.0609|37.51215
폴바셋|NC타워삼성점|서울시 강남구 테헤란로 509NC타워 1층|02-2051-7474|127.0582|37.50774
폴바셋|상일동점|서울시 강동구 상일로6길 21 `한국종합기술사옥 1층|02-481-9223|127.1725|37.55306
폴바셋|청담역점|서울시 강남구 청담동 76-2준오 아카데미 빌딩 1,2층|02-516-4564|127.0502|37.51953
폴바셋|롯데백화점강남점|서울시 강남구 도곡로 401 롯데백화점 강남점 본관 1층 |02-531-2375|127.0536|37.4969
폴바셋|청담점|서울시 강남구 도산대로 75길 22 아라리오갤러리 1층|02-548-0957|127.0457|37.52536
폴바셋|강남구청역점|서울시 강남구 청담동 41-2금하빌딩 1층|02-3448-4054|127.0416|37.51758
폴바셋|GFC점|서울시 강남구 테헤란로 152강남파이낸스센터 지하 1층|02-2112-3887|127.0365|37.49989
폴바셋|현대모터스튜디오서울점|서울시 강남구 언주로 738 현대모터스튜디오 2층 |02-514-6996|127.0344|37.52125
폴바셋|언주로점|서울특별시 강남구 언주로 864 서울옥션 강남센터 1층|02-515-5080|127.034|37.52763
폴바셋|압구정2호점|서울시 강남구 압구정로36길 8 1층|02-3446-8347|127.0313|37.52791
폴바셋|압구정점|서울시 강남구 압구정로 152 1층 106,107호 폴바셋|02-3448-9494|127.026|37.52552
폴바셋|강남삼성타운점|서울시 서초구 서초동 1327-1홍우제2빌딩 1층|02-523-5656|127.0273|37.49579
폴바셋|강남GT타워점|서울특별시 서초구 서초대로 411 GT TOWER|02-534-0103|127.026|37.49807
폴바셋|교보문고강남점|서울시 서초구 서초동 1303-22교보타워 지하 1,2층|02-533-6356|127.0241|37.50372
폴바셋|서초본점|서울 서초구 사임당로 157 1층 101호|02-581-4334 |127.0267|37.4922
폴바셋|반포쌍동빌딩점|서울특별시 서초구 고무래로 26 동관 1F 폴 바셋|02-532-4334|127.0114|37.50233
폴바셋|교대역점|서울시 서초구 서초대로 287 석정빌딩 1층|02-591-9696|127.0129|37.49375
폴바셋|뉴코아강남점|서울시 서초구 잠원로 69 뉴코아 신관 1층|02-530-5517|127.0076|37.50934
폴바셋|파미에스테이션점|서울 서초구 사평대로 205 센트럴시티 파미에스테이션 FP102호|02-6282-3025|127.0073|37.50425
폴바셋|한남커피스테이션/로스트웍스|서울시 용산구 한남동 257-13|02-792-3231|127.0082|37.53331
폴바셋|스타필드하남1호점|경기도 하남시 미사대로750 스타필드 하남 지하 1층|031-8072-8503|127.2366|37.54342
