NAME|BRANCH|ADDR|TELL
7416402|우쿠야|강원동해점|강원도 동해시 중앙로 242 (천곡동, 샘실빌딩) 2층 202호|033-532-7575
8058901|우쿠야|구월점|인천 남동구 구월동 23 힐캐슬프라자 지하1층|0324672330
7438001|우쿠야|대천해수욕장점(우쿠야&올떡)|충청남도 보령시 머드로 141 (신흑동) |041-933-9963
7450401|우쿠야|동탄능동숲속마을점|경기도 화성시 동탄지성로 135 (능동, 동탄엠플렉스) 106, 107, 108호|03180039282
7428601|우쿠야|부산진역점|부산 동구 초량3동 1142~1156 1153-7번지 1층|051-744-2379
7441501|우쿠야|신진주역점(올리브카페,올떡,우쿠야)|경상남도 진주시 진주역로96번길 15 (가좌동, 포레나신진주) 2층 1,2,3호|010-4871-2438
7423701|우쿠야|여수소호점(우쿠야&올떡)|전라남도 여수시 소호로 405 (소호동) |01077505109
3217603|우쿠야|우쿠야 고창본점|전라북도 고창군 고창읍 성산5길 3 |063-562-9282
7447301|우쿠야|우쿠야&닭익는마을|충청남도 태안군 태안읍 후곡로 62 |041-675-1992
7446001|우쿠야|우쿠야&닭익는마을 대전도룡점|대전광역시 유성구 엑스포로151번길 19 (도룡동) 1층 D117호|042-867-6023
7434101|우쿠야|우쿠야&올떡 미금점|경기도 성남시 분당구 성남대로 151 (구미동, 분당엠코헤리츠) 2층|0317165051
7434801|우쿠야|우쿠야&올떡 여수웅천점|전라남도 여수시 예울마루로 37-53 (웅천동) 1층 108호|061-685-3747
7434901|우쿠야|우쿠야&올떡 행신서정마을점|경기도 고양시 덕양구 서정마을1로 12 (행신동, 두원빌딩) 1층 103호|031-978-9282
8022501|우쿠야|우쿠야용원점|경상남도 창원시 진해구 용원로7번길 9 (용원동, 서정빌딩) 서정빌딩1층|0555525556
3214303|우쿠야|우쿠야용인점|경기 용인시 처인구 김량장동 301-3 시네마일번가 305,306호|0313229399
7448301|우쿠야|울산화정점|울산광역시 동구 학문로 47 (화정동) 1층|0522351117
7423801|우쿠야|청주옥산자이점(우쿠야&올떡)|충청북도 청주시 흥덕구 옥산면 오송가락로 1061 1층 110호|043-265-9282
2021501|우쿠야|충남대천점|충남 보령시 대천동 345-44 예지빌딩 1층|041-931-8822
7455701|우쿠야|충남서산점|충남 서산시 동문동 302-5 |041-668-8892
7416401|우쿠야|강원동해점(우쿠야&올떡)|강원도 동해시 중앙로 242 (천곡동) (천곡동,2층)|033-532-7575
7298801|우쿠야|삼척쏠비치점|강원도 삼척시 수로부인길 453 (갈천동, (주)대명레저산업삼척지점) 1층|033-803-7861
3221302|우쿠야|삼척점|강원도 삼척시 정상로 72 (교동, 늘푸른새마을금고) 태후빌딩 103호|033-573-3513
3218201|우쿠야|강원원통점|강원 인제군 북면 원통3리 4반 657-17|033-461-3019
3207903|우쿠야|양구점|강원도 양구군 양구읍 중앙길 15 |033-482-2929
