NAME|BRANCH|ADDR|TELL|TIME
샤브향|전남 오천점|57995 전라남도 순천시 오천6길 38 1층|061-904-5000|10:00-22:00 (점심특선 11:30-15:00) 공휴일 제외
샤브향|대전테크노점|34014 대전광역시 유성구 테크노중앙로 55 에이스타워|042-936-9233|11:30-22:00 (break time 15:30-16:30) 연중무휴
샤브향|울산 테크노파크점|44776 울산광역시 남구 테크노산업로 68  테크노시티빌딩 2층|052-271-7600|11:30 ~ 22:00 (Break time 15:00~16:00)
샤브향|강원양구점|강원 양구군 양구읍 양남로16번길 3|033-482-5633|11:00 ~ 22:00
샤브향|신제주점|63097 제주특별자치도 제주시 월랑로 30 1층|064-901-4994|11:30 ~ 22:00
샤브향|전남순천점|57947 전라남도 순천시 백강로 336 301호|061-727-0055|10:00-22:00 (점심특선 11:30-15:00)
샤브향|전남광양점|57774 전라남도 광양시 사동로 243 1층|061-791-4941|11:00-22:00 last order 21:00, break time 15-17
샤브향|전남하당점|58748 전라남도 목포시 원형로 18|061-285-7151|11:30 ~ 22:00
샤브향|전주송천점|54822 전라북도 전주시 덕진구 천마산로 67 2층(송천동2가)|063-253-3636|11:30 ~ 22:00 (last order 20:30)
샤브향|전주아중점|55014 전라북도 전주시 덕진구 건산로 259 2층|063-246-4488|11:00 ~ 21:30 break time 15-17
샤브향|전주덕진점|54890 전라북도 전주시 덕진구 가련산로 25 3층|063-278-5789|11:00 ~ 22:00
샤브향|전주중화산점|25588 전북 전주시 완산구 강변로 284 2층|063-226-4445|11:30 ~ 22:00
샤브향|광주문화전당점(충장점)|61487 광주광역시 동구 서석로 40 2층|062-229-0963|11:30 ~ 22:00
샤브향|광주월곡점|62328 광주광역시 광산구 풍영로 83 우석빌딩 1층 113호|062-959-1227|11:30 ~ 22:00
샤브향|광주수완점|62245 광주광역시 광산구 왕버들로 217|062-955-8823|11:30 ~ 22:00
샤브향|광주용봉점(전대)|광주 북구 우치로 100번길 15|062-263-0963|11:00 ~ 22:00
샤브향|광주북구점|61053 광주광역시 북구 우치로 319|062-251-7731|11:30 ~ 22:00
샤브향|충남아산탕정점|31456 충청남도 아산시 탕정면 탕정면로 18 2층 201호|041-544-7770|11:30~22:00
샤브향|충남서산점|31998 충청남도 서산시 남부순환로 1031 1층|041-663-4786|11:30~22:00
