NAME|BRANCH|ADDR|TELL|XCORD|YCORDL
연안식당|플러스 송도점|인천 연수구 컨벤시아대로 126 132호 (송도동, 푸르지오월드마크)|032-831-6093|126.645688890785|37.3929791823293
연안식당|홍성터미널점|충남 홍성군 홍성읍 조양로247번길 9 4층|041-630-7431|126.676313860442|36.6010394368146
연안식당|대전 패션 아일랜드점|대전 동구 은어송로 72 3층|042-272-7591|127.457985837078|36.3069678174478
연안식당|세종아름점|세종특별자치시 보듬3로 160 107~109호|044-865-8520|127.24187905202446|36.51230543977448
연안식당|인덕원점|경기 안양시 동안구 관악대로 424|031-425-5289|126.96988411294042|37.404458796254225
연안식당|부천역사점|경기 부천시 부천로 1 지하1층 B18-2호|032-662-6092|126.78264742903292|37.484038542493856
연안식당|홈플러스칠곡점|대구 북구 동암로12길 8 지상1층|053-324-0330|128.55596753794464|35.944849272736775
연안식당|고양스타필드점|경기 고양시 덕양구 고양대로 1955 2층||126.89477840618908|37.646976308152716
연안식당|김해부원역점|경남 김해시 김해대로 2349|055-226-2266|128.88341634975507|35.22694219660124
연안식당|시흥은계점|경기 시흥시 은계번영길 27 시티파크 1층 101호, 102호|031-364-8353|126.80395539240791|37.436542093840025
연안식당|이마트연수점|인천 연수구 경원대로 184 2층||126.68111910703793|37.40422003974647
연안식당|화성시청점|경기 화성시 남양읍 시청로 107 1동 1층|031-356-0055|126.82560682409783|37.20138487160702
연안식당|송탄점|경기 평택시 경기대로 1357|031-665-0229|127.06361991196927|37.06622513959382
연안식당|세종시청점|세종특별자치시 한누리대로 2150|044-863-9038|127.28732828416209|36.47851222032349
연안식당|군산수송점|전북 군산시 수송로 213|063-465-7776|126.71886529640629|35.964278682564895
연안식당|경북영주점|경북 영주시 대동로 45 이화빌딩 101호|054-635-9799|128.60753076886212|36.815144252808885
연안식당|광명아비뉴프랑점|경기 광명시 양지로 16|02-899-0218|126.88082207464679|37.41711775248984
연안식당|원주무실점|강원 원주시 능라동길 51 1층 101호|033-745-0099|127.93015100232597|37.334836654088164
연안식당|성남세이브존점|경기 성남시 수정구 산성대로 337 지하1층||127.15348354353205|37.443910446055455
연안식당|양주덕정점|경기 양주시 독바위로 27 2,3,4호|031-859-5353|127.0629916290988|37.838786634459595
연안식당|행신역점|경기 고양시 덕양구 무원로6번길 20 근린상가 104, 105호|031-978-6092|126.83370094871646|37.61342901496002
연안식당|남양주진접점|경기 남양주시 진접읍 해밀예당1로 30-15 102~104호 및 110호 일부|031-529-6664|127.18709958327634|37.71147495286669
연안식당|충주시청점|충북 충주시 연원로 2 1층|043-851-0050|127.92865699730665|36.989579064680555
