NAME|BRANCH|OLDADDR|NEWADDR|TELL|XCORD|YCORD
포메인|가양점|서울 강서구 염창동 240-21|서울 강서구 양천로 583|02-2093-1051|126.8642901|37.556904
포메인|강남구청역점|서울 강남구 논현동 119|서울 강남구 학동로 343|02-516-6789|127.0406221|37.517398
포메인|경안이마트점|경기 광주시 경안동 25-3|경기 광주시 광주대로 30|031-799-7750|127.2612286|37.409522
포메인|경주점|경북 경주시 황성동 1244|경북 경주시 광중길 67|054-743-4987|129.223963|35.883932
포메인|고덕점|서울 강동구 명일동 48-17|서울 강동구 동남로 877|02-428-9286|127.1557876|37.551974
포메인|고양삼송점|경기 고양시 덕양구 동산동 369|경기 고양시 덕양구 동송로 33|02-381-4447|126.895968|37.650071
포메인|광교중앙역점|경기 수원시 영통구 이의동 1322-5|경기 수원시 영통구 센트럴타운로 106|031-212-1972|127.050145|37.292446
포메인|광명소하점|경기 광명시 소하동 1341|경기 광명시 소하로 78|02-3286-0008|126.8865769|37.4481963
포메인|광주 태전점|경기 광주시 장지동 686-2|경기 광주시 고불로 43-1|031-763-2423|127.2330308130768|37.39312882907763
포메인|광주오포점|경기 광주시 오포읍 능평리 195-3|경기 광주시 오포읍 능평로 154-5|031-768-2668|127.1723504|37.3471347
포메인|광화문점|서울 종로구 신문로2가 92|서울 종로구 새문안로 58|02-739-0887|126.9714733|37.5692944
포메인|교대점|서울 서초구 서초동 1685-8|서울 서초구 서초중앙로24길 27|02-595-3528|127.0164028|37.4954141
포메인|구리갈매점|경기 구리시 갈매동 601-2|경기 구리시 갈매중앙로 91|031-571-7069|127.118073|37.63287
포메인|구리토평점|경기 구리시 수택동 874-5|경기 구리시 장자대로 84|031-564-3888|127.1397876|37.5872507
포메인|구성언남점|경기 용인시 기흥구 언남동 338-11|경기 용인시 기흥구 구성로 89 (지영네꽃화원)|031-283-0344|127.1195264|37.2945536
포메인|구의광장점|서울 광진구 구의동 200-15|서울 광진구 아차산로 477|02-446-8296|127.0946718|37.5406924
포메인|기흥구청점|경기 용인시 기흥구 구갈동 354-1|경기 용인시 기흥구 구갈로 60번길 11-1|031-287-7447|127.1126185|37.2800188
포메인|김포구래점|경기 김포시 구래동 6882-11|경기 김포시 김포한강9로 75번길 22|031-996-3331|126.62413|37.64388
포메인|김포사우점|경기 김포시 사우동 934|경기 김포시 사우중로 45|031-983-5515|126.7184569|37.6191855
포메인|김포장기지구점|경기 김포시 장기동 2055-3|경기 김포시 김포한강2로 110 (센타프라자)|031-997-7183|126.671512|37.63955
포메인|남양주다산신도시점|경기 남양주시 다산동 6054-2|경기 남양주시 다산중앙로 146번길 12-14|031-552-4418|127.154714|37.625221
포메인|남양주진접점|경기 남양주시 진접읍 금곡리 1042|경기 남양주시 진접읍 해밀예당1로 220 (엠타워)|031-529-3815|127.202602|37.7200532
포메인|노원점|서울 노원구 상계동 710|서울 노원구 노해로 77길 14-3 (문화빌딩)|02-3391-3649|127.059293|37.6548529
포메인|당산SK점|서울 영등포구 당산동 4가80|서울 영등포구 당산로 41길 11 (당산SKV1center)|02-6450-0280|126.8981|37.5307871
포메인|대전유성점|대전 유성구 봉명동 469-46|대전 유성구 계룡로55 (유성자이)|042-825-2048|127.3371923|36.3557132
포메인|대치점|서울 강남구 대치동 991-2|서울 강남구 도곡로 528 (태호빌딩)|02-508-4482|127.0640899|37.4995788
포메인|동묘점|서울 종로구 숭인동 76|서울 종로구 종로 347 (롯데캐슬천지인)|02-3670-6077|127.0161663|37.5738039
포메인|동천점|경기 용인시 수지구 동천동 935|경기 용인시 수지구 동천로 153번길 7 (한빛마을래미안이스트팰리스1단지)|031-276-9203|127.0880283|37.3363875
포메인|동탄2신도시점|경기 화성시 청계동 514-2|경기 화성시 동탄대로 시범길 253|031-377-3566|127.102943|37.202378
포메인|동탄점|경기 화성시 반송동 86-4|경기 화성시 동탄원천로 163 (위너스타)|031-8015-3220|127.0736821|37.2073278
