번호|개방서비스명|개방서비스ID|개방자치단체코드|관리번호|인허가일자|인허가취소일자|영업상태구분코드|영업상태명|상세영업상태코드|상세영업상태명|폐업일자|휴업시작일자|휴업종료일자|재개업일자|소재지전화|소재지면적|소재지우편번호|소재지전체주소|도로명전체주소|도로명우편번호|사업장명|최종수정시점|데이터갱신구분|데이터갱신일자|업태구분명|좌표정보(X)|좌표정보(Y)|문화체육업종명|문화사업자구분명|지역구분명|총층수|주변환경명|제작취급품목내용|보험기관명|건물용도명|지상층수|지하층수|객실수|건축연면적|영문상호명|영문상호주소|선박총톤수|선박척수|선박제원|무대면적|좌석수|기념품종류|회의실별동시수용인원|시설면적|놀이기구수내역|놀이시설수|방송시설유무|발전시설유무|의무실유무|안내소유무|기획여행보험시작일자|기획여행보험종료일자|자본금|보험시작일자|보험종료일자|부대시설내역|시설규모
1|외국인관광도시민박업|03_11_04_P|3000000|CDFI2262212012000005|20120704||01|영업/정상|13|영업중||||||||"서울특별시 종로구 명륜3가 117-2번지 B1층, 1층 "|"서울특별시 종로구 성균관로5가길 3, B1층, 1층 (명륜3가)"|03073|봉 하우스(Bong House)|20180208105925|I|2018-08-31 23:59:59.0||199666.472824339    |453535.38329612     |외국인관광 도시민박업||일반주거지역|||||단독주택|1||3|||||||||||59.8|||||||||||||60
2|외국인관광도시민박업|03_11_04_P|3000000|CDFI2262212012000004|20120704||03|폐업|03|폐업|20140731||||02-745-3930||110522|서울특별시 종로구 명륜2가 195-10번지 1층 |"서울특별시 종로구 창경궁로 243-3, 1층 (명륜2가)"||빽팩커 미스터 씨 카오산 서울|20160905110144|I|2018-08-31 23:59:59.0||199828.530201124    |453468.553768826    |외국인관광 도시민박업||일반주거지역|||||다가구용 주택(공동주택적용)|1||||Backpacker Mr Sea Khaosan Seoul|||||||||123.97|||||||||||||124
3|외국인관광도시민박업|03_11_04_P|3000000|CDFI2262212012000003|20120704||01|영업/정상|13|영업중||||||||서울특별시 종로구 명륜4가 168-3번지 |서울특별시 종로구 창경궁로 240-15 (명륜4가)|03079|골든폰드 게스트하우스(GoldenPond GuestHouse)|20180208105359|I|2018-08-31 23:59:59.0||199862.480179614    |453331.069733626    |외국인관광 도시민박업||일반주거지역|2||||단독주택|2||5||GoldenPond GuestHouse|Urban Tourist Home for Foreigner Only||||||||100.5|||||||||||||101
4|외국인관광도시민박업|03_11_04_P|3000000|CDFI2262212012000002|20120704||03|폐업|03|폐업|20140731||||02-745-3930||110522|서울특별시 종로구 명륜2가 195-10번지 1층 |"서울특별시 종로구 창경궁로 243-3, 1층 (명륜2가)"||빽팩커 미스터 씨 카오산 서울|20140812174912|I|2018-08-31 23:59:59.0||199828.530201124    |453468.553768826    |외국인관광 도시민박업||일반주거지역|||||다가구용 주택(공동주택적용)|1||||Backpacker Mr Sea Khaosan Seoul|||||||||123.97|||||||||||||124
5|외국인관광도시민박업|03_11_04_P|3000000|CDFI2262212012000001|20120214||01|영업/정상|13|영업중|||||02-3672-1120|||서울특별시 종로구 명륜2가 112번지 |서울특별시 종로구 성균관로4길 5 (명륜2가)|03074|백배커스 인사이드(Backpackers INSIDE)|20180208104422|I|2018-08-31 23:59:59.0||199732.237379119    |453590.631986304    |외국인관광 도시민박업||일반주거지역|2|학교정화(상대)|||단독주택|2||9||Backpackers INSIDE|||||||||127.16|||||||||||||127
6|외국인관광도시민박업|03_11_04_P|3000000|CDFI2262212015000013|20151207||03|폐업|03|폐업|20190103|||||||서울특별시 종로구 운니동 91번지 |서울특별시 종로구 율곡로6길 26-14 (운니동)|03131|Serene|20190107210454|U|2019-01-09 02:40:00.0||198945.230725939    |452658.337690623    |외국인관광 도시민박업|||||||단독주택|||||Serene|Urban Tourist Home for Foreigner Only||||||||56.2|||||||||||||56
7|외국인관광도시민박업|03_11_04_P|3000000|CDFI2262212016000019|20161102||03|폐업|03|폐업|20180717|||||||서울특별시 종로구 숭인동 61-30번지 |"서울특별시 종로구 지봉로8길 45, 2층 (숭인동)"|03109|로미네집|20180717160620|I|2018-08-31 23:59:59.0||201358.435563212    |452701.258091567    |외국인관광 도시민박업||주거지역|3||||단독주택|2|1|2|133|Romi house|Traditional Korean housing experiencing business||||||||133.46|||||||||||||133
8|외국인관광도시민박업|03_11_04_P|3000000|CDFI2262212016000018|20160928||01|영업/정상|13|영업중||||||||서울특별시 종로구 누상동 159-8번지 |서울특별시 종로구 필운대로5다길 17 (누상동)|03038|가치|20160928154240|I|2018-08-31 23:59:59.0||196939.545438903    |453033.495358612    |외국인관광 도시민박업||일반주거지역|3|주택가주변|||단독주택|2|1|1||GACHI|Traditional Korean housing experiencing business||||||||74.24|||||||||||||74
9|외국인관광도시민박업|03_11_04_P|3000000|CDFI2262212016000017|20160909||03|폐업|03|폐업|20181025|||||||서울특별시 종로구 구기동 154-3번지 |"서울특별시 종로구 비봉4길 39, B동 201호 (구기동, 건덕빌라)"|03001|숲속의 궁전|20181026091548|U|2018-11-03 04:00:00.0||196179.366597368    |456736.653120123    |외국인관광 도시민박업||주거지역||주택가주변|||연립주택|||3|159|PALACE IN THE WOODS|Urban Tourist Home for Foreigner Only||||||||159.49|||||||||||||159
10|외국인관광도시민박업|03_11_04_P|3000000|CDFI2262212016000016|20160822||01|영업/정상|13|영업중||||||||서울특별시 종로구 창신동 542-5번지 |서울특별시 종로구 종로 305-3 (창신동)|03106|에그하우스 동대문점|20180208105442|I|2018-08-31 23:59:59.0||200953.828986465    |452218.574010911    |외국인관광 도시민박업|||||||단독주택|||7|220|EGGHOUSE DONGDAEMUN|Urban Tourist Home for Foreigner Only||||||||219.94|||||||||||||220
11|외국인관광도시민박업|03_11_04_P|3000000|CDFI2262212016000015|20160601||01|영업/정상|13|영업중||||||||서울특별시 종로구 숭인동 76번지 롯데캐슬천지인 인동 2302호|"서울특별시 종로구 종로 347, 인동 2302호 (숭인동, 롯데캐슬천지인)"|03113|지유|20180703101259|I|2018-08-31 23:59:59.0||201359.53353905     |452395.659064842    |외국인관광 도시민박업|||||||아파트|23||3||G.U|Urban Tourist Home for Foreigner Only||||||||111.73|||||||||||||112
12|외국인관광도시민박업|03_11_04_P|3000000|CDFI2262212016000014|20160526||01|영업/정상|13|영업중||||||||서울특별시 종로구 가회동 30-2번지 |서울특별시 종로구 북촌로 53 (가회동)|03052|보눔 1957 한옥 앤 부티크|20180208105808|I|2018-08-31 23:59:59.0||198580.733667314    |453276.514323296    |외국인관광 도시민박업|||||||단독주택|1||||BONUM 1957 HANOK AND BOUTIQUE|Urban Tourist Home for Foreigner Only||||||||221.17|||||||||||||221
13|외국인관광도시민박업|03_11_04_P|3000000|CDFI2262212016000013|20160523||01|영업/정상|13|영업중||||||||서울특별시 종로구 동숭동 4-4번지 동숭아트빌 |"서울특별시 종로구 동숭4라길 1 (동숭동, 동숭아트빌)"|03085|숙이네 게스트|20180208111141|I|2018-08-31 23:59:59.0||200405.285284996    |453532.814017577    |외국인관광 도시민박업|||||||다세대주택|||||Sook's Guest|Urban Tourist Home for Foreigner Only||||||||74.45|||||||||||||74
14|외국인관광도시민박업|03_11_04_P|3000000|CDFI2262212016000012|20160517||03|폐업|03|폐업|20160919|||||||서울특별시 종로구 누상동 113-1번지 202호|"서울특별시 종로구 옥인2길 14-4, 202호 (누상동)"||서촌빌리지|20160919143140|I|2018-08-31 23:59:59.0||196985.648085304    |453107.240832074    |외국인관광 도시민박업|||||||다세대주택|||||Seochon Village|Urban Tourist Home for Foreigner Only||||||||52.91|||||||||||||53
15|외국인관광도시민박업|03_11_04_P|3000000|CDFI2262212014000023|20141210||01|영업/정상|13|영업중||||||||서울특별시 종로구 숭인동 178-96번지 202호|"서울특별시 종로구 종로65길 20-6, 202호 (숭인동)"|03112|부엉이 게스트하우스(OWL Guesthouse)|20180208111112|I|2018-08-31 23:59:59.0||201710.257260266    |452567.221872784    |외국인관광 도시민박업||일반주거지역|3|주택가주변|||다가구용 주택(공동주택적용)|2|1||||||||||||62.15|||||||||||||62
16|외국인관광도시민박업|03_11_04_P|3000000|CDFI2262212014000022|20141126||03|폐업|03|폐업|20150313||||||110043|서울특별시 종로구 통인동 79-2번지 1층 |"서울특별시 종로구 자하문로11길 21, 1층 (통인동)"||민들레(Mindele)|20150319133705|I|2018-08-31 23:59:59.0||197279.4797179      |453044.973178608    |외국인관광 도시민박업||일반주거지역|4|학교정화(상대)|||다가구용 주택(공동주택적용)|3|1||||||||||||126|||||||||50000000||||126
17|외국인관광도시민박업|03_11_04_P|3000000|CDFI2262212014000021|20141106||03|폐업|03|폐업|20161231||||||110062|서울특별시 종로구 신문로2가 1-196번지 2.3층 |"서울특별시 종로구 경희궁1길 27, 2.3층 (신문로2가)"||광화문게스트하우스 궁|20170123175354|I|2018-08-31 23:59:59.0||197237.306379738    |452211.803556528    |외국인관광 도시민박업||일반주거지역|3|기타|||단독주택|3|||||||||||||139.8|||||||||100000000||||140
18|외국인관광도시민박업|03_11_04_P|3000000|CDFI2262212014000020|20141024||01|영업/정상|13|영업중||||||||서울특별시 종로구 신문로2가 1-135번지 2층 |"서울특별시 종로구 경희궁길 47-1, 2층 (신문로2가)"|03176|뿡갈로(BBUNGALOW)|20180208110957|I|2018-08-31 23:59:59.0||197162.370048856    |452333.192103108    |외국인관광 도시민박업||일반주거지역|3|기타|||단독주택|2|1||||||||||||76.2|||||||||100000000||||76
19|외국인관광도시민박업|03_11_04_P|3000000|CDFI2262212014000019|20140915||01|영업/정상|13|영업중|||||02-723-0847|||서울특별시 종로구 필운동 130-8번지 |서울특별시 종로구 사직로9가길 25-6 (필운동)|03027|루디아 공예 게스트하우스(Lydia craft Guesthouse)|20180208111117|I|2018-08-31 23:59:59.0||197115.319752377    |452738.626474828    |외국인관광 도시민박업||일반주거지역|1|학교정화(상대)|||단독주택|1|||||||||||||52.96|||||||||10000000||||53
