번호|개방서비스명|개방서비스ID|개방자치단체코드|관리번호|인허가일자|인허가취소일자|영업상태구분코드|영업상태명|상세영업상태코드|상세영업상태명|폐업일자|휴업시작일자|휴업종료일자|재개업일자|소재지전화|소재지면적|소재지우편번호|소재지전체주소|도로명전체주소|도로명우편번호|사업장명|최종수정시점|데이터갱신구분|데이터갱신일자|업태구분명|좌표정보(X)|좌표정보(Y)|문화체육업종명|문화사업자구분명|지역구분명|총층수|주변환경명|제작취급품목내용|보험기관명|건물용도명|지상층수|지하층수|객실수|건축연면적|영문상호명|영문상호주소|선박총톤수|선박척수|선박제원|무대면적|좌석수|기념품종류|회의실별동시수용인원|시설면적|놀이기구수내역|놀이시설수|방송시설유무|발전시설유무|의무실유무|안내소유무|기획여행보험시작일자|기획여행보험종료일자|자본금|보험시작일자|보험종료일자|부대시설내역|시설규모
1|한옥체험업|03_11_06_P|3000000|CDFI3261132011000016|20111019||01|영업/정상|13|영업중||||||||서울특별시 종로구 계동 15번지 6호|서울특별시 종로구 계동길 103-7 (계동)|03056|두게스트하우스|20180208111958|I|2018-08-31 23:59:59.0||198715.486051138    |453291.556450652    |한옥체험업||주거지역|1|학교정화(상대)|||단독주택|1|||||||||||||374.5|||||||||||||375
2|한옥체험업|03_11_06_P|3000000|CDFI3261132011000015|20111010||01|영업/정상|13|영업중|||||744-5636|||서울특별시 종로구 가회동 199번지 2호|서울특별시 종로구 북촌로6길 13-3 (가회동)|03056|도화원부활을 꿈꾸는 사람들|20180208112017|I|2018-08-31 23:59:59.0||198651.304949836    |453129.015524103    |한옥체험업||주거지역|1|학교정화(상대)|||단독주택|1|||||||||||||72.7|||||||||||||73
3|한옥체험업|03_11_06_P|3000000|CDFI3261132011000014|20110929||01|영업/정상|13|영업중||||||||서울특별시 종로구 사간동 34번지|서울특별시 종로구 율곡로1길 40-11 (사간동)|03062|북촌한옥게스트하우스 라온|20180208112048|I|2018-08-31 23:59:59.0||198271.823082036    |452807.300050467    |한옥체험업||||||||||||||||||||||||||||||||||
4|한옥체험업|03_11_06_P|3000000|CDFI3261132011000013|20110915||01|영업/정상|13|영업중|||||||110350|서울특별시 종로구 운니동 87-1번지|서울특별시 종로구 삼일대로32길 31-16 (운니동)|03131|문게스트하우스|20170623091719|I|2018-08-31 23:59:59.0||198936.639596841    |452666.752884073    |한옥체험업||일반상업지역|1|학교정화(상대)|||단독주택|1||||Moon Guest House|Traditional Korean housing experiencing business||||||||241.3|||||||||||||241
5|한옥체험업|03_11_06_P|3000000|CDFI3261132015000020|20151123||01|영업/정상|13|영업중||||||||서울특별시 종로구 누하동 102번지|서울특별시 종로구 필운대로5가길 11-2 (누하동)|03037|여름한옥|20151123182028|I|2018-08-31 23:59:59.0||197120.656117472    |453063.66536625     |한옥체험업|||1||||단독주택|1|||||||||||||13.01|||||||||||||13
6|한옥체험업|03_11_06_P|3000000|CDFI3261132014000002|20140211||03|폐업|03|폐업|20170531||20170531||||110380|서울특별시 종로구 권농동 152-2번지|서울특별시 종로구 율곡로10길 15-14 (권농동)|03134|해밀 한옥게스트하우스|20170601101003|I|2018-08-31 23:59:59.0||199172.261259753    |452698.071877083    |한옥체험업||일반상업지역||기타|||단독주택|1|||||||||||||87.51|||||||||||||88
7|한옥체험업|03_11_06_P|3000000|CDFI3261132014000003|20140221||01|영업/정상|13|영업중|||||||110805|서울특별시 종로구 누하동 74번지|서울특별시 종로구 필운대로 49-7 (누하동)|03037|누하당|20140221093216|I|2018-08-31 23:59:59.0||197116.673105372    |453116.901289213    |한옥체험업||일반주거지역|1|학교정화(상대)|||단독주택||||||||||||||61.44|||||||||||||61
8|한옥체험업|03_11_06_P|3000000|CDFI3261132013000012|20130909||01|영업/정상|13|영업중||||||||서울특별시 종로구 효자동 52번지 10호|서울특별시 종로구 자하문로 68-3 (효자동)|03042|바인 하우스|20180208112439|I|2018-08-31 23:59:59.0||197374.160286348    |453313.748285424    |한옥체험업||일반주거지역||학교정화(상대)|||단독주택|1|||||||||||||51.31|||||||||||||51
9|한옥체험업|03_11_06_P|3000000|CDFI3261132010000001|20100118||01|영업/정상|13|영업중||||||||서울특별시 종로구 계동 67번지 7호|서울특별시 종로구 계동길 85-13 (계동)|03056|가회한옥체험관|20180208111830|I|2018-08-31 23:59:59.0||198722.705576427    |453231.312874547    |한옥체험업|||||||||||||||||||||129.76|||||||||||||130
10|한옥체험업|03_11_06_P|3000000|CDFI3261132009000001|20091224||01|영업/정상|13|영업중||||||||서울특별시 종로구 혜화동 5번지 43호|서울특별시 종로구 혜화로12길 36 (혜화동)|03067|유진하우스|20180208111954|I|2018-08-31 23:59:59.0||199950.776923499    |454228.74670798     |한옥체험업|||||||||||||||||||||125.01|||||||||50000000||||125
